c	Clostridia	Actinomycetia	Verrucomicrobiae	Negativicutes	Bacilli	Methanobacteria	Coriobacteriia	Bacteroidia	Gammaproteobacteria
Healthy	1.24294423094552	-5	0.766518433276982	-5	-1.64474009447262	-5	-5	1.68276546649112	-0.738404101517821
Healthy	1.39068469769986	1.10904437714116	0.218672021321886	0.300401986291505	0.723240523942585	-0.0989123766000521	-0.4678318683063	1.31879954964682	1.37284206856713
Healthy	1.74657558857697	0.436447310914848	-5	0.685564402798436	0.357746230812359	-5	-0.139763839938269	1.10018575831703	0.360097118092937
Healthy	0.980759885403075	-5	1.30050874675137	0.0206802558933171	-0.686533527341765	-0.265824467335679	-5	1.46493613135373	0.815012931185225
D015179	1.2352945719168	0.940898814484282	0.870778337445256	-5	-5	-5	-5	1.52518311104607	-5
Healthy	1.51828844302872	0.99456129217834	-1.06108018775523	-0.00398770325701485	-0.304833651694131	-5	-0.856080061614163	1.53452703352098	-0.922268820347608
Healthy	1.2530225910835	-5	-0.392009141452825	0.518154511204127	-5	-5	-5	1.82816042852175	-0.370671966205419
Healthy	1.49457893733627	-5	-1.06429125215734	-0.673787070000569	-1.68423950933427	-5	-0.863279432843593	1.66400962634643	-0.940058111938045
Healthy	1.23249066332249	-0.460986665060487	1.68812791006636	0.498321583350671	-0.343039817257151	-5	-5	1.32580085766442	-5
Healthy	1.45331895172898	-0.215925022521303	-1.60101893334187	0.437461993994192	0.213326465927919	-0.194444773478747	-1.02447628703967	1.5976974889962	-0.366460851072662
Healthy	1.6692777272002	1.38646596861784	-5	-0.515017218069439	-0.74816718137136	-5	-0.0468639369858433	1.23406807784543	-0.581831337932134
Healthy	1.41584323663477	0.530503213925169	0.21827810816134	-5	-2.57348873863542	-0.743787541434838	-0.341330501793832	1.54045311221858	-0.713813083058962
Healthy	1.14208867249843	0.750233691942234	-5	-5	-1.43004118190341	-1.09044397075882	-0.0893435844122668	1.75494401147996	-2.69680394257951
D015179	0.802805868733374	-0.767156300376879	1.356712341434	-5	-0.301499287167488	0.632757853566795	0.227405887851671	1.50756552567963	-0.763185724828728
Healthy	1.34703771974518	-0.687653360969147	-5	-0.292634245878962	-0.885355661097721	-5	0.163846875794205	1.73383868006618	0.63423738469509
Healthy	1.31590278328254	1.40112833208387	-5	0.864685475789771	-0.529736553034922	-5	0.759851342542993	1.39257878095216	-0.0375264840391993
Healthy	1.15252805770336	-0.299330889371745	-5	-0.378107411682646	-1.75300930075845	-0.726790316599669	-0.683903790324869	1.80276490252706	0.186603221792895
Healthy	1.41352674519155	-0.587875593826683	-0.200824927584771	0.310272618148416	-0.235375602149019	-1.15187248943213	-1.06068046892176	1.71674927159693	0.345965457886395
Healthy	1.49291480841852	-0.328716051374985	-1.40693556834128	-1.30980391997149	0.0460149508590078	-5	-0.423336216585005	1.60690102497749	-0.530929447968747
D015179	1.71101592396609	0.623026916062447	0.0434683822624187	-5	-5	-5	-0.21911408406016	1.4473974477235	-5
D015179	1.56736719474671	-1.19681611146466	-5	-0.174905085002299	0.571628485719473	-5	-0.214250312681285	1.44719990771968	0.106860357623876
D015179	1.54931770495924	0.0958246588951075	-5	1.03535408029795	0.690051586605213	-5	0.817384871792336	1.47571185613765	-0.125813997557175
Healthy	1.24379901006385	0.768325030057909	0.066516004090991	1.01190185253402	-0.0923522065996969	-5	-0.0285803382281341	1.68234249553608	-0.341635584312928
Healthy	1.36879806566854	0.749569366032057	-1.13948232253825	-3.09691001300806	-1.03607057797344	-0.276363751548955	0.234745000628051	1.74789136461658	-1.95233580539844
Healthy	0.821560034071882	-0.181859917724294	-5	0.811446306956656	-0.787785752580059	-5	-0.844998163768747	1.8861083213193	-0.410351941664339
Healthy	-0.476006549684386	1.7298044975577	-5	0.507533402997219	0.544609953795997	-5	-0.920782564253433	0.99071082098826	1.44376241272035
Healthy	1.40206921838821	-0.00137890022102005	0.667019376016459	-5	0.0811419957201863	0.459439232218998	-5	1.67301168634137	-5
Healthy	0.409082289950506	-5	-5	0.52617250731388	-0.612450012609767	-5	-0.81121208736253	1.94992288585992	-0.334353353872193
Healthy	1.55513678720214	-5	-1.60572347323218	-5	-0.844208647642382	-5	-1.78727984558216	1.72528954175842	0.108751013469221
Healthy	0.995212978021115	-5	1.30133411244408	0.00220927298801476	-0.564028293600659	-0.262688062010375	-5	1.4858262973554	0.806654046147595
Healthy	0.767879087701276	-5	-5	-5	-5	-5	-0.991357252434715	1.64796730935212	-0.999088937868777
Healthy	1.40436788267485	-1.02122621566988	0.0558597642979701	-0.219819551797359	-5	1.19431477032722	-1.15851539066461	1.59439929128072	-5
Healthy	1.2300635056576	-5	-5	-5	-0.845697780315335	-0.48537256758866	-5	1.61538794443253	1.21619916612133
Healthy	0.883333177521008	-0.65380355627079	-5	-5	-0.989530430203608	-5	-5	1.93830958188606	0.244037017036314
Healthy	1.83420763729357	-5	-2.0301183562535	0.710003908849681	-0.938698343793955	0.506717392419689	-5	1.09571109663366	-5
Healthy	0.835315711892788	-0.207181230830761	-5	0.815167165939307	-0.849304948857286	-5	-0.719763190390311	1.88332170105324	-0.471276076739006
Healthy	1.39121518967295	1.35339280128144	-5	0.379401614039029	1.2620379575553	0.0200254863257827	0.451102996833693	0.990601217280949	0.243191885767495
Healthy	1.28459404298254	0.704108458618344	-5	0.336809830185024	0.335205073740825	-5	0.239269440429388	1.62516320091162	1.19097649680895
