group	Lachnospirales	Oscillospirales	Erysipelotrichales	Enterobacterales	Coriobacteriales	Lactobacillales	Peptostreptococcales	Desulfovibrionales		Bacteroidales	Lachnospirales	Oscillospirales	Veillonellales	Verrucomicrobiales	Lactobacillales	Methanobacteriales	Coriobacteriales	Acidaminococcales	Desulfovibrionales
Healthy	20.64762	0.04915	0	0.91721	5.75242	0.29327	0	0.01514		24.69327	20.64762	0.04915	7.29344	0	0.29327	0	5.75242	0.02949	0.01514
Healthy	6.7014	7.50643	0	0.0781	0.20705	0.01765	0	0.15405		63.4987	6.7014	7.50643	0.41868	0	0.01765	0.18758	0.20705	0	0.15405
Healthy	21.81106	4.10247	0.02074	0.09665	0.08695	0.56085	0	0.09305		52.08938	21.81106	4.10247	0	0.62975	0.56085	0.07048	0.08695	2.04301	0.09305
Healthy	19.16726	11.91721	0.06243	0.1512	0.37727	1.04933	0.02658	0		40.44836	19.16726	11.91721	0.04899	0.03917	1.04933	0	0.37727	0	0
Healthy	9.33161	8.19907	0.79186	0.42971	0.9363	0.01657	0	0.0012		48.12186	9.33161	8.19907	10.27783	1.1655	0.01657	0	0.9363	0	0.0012
Healthy	13.53386	9.83018	0.00364	0.01115	1.71689	0.08838	0.01345	0.05871		55.96175	13.53386	9.83018	0	0.07252	0.08838	0.52921	1.71689	0.00079	0.05871
Healthy	2.91449	3.71621	0.163	0.09586	0.14288	0	0	0.07883		76.93222	2.91449	3.71621	6.47807	0	0	0	0.14288	0	0.07883
Healthy	0.18846	0.00382	0	16.45876	0.12	1.2222	0	0.13184		9.78837	0.18846	0.00382	3.20071	0	1.2222	0	0.12	0.01689	0.13184
Healthy	13.06821	12.17061	1.0157	0	0	0.18972	0	0.08855		47.09899	13.06821	12.17061	0	4.64535	0.18972	2.8803	0	0	0.08855
Healthy	1.11149	1.45347	0.01149	0.37736	0.15444	0.23259	0	0.00251		89.10926	1.11149	1.45347	3.3587	0	0.23259	0	0.15444	0	0.00251
Healthy	8.53065	27.37284	0.00061	0	0.01631	0.14253	0	0.037		53.12384	8.53065	27.37284	0	0.02478	0.14253	0	0.01631	0	0.037
Healthy	4.60479	5.28558	0.05876	6.37382	0	0.21411	0	0.65549		30.60738	4.60479	5.28558	0	20.014	0.21411	0.54614	0	1.00509	0.65549
Healthy	3.30342	2.55632	0	0	0.102	0	0	0.05737		44.45977	3.30342	2.55632	0	0	0	0	0.102	0	0.05737
Healthy	24.13931	1.23345	0	0	0.06941	0	0	0.02658		39.3006	24.13931	1.23345	0.59117	1.13725	0	15.6428	0.06941	0.01163	0.02658
Healthy	12.86415	3.76713	0.14265	16.4109	0	0	0.35363	0		41.24657	12.86415	3.76713	0	0	0	0.32705	0	0	0
Healthy	4.04901	3.5952	0.04	1.67377	0	0.06243	0	0.09831		86.758	4.04901	3.5952	0	0	0.06243	0	0	0	0.09831
Healthy	58.92111	9.34538	0	0	0	0.11515	0	0		12.46553	58.92111	9.34538	5.12865	0.00932	0.11515	3.21156	0	0	0
Healthy	2.98722	3.85686	0.14147	0.03895	0.19064	0	0	0.10029		76.44017	2.98722	3.85686	6.53381	0	0	0	0.19064	0	0.10029
Healthy	15.91284	8.70302	2.57172	1.75061	2.82554	15.71087	0	0		9.7859	15.91284	8.70302	2.39552	0	15.71087	1.04718	2.82554	0	0
Healthy	15.08024	4.12956	1.6957	6.51836	1.73487	0.46803	0.04743	0.03635		42.18549	15.08024	4.12956	0.00473	0	0.46803	0	1.73487	2.16701	0.03635
Healthy	2.94694	4.3862	0.24099	0	0	0	0	0		68.34488	2.94694	4.3862	6.35013	0	0	0	0	0	0
Healthy	3.31311	2.11122	0.09705	0.01729	0.31594	0	0	0.20315		75.43383	3.31311	2.11122	0	0	0	0	0.31594	0	0.20315
Healthy	4.67955	7.10371	0.2213	12.8542	0	0	0	0		33.84867	4.67955	7.10371	11.5958	0.54368	0	0.60936	0	0	0
Healthy	4.47133	19.62191	0.0032	0.00825	0.21172	0.0109	0	0.0924		52.57168	4.47133	19.62191	0.22524	1.91855	0.0109	0.01981	0.21172	0	0.0924
Healthy	4.96469	8.99262	0.04242	2.29463	0.00368	0.27467	0.09932	0		56.34078	4.96469	8.99262	0.01956	0	0.27467	0	0.00368	0	0
Healthy	26.02253	14.11143	0.08736	0.21558	0.20396	0.54071	0.0908	0.06614		20.22819	26.02253	14.11143	4.07963	0	0.54071	0	0.20396	0	0.06614
Healthy	15.93214	17.74577	0.08713	0	1.11002	2.28761	0	0.28312		34.97998	15.93214	17.74577	0	0.87446	2.28761	0	1.11002	2.25084	0.28312
Healthy	13.86684	7.44577	0	0	0.44391	0	0.12217	0		54.76138	13.86684	7.44577	0	1.83608	0	0.54243	0.44391	0	0
Healthy	13.69074	3.85957	0	2.77557	0	0.19801	0	0.01952		66.122	13.69074	3.85957	4.777	0	0.19801	0	0	0	0.01952
Healthy	5.4809	4.49464	0	0.12423	0	0	0	0		65.39898	5.4809	4.49464	0	7.69718	0	0	0	0	0
Healthy	5.82858	2.70927	0	1.37665	0.31466	0.06404	0.0709	0.04377		76.52103	5.82858	2.70927	0	0	0.06404	0	0.31466	0	0.04377
Healthy	7.62617	8.46934	0	0.04487	0.23162	0	0	0.32464		53.00535	7.62617	8.46934	0	5.35516	0	0	0.23162	0	0.32464
Healthy	2.05337	6.34267	0	0.6011	0	0.00291	0	0.00721		75.97442	2.05337	6.34267	2.69249	0	0.00291	0	0	0	0.00721
Healthy	17.42598	4.61086	0.08093	2.12948	1.00781	2.3757	0.13647	0.08954		43.89442	17.42598	4.61086	0.15028	4.75004	2.3757	0.00715	1.00781	0	0.08954
Healthy	0.82468	6.37802	0.35675	1.06216	0.69144	0	0	0.17895		54.50736	0.82468	6.37802	9.30256	7.16262	0	0	0.69144	0	0.17895
Healthy	13.15289	38.2343	0	0.01462	0.41073	0.02683	0	0.14804		36.60204	13.15289	38.2343	0.27195	0.03189	0.02683	0.05897	0.41073	0.19254	0.14804
Healthy	29.97117	54.60222	3.05681	0	3.68311	0	0.26971	0		2.1963	29.97117	54.60222	0	0	0	2.07917	3.68311	0.2624	0
Healthy	1.15799	1.47786	0.02708	0.42965	0.14868	0.21585	0	0		88.99303	1.15799	1.47786	3.36743	0	0.21585	0	0.14868	0	0
Healthy	16.08956	7.9392	0.43867	0.04188	0.23323	0.04828	0.26029	0		55.54238	16.08956	7.9392	1.41269	0	0.04828	0	0.23323	0	0
Healthy	2.66517	9.10469	0.01705	0.07776	0.51129	0	0	0		70.48564	2.66517	9.10469	0	0	0	0	0.51129	0	0
Healthy	3.20391	14.02014	0.01215	0.06544	0.7355	0.00451	0	0		58.09122	3.20391	14.02014	0	0	0.00451	0	0.7355	0	0
Healthy	22.52399	14.94458	0.0136	0.07492	0.03641	0.0073	0	0		40.21055	22.52399	14.94458	5.37671	0	0.0073	0	0.03641	0	0
Healthy	23.50672	4.07902	0.05412	0	0.07736	0	0	0.55153		64.56848	23.50672	4.07902	0	0	0	0	0.07736	0	0.55153
Healthy	5.27636	4.98386	0	0	0.03571	0.5783	0	0		69.88918	5.27636	4.98386	4.62199	0	0.5783	0	0.03571	0	0
Healthy	0.74218	9.91116	0	0.04178	0.14686	0	0	1.61864		41.95701	0.74218	9.91116	0	17.199	0	0	0.14686	0	1.61864
Healthy	4.66382	0.59296	0.01017	78.76377	1.47704	0.10611	0	0		1.9337	4.66382	0.59296	0	3.52859	0.10611	0	1.47704	0	0
Healthy	20.07617	8.24625	0.14607	1.87079	0.01042	0.1514	0.25312	0		63.27551	20.07617	8.24625	0.008	0	0.1514	0	0.01042	0	0
Healthy	20.8232	9.74817	0	3.09305	0	0	0.16683	0		50.98894	20.8232	9.74817	7.88732	0	0	0	0	0	0
Healthy	18.86342	37.18712	11.3576	0	3.88243	0.78156	0	0		18.80818	18.86342	37.18712	0	0	0.78156	0	3.88243	1.40591	0
Healthy	8.09311	35.45277	0.57473	0	0.21735	0.60443	0.01342	0		7.42578	8.09311	35.45277	1.99584	0	0.60443	0	0.21735	0	0
Healthy	18.30054	3.31872	0	0	0.10638	0	0	0		68.09654	18.30054	3.31872	0	0.06765	0	0	0.10638	0	0
Healthy	9.47397	13.42089	0	0.06709	0	0.00195	0	0.04203		43.75014	9.47397	13.42089	0	3.04604	0.00195	0.57278	0	1.52523	0.04203
Healthy	11.74589	29.26325	0.6621	0.8398	0.07817	0.03976	0.39724	0.03232		17.56695	11.74589	29.26325	0	1.83008	0.03976	0.1514	0.07817	6.00307	0.03232
Healthy	0.2867	4.1034	0.29282	1.00992	0.97538	0.04975	0	0.40307		67.09431	0.2867	4.1034	0.03571	0.00437	0.04975	0	0.97538	0.02808	0.40307
Healthy	1.01616	6.98888	0.56328	0.1118	1.24073	0.29215	0	0.80581		31.28267	1.01616	6.98888	0.61502	0.51673	0.29215	0	1.24073	0.02259	0.80581
Healthy	25.34291	10.98327	0.59698	0	0.08385	0.22287	0	0		20.36905	25.34291	10.98327	4.75712	25.358	0.22287	0	0.08385	0	0
D003922	15.04902	14.77228	0.39009	0.16434	0.17469	3.34644	0.01062	0.14694		20.10415	15.04902	14.77228	2.92877	1.55424	3.34644	0	0.17469	0	0.14694
Healthy	9.43879	6.25977	0	0	0.38018	0.02321	0	0.09289		67.23166	9.43879	6.25977	0.01308	0.53875	0.02321	0.0264	0.38018	0	0.09289
