group	Phytobacter	Streptococcus	Ruminococcus_B	Dorea	Clostridium_A	Lactococcus	Longicatena	Rothia	Gordonibacter	Eggerthella	Prevotella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Blautia_A	Paraprevotella	Dorea	Anaerostipes	Haemophilus_D	Ruminococcus_C
Healthy	3.48166	0.11246	0	0	0	0	0.04519	0.00076	0.009	0	0.001	0	0	0	0	0	0	0	0.0213	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.06855	0.25073	0	0.00717	3.08153	0	0	0.04316	0.1028
Healthy	0	0	0	0	0	0	0	0	0	0	22.0448	1.40747	0	0	0	0	0	0	0	0
Healthy	1.00904	0.0203	0	0.24049	0.06881	0	0.005	0	0	0	0.06826	0.54808	0.957	1.3206	0.73448	0.78229	0.24049	0.32445	0	0
Healthy	0	0.06189	0.03325	0.31946	0.00075	0	0	0	0.0007	0.00554	0	0.06768	0.09589	0.31429	0.21222	0.048	0.31946	0.77191	0	0
Healthy	4.07327	0.06887	0	0	0	0	0	0.0148	0	0	0	0.00652	0	0	0	0	0	0	0.04112	0
Healthy	0	0.67212	0	0.26944	0	0	0	0	0	0	0	0.61883	0.7229	0.74854	0.61503	0	0.26944	0.16049	5.59311	0
Healthy	0.006	0.01783	0.00772	0.02291	0.0179	0	0.00813	0	0.01451	0	2.16585	1.21272	3.37212	0.05739	0.03171	0.00176	0.02291	0.06463	0.04074	0.02547
Healthy	1.05361	1.58317	0.07765	0.18693	0	0.01982	0	0.07367	0.10691	0.00992	0	0.25985	2.46684	0.18752	0.9898	0.17154	0.18693	0.01263	0.83487	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.44409	0	0	0	0	0	0	0	0
Healthy	0	0.10091	0	0.08462	0	0	0	0	0	0	0	0.76435	0.03146	0.10338	0.14238	0	0.08462	0.10673	0	0
Healthy	0	0.31322	0	0.23133	0.01905	0	0	0	0	0	0	0.07088	0.01507	0	0.01467	0	0.23133	0.04963	0	0
Healthy	0	0.0782	0	0.04938	0	0	0	0	0	0	0	0.09729	0	0.00303	0.11971	0	0.04938	0	0.13135	0
Healthy	0	0.01606	0	0	0.15999	0	0	0	0	0	0	0.00719	1.15591	0	0	0	0	0	0	0
Healthy	0.25682	0.05262	0	0.21403	0	0	0	0	0	0	0	0.06107	0.53763	1.83125	0.44762	0	0.21403	0.79182	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.27659	0.85684	0	0	0	0	0	0	0	0	0.26372	0.73598	0	0.09569	0	0	0.32495	0	0
Healthy	0	0.38943	0	0	0	0.05167	0	0	0	0	0	0.10532	0.00711	0	0.03861	0	0	0	0.69592	0.02226
Healthy	0.03994	0	0	0.0562	0	0	0.00839	0	0	0	0	0.02088	5.94691	0	0.02222	0	0.0562	0	0	0
Healthy	1.55509	0.01043	0.34964	0.01274	0	0	0.07889	0	0.01425	0.04529	0.07813	0.00098	0.2687	0.0057	0	0.921	0.01274	0.28066	0.04568	0.00249
Healthy	0	1.15081	0	0.56767	0.01369	0	0.00062	0.00886	0	0	0	1.90885	0.7977	0.4236	0.2009	0	0.56767	0.03696	0.23021	0.01353
Healthy	0.14131	0.02591	0.08497	0	0.11557	0	0	0	0	0	0	0.10871	0.46576	0.00184	0.05364	0	0	0	0	0
Healthy	0.06081	0.00189	0	0	0	0	0	0	0	0	0	0.08232	0.03804	0.0417	0.01625	0	0	0	0	0
Healthy	0	0	0	0.48726	0	0	0	0	0	0	0	0.47476	0.937	0.64885	0.5695	0	0.48726	0.20186	0.33905	0.00393
Healthy	1.9574	0.02336	0.1569	0.05067	0	0	0	0	0	0	0.10716	2.38918	0.22968	0.33337	0.53731	0	0.05067	0.00686	0	0.02787
D065626	0	0.00281	0.00561	0.63545	0.01643	0.01074	0.00143	0.00049	0.00744	0.03316	0	0.01949	3.14588	0.47629	0.23771	0.13233	0.63545	0.19404	0	0.5386
Healthy	0.08339	0.13635	0.00168	0.73582	0	0.00528	0.00622	0	0	0	0	0.54617	1.14415	0.92778	1.03063	0	0.73582	0.10806	0.29412	0
Healthy	12.8743	0.17968	0.70723	0.07012	0	0	0	0	0	0	0	0.16772	0.04046	0	0	0	0.07012	0	0	0
Healthy	0	0.01799	0	0	0	0	0	0	0	0	0	0.14855	0.32571	0	0.0672	0	0	0	0.1014	0
Healthy	0.03899	0.11371	0.00901	1.23802	0.02793	0	0.01728	0	0.00045	0	0.0149	3.819	1.06844	3.24101	1.72681	1.01906	1.23802	0.45793	0	1.59318
Healthy	0	0.01821	0	0	0	0	0	0	0	0	0	0.17079	0.24128	0	0.07802	0	0	0	0.10583	0
Healthy	0	7.7113	0.03477	1.48213	0.12081	0	0.88492	0.03629	0.10879	0.14144	0	0.10752	0.38737	13.9056	0.21913	0	1.48213	0	0	0
Healthy	0.02492	0	0	0.06215	0	0	0.0259	0	0	0	0	0.03882	5.92848	0	0.02816	0	0.06215	0	0	0
Healthy	0.53569	0.07795	0	0	0.1507	0	0	0	0	0	0	0.96394	2.50447	0	0	0	0	0	0	0
Healthy	0	0	0.95431	0.15073	0	0	0	0	0	0	1.3835	0.33099	1.08987	0.15893	0.30864	0	0.15073	0	0	0.42209
Healthy	0	0.31964	0	0.4207	0.14787	0	0.00118	0	0	0	0	0.09527	0.58657	0.5952	0.57454	0	0.4207	0.18338	0.0587	0
Healthy	0	0.12738	0	0.03591	0.03868	0	0	0	0	0	10.03096	0.54105	0.2337	0.08241	0.13554	0.27699	0.03591	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40469	0.38874	0	0	0	0	0
Healthy	0.06901	0	0.57283	0.00591	0.12536	0	0.02955	0	0	0	0	0.13573	0.00524	0	0	0	0.00591	0	0	0
Healthy	0	0.12293	0	0.09559	0	0	0	0	0	0	0	0.38943	2.03495	0.22762	0.82447	0	0.09559	0	0	0.29903
Healthy	0.60334	0.05261	0	0.02366	0	0	0	0	0	0	0.03589	0.0632	0.03712	0.01158	0.03261	0	0.02366	0	0	0.13777
Healthy	98.5792	0	0	0	0	0	0	0.06844	0	0	0.00376	0	0	0	0	0	0	0	0.20092	0
Healthy	0	0.01147	0	0.05994	0.08713	0.01475	0.002	0	0.03811	0	0	0.02897	0.2432	0.01145	0.12558	0	0.05994	0	0	0
Healthy	0.08659	0.29646	0	0.09256	0.51872	0	0.02445	0	0	0	0	0.02226	0.0065	0.15182	0.32688	0	0.09256	0.04583	0	0.00538
Healthy	0	0.0626	0	0	0	0	0	0	0	0	45.57342	0.31814	0.0777	0	0.00434	0.31084	0	0	0	0
Healthy	0.06642	0	0	0	0.11856	0	0	0	0	0	33.85975	0.16332	0.66066	0	0	0.98814	0	0	0	0
Healthy	0	0.00226	0	0.04417	0	0	0	0	0	0	0	0.01999	0	0.02981	0.10665	0	0.04417	0	0	0
Healthy	0	1.18546	0.00516	0.77063	0.05143	0.63401	0.01236	0.00192	0.0051	0	2.4831	4.69328	0.77917	1.77341	2.53405	0.09647	0.77063	0.86194	0	0
Healthy	0.10839	0.02218	0.07739	0	0.11937	0	0	0	0	0	0	0.07952	0.47293	0.01538	0.03201	0	0	0	0	0
Healthy	0.05429	0	0	0.03554	0.03636	0	0	0	0.02548	0	0	1.48905	0	0	0.01296	0	0.03554	0	0	0
Healthy	0.03932	0	1.0406	0.1003	0	0	0	0	0.01875	0	1.18536	0.16194	1.08248	0.20458	0.18937	0	0.1003	0	0	0.42563
Healthy	0	0.32345	0	1.12177	0.05123	0	0	0	0	0	6.42452	1.01117	1.77883	0.39173	2.27303	0	1.12177	0	0	1.99536
Healthy	18.7087	0.50262	0.18182	0.54311	0.41443	0	0.03194	0	0.04601	0	0	0.50378	0.02307	0.35418	0.64735	0	0.54311	0.0549	0	0
Healthy	0	0	0	0.00476	0	0	0	0	0	0	0	0.24264	0.30848	0	0	0	0.00476	0	0.02277	0
Healthy	0.0278	0.02136	0	0.02713	0	0	0	0	0	0	0	0.10722	0.36806	0	0.20467	0	0.02713	0	0	0
Healthy	0.08366	0.01061	0	0.03075	0	0	0	0	0	0	0	0.18335	0.41714	0.01414	0.14695	0	0.03075	0	0	0
Healthy	0	1.08101	0	0.86539	0	0	0.00907	0.0335	0	0	42.27842	0	0.44735	0.40215	0.47109	0	0.86539	0.06319	0.7789	0.469
Healthy	0.93792	0	0.00455	0	0.03542	0	0	0	0	0	0	3.32579	0.25793	0	0.04106	0	0	0	0	0
Healthy	0	0.08707	0	0.0452	0.054	0	0	0	0	0	10.22659	0.48914	0.24488	0.06458	0.10071	0.32866	0.0452	0	0	0
Healthy	0	0.01654	0	0.18602	0	0	0	0	0.01504	0	2.53701	3.04573	0.0094	0.70188	0.4285	0	0.18602	0.22806	0	0.01647
Healthy	0	0	0.07457	0.03011	0	0	0	0	0	0	0	0.54555	0.00768	0	0.02228	0	0.03011	0	0	0.02599
Healthy	0.40305	0.11909	0	0.01975	0.12395	0	0.01388	0	0	0	0	0.10849	0.1216	0.08905	0.15246	0	0.01975	0	0	0.12079
Healthy	0.07667	0	0	0.03371	0	0	0.01977	0	0	0	0	0.02278	6.27452	0	0.02893	0	0.03371	0	0	0
Healthy	0	0	0	0.08982	0	0	0	0	0	0	0	0.4404	0	0.11044	0.02554	0	0.08982	0.40249	0	0
Healthy	0	0	0	0.01006	0	0	0	0	0	0	44.77652	0.51071	0.43038	0	0	0.49794	0.01006	0	0	0
Healthy	0	2.6625	0	0.71663	0.08112	0.0263	0.01926	0	0	0	0	2.22292	3.87959	2.08672	0.67082	0	0.71663	0.32173	0.00291	0.0476
Healthy	0.83258	0	0.3115	0	0	0	0	0	0	0	0	0.09223	0.02743	0	0	0	0	0	0	0
Healthy	0.06156	0	0	0.06068	0	0	0.02964	0	0	0	0	0.01068	6.03323	0	0.03174	0	0.06068	0	0	0
Healthy	1.45409	14.97267	0	0.67296	0	0	0	0	0	0	0	1.99063	1.82678	2.02546	4.79598	0	0.67296	0.01514	0	0
Healthy	0.16735	0.00466	0	0	0	0.00167	0	0	0	0	0	4.31877	0.05686	0.01486	0	0.19438	0	0	0	0
Healthy	0	0.22494	0	0.99585	0.08394	0	0	0	0	0	0	0.02933	0.72638	0.46783	0.30056	0	0.99585	0.03907	0	0.04037
Healthy	2.02224	0	0.25192	0	0	0	0.02529	0	0	0	0	0.04327	20.63589	0	0	0	0	0.03533	3.13259	0
Healthy	0	0	0	0.34904	0	0	0	0	0	0	1.85287	4.14962	0.53715	1.43192	0.38671	0	0.34904	0.04708	0	0
Healthy	0.15482	0.64308	0	0.15782	0.03924	0	0.00123	0	0.02142	0	0.0984	2.01868	0.7742	0.3238	0.4016	0.63225	0.15782	0.05572	0.1722	0.83432
Healthy	0.00788	0.31843	0	0	0	0	0	0	0	0	0	0.01859	0	0	0	0	0	0	0	0
Healthy	0.05773	0.27003	0.24196	0.47289	0.0075	0.0267	0.02161	0	0.00952	0.01096	0	0.43308	0.11912	0.87643	0.186	0	0.47289	0.4252	0.45858	0.16542
D065626	1.94483	0.88499	0.56843	0.9657	0	0	0.05044	0	0.02032	0.00704	2.85146	0.02613	0.01422	4.14345	0.24919	0.03279	0.9657	0.18735	0.02288	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.53121	3.59132	0	0.77708	0.75495	0	0	0	0	0
Healthy	0.53587	0.1656	0.27677	0.04743	0.0157	0.00087	0.0356	0	0.00266	0.00504	1.63491	0.61129	1.46729	0.11822	0.09926	1.09579	0.04743	0.55657	0.17564	0
Healthy	0.62791	0.01575	1.03592	0	0	0	0.00746	0	0	0.00397	17.1115	0.43635	0.89258	0	0.03046	0	0	0.74891	0	0
Healthy	0	2.22424	0.10514	0.71848	0.10582	0.0315	0	0	0.13538	0	0	0.3498	0.20507	1.38609	0.34256	0	0.71848	0.37705	0	0
Healthy	0	0	0	0.05456	0	0	0	0	0	0	0	0.34575	0	0.00319	0.07374	0	0.05456	0	0	0
Healthy	0	0	0	0.02855	0	0	0	0	0	0	44.29233	0.46539	0.47131	0	0	0.39246	0.02855	0	0	0
Healthy	0	0.16003	0.85904	0	0	0	0	0	0	0	0	3.78038	0.81789	0	0.08027	0	0	0.35016	0	0
Healthy	1.22721	0	0.00907	0	0.03061	0	0	0	0.01561	0	0	0.00488	0.28576	0.00402	0.03817	0	0	0	0	0
Healthy	1.57391	0	0	0	0	0	0	0	0	0	0	6.40643	0	0	0	0.50878	0	0	0	0
Healthy	1.95493	0	0.23791	0	0	0	0	0	0	0	0	0	0.51501	0	0.68085	0	0	0.50015	0	0
Healthy	0.36136	0.223	0.01429	0	0.38591	0	0	0	0	0	0	0.10463	0.10385	0.01496	0.01732	0	0	0.01885	0	0
Healthy	0.06068	0.0145	0	0	0	0	0	0	0	0	0	0.20565	0.02035	0.0307	0.11523	1.69865	0	0	0.0119	0.01744
Healthy	0	0.09398	0	0.14853	0	0	0	0	0	0	40.7712	1.15745	0	0.4297	0.06899	0	0.14853	0.2649	0	0
Healthy	0	0	0	0.0105	0	0.03503	0	0	0.00493	0	0	1.9006	0	0	0	0	0.0105	0	0.10591	0
D065626	25.3957	1.27482	0.05181	0.00574	0.00393	0.25868	0.06441	0.00532	0.05518	0.04135	0.0198	0.01381	0.05315	0	0.05425	0	0.00574	0.05467	0	0
Healthy	0.30785	0.1806	0	0.41085	0	0	0.00966	0	0	0	0	0.79531	0.74758	1.17125	0.40568	0.18714	0.41085	0.02047	0	0.01154
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.43259	0.75438	0.00772	1.22942	0.03074	0.06543	0.00847	0	0.01169	0.04896	0	2.63008	0.0329	0.55095	0.17718	0	1.22942	1.28572	0	0
Healthy	0	0.02867	0.00223	1.35794	0	0	0.00813	0	0	0	7.03722	3.74525	0.35227	0.72048	0.55695	0	1.35794	0.8972	0.13296	0
Healthy	0	0.24015	0	0.02145	0	0	0	0	0	0	0	0.06636	0	0	0.08821	0	0.02145	0	2.88551	0.2742
Healthy	1.2714	0.70727	0	0.04055	0.18089	0	0	0	0	0	0	0.08918	0.94133	0.09122	0.09002	0	0.04055	0	0.07519	0
Healthy	0	18.30827	0.4471	0.57236	0	0	0	0	0.00838	0.0724	0	1.11013	0.14473	8.22143	1.39456	0	0.57236	0.42149	0	0
Healthy	0.22363	0.38417	0.0569	0.10819	0.03699	0	0.00806	0.00314	0	0	3.60896	0.06859	0.1164	0.16922	0.12228	0	0.10819	0.41065	0.0037	0.28057
Healthy	0.54344	0.26034	0.01139	0	0.38666	0	0	0	0	0	0	0.02773	0.117	0.00271	0.01336	0	0	0.01028	0	0
Healthy	0.00288	2.36562	0	1.2793	0.01249	0	0.00622	0	0	0.00428	0	0.1696	1.27316	0.75976	0.92264	0	1.2793	0.29271	0.05783	0
Healthy	0	0	0	0	0	0	0	0	0	0	7.78635	0	0.38006	0	0	0	0	0	0	0
Healthy	0.08287	0.18192	0.01702	0.28451	0.01005	0	0.0095	0	0	0	0	0.21551	0.16166	0.22089	0.16675	0	0.28451	0.10158	0.12138	0.04327
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30326	0	0	0	0	0	0
Healthy	0	1.34408	0	0.28504	0.18616	0	0	0	0	0	16.6159	1.22672	1.07944	0.8447	0.88979	0.09824	0.28504	0.26442	0.10072	5.0989
Healthy	54.4802	0.22569	0	0	0	0	0	0.01835	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	24.8113	0	6.24206	0.13942	0	0	0	0	0	0	0	0.29296	0.40157	0.19646	0.11474	0	0.13942	0.00878	0	0
Healthy	0.09042	0.26525	0	0.00704	0.28775	0	0	0	0	0	0	0.0334	0.06527	0.0158	0.02625	0	0.00704	0	0.09308	0
Healthy	0.8212	0.00194	0	0.00166	0	0	0	0	0	0	64.1122	0	0.05417	0.05864	0.06149	0	0.00166	0.01141	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	68.0827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.23345	0	0	0	0	0	0	0	0.0582	0.57578	0.26223	0.12229	0	0.23345	0.0202	0	0
Healthy	0.39554	0	0	0.28537	0	0	0	0	0	0	1.27363	1.34794	1.69612	0.38815	0.32722	0	0.28537	0.12592	0.10564	0
Healthy	2.61064	21.32706	0	1.01327	0.01705	0	0	0.01493	0	0	8.34493	0.05198	0.70995	1.41827	0.5178	0.01283	1.01327	0.00895	0	0.24855
Healthy	0.39886	0.18977	0	0.31404	0.02561	0	0	0	0	0	0	0.31911	0.18932	0.84811	0.23108	0.29273	0.31404	0.1209	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.00569	0	0.04392	0	0	0	0	0	0	0
Healthy	0	0	1.80106	0.06771	0.49116	0	0.27999	0	0	0	0	0.19257	0.07397	0	0.26753	0	0.06771	0	0	0
Healthy	0	0.08121	0	0	0	0	0	0	0	0	0	0.24837	0.12283	0.83096	0.32436	0	0	0.74714	2.4447	0
Healthy	0.02381	0.16781	0.00111	0.21378	0.00463	0	0.00593	0	0.03095	0	0.02686	0.49127	0.18009	0.54504	0.36115	0	0.21378	0.35772	0.03981	0
Healthy	1.26907	0	0.32144	0	0	0	0	0	0	0	0	0.37034	0.02169	0	0	0	0	0	0	0
Healthy	0	0.07118	0	0.13161	0.03955	0	0	0	0	0	0.00924	1.11791	0.37359	0.19502	0.15086	0	0.13161	0.11456	0.28895	0.03772
Healthy	0.05527	0.10194	0	0.24642	0	0	0	0	0	0	0	1.50175	0.33464	0	0.23836	0.16773	0.24642	0	0.05135	0
Healthy	0.70112	0.04162	0	0.01832	0	0	0	0	0	0	0.03458	0.1118	0.05061	0.01131	0.0622	0	0.01832	0	0	0.17966
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.1245	0.03212	0.02243	0.00322	0.7049	0	0	0	0.02894
Healthy	0.02904	0	0	0.00161	0	0	0	0	0	0	0	0.19349	0.0138	0.03897	0.0313	0	0.00161	0	0.03386	0
Healthy	0	0	0	0.36595	0	0	0.01131	0	0	0	16.9553	0.57973	0.39965	0.31401	0.2314	0	0.36595	0.00538	0	0
Healthy	0.28921	0	0	0.31194	0	0	0	0	0	0	0	0.35656	0.93956	0.72386	0.27396	0.88666	0.31194	0	0	0.00715
Healthy	0	0	1.82821	0.08659	0.48821	0	0.31466	0	0	0	0	0.06643	0.04887	0	0.25446	0	0.08659	0	0	0
Healthy	0.08323	0.34771	0	0.102	0.52567	0	0.00194	0	0	0	0	0.02334	0.01226	0.16294	0.33739	0	0.102	0.02653	0	0.01251
Healthy	0.92251	4.03716	0	0.65282	0	0.04234	0	0	0	0.00084	0	0.04365	0.24568	1.43599	1.64149	0.4505	0.65282	0.28966	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.05606	0.56179	0	0.02474	0	0	0	0	0
Healthy	0.00597	0.43111	0.11466	0.93762	0.05766	0	0.00366	0	0.04169	0.05917	0	1.28709	1.32018	0.63096	0.45723	0	0.93762	0.21141	0.58707	0
Healthy	13.544	0	0	0.18297	0	0	0.21155	0	0	0	10.1307	0.6326	0.07185	0.39313	0.39675	0	0.18297	0	0	0
Healthy	0.11138	0.07244	0	0.14352	2.42991	0	0	0	0.00118	0	52.57972	0.92579	0.06514	0.20239	0.11668	0	0.14352	0.01396	0.17473	0.08721
Healthy	0	0.0121	0	0.00369	0	0	0	0	0	0	0	0.08576	0.11673	0	0.0462	4.00086	0.00369	0	0.02447	0.09659
Healthy	0	0	0.04456	0.14468	0	0	0	0	0	0	0	2.71728	0.14604	0.02292	0.34421	0	0.14468	0.92787	0	0.03032
Healthy	0	0.1849	0	0.09617	0.02186	0	0	0.00148	0	0	13.4412	0.64818	0.37099	0.20391	0.20214	0.48381	0.09617	0.02718	1.01397	0
Healthy	4.34724	0.37447	0	1.98426	0	0.35072	0	0	0	0	0.25957	1.7515	2.47066	2.32936	3.18766	0	1.98426	1.13843	0	0
Healthy	0	0.08617	0	0	0	0	0	0	0	0	64.0059	0.9266	0	0	0.27544	0	0	0	0	0
Healthy	1.47018	0.06337	1.19456	0	0	0	0.00651	0.00187	0	0	0	0.00172	0.54515	0	0.00044	0	0	0	0	0
Healthy	0.03694	0.00098	0.40571	0	0	0	0.15541	0	0	0.06635	0	0.45524	0.58827	0.07542	0	0	0	0.00721	0.00362	0
Healthy	0.2876	0.33876	0	0.87761	0	0	0	0	0	0	0	4.76707	0	0.36857	0.16602	0	0.87761	0.81442	0	0
Healthy	0	0	0.007	0.06886	0.48612	0	0.24047	0	0	0	0	0.47439	0.09668	0	0.18765	0	0.06886	0	0	0
Healthy	0	0.48478	0	0	0	0	0	0	0	0	0	0.55055	0	0	0.03616	0	0	0	0	0
Healthy	0	1.24914	0.63939	0.46385	0	0	0	0	0	0	0	1.52659	2.0215	3.27491	0	0	0.46385	0.15254	0	0
Healthy	0	0.01917	0	0.14217	0	0	0	0	0	0	0.75556	0.7453	0.61488	0.56465	0.48439	0	0.14217	0.41161	0.54752	0
Healthy	0.00239	2.25128	0.00365	0.56249	0.10133	0.16353	0.00213	0.00366	0	0	0	1.16049	0.34602	0.3381	0.50544	0.36524	0.56249	0.23918	0.09136	0
Healthy	5.34141	0	0	0.0017	0	0	0.003	0	0	0	0.29712	0.01464	0.78203	0	0.14177	0	0.0017	0.002	0	0.00192
Healthy	0	0	0	0.16054	0	0	0	0	0	0	0	1.76538	0.21891	1.0341	0.43894	0	0.16054	0.01201	0	0
Healthy	10.9585	0.48892	0	0	0	0	0	0.01146	0	0	0	0	0	0	0	0	0	0.0717	0	0
Healthy	0.20066	0.0723	0.0722	0.21324	0.01804	0	0.0621	0	0	0	0	0.09564	0.39512	0.31567	0.59777	0	0.21324	0.24419	0.21234	0
Healthy	0	0.14553	0	0.95177	0	0	0.0029	0	0	0	0.13032	2.41178	1.30319	0	0.19554	0	0.95177	0.21979	0.30643	0
Healthy	0.90366	0.20006	0.35513	0	0	0	0	0	0	0	0	4.28731	2.6543	2.01348	2.6573	0	0	0.10655	0	0
Healthy	2.53982	0	0	0	0	0	0	0	0	0	0	0.03858	1.89777	0	0	0	0	0	0	0
Healthy	0.01133	0.01394	0.01181	0.00609	0.06276	0	0	0	0.01656	0	0	0.30867	0.15486	0.06616	0.07083	0	0.00609	0	0	0
Healthy	0.73654	0.05416	0	0.01971	0	0	0.00255	0	0	0	0.03927	0.03376	0.04442	0.01818	0.03231	0	0.01971	0	0	0.15271
Healthy	0.01777	0.15939	0	0.10073	0	0	0	0	0	0	0	0.17556	0.49708	0.28445	0.27273	0	0.10073	0.32889	0.07617	0
Healthy	0	0.05303	0.00321	0.10031	0	0	0	0	0	0	0	0.90989	0.1611	0.45556	0.31837	0	0.10031	0.00271	0	0
Healthy	0.80965	1.58204	7.61221	0	0	0	0.06649	0.00849	0	0	0.02466	0.59217	0.41217	0	0.00203	0	0	0.03975	2.11598	0
Healthy	0.5566	0.05218	0	0.01276	0	0	0	0	0	0	0	0.13324	0.03837	0	0.03572	0	0.01276	0	0.08967	0
Healthy	0.11657	0	0	0	0	0	0	0	0	0	0	0.07041	0.01547	0	0.04168	0	0	0	0	0
Healthy	0	0.21593	0	0.01445	0.03574	0.02839	0	0	0	0	0	1.49299	0.03666	0.37857	0.0908	0	0.01445	0.13756	1.63962	0.3855
Healthy	0	0.37288	0	0	0	0	0	0.14121	0	0	0	0.00761	0.02052	0	0	0	0	0	0	0
Healthy	15.5594	0	0	0	0	0	0	0	0	0	0	0.00656	0	0	0	0	0	0	0	0
Healthy	0.02114	0.10604	0.00049	0.49591	0.00734	0.00112	0	0	0.02313	0.00995	0	1.3312	1.23268	0.58515	0.29456	0	0.49591	0.07557	0	0
Healthy	0	12.49222	0.00034	0	0	0	0	0.00864	0	0	0	0.01652	0	0	0	0	0	0	0.00218	0
Healthy	0.47574	0.78866	0.00512	1.2331	0.03828	0.06248	0.00934	0	0.01051	0.0589	0	2.63085	0.03436	0.50781	0.17475	0	1.2331	1.27083	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.06165	0.22505	0	0.01676	3.05443	0	0	0.02725	0.07592
Healthy	0	0	0.04325	0.13404	0	0	0	0	0	0	0	2.63541	0.13439	0.03486	0.3489	0	0.13404	0.8149	0	0.05468
Healthy	0.06341	6.70033	0.01073	0.31921	0	0	0.04134	0	0.00093	0.01133	0.48429	0.00231	0.51148	2.63926	2.44988	0	0.31921	0.182	0.06735	0
Healthy	0.00532	0.29443	0	0.22954	0.01429	0.00235	0	0	0.09063	0	0	0.39255	0.118	0.76519	0.29312	0	0.22954	0.08184	0.23915	0
Healthy	0	5.53722	0.78748	0.4514	0	0	0	0	0	0	0	2.79899	0.84429	0.56616	3.68226	1.27599	0.4514	0.36914	0	0
Healthy	0	0.19097	0	0.45996	0.02607	0	0	0	0	0	18.77959	0.69005	0.20865	0.18196	0.18425	0.34593	0.45996	0.36483	0.02978	0.00522
Healthy	0	0	0	0	0	0	0	0	0	0	0	48.6163	0	0	0	0	0	0	0	0
Healthy	11.0443	0.00878	0	0	0.02503	0	0.10469	0	0.16459	0.01499	0	0.00708	0.0862	0	0.15625	0	0	0	0	0
Healthy	0.02429	0.27224	0.12409	0.4587	0.01096	0.00335	0.21905	0.00321	0	0.00142	7.8765	0.00185	4.31906	1.27661	0.22738	0.15858	0.4587	0.10843	1.12149	0
Healthy	0.25957	0.05502	0.44291	0.10964	0	0	0.00192	0	0	0	0.00467	0.01995	0.20471	0.07071	0.08164	0	0.10964	0.0912	0.03656	0
Healthy	0.19364	0.01308	0	0.03271	0	0	0	0	0	0	0	0.27906	0.04198	0	0.0333	8.35497	0.03271	0.00353	0.21204	0
Healthy	0.04764	0	0.31613	0	0	0	0.02013	0	0	0	0	0.01144	0.14131	0	0.02296	0	0	0	0	0
Healthy	0	0.75977	0	0	0	0	0	0	0	0	0	5.68451	0	0	0.83605	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.64972	0.20145	0	0.12059	0	0.01041	0.02485	0	0	0	0	0.02537	0.70327	0.66924	2.8669	0	0.12059	0.03318	0	0
Healthy	0	0	1.66842	0.08232	0.46822	0	0.27504	0	0	0	0	0.18027	0.11845	0	0.13498	0	0.08232	0	0	0
Healthy	0.08873	0	0.63178	0.01615	0.15739	0	0.03612	0	0	0	0	0.23749	0.01327	0	0.00239	0	0.01615	0	0	0
Healthy	0.54018	0.21295	0	0.45931	0.01134	0	0.00495	0.00165	0	0	0	1.22573	1.23168	0.36717	0.35224	0.22385	0.45931	0.07877	0.00153	0.35748
Healthy	0.14596	0.24108	0	0.60402	0	0	0.03193	0	0	0	2.01029	0.96855	1.38003	1.1733	1.25094	0	0.60402	0.14752	0	0
Healthy	0	0	0	0.00347	0	0	0	0	0.00407	0	0	0.47222	0	0	0	0	0.00347	0	0	0
Healthy	0	0	0	0.01066	0	0	0	0	0	0	0	0.16438	0.06	0.15532	0.60207	0	0.01066	0.26645	0	0
Healthy	0.01875	0	0	0.06765	0.01549	0	0	0	0.00972	0	0	1.59078	0	0	0	0	0.06765	0	0	0
Healthy	0.0348	0.0245	0	0.0196	0	0	0	0	0	0	0	0.05475	0.09623	0	0.0582	4.10978	0.0196	0	0.07648	0.09372
Healthy	0	0	0	0.04183	0	0	0	0	0	0	0	0.08058	0.12129	0.27421	0.50545	0	0.04183	0.42323	0	0
Healthy	0.10318	0.25532	0	0.00444	0.28139	0	0	0	0	0	0	0.39809	0.0851	0.01431	0.03849	0	0.00444	0	0.12082	0
Healthy	0.00614	0.45752	0.01146	0.87028	0	0	0.01114	0	0	0.00128	0	0.00084	2.39342	1.53153	0.21409	0	0.87028	1.03435	0	0
