group	Phytobacter	Streptococcus	Ruminococcus_B	Dorea	Clostridium_A	Lactococcus	Longicatena	Rothia	Gordonibacter	Eggerthella	Prevotella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Blautia_A	Paraprevotella	Dorea	Anaerostipes	Haemophilus_D	Ruminococcus_C
Healthy	0.00336	0.08606	0.01194	0.46545	0.03382	0.00232	0.00364	0	0.01241	0	0	0.03239	1.12558	1.67721	0.25643	0.77448	0.46545	0.09444	0.00195	0
Healthy	0.07286	0	0	0	0	0	0	0	0	0	0	0.19409	0.01573	0.06374	0.03551	0	0	0	0.023	0
Healthy	16.2661	1.2222	0	0	0.00014	0	0	0.33442	0	0	0	0.18846	0	0	0	0	0	0	0.19266	0
Healthy	0	0.18972	0	0.06101	0	0	0	0	0	0	0	0.32606	0.96456	0.56451	0.20371	0	0.06101	0.06974	0	0
Healthy	0.37736	0.23259	0.02053	0	0.35951	0	0	0	0	0	0	0.02773	0.09105	0.01863	0.01794	0	0	0.01274	0	0
Healthy	0	0.14253	0	0	0.00424	0	0.00061	0	0	0	0	0.35646	0.14689	0.02058	0.12538	0	0	0.03177	0	0
Healthy	6.343	0.21411	0	0	0.05176	0	0	0	0	0	7.42671	1.83505	1.88463	0	0	0.44476	0	0	0	0
Healthy	0	0	0	0	0.20168	0	0	0	0	0	0	2.18411	1.06288	0	0	0	0	0	0	0
Healthy	0	0	0.07063	0.45839	0	0	0	0	0	0	0	1.8025	0.60527	0.92226	0.64062	0.067	0.45839	0.11062	0	0.03758
Healthy	16.4109	0	5.39169	0.06578	0	0	0	0	0	0	0	0.06129	0.47844	0.31703	0.06819	0	0.06578	0	0	0
Healthy	0.45378	0.06243	0	0	0.15275	0	0	0	0	0	0	1.23277	2.53167	0	0	0	0	0	0	0
Healthy	0	0.11515	0	0.26968	0	0	0	0	0	0	0	0.40197	0.22579	0.44587	0.53306	0	0.26968	0.01693	0	0
Healthy	0.02833	0	0.00483	0	0	0	0	0	0	0	0	0.23742	0.01556	0.0557	0.01221	0	0	0	0.01062	0
Healthy	1.75061	15.69812	0	0.67153	0	0	0	0	0	0	0	0.20105	1.87818	1.94333	4.10101	0	0.67153	0	0	0
Healthy	0.14333	0.33687	0.01648	0.33065	0	0	0	0.00149	0	0	0.0022	0.05105	0.90362	0.56239	0.32815	0.48709	0.33065	0.09467	0.03449	0
Healthy	0	0	0.00686	0.09228	0.6039	0	0.24099	0	0	0	0	0.08193	0.09816	0	0.17257	0	0.09228	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.20381	0.02291	0	0	0	0	0	0.01729	0.33756
Healthy	12.8542	0	0	0	0	0	0	0	0	0	0	0.14231	0.41483	0.0884	0.08257	0	0	0	0	0
Healthy	0.00825	0.0109	0.00091	0.03044	0.05467	0	0.0032	0	0.0036	0	0.15669	0.20969	0.45183	0.04157	0.26395	0	0.03044	0.06775	0	0
Healthy	0.00409	0.25644	0.00557	0	0	0	0.03527	0.02165	0	0.00368	8.48422	0.01807	0.27756	0.91156	0.00032	0	0	2.17641	2.02288	0
Healthy	0.02165	0.54071	0.14116	0.55837	0.98499	0	0.02503	0	0.01863	0.00018	0	1.62393	0.61162	1.94611	0.12913	0	0.55837	0.34365	0.19393	0
Healthy	0	2.24552	0.11141	0.678	0.09277	0.03909	0	0	0.13544	0.00095	0	0.35965	0.24044	1.40044	0.35495	0	0.678	0.38652	0	0
Healthy	0	0	0	0.08256	0	0	0	0	0	0	0	0.17201	0.17365	0.26674	1.27903	0	0.08256	0.22003	0	0
Healthy	0	0.19801	0	0.04752	0	0	0	0	0	0	0	0.39585	0	0	0.10729	0	0.04752	0	2.77557	0.25997
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.1563	0	0	0	0	0	0	0.12423	0
Healthy	1.37665	0.06404	0.05311	0.2418	0	0	0	0	0	0.00026	0.06453	0.76527	0.5447	0.04396	0.07178	0	0.2418	0.24457	0	0
Healthy	0.04487	0	0	0.03418	0.05067	0	0	0	0	0	0	1.42142	0	0	0	0	0.03418	0	0	0
D065626	7.75826	3.76244	0	0.17304	0	0	0	0.00711	0	0	0.01298	0.22089	0.02986	0.00644	0.03955	0	0.17304	0.06486	0.00365	0
Healthy	0.36631	0.00291	0	0.06314	0	0	0	0	0	0	0	0.22834	0.01641	0	0.03836	8.79663	0.06314	0	0.23479	0
Healthy	2.12948	0.07392	0.05193	1.07415	0.02277	1.39724	0.0072	0.00327	0.0618	0.00056	0.01157	0.76747	1.90813	3.49856	0.5729	0	1.07415	0.13271	0	0
Healthy	1.06216	0	0.01119	0.00456	0.03647	0	0.00279	0	0.01047	0	0	0.00976	0.28013	0.0105	0.02584	0	0.00456	0	0	0
Healthy	0	0.02683	0.05435	0.14329	0	0	0	0	0	0	2.41062	0.86068	0.19726	0.29161	0.2837	0.01433	0.14329	0.10568	0.01462	0.00464
Healthy	0	0	0.0266	3.79291	0	0	0	0	0	0	2.1963	5.6824	0.85549	2.37613	4.65973	0	3.79291	0.32591	0	0.40462
Healthy	0.42965	0.21585	0.01424	0	0.37289	0	0	0	0	0	0	0.06426	0.13561	0.00425	0.01228	0	0	0.01443	0	0
Healthy	0	0.04828	0	0	0	0	0	0	0	0	0	0.17702	0.03017	0.87265	0.33867	0	0	0.30038	0.04188	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.14695	0.3291	0	0.06136	0	0	0	0.07776	0
Healthy	0	0.00451	0	0	0	0	0	0	0	0	0	0.17457	0.40561	0	0.08017	0	0	0	0.06544	0
Healthy	0.04705	0	0.00935	0.17733	0	0	0	0	0	0	0	0.22845	0.05507	0.08798	0.27957	0	0.17733	0.04889	0.02787	0.03996
Healthy	0	0	0	0.07619	0	0	0	0	0	0	0	0.00558	0	0.02841	0.08851	0	0.07619	0	0	0
Healthy	0	0.5783	0	0	0	0	0	0	0	0	0	0.4621	0	0	0.04586	0	0	0	0	0
Healthy	0.04178	0	0	0	0.9764	0	0	0	0	0	0	0.08284	0.65934	0	0	0	0	0	0	0
Healthy	78.7042	0.10271	0.07356	0.02334	0.05402	0	0.00209	0	0.00802	0	0	0.67689	0.04138	0.46926	0.11858	0	0.02334	0.0846	0	0
Healthy	0.36158	0.01597	0.09022	0	0	0	0.00545	0	0	0.01042	0	0.00667	0.09799	0.12008	0.0048	0	0	1.2924	0.04462	0
Healthy	2.27843	0	0.00665	0	0.07771	0	0	0	0	0	0	0.03479	1.01141	0	0	0	0	0	0.62055	0.24849
Healthy	0	0	0	0.9074	0	0.78156	0	0	0	0	0	1.66588	2.16324	0.57718	0.72437	0	0.9074	0	0	0
Healthy	0	0.60443	0.09717	1.51285	0.12409	0	0.5723	0	0.01837	0	0	0.01181	0.09151	0.60249	0.90537	0	1.51285	3.30523	0	0
Healthy	0	0	0	0.68194	0	0	0	0	0	0	46.7432	1.953	0.79534	0.79118	0.66445	0	0.68194	0.07734	0	0.01677
Healthy	0	0.00195	0	0	0	0	0	0	0	0	6.74233	0.09344	2.08235	0.9126	0.29839	1.42518	0	0.29749	0.06709	0
Healthy	0.29883	0	0	0.08105	0.37595	0.03976	0	0	0	0	10.3598	0.03854	0.50451	0.13232	0.1194	0.22733	0.08105	0	0.12678	0
Healthy	1.00992	0.04975	0	0.01672	0	0	0.01167	0	0	0	0.03398	0.01505	0.06154	0.00178	0.04908	0	0.01672	0	0	0.13386
Healthy	0.1118	0.29215	0	0.07593	0.5397	0	0	0	0	0	0	0.0062	0	0.15205	0.32589	0	0.07593	0	0	0
Healthy	0	0.22287	0.13052	0.02256	0.68543	0	0.52614	0	0.00992	0.0011	0	0.10502	10.72712	4.4287	2.75113	0	0.02256	0.18609	0	0
Healthy	0	0.02321	0	0.04307	0	0	0	0	0	0	0	0.74578	0.39147	0	0.23815	0	0.04307	0	0	0
Healthy	0.61563	0	0	0.13667	0	0	0	0	0	0	1.16567	0.36996	1.36094	0.31153	0.38828	0	0.13667	0.07293	0.01449	0
Healthy	83.838	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
