g	Blautia_A	Anaerostipes	Dorea	Intestinibacter	Eubacterium_G	Coprococcus_A	Haemophilus_D	Longicatena	Eggerthella	Rothia
Healthy	-0.483914356975709	-1.02374175074295	-0.480618338590886	-1.32385531964379	-5	-1.4007721372262	-1.46218090492673	-5	-5	-2.82390874094432
Healthy	-0.763009535346852	-5	-1.03484535401307	-5	-5	-5	-5	-0.617982957425132	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-1.7619538968712	-5	-5	-5
Healthy	-1.08312512146132	-5	-5	-5	-1.16589734428721	-5	-5	-5	-5	-5
Healthy	-0.578461880309915	-1.16902660267735	-1.51641270303111	-5	-1.26209207662536	-2.65757731917779	-5	-2.49349496759513	-5	-5
Healthy	-3.48148606012211	0.337742708159124	-5	-1.00291956452827	-5	-5	0.305972267500483	-1.45247142354022	-2.43297363384094	-1.6643415477107
Healthy	-0.888939217930179	-0.463871014241079	-0.253070145623419	-1.04186632432376	-0.202268628312511	-5	-0.712332608725865	-1.60136567546161	-3.72124639904717	-5
Healthy	-0.449820584291501	-0.41281679326225	-0.168763900656843	-5	0.274541152851329	-0.936141451146928	-5	-5	-3.01772876696043	-5
Healthy	0.106884126580011	-0.657498363722272	-1.08317771540409	-0.912999879204009	-5	-0.834280970199168	-5	-5	-5	-5
Healthy	-0.969400278034049	-5	-1.32303218570524	-5	-5	-5	0.443353749433271	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-0.905738557279498	-5	-5	-5
Healthy	-1.1439360466669	-0.611579059338831	-0.616525742949949	-1.14929251462546	-0.541045042978135	-0.966495827054825	-5	-5	-3.56863623584101	-5
Healthy	-5	-5	-1.46610089920341	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.41600820080168	-5	-1.19962664510865	-5	-5	-5	-0.629301907424423	-5	-5	-5
Healthy	-0.241913597183244	-0.877063626983696	0.0310689759088528	-0.864930986176552	-0.27342763274154	-5	-5	-2.14206473528057	-3.24412514432751	-2.48412615628832
Healthy	-1.58753945257004	-5	-2.34008379993015	-5	-1.05858795962645	-2.1681302257195	-5	-2.55284196865778	-5	-5
Healthy	-0.54712535624405	-0.975966102099095	-0.843753809602655	-5	-0.435109154823617	-0.952374722418216	-1.83475567387469	-5	-5	-5
Healthy	0.668361684991407	-0.486888988343911	0.578973682690939	-0.569086848995397	-1.1193007107813	-0.236939065468551	-5	-5	-5	-5
Healthy	-1.91044811711355	-1.84043280676638	-5	-5	-1.32148162095989	-5	-5	-5	-5	-5
Healthy	-0.470210448900383	-0.522314529114962	-5	-0.584525831890764	-5	-1.01488802046065	-1.37788963963878	-5	-5	-5
Healthy	-1.21204387671607	-5	-5	-5	-5	-5	-1.10918790104488	-5	-5	-5
Healthy	-1.0959339480855	-5	-5	-5	-5	-5	-1.18409034911323	-5	-5	-5
Healthy	-0.553493899451059	-1.31069114087638	-0.75119329587128	-5	-1.10513034325475	-1.49403648198187	-1.55470723057403	-5	-5	-5
Healthy	-1.05295859474478	-5	-1.1180450286604	-5	-5	-1.97551433230083	-5	-5	-5	-5
Healthy	-1.33847125986802	-5	-5	-5	-1.68973163336755	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.925951930937367	-1.07257830494958	-1.63171311509787	-5	-5	-5	-5	-2.67778070526608	-5	-5
Healthy	-2.31785492362617	0.111400309704642	-5	-0.59665638086955	-0.117236466634941	-5	-1.35037311315947	-2.26280735729526	-1.98171569157347	-5
