s	Bifidobacterium_pseudocatenulatum	Streptococcus_sp001556435	Streptococcus_parasanguinis_D	Enterocloster_asparagiformis	Enterocloster_citroniae	Gordonibacter_pamelaeae	Schaedlerella_glycyrrhizinilyticum	Rothia_sp001808955	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Bacteroides_uniformis	Butyrivibrio_A_crossotus	Dialister_invisus	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Phascolarctobacterium_faecium	Mediterraneibacter_torques	Bifidobacterium_sp002742445	Flavonifractor_plautii	Desulfovibrio_sp900556755
Healthy	-5	-5	-5	-5	-5	-2.67366413907125	-5	-5	-5	-5	0.882918809883329	-5	-5	-0.998655769588399	-5	-5	-5	-0.853778911188119	-5	-0.815081546447538	-5
Healthy	-5	-5	-1.37695756575362	-5	-5	-5	-1.47069800221202	-5	-0.843390281834301	-5	0.659996969431711	-5	0.498321583350671	-5	-5	-5	-5	-1.67757394759405	-5	-2.12784372725171	-5
Healthy	-5	-1.34361428094131	-1.31776464309744	-2.26760624017703	-5	-3.69897000433602	-2.67571754470231	-3.39794000867204	-1.63789468070623	-2.48945498979339	-0.0687150678652719	-2.63638802010786	-5	0.720478495926727	-0.194444773478747	-5	0.427232859115983	-1.4330913447732	-5	-1.0841782123796	-5
Healthy	-0.215575294413572	-0.74816718137136	-5	-5	-5	-5	-5	-5	-5	-5	0.108341730858209	-5	-5	-5	-5	-5	-5	-0.92981431362162	-0.377734155008477	-5	-5
Healthy	-1.1390035632428	-2.57348873863542	-5	-5	-5	-1.77159964129699	-5	-5	-5	-5	0.916110061773521	-5	-5	-0.11172500550642	-0.743787541434838	-5	-5	-2.59859945921846	-1.52636707312616	-1.26897562018431	-5
D037841	0.201088365053655	-0.217577544760578	-1.05958313531833	-2.01908806222316	-2.25336580106242	-1.23010596418783	-1.26897562018431	-2.11350927482752	-2.06098022355133	-5	-0.0388637826127747	-5	-5	-5	-5	-5	-5	-1.40837896178668	-5	-1.89859664944467	-5
Healthy	-0.400892366229499	-5	-5	-5	-5	-1.29277058067271	-5	-5	-5	-5	1.41419108083844	-5	-5	0.463013062265057	-1.09044397075882	-5	-5	-1.69143558643876	-5	-0.837704497227248	-5
Healthy	-0.9684299678589	-0.885355661097721	-5	-5	-5	-5	-5	-5	-5	-5	0.546924970411396	-5	-5	-2.1073489661227	-5	0.63423738469509	-5	-1.53745227119734	-5	-5	-1.09642170633695
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-2.97881070093006	-1.28954413566458	-5	-5	-5	-5	-5	-5	0.0556000096481284	-0.88585625032812	-5	-5
Healthy	-5	-1.75300930075845	-5	-5	-5	-5	-5	-5	-5	-5	0.358247121963409	-5	-0.413401444321602	0.240314566027667	-0.726790316599669	0.158868873658961	-5	-0.806513640290257	-5	-0.914602377983031	-5
Healthy	-0.624629061970941	-1.81930079870397	-5	-5	-5	-5	-5	-5	-5	-5	0.429118943195377	-5	-5	-0.300188280568997	-1.15187248943213	0.326616422851385	0.310272618148416	-0.181675114367555	-5	-1.56607023439154	-1.25932157477255
Healthy	-5	-0.166311155163587	-0.452927130112678	-5	-5	-5	-5	-5	-5	-5	0.565282159538726	-5	-5	0.598310001050247	-5	-5	-5	-0.520511067883818	-5	-1.09130056764778	-5
Healthy	-1.32642620357695	-2.03715731879876	-2.13018179202067	-1.85667287000795	-2.06854212931099	-5	-2.50307035192678	-5	-5	-5	0.57078687014639	-5	1.01102501303179	-0.571168948613432	-5	-5	-5	-0.639501255531999	-5	-0.676912983734854	-5
Healthy	-5	-1.65384269776799	-1.89483057200067	-1.61816320000166	-1.6085355881609	-1.90587840415944	-2.36151074304536	-5	-5	-5	0.660705195662968	-5	-5	-0.167900027514095	-0.276363751548955	-5	-5	-1.48945498979339	-5	-1.68529030704483	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.52140760274517	-5	0.795363420938209	-0.762230125698981	-5	-5	-5	-1.4427334711301	-5	-1.20971483596676	-5
Healthy	-2.10568393731556	-0.0681456479390079	-0.81559251458768	-5	-5	-5	-5	-0.475694771155077	-5	-1.56336036830734	0.326761752281461	-5	-5	-5	-5	1.03783709058621	-1.77211329538633	-0.7247577694441	-5	-5	-5
Healthy	-5	-1.27785987454258	-1.67530608613823	-5	-5	-5	-5	-5	-5	-5	0.663021160876662	-5	-5	-0.382527856027807	0.459439232218998	-5	-5	-2.10623823794206	-5	-0.538336430659125	-5
Healthy	-5	-5	-5	-1.31722335368557	-5	-5	-5	-5	-5	-5	1.05221707182916	-5	0.521718499145115	-5	-5	-5	-5	-1.55689354326273	-5	-2.06449273417529	-5
D037841	-0.422669079765245	-1.07314329105031	-5	-0.768555897082569	-1.03021146258506	-1.28567024025477	-0.935841627536882	-1.94846160948467	-1.6615435063954	-1.87063240427701	1.47061935491393	-5	-5	-5	-5	-5	-5	-2.97881070093006	-3.16115090926274	-2.50863830616573	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.0130939686192789	-0.296519465484654	-5	1.01590898332693	-5	-5	-5	-1.16832215080853	-5	-0.910200826963836	-5
Healthy	-5	-5	-5	-0.583176495233146	-5	-5	-5	-5	-5	-5	0.735842323775894	-5	-5	-2.30980391997149	-0.262688062010375	-5	0.00220927298801476	0.263650268720486	-5	-0.241943920245757	-0.292889908735527
Healthy	-5	-5	-5	-0.895615328712116	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.999088937868777	-5	0.339276495711335	-5	-1.17082492608291	-5
Healthy	-1.61475131759678	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.315344678779014	-5	-5	-5	1.19431477032722	-5	-5	-1.45829597671571	-5	-1.63059858630338	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.886425294062091	-5	-5	-5	-0.48537256758866	-5	-5	-1.21253952548158	-5	-5	-5
Healthy	-5	-5	-5	-0.789066464642378	-2.24949160514865	-5	-5	-5	-5	-5	1.49890175680026	-5	-5	-5	-5	-5	-5	0.0908855799932186	-5	-0.81253568470708	-5
Healthy	-5	-5	-0.938698343793955	-5	-5	-5	-5	-5	-5	-5	0.173171694527412	-5	0.628762773290026	0.249726529656176	0.506717392419689	-5	-5	-0.39579555414367	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.51293255074573	-5	0.80006033001252	-0.739260980089589	-5	-5	-5	-1.16659787076814	-5	-1.20922239866231	-5
Healthy	0.0704811750660189	1.00078579598304	0.354216038609021	-5	-5	-5	-5	-5	-5	-5	0.638506229051029	-5	0.379401614039029	-5	0.0200254863257827	-5	-5	-0.696674321781085	-0.248867225544401	-5	-5
Healthy	0.215521242580669	-0.631657320675776	-1.04387961360698	-5	-5	-5	-5	-2.82390874094432	-5	-2.06803388527183	0.537714600062506	-5	-5	-5	-5	0.947295961045249	0.335862919556807	-2.1505805862031	-2.2020403562628	-2.52287874528034	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.42985091338422	-5	0.802783300182877	-5	-5	-5	-5	-5	-5	-1.43226803745193	-5
Healthy	-5	-5	-5	-5	-2.30891850787703	-5	-5	-5	-5	-5	1.21337721940907	-5	-5	-5	-5	0.772783632470863	-5	-0.690753202746328	-5	-2.13371266091581	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.0191516000238053	-5	1.0643010907268	0.678224197418834	-0.21511893041391	-0.536495213897901	-5	-0.952102376485589	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-2.44249279809434	-5	-5	-5	-1.96217524941166	0.930282057987578	-5	-0.647335200348899	0.359076226059263	-1.70289634985074	0.140608591625051	-5	-1.11103465569966	-5	-1.49811950624494	-5
Healthy	-5	-0.699295847403876	-1.36542197714611	-1.97305837204097	-5	-5	-5	-1.6643415477107	-1.9434762759209	-2.67162039656126	-5	-5	-5	-5	-5	-2.45469288353418	-5	-1.74280157386066	-5	-2.68402965454308	-5
Healthy	-2.34008379993015	-1.13047493714277	-2.26360349772336	-2.06298389253519	-1.76472412331295	-1.72955409198204	-0.732101143942644	-5	-5	-5	0.537893359373848	-5	0.609324358441716	-5	-5	-5	-5	-1.82275216374438	-5	-1.26240983371428	-5
D037841	-0.87942606879415	-0.760500315968373	-0.697604126847433	-1.45247142354022	-2.20065945054642	-2.06854212931099	-5	-2.74714696902011	-2.62708799702989	-5	-0.0492506828432586	-5	-5	-5	-5	-5	-5	-1.26704363042438	-5	-1.93892467637021	-5
Healthy	-5	-0.558854952440304	-1.161087972594	-3.18708664335714	-1.49281902273976	-0.868220990630813	-1.33639329187548	-5	-2.49757288001557	-2.3767507096021	0.630983863435366	-5	-5	1.19216335480056	-5	-5	0.352346553933043	-0.444107860055416	-5	-1.98380264648756	-0.794038176940366
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.949987360515655	-5	-5	-0.645449804492118	-0.265648292705235	0.0660723575773765	-5	-0.764421056669872	-5	-0.85325198636936	-5
D037841	-5	-1.78330640083025	-2.30627305107635	-1.26480045157769	-1.68782264356022	-0.762456261857125	-0.611241812150895	-2.71444269099223	-2.92811799269387	-2.53461714855158	-0.560462051834586	-5	-5	-5	-5	-5	-5	-0.995936699602333	-5	-1.60572347323218	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.15164590880567	-5	0.650990004544447	-5	-5	-5	-5	-0.40245837967472	-5	-1.3347005005001	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.286459058149808	-5	-5	-5	-0.806013236914305	-5	-1.78489141894691	-5
Healthy	-5	-1.23515164280659	-2.23136189875239	-5	-1.71987710369769	-5	-2.30364361126667	-5	-5	-5	0.861417906342299	-5	-5	-5	-5	-5	-5	-1.57675412606319	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.233230345132159	-5	-5	-1.28869904008383	-5	-5	-5	-0.701518087486517	-5	-5	-0.615234533232372
Healthy	-5	-2.53461714855158	-5	-5	-5	-5	-5	-5	-5	-5	0.0738942314791951	-5	0.396140041792131	-5	-5	-5	-5	-1.33170728955178	-5	-5	-5
Healthy	0.557655149614817	-1.45767261722603	-1.45234834164003	-1.88941028970075	-1.60240756596188	-1.20894125640817	-1.40505526330492	-2.48412615628832	-5	-2.5003129173816	0.237581435680497	-5	-0.847558761941045	-1.25243283726237	-2.14508697769214	-5	-5	-1.28083450591079	-5	-1.49349496759513	-5
Healthy	-5	-5	-5	-2.13489602535887	-5	-1.97963871735229	-5	-5	-5	-5	1.12920345491545	-5	0.968602946685977	0.426883586500228	-5	-5	-5	-2.01010543628123	-5	-1.040243327009	-5
Healthy	-5	-1.68026950566978	-2.22402566887063	-5	-5	-5	-5	-5	-5	-5	-0.606565197437011	-5	-0.568845390947756	1.44188216398088	-1.22929523178422	0.269157891804425	-0.71545647704125	-0.772576104066336	-5	-1.77391588402418	-0.980053318321157
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.234788000457394	-5	-5	0.294706454624959	-5	-0.581019618754964	0.657468905744551	-5	-5	-5
Healthy	-5	-5	-5	-1.11345287660889	-5	-5	-5	-5	-5	-5	1.04552677548952	-5	0.52424289104247	-5	-5	-5	-5	-1.1919917000896	-5	-1.52128924448724	-5
Healthy	-5	-1.31614279459965	-5	-5	-5	-5	-5	-5	-5	-5	1.3416364888475	-5	0.150049945162385	-0.207832520357992	-5	-5	-5	-0.751953130641338	-5	-5	-5
Healthy	-5	-5	-5	-0.943705112923772	-5	-5	-5	-5	-5	-5	1.10307849371244	-5	-5	0.382900949898417	-5	0.755898474554684	-5	-1.37089634982286	-5	-0.805763251276171	-5
Healthy	-5	-5	-5	-0.944010416614309	-5	-5	-5	-5	-5	-5	1.17709794414435	-5	-5	0.520533313267188	-5	0.851036863233541	-5	-1.29149411904476	-5	-0.62397081827182	-5
Healthy	-1.3212995650017	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.779911637167357	-5	0.72824986361987	-5	-5	-5	-5	-2.40011692792631	-5	-2.40120949323688	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.28332902443986	1.15566118102972	-5	-5	-5	0.4135998098776	-5	-2.25258819211358	-5	-0.811605928738572	-0.258422985219577
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.0719265386097	-5	0.66482994114309	-0.7454760913143	-5	0.797514055918472	-5	-0.967220120808755	-5	-1.57823159879308	-5
D037841	-1.36511985923347	0.207171016451865	-0.355985078855785	-5	-2.87289520163519	-1.14272782643596	-2.30189945437661	-2.00348832784582	-5	-2.14327110961712	0.209203926856578	-5	-5	-5	-5	-0.0217007647317606	-5	-2.08565684288056	-5	-5	-5
Healthy	-5	-5	-5	-0.564187474954163	-5	-5	-5	-5	-5	-5	0.872420266857949	-5	-5	-0.0344314445398541	-5	-1.46243274284732	-5	-1.08170748724464	-5	-1.30172542332563	0.149659344142463
Healthy	-0.609082547502689	-5	-5	-5	-5	-2.09528445472132	-1.86934465097797	-5	-5	-5	-1.11719095860756	-5	-5	-5	-5	-5	-5	-0.420525090719613	-5	-1.57381417475549	-5
Healthy	-5	-1.95116991347165	-2.86646109162978	-1.39544996742874	-1.88605664769316	-5	-1.81958736716168	-5	-2.46218090492673	-5	1.39193512724077	-5	-5	-5	-5	-5	-5	-2.17522353752445	-5	-5	-5
Healthy	-5	-5	-5	-1.12285911021518	-1.94962024373854	-5	-5	-5	-5	-5	1.02525300922944	-5	0.705766241561525	-5	-5	0.768044332371872	-5	-1.45842075605342	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.110395797681096	0.759561335070181	-5	-0.205909483305532	-5	-5	0.147960609057186	-0.0487013459839108	-5	-5	-5
Healthy	-5	-0.419805161273748	-0.899905284985011	-5	-5	-1.73565449294991	-0.7588521375883	-5	-5	-5	0.209943735684952	-5	0.300127898364073	-5	-5	-5	-5	-1.92738252345476	0.285798016950149	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.448853120627996	-5	-5	-0.838033383635925	-5	-5	-5	-0.30473727712266	-5	-5	-5
Healthy	-5	-2.70774392864352	-5	-5	-5	-5	-5	-5	-5	-5	0.92336423626178	-5	-5	-0.1739900222089	-0.242004572723122	0.940499053038156	0.183338186289204	-1.03924390909823	-5	0.186306384269908	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.309741882333797	-0.734074252235689	-5	1.38201542072523	-0.819845440546652	-1.15094930943049	0.778374131016551	-1.41397561761302	-5	-5	-5
Healthy	-5	-5	-1.33292079453578	-5	-5	-5	-5	-5	-5	-2.76447155309245	1.32987178484157	-5	-1.44708854978349	-5	-5	-5	-5	-1.82217502813532	-5	-1.05472841849229	-0.394608750110711
Healthy	-5	-1.16178077809237	-0.651169627621518	-5	-5	-5	-5	-5	-5	-5	0.839861892064739	-5	-0.211103699644598	-5	-5	-5	-5	-2.20690839982342	-5	-0.822809919510391	-0.175958819434716
Healthy	-5	-0.92237777075548	-1.32744037223672	-1.1439360466669	-1.99610883376309	-2.00305075150462	-0.83221022084091	-5	-1.24964591123729	-5	0.447153378162128	-5	0.677345019721607	-5	-5	-5	-5	-0.978686634515305	-5	-1.4565528199183	-5
Healthy	-0.205295905500138	-1.63413778459744	-5	-5	-5	-5	-5	-5	-5	-5	1.40157129523721	-5	-5	0.2199458513682	-1.57823159879308	-5	-5	-0.127383444216781	-5	-1.0329671178413	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.375295162858697	-5	-5	-0.832712210099068	-0.299469343021408	-0.169206100295901	-5	-1.1007268126824	-5	-1.50626319772316	-5
