group	Enterobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Coriobacteriaceae	Veillonellaceae	Lactobacillaceae	Eggerthellaceae	Micrococcaceae		Lachnospiraceae	Rikenellaceae	Bifidobacteriaceae	Dialisteraceae	Coriobacteriaceae	Erysipelotrichaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae	Eggerthellaceae
Healthy	0.05728	0.01765	0	0	0.19788	0.03268	0	0.00917	0		6.7014	13.80833	0.50195	0.386	0.19788	0	0.02082	0	0	0.00917
Healthy	0.09665	0.56085	0.02074	0	0.08046	0	0	0.00649	0		21.81106	6.24841	0.25829	0	0.08046	0.02074	0	0	0	0.00649
Healthy	0.10061	1.04933	0.06243	0	0.33622	0.04899	0	0.04105	0		19.16726	2.55539	0.46911	0	0.33622	0.06243	0.05059	0	0.02658	0.04105
Healthy	0.00903	0.01657	0.79186	0	0.91269	0.02073	0	0.02361	0		9.33161	1.77545	5.86576	10.2571	0.91269	0.79186	0	0	0	0.02361
Healthy	0.0092	0.08838	0.00364	0	1.43581	0	0	0.28108	0		13.53386	6.22792	5.61783	0	1.43581	0.00364	0.00195	0	0.01345	0.28108
Healthy	0.07286	0	0.163	0	0.14288	0.23551	0	0	0		2.91449	8.66821	0.65786	6.24256	0.14288	0.163	0.023	0	0	0
Healthy	16.2661	1.2222	0	0	0.12	3.20071	0	0	0.33442		0.18846	0	53.32809	0	0.12	0	0.19266	0	0	0
Healthy	0	0.18972	0.79534	0.22036	0	0	0	0	0		13.06821	8.31905	0.99682	0	0	0.79534	0	0	0	0
Healthy	0.37736	0.23259	0.01149	0	0.15444	0.03427	0	0	0		1.11149	0	0	3.32443	0.15444	0.01149	0	0	0	0
Healthy	0	0.14253	0.00061	0	0.01631	0	0	0	0		8.53065	11.63986	0	0	0.01631	0.00061	0	0	0	0
Healthy	6.37382	0.21411	0.05876	0	0	0	0	0	0		4.60479	8.94078	0	0	0	0.05876	0	0	0	0
Healthy	0	0	0	0	0.102	0	0	0	0		3.30342	16.12624	0	0	0.102	0	0	0	0	0
Healthy	0	0	0	0	0.06941	0	0	0	0		24.13931	0.23838	0.09522	0.59117	0.06941	0	0	0	0	0
Healthy	16.4109	0	0.14265	0	0	0	0	0	0		12.86415	3.02671	0	0	0	0.14265	0	0	0.35363	0
Healthy	1.67377	0.06243	0.04	0	0	0	0	0	0		4.04901	1.50364	0.22191	0	0	0.04	0	0	0	0
Healthy	0	0.11515	0	0	0	0.875	0	0	0		58.92111	0	0	4.25365	0	0	0	0	0	0
Healthy	0.02833	0	0.14147	0	0.19064	0.22337	0	0	0		2.98722	8.44097	0.6206	6.31044	0.19064	0.14147	0.01062	0	0	0
Healthy	1.75061	15.69812	0	2.57172	2.82554	0	0	0	0		15.91284	1.61128	22.56278	2.39552	2.82554	0	0	0	0	0
Healthy	6.48387	0.33687	1.6957	0	1.73487	0.00473	0.13116	0	0.00149		15.08024	5.75588	5.05257	0	1.73487	1.6957	0.03449	0.13116	0.04743	0
Healthy	0	0	0.24099	0	0	0	0	0	0		2.94694	11.63891	0.38779	6.35013	0	0.24099	0	0	0	0
Healthy	0	0	0.09705	0	0.31594	0	0	0	0		3.31311	22.20962	0.49252	0	0.31594	0.09705	0.01729	0	0	0
Healthy	12.8542	0	0.2213	0	0	0	0	0	0		4.67955	5.79551	0	11.5958	0	0.2213	0	0	0	0
Healthy	0.00825	0.0109	0.0032	0	0.14616	0	0	0.06556	0		4.47133	20.6628	0	0.22524	0.14616	0.0032	0	0	0	0.06556
Healthy	0.00409	0.25644	0.03527	0.00715	0	0.01956	0	0.00368	0.02165		4.96469	6.05686	5.15639	0	0	0.03527	2.29054	0	0.09932	0.00368
Healthy	0.02165	0.54071	0.02503	0.06233	0	0.01217	0	0.20396	0		26.02253	5.4983	9.82654	4.06746	0	0.02503	0.19393	0	0.0908	0.20396
Healthy	0	2.28461	0.08713	0	0.73212	0	0.003	0.3762	0		15.93214	4.42938	0.73193	0	0.73212	0.08713	0	0.003	0	0.3762
Healthy	0	0	0	0	0.38165	0	0	0.06226	0		13.86684	17.14519	2.58432	0	0.38165	0	0	0	0.12217	0.06226
Healthy	0	0.19801	0	0	0	0.29998	0	0	0		13.69074	6.97937	0.50518	4.47702	0	0	2.77557	0	0	0
Healthy	0	0	0	0	0	0	0	0	0		5.4809	11.84445	0	0	0	0	0.12423	0	0	0
Healthy	1.37665	0.06404	0	0	0.3144	0	0	0.00026	0		5.82858	0.51449	0.00669	0	0.3144	0	0	0	0.0709	0.00026
Healthy	0.04487	0	0	0	0.14095	0	0	0.09067	0		7.62617	23.13099	0.13549	0	0.14095	0	0	0	0	0.09067
D065626	7.75826	3.76244	0.16058	0	0.26362	9.57801	0.20716	0.02913	0.00711		1.22487	0.11546	34.13396	0.0015	0.26362	0.16058	0.00365	0.20716	0	0.02913
Healthy	0.36631	0.00291	0	0	0	0.20284	0	0	0		2.05337	28.97505	0	2.48965	0	0	0.23479	0	0	0
Healthy	2.12948	1.47116	0.08093	0	0.71644	0.00824	0.90454	0.29137	0.00327		17.42598	8.8283	8.07662	0.14204	0.71644	0.08093	0	0.90454	0.13647	0.29137
Healthy	1.06216	0	0.35675	0	0.68097	0	0	0.01047	0		0.82468	2.49326	0.02207	9.30256	0.68097	0.35675	0	0	0	0.01047
Healthy	0	0.02683	0	0	0.35797	0.00209	0	0.05276	0		13.15289	7.99269	2.3021	0.26986	0.35797	0	0.01462	0	0	0.05276
Healthy	0	0	1.933	1.12381	3.68311	0	0	0	0		29.97117	0	0	0	3.68311	1.933	0	0	0.26971	0
Healthy	0.42965	0.21585	0.02708	0	0.14868	0.02362	0	0	0		1.15799	0	0	3.34381	0.14868	0.02708	0	0	0	0
Healthy	0	0.04828	0.43867	0	0.23323	0	0	0	0		16.08956	3.7531	1.87214	1.41269	0.23323	0.43867	0.04188	0	0.26029	0
Healthy	0	0	0.01705	0	0	0	0	0.51129	0		2.66517	0.63812	0	0	0	0.01705	0.07776	0	0	0.51129
Healthy	0	0.00451	0.01215	0	0	0	0	0.7355	0		3.20391	0.89891	0	0	0	0.01215	0.06544	0	0	0.7355
Healthy	0.04705	0	0.0136	0	0	0.028	0.0073	0.03641	0		22.52399	0.87139	1.19003	5.34871	0	0.0136	0.02787	0.0073	0	0.03641
Healthy	0	0	0.05412	0	0.07736	0	0	0	0		23.50672	24.43499	0	0	0.07736	0.05412	0	0	0	0
Healthy	0	0.5783	0	0	0.03571	0	0	0	0		5.27636	2.45781	0.23312	4.62199	0.03571	0	0	0	0	0
Healthy	0.04178	0	0	0	0	0	0	0.14686	0		0.74218	17.06665	2.71886	0	0	0	0	0	0	0.14686
Healthy	78.76377	0.10271	0.00569	0.00448	1.46902	0	0	0.00802	0		4.66382	0.1997	5.45435	0	1.46902	0.00569	0	0	0	0.00802
Healthy	1.82617	0.01597	0.00545	0.14062	0	0.008	0.02608	0.01042	0		20.07617	0	0.74589	0	0	0.00545	0.04462	0.02608	0.25312	0.01042
Healthy	2.4214	0	0	0	0	2.80187	0	0	0		20.8232	0	0.01296	5.07885	0	0	0.67165	0	0.16683	0
Healthy	0	0.78156	11.3576	0	3.88243	0	0	0	0		18.86342	0.23084	2.57185	0	3.88243	11.3576	0	0	0	0
Healthy	0	0.60443	0.5723	0.00243	0.00219	0	0	0.21516	0		8.09311	0.61624	4.99535	1.99584	0.00219	0.5723	0	0	0.01342	0.21516
Healthy	0	0	0	0	0.10638	0	0	0	0		18.30054	0.03482	0	0	0.10638	0	0	0	0	0
Healthy	0	0.00195	0	0	0	0	0	0	0		9.47397	15.23831	0	0	0	0	0.06709	0	0	0
Healthy	0.71302	0.03976	0.11145	0.55065	0.07817	0	0	0	0		11.74589	2.87028	0.3126	0	0.07817	0.11145	0.12678	0	0.39724	0
Healthy	1.00992	0.04975	0.29282	0	0.96563	0	0	0.00975	0		0.2867	20.00155	0.32681	0.03571	0.96563	0.29282	0	0	0	0.00975
Healthy	0.1118	0.29215	0.56328	0	1.24073	0	0	0	0		1.01616	14.67782	1.20433	0.61502	1.24073	0.56328	0	0	0	0
Healthy	0	0.22287	0.57913	0.01785	0	0	0	0.08385	0		25.34291	0.42444	5.29069	4.75712	0	0.57913	0	0	0	0.08385
Healthy	0	0.02321	0	0	0.38018	0.01308	0	0	0		9.43879	13.99989	1.37642	0	0.38018	0	0	0	0	0
Healthy	0.61563	0	0.28536	0.98088	0.22602	0	0	0	0		6.33331	8.47845	3.22177	0	0.22602	0.28536	0.01449	0	0.0182	0
Healthy	86.41751	0	0	0	0	0	0.22892	0	0		0.00094	0	0.02275	0	0	0	0	0.22892	0	0
Healthy	0	0.09358	0.0673	0	0.02688	0	0	0.1511	0		21.55607	20.27064	0	0	0.02688	0.0673	0.11696	0	0	0.1511
