group	Faecalibacterium_sp900539885	Agathobacter_rectalis	Enterocloster_aldenensis	Bariatricus_comes	Blautia_A_wexlerae	Streptococcus_sp001556435	Dorea_formicigenerans	Eubacterium_G_ventriosum	Eubacterium_I_ramulus_A	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Dialister_invisus	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	6.05677	3.28359	0.02276	0.09205	0.01507	0.04421	0	0.07663	0	0	9.40502	0.59601	0	5.82004	0	0	0	0.04982	0	0
Healthy	4.8242	16.92	0.04738	0	0.18656	0.07802	0.06629	0	0	0.00986	13.698	0.274	1.5604	0	0	0	0	0	0.05761	0
Healthy	7.71851	0	0.13073	0	0.00557	0.25509	0.08172	0	0	0	0	0.4819	0	0.90663	0	0	0	0.00165	0	0.01588
Healthy	5.81231	7.1897	0.23031	0.25586	0.17359	0.48807	0.14092	0.36226	0.00172	0.06453	5.2067	2.90702	6.37105	1.58452	0	0	0	0.07138	0	0.00677
Healthy	0	0	0	0	0	0	0	0	0	0	2.49924	0.01237	0	0	0.05783	0	0	0	0	0
Healthy	4.31248	11.3934	0.06077	0	0.05044	0.07445	0	0	0	0	10.5061	0.2496	4.05909	0	0	0	0	0	0.04528	0
Healthy	0.11817	6.48989	0	0.09736	0.29411	0	0.3644	1.07316	0.25919	0	6.10806	0.14558	0	0	0	0	0	0	0	0
Healthy	5.54091	5.03719	0.46759	5.97371	2.15447	0.07384	0.16343	0.63047	3.58547	0.5764	2.28844	1.75492	0	0	0	0	0	0.00947	0.07849	0
Healthy	6.12735	3.22525	0.14836	0.1158	0.23219	0.12516	0.3633	0.12154	0.01009	0.12152	4.55422	0.18864	0	0.09861	0.92764	0	0	0	0	0
Healthy	3.18869	10.5654	0.04695	1.04654	0.19874	0.006	0.08603	0.12183	0.03383	0.12352	0	0.00118	0	1.40816	0.48243	0	0.45022	0.02251	0.0093	0
Healthy	6.38634	0.66154	0.11305	0.29579	0.24265	0	0.14561	0	0.05644	0.03472	4.03295	0	0	0	0	0	0	0	0	0
Healthy	12.8088	7.41907	1.5754	1.11173	0.71108	0.03289	0.33164	0.00269	0.54888	0.46873	0.91563	0.02169	3.32019	0	1.27209	0	0.12226	0.00964	0.02467	0
Healthy	3.35188	0	0	0	0	0	0	0	0	0	11.7309	0.18758	0	0	0	0	0	0.12004	0.05902	0.2948
Healthy	5.26763	2.99815	1.30317	1.00828	0.44142	0.17905	0.41498	0.21868	0.09477	0.44956	2.08503	0.09314	0	0.12934	0.86467	0.00297	0.02955	0	0	0
Healthy	2.20204	3.39489	2.37015	0.64632	0.44402	0	0.38187	0.06427	0.04173	0.20435	0.4216	0.06774	0	0.00287	3.04967	0	0.08567	0.01382	0.05891	0
D000236	4.10263	8.86157	5.50504	3.75717	9.99987	0	1.55775	0	0.85729	0	0.97681	0	0	0	0	0	0	0	0	0
Healthy	6.00946	18.254	0.60223	0.03846	0.7084	0.27572	0.19194	0	0.08928	0.28992	4.00286	2.09746	3.12425	0	0	0	0	0	0.12175	0
Healthy	27.6592	6.99703	1.05425	0.40267	0.12214	0	0.20901	0	0.11652	0.15294	0.03596	0	0	0	0	0	0	0.00173	0	0
Healthy	3.4574	0	0	0	0	0	0	0	0	0	5.29432	0	0	0	0	1.53603	0.00949	0.68732	0.04911	0.10562
Healthy	4.87901	17.4516	2.2068	2.1151	1.26088	0.09112	0.49137	1.2148	0.11244	0.59434	2.17446	0.10971	3.47983	0	0.22406	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.00116	0	0	0	0	0	0	0	0	1.79372
Healthy	4.64569	8.12687	0.15367	0	0.33974	0.03268	0	0	0	0.09195	9.97984	0.03349	0.99085	0	0.9083	0	0	0	0.0283	0
Healthy	7.20935	0.05439	0.0073	0.81808	0.01789	0.0523	0.03276	0.03608	0.00519	0.00464	0.81175	0.55492	0	3.8931	0	0.02554	0.01269	0.00064	0.00015	0
Healthy	0.43863	1.60695	0.21058	0.16322	0.01568	0	0.09646	0.64732	0.07325	0.00838	3.02569	0.01638	0	0	0	0	0.04188	0	0.32161	0
Healthy	3.52608	2.77777	0.00793	0.03649	0.01863	0	0.02174	0.0169	0.01018	0.01094	2.87198	0.00592	0	0	0.93324	0.21272	0.11803	0.00058	0.15155	0
Healthy	0.98283	0	0	0	0	0	0	0	0	0	16.225	0.57673	0	0	0	0	0	0.03174	0.50884	0.02253
Healthy	19.6021	5.7929	0.10483	0.04933	0.09136	0	0.00182	0.48177	0.10972	0.08495	7.63692	0.11318	0	0	0.3977	1.75159	0	0.15307	0.01507	0.0181
Healthy	0.86701	7.10754	0.38987	1.30022	0.22019	0	0.49948	0.06828	0.03325	0	0.53722	0.43867	0	0	0	0	0	0	0	0
Healthy	2.6487	0	2.81611	2.39303	0.69925	0	0	2.9933	0	0	4.57084	0.03685	3.15007	0	0	0	0	0.00744	0	0.00323
Healthy	5.59288	2.64282	0.67315	0.8052	0.21407	0.04532	0.17775	0.37324	0.08635	0.0713	0.85365	0.02118	0	0	1.15443	0.18363	0.03022	0.08237	0.18042	0.00226
Healthy	9.53132	2.60135	0.4626	0.31069	0.67833	0.26408	0.26067	0.1225	0.11586	0.5784	1.59134	0.05255	0	2.24124	2.09009	0	0.03859	0.06652	0	0
Healthy	0	0	0	0	0	2.07505	0	0	0	0	0.01678	0.00649	0	0.04965	0	0	0	0	0	0
Healthy	9.16534	12.7214	0.19353	1.22378	0.80681	0.17857	0.42828	0.33825	0	0	1.28333	1.04093	0	0	0	0	0	0	0.04446	0
Healthy	6.63265	8.09008	0.9287	0.77282	0.99836	0.07597	0	0.03132	1.1992	0	15.4799	0.49733	0	1.83111	0	0	0.04634	0.03921	0	0
Healthy	1.95808	3.26977	0.39357	0	0.41669	0	0.05582	0	0.06196	0	8.79086	0.3073	3.61042	0	0	0.95987	0	0	0.01528	0
Healthy	5.80888	4.76271	0.50534	0.62218	0.72555	0	0.54673	0.16528	0.02603	0.13685	1.35387	0.26807	0	0	1.03624	0	0.21338	0.01274	0.00829	0.00268
Healthy	1.57533	10.8748	0.71649	0.88158	0.32854	0.00266	0.13036	0.22874	0.10032	0.30987	8.24346	0.0775	0	0	1.48318	0.44937	1.12029	0.05382	0.19327	0
Healthy	1.32832	0.11836	0	0.21412	0.04195	0	0	0	0.12584	0	0	28.363	0	0	0	0	0	0.00254	0	0.00652
Healthy	5.34315	2.01973	0.16007	0.01724	0.12906	0	0.0769	0	0	0	25.9532	0.00168	0	0	0	0.60782	0	0.1453	0.002	0.06212
Healthy	4.42903	2.28172	0.02364	0.17051	0.17307	0.1302	0.2587	0.24643	0.40139	0.15588	3.52309	1.22072	0	4.30761	0	0	0.17996	0	0	0
Healthy	4.19445	0	0.00778	0.06227	0.06422	0.02913	0.04733	0.02808	0	0	1.19972	0.41694	2.47331	0	1.4674	0	0.25254	0	0.00901	0
Healthy	0.00068	0	0	0	0	0	0	0	0	0	0.05133	1.8248	0	0	0	0	0	0	0	0.04847
Healthy	2.14559	3.46475	0.06836	0.02386	0.01548	0	0	0	0	0	3.04	0.25508	2.80683	0	0.71018	0	0.02569	0	0.24334	0
Healthy	4.84117	2.17349	0	0.08538	0.08949	0.01765	0	0	0	0	2.28163	0.22055	0.386	1.44167	2.31782	3.66252	0.03009	0.12172	0.01697	0.0386
Healthy	7.79271	0	1.11823	1.08281	0.64923	0.01828	0.43219	0.50044	0.02175	0.22066	7.12912	0.04148	0	0	0.69215	0	0.17786	0.00531	0.06115	0.0178
