group	Faecalibacterium_sp900539885	Agathobacter_rectalis	Enterocloster_aldenensis	Bariatricus_comes	Blautia_A_wexlerae	Streptococcus_sp001556435	Dorea_formicigenerans	Eubacterium_G_ventriosum	Eubacterium_I_ramulus_A	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Dialister_invisus	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	38.2226	7.21232	0.6455	0.30616	0.58059	0.00905	0.12463	0.67416	0.18735	0.26502	0.43363	0.22523	0	0	0.61088	0.61075	0	0.07801	0.00366	0
Healthy	7.91341	0	0	0.00774	0.06063	0	0	0	0	0	14.0533	0.6641	0	7.36099	1.10387	0	0	0.25055	0	0
Healthy	12.4301	10.6245	0.10868	0	0.51936	0.16164	0.14373	0.05441	0.12136	0.28408	5.75884	20.3357	4.52053	0.0057	0	0	0	0.08867	0	0
Healthy	1.23572	4.91425	0	0.17083	0.01942	0	0.03827	0	0.07482	0	23.6148	8.36563	0.01798	0.19026	0	3.42246	0.01102	0.03147	0	0
Healthy	1.79297	0.86095	0.00516	0	0.00463	0	0.03199	0	0	0	24.3231	1.41459	6.16866	0	0.63421	0	0.23608	0.02891	0.15182	0
Healthy	3.97903	10.5859	0.12037	0.13546	0.1896	0.37819	0.00767	0	0.02901	0.12987	9.16944	0.01488	2.69138	0	0	0	0	0	0.0698	0
Healthy	0.0022	0	0	0	0	0.03074	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.98065	1.17684	0	0	0.28555	0	0.36259	1.15296	0.09466	0	3.02976	0.27827	0	0	0	0	0.05971	0	0	0
Healthy	5.18037	2.31236	0.08012	0.09593	0.16649	0.15347	0.02393	0.76007	0.03571	0.00761	12.0504	1.05823	0	5.92908	0	0	0	0.03108	0	0
Healthy	0.04351	0	0	0	0.03611	0.00854	0	0	0	0	1.64725	0.0005	0	0	0	0	0.00106	0.00687	0.21131	0.0432
Healthy	6.03973	3.39457	0.04838	0.05414	0.02812	0.02766	0	0.06292	0	0	9.79475	0.6214	0	5.85099	0	0	0	0.06025	0	0
Healthy	5.75864	21.4647	0.10894	0.44091	0.08476	0.02477	0.22399	0.42735	0.06457	0.05369	4.2435	1.59539	0	1.58886	0.67883	0	0.15845	0.02672	0.00459	0.01666
Healthy	4.53971	10.7673	0.24101	0.41414	0.31594	0.5065	0.16915	0	0.26662	0	9.88153	0.50794	0	2.32149	2.12838	0.06846	0	0.02458	0	0.01351
Healthy	7.28723	23.4879	0	0	0.1518	0.3201	0	0	0	0	5.14853	0.16566	0.81546	0	0.33728	1.31083	0.02822	0.00501	0.04896	0.02141
Healthy	20.6505	1.16578	2.77305	1.56965	0.87095	0	0.19347	1.19876	0	0	0.68822	0	0	0	0	0	0	0	0	0
Healthy	6.70341	18.6668	0.48328	1.09262	0.07195	0	0.1423	0.27628	0	0.20564	0	0.00142	0	0	0.50203	0	0	0.05763	0.01166	0.00147
Healthy	1.62073	0.81997	0	0	0	0	0	0	0	0	24.361	1.76488	6.06636	0	0.63033	0	0.20573	0.0087	0.11865	0
Healthy	10.226	38.7754	0.14325	0.11721	0.03677	0	0.43027	0.05893	0.02122	0.1404	1.20426	0.0307	6.92202	0	0	0.00139	0	0.00913	0.00495	0
Healthy	0.21362	0	0	0	0	0	0	0	0	0	0	10.5909	0	0	0	0	0	0.04994	0	0.02859
Healthy	2.12451	0	0.17986	0.10009	0.1937	0	0.20139	0	0.07083	0	12.9342	0.05462	0	0.05153	1.58678	0	0	0	0	0
Healthy	1.34171	1.40399	2.68356	0.37922	0.2761	0.15891	0.77873	0.18624	1.08088	0	3.08101	0.32437	0	0.60007	0.43845	0	0.22639	0.02155	0.01259	0.01699
Healthy	2.35233	0.80535	0.24019	0.18429	0.10387	0.05049	0.0464	0.16426	0	0.01709	3.57036	0	0	0	0	0.4976	0.01607	1.04113	0	0
Healthy	3.42408	0	0	0.00328	0	0	0	0	0	0	5.28135	0	0	0	0	1.53185	0.01536	0.66997	0.00225	0.05671
Healthy	5.94707	7.76507	0.2358	1.29722	0.25243	0.02793	0.05317	0.5158	0.14396	0.27361	3.91607	0.00446	0	0	0.49958	0.26925	0.03511	0.0173	0.36846	0
Healthy	0.58674	0	0.05183	2.0478	0.00672	0	0	0.42398	0	0	4.00721	0.36816	12.6715	0	0.4571	0	0	0.01313	0.01512	0.04951
Healthy	3.44472	1.69142	1.54654	0.51162	0.18941	0.04955	0.85282	0.00717	0.13287	0.0789	1.69151	0.32371	0	2.57161	1.10649	0	0.06232	0.09133	0.04157	0.00925
Healthy	21.1607	10.3496	0.5509	0.58929	0.24075	0	0.44124	0	0.36417	0.13347	0	0	0	0	0	0	0	0.01127	0	0
Healthy	3.7009	1.3007	0.11894	0.39629	0.19992	0	0.88526	0.42699	0.23738	0.24785	7.10076	0.69757	0	5.70747	0	0	1.01375	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.90266	4.44452	0	0	0	0	0	0	0
Healthy	1.72893	15.5702	0.04675	0.3265	0.14686	0.27862	0.24791	0.36801	0.09854	0.16391	4.2788	0.16578	0	0.68038	1.36426	6.0532	0.03404	0.02864	0.00232	0.00049
Healthy	15.3164	4.81779	0.77361	0.45744	1.33535	0.02764	0.5252	0.67513	0.23802	0	4.11334	2.17354	0	0.63784	0.29494	0	0.01485	0.31869	0	0.0017
Healthy	4.91634	17.514	2.25062	2.12729	1.18972	0.08319	0.54591	1.19316	0.12262	0.60641	0.64502	0.11383	3.45893	0	0.22232	0	0	0	0	0
Healthy	7.45658	0.27024	1.55214	0.82204	0.49533	0	0	0.06344	0.09945	0.24302	4.90875	0.53614	0	6.64688	0	0	0.02242	1.35541	0.06362	0
Healthy	0.48691	0	0	0.0231	0	0	0	0.05759	0	0	10.8519	6.02996	3.45813	0	0	0	0	0.0176	0.11553	0.18023
Healthy	11.702	0.28849	0.21368	0.73339	0.95938	0.16132	0.18535	0.0016	0.24923	0.16382	5.73778	0.0609	0	0	0.52626	0	0.01038	0.02954	0.00158	0.00018
Healthy	4.84507	22.2407	0.10197	0	0.26591	0.049	0	0	0	0	8.39698	0.1189	0.90035	0	0	0	0	0	0.0211	0
Healthy	3.09866	0.92228	0	0	0	0	0	0	0	0	10.8425	6.42402	0.46914	0	0	0	0	0	0	0
Healthy	8.58237	1.06642	1.21705	0	0.25937	0.04845	0.31798	0	0	0	0	17.051	4.17739	0	0	0	0	0.07834	0.02833	0.09828
D000236	7.41601	2.24272	0.1672	0.54489	0.06987	0.2377	0.02845	0.39565	0.08464	0.04425	1.00784	0.23942	0	0	0	0	0	0	0	0
Healthy	0.42426	1.66709	0.13399	0.13483	0.03408	0	0.08427	0.57474	0.04794	0.01274	2.72018	0.03031	0	0	0	0	0.02026	0	0.24998	0
Healthy	3.78729	5.55126	0.346	0.07312	0.13161	0.01102	0.04049	0	0	0	26.5221	0.00516	0	0	1.73913	0.85372	0	0.09587	0.0605	0
Healthy	3.86415	0.5514	0	0	0.05843	0.0023	0.05771	0	0.09269	0	0	0.1445	0	0.93478	0	0	0.28741	0.14988	0.16851	0
Healthy	26.121	7.64465	0.1195	0.13181	0.14399	0.32345	0.06787	0	0.13408	0.12056	10.049	0.18418	0	2.52636	0.56368	0.00968	0.06315	0.00106	0	0.01185
Healthy	3.03014	11.7194	0.09153	0	0.14681	0	0	0	0	0.06441	12.7391	0.20047	0.21636	0	0	0	0	0	0.04549	0
Healthy	3.24652	0	0	0.00947	0	0	0	0	0	0	11.9746	0.19425	0	0	0	0	0	0.14538	0.05471	0.28747
Healthy	3.22054	0	0	0	0	0	0	0	0	0	11.8482	0.13934	0	0	0	0	0	0.07479	0.03036	0.2891
Healthy	9.97329	1.44884	0.00464	0.04898	0.08497	0.01961	0.02618	0.02402	0.02851	0.09428	3.21463	0.14201	0.00408	0	0	0	0	0	0.09149	0
Healthy	1.5475	0.31282	0	0	0.05029	0	0.01338	0	0	0	18.4027	2.9238	3.36256	0	0.49005	0	0.2432	0.02997	0.21142	0
Healthy	15.3799	2.83793	0.03328	0.00059	0.01013	0	0.00102	0	0.0338	0	0.00797	14.7077	0.00862	0	0	0	0	0.01516	0.03544	0.02849
Healthy	3.1005	0.77303	0.74483	0.93385	0.76738	0.30118	1.3808	0.07948	0.60105	0.1441	0.19966	0.2595	0	1.29965	0.88448	0	0	0.01939	0	0.00063
Healthy	1.85571	1.41871	0.0238	0	0.01654	0.00698	0	0.01278	0	0	9.8936	2.48884	0	0.31959	2.37368	3.83511	0.04139	0	0.00502	0
Healthy	4.9223	4.41124	0.08893	0.49351	0.26913	0.00652	0.11979	0.17907	0.04567	0.05246	8.40342	1.06199	11.5282	2.05501	0.89245	0	0.00428	0.0603	0	0
Healthy	29.9608	1.7261	0.17316	0.12964	0.41087	0	0.30426	0	0.31189	0.36277	0	0	0	0	0	0	0	0	0	0
Healthy	6.33361	0.52253	0.28505	0.15398	0.06157	0	0.03175	0	0	0	3.66551	0.45456	0	0	0.57381	0	0	0.0112	0.12062	0
Healthy	1.29141	0.10565	0	0.20845	0.05226	0	0	0	0.12103	0	0	29.1343	0	0	0	0	0	0.00514	0	0.00339
D000236	32.8521	19.0471	0.74888	0.6049	0.29513	0.21122	0.04413	0.15308	0.18778	0.05062	2.5542	0.043	2.17167	0	0	0	0	0	0.05588	0
D000236	4.43984	24.6282	3.12814	2.36925	0.48628	0.05517	0.79368	1.72895	0.69553	0.51693	1.27399	0.3838	0	0.15571	0	0	0	0.01654	0	0
Healthy	14.7421	2.26145	1.31586	0.32929	1.09014	0.2478	0.65519	0.10831	0.30903	0.76079	1.44842	0.49779	0	1.28715	4.4865	0	0.02267	0.09226	0.00671	0
D000236	15.7857	11.5144	2.73414	0.76231	2.01151	13.5352	0.38033	0.37762	0	0	0.7272	0	0	0	0	0	0	0	0	0
Healthy	2.91314	15.9406	0.09275	0	0.09715	0.02702	0	0	0	0.00533	12.2329	0.50719	0.69904	0	1.14465	0	0	0	0	0
Healthy	1.96559	3.55522	0.04764	0.01933	0.02128	0	0	0	0	0	3.11856	0.24878	2.74535	0	0.73762	0	0.02758	0.01715	0.22551	0
Healthy	5.25451	25.9422	0.19158	0.04034	0.26502	0.02403	0.01486	0	0.0146	0.07164	8.33963	0.44628	0.19449	0	0	0	0	0	0	0
Healthy	9.26578	16.1865	1.60881	1.70119	0.81892	0	0.32353	0.52754	0	0.35362	1.89264	0	3.63077	0	0	0	0	0	0	0
Healthy	10.7155	9.65139	0.93648	0.46676	0.11198	0.00847	0.01638	2.93033	0	0	2.17481	0.11966	5.53835	0	0	0	0	0.09502	1.5232	0.04789
Healthy	0.00738	0	0	0	0	0.46412	0	0	0	0	65.5109	0.98645	0	0.08421	0	0	0	0.00134	0.00086	0.02806
Healthy	2.59872	1.79617	0.17527	0.16891	0.13591	0.00314	0.18373	0	0.13065	0.09497	1.52991	0.01286	0	0.19829	1.31144	0.43004	0	0.13829	0	0
Healthy	4.99013	1.98243	0.23235	0.0365	0.09891	0.01566	0.0423	0	0	0	26.4862	0	0	0	0.69317	0.60511	0	0.16826	0.00202	0.04655
Healthy	8.22775	1.28984	0.11417	0.09088	0.06987	0	0.04842	0.11623	0.02611	0	8.73886	3.47901	0.13567	1.8383	1.44618	0	0.00925	0.34462	0.00269	0.0048
Healthy	1.80779	2.06786	0.38163	0.05251	0.01527	0	0	0	0	0	4.60374	0.26305	0	0	0.83224	0	1.43101	0.09927	0	0
Healthy	8.78987	5.12578	0.45564	0.40087	0.74526	0.03248	0.45561	0.48982	0.06306	0	3.20082	3.88492	0	0.76728	0	0	0	0.09605	0	0
Healthy	1.35626	0	0	0	0	0	0	0	0	0	1.36985	14.193	0	0	0	0	0	0	0	0.06161
Healthy	2.73842	2.32758	0.67871	0.01193	0.04203	0.08802	0	0	0	0	3.0847	0.01713	7.16164	0	1.35692	0	0.04819	0.06002	0.077	0
Healthy	2.94629	10.4884	0.28004	0.2127	1.79272	0	0.09938	0	0.17997	0.12657	1.4577	0.93975	0	3.99534	1.83461	0	0	0.02661	0	0
Healthy	0.54185	0	1.48248	0.59166	2.49098	0	1.73146	0.0499	0.26314	0.13933	6.8603	0	0	0	1.69682	0	0	0	0	0
Healthy	0	0	0	0	0	0.00172	0	0	0	0	0	0.9315	0	3.39368	0	0	0	0	0	0
Healthy	2.38364	0	0.06909	0	0.10045	0.0256	0.02126	0	0	0	10.5547	1.56078	3.08393	0	0.57697	0	0.192	0.11232	0.04461	0.07756
Healthy	8.68368	7.33857	0.44394	0.29217	0.14881	0.03164	0.15153	0.2269	0.03669	0.08473	7.0122	0.2445	0.00142	0	0.60895	0.85341	0	0.01534	0	0.00415
Healthy	3.00932	26.4922	1.87601	1.29915	2.33706	0	1.35118	0	1.68745	0.08967	12.0942	1.95704	4.45069	0	0	0.95355	0	0	0	0
Healthy	2.66214	0	0.18955	0	0	0	0	0	0	0	8.29268	1.08233	0	0	1.33911	0	1.92862	0.36177	0.0251	0.03304
Healthy	2.41673	0	0	0	0	0	0	0	0	0	8.79388	13.4693	0	0.11927	1.35517	0.40634	0.17422	0.05277	0.1365	1.52976
Healthy	3.05584	7.92901	8.52626	1.69717	1.01361	0.00384	0.0923	0.1813	0.24581	0.31468	2.2157	0.09622	0	0	0.13736	0	0.02559	0.18817	0.00356	0
Healthy	4.40652	0	0.00793	0.05743	0.03894	0.0328	0.05287	0.01001	0	0	0.72597	0.46406	2.5052	0	1.46898	0	0.23383	0	0.01161	0
Healthy	2.03666	1.57861	0	0.05371	0.05603	0.03676	0.04723	0.02525	0.09075	0.06308	0.86406	0.55919	0	3.12301	0	0	0	0	0	0
Healthy	4.05151	0.59233	0	0.03131	0	0	0	0	0	0	12.6467	6.66237	8.17304	0	0	0	0	0.03742	0.16693	0.37777
Healthy	7.11453	0.69463	0.11319	0.25753	0.24783	0	0.09805	0	0.09693	0	4.29259	0	0	0	0	0	0	0	0	0
Healthy	1.37517	9.81111	0.04138	0.47537	0.63829	4.1902	0	0.08286	0.38316	0.08859	7.57016	1.65714	0	0	1.47863	0	0	0.12875	0	0.35747
Healthy	0.21978	15.7003	0.68676	1.4199	0.28045	0.00632	0.30631	0.09689	0.01796	0.02602	1.69296	0.95292	3.5659	0.11509	1.09701	0	0	0	0	0
Healthy	2.7174	3.45064	0.7698	0.21827	0.28007	0	0.01898	0.05711	0.01602	0.11532	3.85293	1.19538	0	4.89715	1.15095	0	0.14554	1.06275	0.00714	0
Healthy	7.65596	7.69571	1.55169	1.15733	0.33906	0.00395	0.0685	0.08401	0.23045	0.12302	2.97343	0.38423	2.3281	0	1.02509	3.54931	0.01009	0.04907	0.00173	0.00514
Healthy	1.51819	0.79013	0	0	0	0	0.02136	0	0	0	24.1936	2.95156	6.23985	0	0.57524	0	0.23114	0.01438	0.11607	0
Healthy	18.2422	3.92928	0.37275	1.38689	0.7162	0.20201	0.24701	0	0	0.22037	0.83106	0.02439	4.08964	0	0	0	0	0.03196	0.03028	0.01059
Healthy	2.95527	10.6875	1.3462	0.36895	0.17257	1.53668	0.18135	0.01645	0.01927	0.06145	6.62585	0.20188	0	0	1.41757	0	0.00594	0.84429	0.01878	0
Healthy	7.74301	1.98801	0.53819	0.3211	0.15304	0	0.06213	0	0	0.02608	2.36509	0.85828	0	0	0	0	0	0	0	0
Healthy	2.61606	7.18614	0.14741	0.17359	0.31225	0.16784	0.06409	0.04844	0.06052	0.12947	0.7982	0.02183	0.00627	0	0	0	0	0	0.02279	0
Healthy	0.68938	14.4046	0.55012	0.16102	0.68862	0.10287	0.18683	1.48454	0	0	1.31314	0.13668	3.66301	0	0	0	0	0	0	0
D000236	13.1096	10.7652	2.56229	0.68017	0.46424	0	0.13338	0.13155	0	0.20709	2.05601	0.02713	0	0	0	0	0	0	0	0
D000236	8.88012	3.52677	0	0	0	0	0	0	0	0	3.1467	0.34431	0	0	0	0	0	0	0	0.39142
Healthy	1.82597	1.48003	0.0291	0	0	0.00428	0.00348	0.00188	0	0	10.1634	2.46381	0	0.32858	2.34969	3.97372	0.0343	0.00175	0	0
Healthy	0.00271	0	0	0	0	0.12123	0	0	0	0	0.58317	0.01785	0	3.25229	0	0	0	0	0	0.01342
Healthy	1.83346	0.05454	0.08526	0.06672	0.04744	0.01747	0.06386	0.02124	0.02344	0.02458	0.53827	0.13126	0	0	0.51002	0.16975	0.06444	0.02195	0	0.00994
Healthy	18.2614	0	0.39996	1.10164	2.22662	0.41271	0.42076	0	0.11568	0.07487	0.10252	0	0	0.30624	0	0	0	0	0	0
Healthy	2.1204	0.6887	0	0.29735	0.04854	0.37544	0.89403	0	0.15211	0.36076	0	0	0	0	0	0	0	0	0	0
Healthy	1.26039	0	0	0	0	0	0	0	0	0	1.29356	14.384	0	0	0	0	0	0	0	0.0675
Healthy	4.39199	0.31176	0	0	0.00646	0	0.13484	0	0	0	1.12753	1.97972	0	0.82936	0	0	0	0.04793	0	0
Healthy	6.48381	0.51739	0.28523	0.15206	0.06431	0	0.02994	0	0	0	3.63093	0.45697	0	0	0.56109	0	0	0.0099	0.11924	0
Healthy	14.737	7.33228	0.04492	0.20073	0.18917	0.00628	0.22375	0.17834	0	0.08532	0.54759	0.38193	0	0	0	0.01928	0	0	0	0
Healthy	0.11129	8.71297	0.70908	0.52792	0.30578	0	0.25227	0.03396	0.21528	0	0.77666	0.28648	8.26254	0	0	0	0	0	0	0
Healthy	0	0	0	0.68901	0	0	0	0	0	0	8.66588	8.66009	9.2651	0	0	11.1761	0	0	2.63057	0
Healthy	7.38846	0	0	0	0	0	0	0	0	0	28.5348	2.88638	0	0	0	0	0	0	0	0
Healthy	2.96504	0.11524	0.17431	0.25325	0.85409	0.10266	0.11991	0	0.04746	0.21255	7.35274	0.34127	0	0.41678	0.30034	0	0.08408	0.02961	0.00046	0.00095
Healthy	19.0253	38.6822	2.01066	0	1.05576	0	0.57416	1.30183	0	0	5.01588	0.01018	2.99582	0	0	0	0	0	0	0
D000236	20.8862	11.3913	1.86213	1.12705	2.49736	9.32221	0.61954	0	0.14993	0.38961	3.22187	0.48838	0	0	0	0	0	0	0	0
Healthy	19.9766	16.873	1.83065	0	0	0.16422	0.3016	0	0	0.03535	19.6521	0.14935	0.33026	0	0	0	0	0	0.04559	0
Healthy	29.932	10.7134	0.3816	0.62509	0.43667	0	0.37424	0.00952	0.39719	0.59161	1.15917	0.89454	0.00253	0	0	0	0	0.02119	0.31473	0.0013
Healthy	4.8257	8.16964	0.12401	0	0.27736	0.1305	0	0	0.01942	0.10314	9.88095	0.12785	0.44594	0	0	0	0	0	0.00311	0
Healthy	19.1433	0	0.38654	1.03037	2.89407	0.34832	0.63823	0	0.27038	0.17445	0.17244	0	0	0.30428	0	0	0	0	0	0
Healthy	3.50928	1.11374	0	0	0.06924	0	0.04628	0	0.00807	0.00263	0.13668	0.04865	0	2.62744	0.88498	0	0.03573	0.16165	0.42151	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.1469	0	0	0	0	0	0	0	0
Healthy	2.43901	0	0.19943	0	0	0	0	0	0	0	8.05642	1.04008	0	0	1.37363	0	2.14546	0.3261	0.04404	0
Healthy	6.92447	1.71199	0.90405	0.54609	0.81281	0.17612	0.0038	0.29026	0	0	2.19297	0.00712	1.35744	0	0	0	0	0.15968	1.61473	0.01776
Healthy	9.74849	0	0.0136	0.02925	0.10487	0.2858	0.02535	0.05448	0	0	27.2898	0.0062	0	0	0.41275	0.62029	0	0.00245	0	0.031
Healthy	0.74887	0	0.04487	0	0.01963	0.00142	0	0	0	0	10.8831	0.71253	0	0	0	0	0	0.04855	0	0.00475
Healthy	1.31862	21.0487	0.81559	1.40285	0.34504	0.13526	0.1678	1.15798	0	0.26102	2.93014	6.99344	0	0.00902	0.93374	0.2323	0.0117	0.17818	0.04844	0
Healthy	2.05383	1.73904	0.04089	0.03138	0.05393	0	0.08421	0.12954	0.07591	0.07002	0.99935	0.81014	0	6.19734	0	0	0	0	0	0
Healthy	7.61708	0.23322	0.02323	0	0.03115	0	0.01214	0	0.11538	0	12.6844	0.29656	0	11.5958	2.03432	0	0	0	0	0
Healthy	1.74887	0.85547	0.01787	0	0.0048	0	0	0	0	0	24.8239	1.62365	6.24635	0	0.60764	0	0.28307	0.03186	0.09351	0
D000236	30.8529	19.4915	0.71828	0.63893	0.38018	0.18619	0.07997	0.17269	0.18886	0.0754	3.24955	0.11389	2.31384	0	0	0	0	0	0.05308	0
Healthy	0.00714	0	0	0	0	0	0	0	0	0	0.47002	0.94806	0	0	0	0	0	0	0	0
Healthy	2.03979	2.12151	0.32567	0.50908	2.41253	0.71634	0.73821	1.37308	3.39792	0.02876	1.23558	0.11678	0	0	0	0	0	0	0.01481	0
Healthy	3.39665	0.80901	0.88813	0.82989	0.20368	0	0.09885	0	0.07113	0.06642	23.1244	0	0	0	0	0	0.02878	0.05394	0	0
Healthy	0.1016	1.84266	0	0	0	0	0	0	0	0	10.896	1.73322	10.1021	0	0	0	0	0	0	0.01213
Healthy	13.4482	2.54951	0.58785	0.26324	0.43363	0	0.15167	0.59847	0.13514	0	13.2601	1.05032	0	0.60049	0	0.02736	0.05597	0.09479	0.00517	0.02076
Healthy	4.27251	2.05278	0.05623	0.03957	0.04287	0.00992	0.08626	0.02137	0.0029	0.03232	3.48619	0.00197	0	0	0.50134	0	0	0	0.10507	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.00066	0	0	0	0.22828	0	0	0	0	3.60821	4.11081	0.003	1.02218	0	0	0	0	0	0
Healthy	3.64474	1.13207	1.42244	0.7153	0.41371	0.00647	0.21059	0.05727	0.01186	0.10874	0.5143	0	0	0.67951	2.04826	0.59915	0	0.04542	0.00818	0
Healthy	4.33667	23.7328	0.23879	0.33328	0.87493	0.0254	1.33095	0.73864	0.5165	0.09935	4.22206	1.03075	5.13092	0	0.65416	0	0	0.00249	0	0.07715
Healthy	0	0	0	0	0	0.65432	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.87043	1.12295	0	0	0.10117	0	0.04081	0	0.03325	0.02088	0.0196	0.06703	0	2.67348	0.83978	0	0.09024	0.16631	0.38423	0.0036
Healthy	6.29333	19.2603	0.63826	0.092	0.27573	0	0.19793	0.17905	0.45304	0.10786	12.2111	0.23418	0	1.38321	1.11381	0	0.06312	0.06154	0.00749	0
Healthy	4.46993	1.3823	0	0.00774	0.0197	0.0695	0	0.01012	0	0	12.4351	0.72489	0	2.34518	0.71055	0	0	0.06085	0	0
Healthy	0.92582	4.22638	1.22275	0.03812	0.32086	0.35512	0.25825	0	0.11645	0.37351	3.13973	0.04872	0	0	0.92797	0	0	0.02372	0.25106	0
Healthy	3.98056	2.98724	0	0	0.11983	0.05634	0.04662	0	0.00966	0.01513	0.0431	0.15204	0	4.90753	0.86449	0	0.02816	0.12811	0.22653	0
Healthy	1.08822	9.67971	0.9728	0.52043	0.51769	0.01043	0.53906	0.56061	0.19365	0.29972	0.59258	0.0008	0	0	1.00325	0.00579	0.02563	0	0.41298	0
Healthy	5.85146	14.826	0.41019	1.59627	1.03689	0.41508	0.91212	0.75873	0.05622	0.08059	1.36902	1.25522	0	0	0.91496	0	0.07372	0	0.20202	0
Healthy	6.16547	2.75902	0.08731	0	0.10944	0.71592	0.08893	0.08747	0.08023	0.06702	0.68287	0.2001	0	0	0.76581	0.17486	0.13683	0.00639	0.13271	0.00053
Healthy	0.8535	0	0	0	0.41095	0.07309	0.08323	0	0	0.01225	6.98028	1.41781	0.65359	0	0	0	0.38607	0.15834	0	0.03709
Healthy	1.10758	16.6831	3.71652	1.51934	1.66244	0.04616	1.70082	1.64225	0.77383	0	0.95357	0.02457	6.03338	0	0.05316	0	0.05742	0.17722	0	0.13887
Healthy	1.71623	22.0189	1.23254	0.47299	0.42358	0.01035	0.46842	0.23151	0.17902	0.40859	1.08665	0.299	0	0.85136	0.54189	0	0.01825	0.02426	0	0
Healthy	1.69575	0	0	0	0	0	0	0	0	0	17.4867	6.24367	0.4943	0	0	0	0	0	0	0
Healthy	12.1025	1.65703	1.36144	0.30076	0.62843	0.04952	0.37807	0.18532	0.05693	0.21446	7.68592	4.60507	3.36802	0	0.61494	0	0.13125	0.02442	0.05709	0
Healthy	9.84138	1.98277	0.45399	1.20268	6.68896	0	8.45021	0	0.2391	0.89721	0	0	0	0	0	0	0	0	0	0
Healthy	3.63477	20.8545	0.62525	0.14723	0.32618	0	0.28819	0.30161	0.4581	0.08499	11.5892	0.27345	0	0	1.26536	0	0.05044	0.03858	0.00262	0
Healthy	4.18628	0.68658	0	0	0	0	0	0	0	0	13.8032	0	0	0	0	0	0	0	0	0
Healthy	5.80184	1.55077	0.09449	0.19559	0.03447	0	0.03715	0.0073	0.19914	0.03233	41.7978	1.68615	0	0	0.68425	0	0	0.15337	0	0
Healthy	1.95258	7.14398	0.07066	0.42062	0.3008	0.27098	0.02234	0.11883	0	0.04039	10.5234	0.12414	4.64767	0	0	9.53007	0	0	0	0
Healthy	4.84495	2.27207	0	0.00413	0.08407	0	0	0	0	0	2.58644	0.278	0.30245	1.28655	2.24605	4.03206	0.01223	0.10629	0.01157	0.03577
Healthy	5.10842	2.03978	0.21968	0.02853	0.06896	0	0.0521	0	0	0	25.7886	0	0	0	0	0.58796	0	0.15701	0.00808	0.0444
Healthy	3.51784	2.84566	0	0	0.11943	0.03354	0.02724	0	0.01009	0	0.02497	0.13802	0	4.77289	0.78673	0	0.03263	0.13546	0.16362	0.01013
Healthy	1.65363	5.38756	0.75734	1.18971	0.20996	0.14553	0.21687	0.15135	0.06545	0.13855	3.42389	0.08009	1.01897	0	1.01593	5.40153	0.19244	0.02298	0	0.0004
Healthy	4.76184	0.6725	0	0.04789	0.07525	0	0	0	0	0	11.0803	0.03922	4.49182	5.93732	1.16408	0	0.02931	0.01833	0.03627	0
Healthy	17.4317	0.00372	0.05071	0.22378	0.30639	0.22483	0.13767	0	0.04421	0	0.76678	0.00242	0	0	0	0	0	0.00126	0	0.01448
Healthy	0.0234	0.00382	0	0	0.03951	0	0	0	0	0	0.03007	3.38821	0	0	0	0	0	0	0	0
Healthy	1.33901	0	0	0	0.00951	0.00326	0	0	0	0	3.9181	2.37403	0	0	1.51556	0	0	0.0073	0	0.07569
Healthy	6.04399	13.0972	0.35256	0.33615	0.24929	0	0.59327	0.22795	0.11199	0	7.96105	6.29267	0	0	0	0	0.09083	0	0.21175	0
Healthy	0.10156	1.76152	0	0	0	0	0	0	0	0	10.8032	1.80555	9.99851	0	0	0	0	0	0	0.00593
Healthy	3.64054	2.52624	0.42154	0.46565	0.64967	0.02231	0.3081	1.08081	0.06612	0.17232	1.2987	0.06196	0	0	0.34819	0	0	0	0.00137	0
Healthy	3.36801	0	0	0	0	0	0	0	0	0	8.94992	0.63657	0	0	0	0	0	0	0	0
Healthy	1.76857	2.42997	0	0	0	0	0	0	0	0	26.5703	0	0	0	0	0	0	0	0	0
Healthy	1.51855	0.30616	0	0	0.0421	0	0.03162	0	0	0	18.8668	1.8282	3.22172	0	0	0	0.22268	0.02469	0.25444	0
Healthy	1.53287	0	0	0	0	0	0	0	0	0	11.2472	0	0	0	0	0	0	0	0	0
Healthy	8.34784	6.63173	0.16096	0.26835	0.31291	0	0.12035	0.71825	0.01574	0.15563	10.6741	0.45719	0	0	1.05878	0	0	0.00251	0.03296	0
Healthy	5.69139	12.378	0	0.62765	0.15198	0.05767	0	0.14249	0	0.33937	3.37231	1.064	0	2.11837	0	0	0	0	0	0
Healthy	0	2.20851	0.87965	0.1403	0.14765	0	0	0.09267	0	0	3.26433	0.40883	0	0	1.94217	0	0	0.00453	0	0
