c	Gammaproteobacteria	Coriobacteriia	Desulfovibrionia	Actinomycetia	Verrucomicrobiae	Bacilli	Methanobacteria
Healthy	0.99950331749903	0.157293537030964	-0.154722075245364	-1.78251605578609	1.63962801034967	-0.738784727731408	-5
Healthy	-1.28075160155205	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	0.256147450368233	-5	-5	-5
Healthy	0.916401830084926	-5	-5	-0.0907114758377493	-2.79860287567955	-0.157278457372331	-5
Healthy	-0.796070062755374	-5	-5	-0.419576861588155	-5	-0.493494967595128	-5
Healthy	0.445532593261974	-0.249483891283201	-1.35076252765039	-0.301507982535077	0.815250243860085	-0.983091956027925	-5
Healthy	-1.03207779326948	0.113150877468074	-3.2839966563652	-0.0859743483036714	-5	-1.13288622016802	-5
Healthy	-1.96617430604669	-1.91470942176993	-0.744076541267099	-5	-5	-1.71579493229821	-5
Healthy	0.254888708775947	0.146202479780109	-5	1.34327168575716	-5	-1.07083661679494	-5
Healthy	0.253345275820191	-0.576737737901385	-1.83564714421556	-0.142643376767697	-0.0835460514500749	-0.119826892692204	-0.593527949534324
Healthy	-5	-5	-5	1.07310257186231	-5	1.1269644402306	-5
Healthy	-0.85873840937791	-0.434990895787404	-1.14697138528701	-5	-0.218474395596606	-1.79425445905734	-5
Healthy	1.05839185658905	-0.0813721327862228	-5	0.935873389978904	-0.00261361560268669	0.122641769625536	-5
Healthy	0.203449022518777	-5	-1.01269132626882	-0.639539128949822	-5	-0.755747626027527	-5
Healthy	0.444673910810744	0.559244509416333	-5	1.10762472634163	-5	-0.160232938160214	-5
Healthy	-0.726050107449991	-0.810650075660802	-5	0.0604674143361238	-1.58037463911226	0.439799901220617	0.218461978766149
Healthy	0.0757512871934784	-1.23912536194781	-0.210553262965207	-0.768046430801019	0.270571704722232	-0.325074592106928	0.90543588720795
Healthy	-0.72268882082597	-0.767664722914346	-5	0.490921572614853	-5	-0.129479049987236	-5
Healthy	1.22703810241191	-0.300812902691751	-5	0.393975096445539	0.74214280216862	0.457819850233151	-5
Healthy	-1.12871902714203	0.409194025170417	-5	-0.48384819086776	-5	-0.914780798955058	-5
Healthy	-0.738404101517821	-5	-0.620730750526353	-5	0.766518433276982	-1.64474009447262	-5
Healthy	1.37284206856713	-0.4678318683063	-1.34208406317004	1.10904437714116	0.218672021321886	0.723240523942585	-0.0989123766000521
Healthy	0.360097118092937	-0.139763839938269	-5	0.436447310914848	-5	0.357746230812359	-5
Healthy	0.815012931185225	-5	-0.142926951366022	-5	1.30050874675137	-0.686533527341765	-0.265824467335679
Healthy	-0.922268820347608	-0.856080061614163	-5	0.99456129217834	-1.06108018775523	-0.304833651694131	-5
Healthy	-0.370671966205419	-5	-5	-5	-0.392009141452825	-5	-5
Healthy	-0.940058111938045	-0.863279432843593	-0.606021397348228	-5	-1.06429125215734	-1.68423950933427	-5
Healthy	-5	-5	-5	-0.460986665060487	1.68812791006636	-0.343039817257151	-5
Healthy	-0.366460851072662	-1.02447628703967	-1.10941133229451	-0.215925022521303	-1.60101893334187	0.213326465927919	-0.194444773478747
Healthy	-0.581831337932134	-0.0468639369858433	-5	1.38646596861784	-5	-0.74816718137136	-5
Healthy	-0.713813083058962	-0.341330501793832	-1.12644690648638	0.530503213925169	0.21827810816134	-2.57348873863542	-0.743787541434838
Healthy	-2.69680394257951	-0.0893435844122668	-0.986109939671561	0.750233691942234	-5	-1.43004118190341	-1.09044397075882
Healthy	0.63423738469509	0.163846875794205	-1.09642170633695	-0.687653360969147	-5	-0.885355661097721	-5
Healthy	-0.0375264840391993	0.759851342542993	-1.81958736716168	1.40112833208387	-5	-0.529736553034922	-5
Healthy	0.186603221792895	-0.683903790324869	-0.812310106474816	-0.299330889371745	-5	-1.75300930075845	-0.726790316599669
Healthy	0.345965457886395	-1.06068046892176	-1.03123695180275	-0.587875593826683	-0.200824927584771	-0.235375602149019	-1.15187248943213
Healthy	-0.530929447968747	-0.423336216585005	-5	-0.328716051374985	-1.40693556834128	0.0460149508590078	-5
Healthy	-0.341635584312928	-0.0285803382281341	-2.91721462968355	0.768325030057909	0.066516004090991	-0.0923522065996969	-5
Healthy	-1.95233580539844	0.234745000628051	-1.23121395309199	0.749569366032057	-1.13948232253825	-1.03607057797344	-0.276363751548955
Healthy	-0.410351941664339	-0.844998163768747	-1.10325338439259	-0.181859917724294	-5	-0.787785752580059	-5
Healthy	1.44376241272035	-0.920782564253433	-0.879919865870547	1.7298044975577	-5	0.544609953795997	-5
Healthy	-5	-5	-1.05276239212933	-0.00137890022102005	0.667019376016459	0.0811419957201863	0.459439232218998
Healthy	-0.334353353872193	-0.81121208736253	-2.59859945921846	-5	-5	-0.612450012609767	-5
Healthy	0.108751013469221	-1.78727984558216	-1.43168091490489	-5	-1.60572347323218	-0.844208647642382	-5
Healthy	0.806654046147595	-5	-0.183427303973897	-5	1.30133411244408	-0.564028293600659	-0.262688062010375
Healthy	-0.999088937868777	-0.991357252434715	-1.24123945609002	-5	-5	-5	-5
Healthy	-5	-1.15851539066461	-1.57528166266843	-1.02122621566988	0.0558597642979701	-5	1.19431477032722
D006973	0.144004113952481	-0.110373398667119	-2.01502287358451	-5	-5	-5	-5
Healthy	1.21619916612133	-5	-5	-5	-5	-0.845697780315335	-0.48537256758866
Healthy	0.244037017036314	-5	-1.0073581301216	-0.65380355627079	-5	-0.989530430203608	-5
Healthy	-5	-5	-5	-5	-2.0301183562535	-0.938698343793955	0.506717392419689
Healthy	-0.471276076739006	-0.719763190390311	-0.998699066979582	-0.207181230830761	-5	-0.849304948857286	-5
Healthy	0.243191885767495	0.451102996833693	-5	1.35339280128144	-5	1.2620379575553	0.0200254863257827
Healthy	1.19097649680895	0.239269440429388	-1.43937612545007	0.704108458618344	-5	0.335205073740825	-5
Healthy	-0.890826578574528	-5	-5	-0.411392195257313	-5	-0.617982957425132	-5
Healthy	0.776060890414528	-0.500381640299993	-0.69216179584344	-0.30756731148585	-5	-1.01295971302073	-5
Healthy	1.12155820285983	-5	-5	-5	-0.264648654831209	-0.654998961821958	-0.21511893041391
Healthy	0.155405883408257	-0.674217602484195	-1.03428102975578	-5	0.282975385635692	-1.85047298624565	-1.70289634985074
Healthy	0.361376481869873	-2.43297363384094	-5	0.714166239729455	-5	-0.498803757972911	-5
Healthy	-0.652923803930265	-0.690433704106227	-1.17947015147648	0.992401068294658	-5	-0.201985035648513	-5
Healthy	-2.03105031901866	0.045334716316743	-0.548014111051091	-0.135524518308971	-0.0582550850508751	0.376981866455769	-5
Healthy	0.0660723575773765	-0.35269528819389	-5	0.412347969086344	0.263893965288644	-5	-0.265648292705235
Healthy	0.585749411171379	-5	-1.70929775671215	-0.29654525468797	-5	-0.703290943824397	-5
Healthy	-0.641284886197868	-5	-5	-5	0.886332206961341	-5	-5
Healthy	0.138826693810669	-0.502144659868822	-1.35872424276809	-2.17392519729917	-5	-1.19348086591929	-5
