group	Lachnospiraceae	Streptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Erysipelotrichaceae	Peptostreptococcaceae	Eggerthellaceae	Micrococcaceae	Bacteroidaceae	Acutalibacteraceae	Dialisteraceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	6.7014	0.01765	0.19788	0	0	0	0	0	0.00917	0	32.3303	0.70541	0.386	0.18758	0.19788	0	0.16032	0.15405	0.00917	0.29606
Healthy	21.81106	0.56085	0.08046	2.04301	0	0	0.02074	0	0.00649	0	35.65422	0.14072	0	0.07048	0.08046	2.04301	0.02795	0.09305	0.00649	0.17639
Healthy	19.16726	1.04933	0.33622	0	0	0	0.06243	0.02658	0.04105	0	34.30152	0.6487	0	0	0.33622	0	0.08893	0	0.04105	0
Healthy	9.33161	0.01657	0.91269	0	0	0	0.79186	0	0.02361	0	28.09092	3.93134	10.2571	0	0.91269	0	0.24086	0.0012	0.02361	0.14512
Healthy	13.53386	0.08838	1.43581	0.00079	0	0	0.00364	0.01345	0.28108	0	39.23273	4.96347	0	0.52921	1.43581	0.00079	0.38997	0.05871	0.28108	0.01227
Healthy	2.91449	0	0.14288	0	0	0	0.163	0	0	0	55.7372	0.9933	6.24256	0	0.14288	0	0.60257	0.07883	0	0
Healthy	0.18846	1.2222	0.12	0.01689	0	0	0	0	0	0.33442	9.03133	0.00014	0	0	0.12	0.01689	0	0.13184	0	0
Healthy	13.06821	0.18972	0	0	0	0.22036	0.79534	0	0	0	26.41612	1.82773	0	2.8803	0	0	0.33091	0.08855	0	0.16812
Healthy	1.11149	0.23259	0.15444	0	0	0	0.01149	0	0	0	85.81859	0.35951	3.32443	0	0.15444	0	0.18962	0.00251	0	0
Healthy	8.53065	0.14253	0.01631	0	0	0	0.00061	0	0	0	36.05486	0.02581	0	0	0.01631	0	0.12367	0.037	0	0
Healthy	4.60479	0.21411	0	1.00509	0	0	0.05876	0	0	0	18.8565	1.03234	0	0.54614	0	1.00509	0.66922	0.65549	0	0.05326
Healthy	3.30342	0	0.102	0	0	0	0	0	0	0	24.95525	0.20168	0	0	0.102	0	1.66202	0.05737	0	0
Healthy	24.13931	0	0.06941	0.01163	0	0	0	0	0	0	31.29799	0.15905	0.59117	15.6428	0.06941	0.01163	0.0234	0.02658	0	0.22964
