group	Alistipes	Prevotella	Phascolarctobacterium	Phytobacter	Parasutterella	Alistipes_A	Paraprevotella	Bilophila	Coprobacter	Eggerthella	Bacteroides	Parabacteroides	Mediterraneibacter	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Clostridium_A	Parasutterella	Holdemania
Healthy	4.51584	0	0	0	0	0	0	0	0	0	32.14339	3.23496	2.41926	0	0	0	0	0	0	0
Healthy	9.23568	0	3.54093	0.04844	0.07849	0	0	0.02636	0.4896	0	5.2569	0.78517	1.44291	0	0	0.00947	0	1.56588	0.07849	0.03596
Healthy	1.81886	18.11325	3.84709	0	0	0	0.31769	0	0	0	6.66622	0.90208	0.49757	0.09861	0.92764	0	0	0	0	0
Healthy	0.8049	0	1.79344	1.09555	0.0093	0.45022	0	0	0	0	12.62268	0	1.36041	1.40816	0.48243	0.02251	0.45022	0	0.0093	0
Healthy	5.66775	9.43514	2.26583	16.867	0	0	0.07111	0	0	0	4.15461	1.03617	0.94544	0	0	0	0	0	0	0
Healthy	5.11543	0.00036	0	0.04967	0.02467	0.12226	0	0	0	0	2.94163	0.28318	1.78543	0	1.27209	0.00964	0.12226	0.0107	0.02467	0
Healthy	6.87422	0	0	0.02561	0.05902	0	0	0.0199	0	0	37.32201	2.41768	0.02543	0	0	0.41484	0	0	0.05902	0.01773
Healthy	3.5844	0	1.95356	21.7082	0	0.02955	0	0.0013	0	0	10.28274	0.81843	0.0276	0.12934	0.86467	0	0.02955	0.02199	0	0
Healthy	2.18861	11.1162	0	0.00817	0.05891	0.08567	0.73064	0	0	0	5.69648	1.5996	2.00334	0.00287	3.04967	0.01382	0.08567	0	0.05891	0
Healthy	0.12299	0	0	0	0.12175	0	0	0	0	0	8.82167	0.0213	0.21263	0	0	0	0	0	0.12175	0
Healthy	0.21427	31.79219	12.4621	0.42213	0	0	0	0	0	0	0.03596	0.0006	0.15393	0	0	0.00173	0	0	0	0
Healthy	8.61348	6.96922	1.04876	6.48238	0.04911	0.00949	0.51247	0.01955	0	0	8.96166	1.81602	1.68104	0	0	0.79294	0.00949	0.0306	0.04911	0.01647
Healthy	0.68295	2.06912	0	0	0	0	0.16444	0	0.0169	0	5.18629	0.82088	0.47254	0	0.22406	0	0	0.02454	0	0
D001528	16.68745	19.307	0	0.36158	0	0	0	0.05764	0	0	10.28089	2.01746	0.08808	13.5823	3.58099	0.03304	0	0	0	0.00523
Healthy	0	0	0	0.61823	0	0	0	0	0	0.04783	0.00116	0	15.9755	0	0	1.79372	0	0	0	0
Healthy	3.20901	0	0	0	0.0283	0	0	0	0	0	15.43309	0.18134	0.31833	0	0.9083	0	0	0	0.0283	0
Healthy	0.43508	0.04418	0	0.01636	0.00015	0.01269	0	0.00373	0	0	7.04846	0.93182	0.29638	3.8931	0	0.00064	0.01269	0	0.00015	0
Healthy	2.32716	32.1609	3.27575	0.1043	0.32161	0.04188	0	0	0.01972	0	12.72123	8.30208	0.08068	0	0	0	0.04188	0	0.32161	0
Healthy	9.27913	51.6685	0	0.15734	0.15155	0.11803	0	0.03054	0	0	6.77115	0.90677	0.59615	0	0.93324	0.00058	0.11803	0	0.15155	0
Healthy	1.61042	0	0	0.06106	0.50884	0	0	0	0	0	63.97211	5.52009	0	0	0	0.05427	0	0	0.50884	0
Healthy	0.60937	9.36706	0	0	0	0	0.46241	0	0.19301	0	4.67047	4.21557	3.21832	0	0	0	0	0	0	0
Healthy	1.665	0	0	0.09972	0.01507	0	0	0.24772	0	0	31.3614	2.16565	0.73155	0	0.3977	0.17117	0	0.10615	0.01507	0.02068
Healthy	0.29281	0	0	0	0	0	0	0	0	0	19.46539	0.22304	0.021	0	0	0.01067	0	0.0289	0	0.08166
Healthy	4.14364	0.00254	2.67443	0.00443	0.18042	0.03022	0.8987	0.01535	0.0881	0	11.34088	6.60174	1.21371	0	1.15443	0.08463	0.03022	0.07635	0.18042	0.00672
Healthy	8.55039	0.25656	0	7.64961	0	0.03859	0.51974	0	0.06673	0.00493	9.19932	2.63163	0.03178	2.24124	2.09009	0.06652	0.03859	0.02497	0	0.02086
Healthy	7.48688	0	0	0.21745	0.04446	0	0	0	0	0.05192	5.17941	0.39655	0.11753	0	0	0	0	0	0.04446	0
Healthy	0	0	0	87.6699	0	0	0	0	0	0	0.02353	0.00378	0	0.04965	0	0	0	0	0	0
Healthy	6.33941	0	1.23038	0.87742	0	0.04634	0	0.00889	0	0.01993	22.22715	0.6642	0.09429	1.83111	0	0.03921	0.04634	0.00615	0	0.0151
Healthy	2.77726	0	0	0	0.01528	0	0	0	0	0	40.93105	4.40354	0.32888	0	0	0	0	0	0.01528	0
