p	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota	Methanobacteriota	Bacteroidota	Proteobacteria	Firmicutes_C
Healthy	0.834881459911079	0.162250669289265	-0.738784727731408	1.63962801034967	-5	1.12037516310008	0.99950331749903	0.418049261100667
Healthy	1.14248551342664	-5	-5	-5	-5	1.85877539268605	-1.28075160155205	0.579395987303872
Healthy	0.905775918547835	-5	-5	-5	-5	1.76248500077786	-5	-5
Healthy	0.506005509528048	0.256147450368233	-5	-5	-5	0.753566207633706	-5	0.279527783292017
Healthy	1.42200957240051	-0.0907114758377493	-0.157278457372331	-2.79860287567955	-5	1.67342301960269	0.916401830084926	0.647289058452041
Healthy	0.869094954125148	-0.419576861588155	-0.493494967595128	-5	-5	1.84256505913163	-0.796070062755374	0.792386786145778
Healthy	1.19020951815055	0.0263085008540707	-0.983091956027925	0.815250243860085	-5	1.49356483387704	0.445532593261974	-5
Healthy	1.46509466393064	0.325930056738713	-1.13288622016802	-5	-5	1.71315322488589	-1.03207779326948	-2.22694530663574
Healthy	1.45921979121162	-1.91470942176993	-1.71579493229821	-5	-5	1.76828215948572	-1.96617430604669	-0.517312174147043
Healthy	1.52809127080218	1.3700183746773	-1.07083661679494	-5	-5	1.40912732608835	0.254888708775947	0.469780792850616
Healthy	1.34464707672557	-0.00654613353633836	-0.119826892692204	-0.0835460514500749	-0.593527949534324	1.751024304759	0.253345275820191	-1.90692869362394
Healthy	1.4756432996228	1.07310257186231	1.1269644402306	-5	-5	1.3636531513135	-5	-5
Healthy	1.01454111895657	-0.434990895787404	-1.79425445905734	-0.218474395596606	-5	1.83153801034881	-0.85873840937791	-0.342255943752624
Healthy	1.81661503022113	0.975725834319607	0.122641769625536	-0.00261361560268669	-5	-0.56125202309777	1.05839185658905	-5
Healthy	0.865013906964962	-0.639539128949822	-0.755747626027527	-5	-5	1.93835333049894	0.203449022518777	-5
Healthy	0.621185632512497	1.21581436433129	-0.160232938160214	-5	-5	1.80841638682843	0.444673910810744	0.989411548229137
Healthy	1.77431582986575	0.115287582718438	0.439799901220617	-1.58037463911226	0.218461978766149	1.13997348798446	-0.726050107449991	0.199894984410582
Healthy	0.965797447276839	-0.64160824135098	-0.325074592106928	0.270571704722232	0.90543588720795	1.54122030352031	0.0757512871934784	-5
Healthy	1.53574792951024	0.514227558292393	-0.129479049987236	-5	-5	1.65610510465173	-0.72268882082597	0.193238724856175
Healthy	1.42429183666506	0.473854687320379	0.457819850233151	0.74214280216862	-5	1.43020829188859	1.22703810241191	0.355229239344489
Healthy	1.67799618346722	0.461473014609391	-0.914780798955058	-5	-5	1.54534163593735	-1.12871902714203	0.528402437953617
Healthy	1.24294423094552	-5	-1.64474009447262	0.766518433276982	-5	1.68276546649112	-0.738404101517821	-5
Healthy	1.39068469769986	1.12039984951751	0.723240523942585	0.218672021321886	-0.0989123766000521	1.31879954964682	1.37284206856713	0.300401986291505
Healthy	1.74657558857697	0.53865038202935	0.357746230812359	-5	-5	1.10018575831703	0.360097118092937	0.685564402798436
Healthy	0.980759885403075	-5	-0.686533527341765	1.30050874675137	-0.265824467335679	1.46493613135373	0.815012931185225	0.0206802558933171
Healthy	1.51828844302872	1.00064358161876	-0.304833651694131	-1.06108018775523	-5	1.53452703352098	-0.922268820347608	-0.00398770325701485
Healthy	1.2530225910835	-5	-5	-0.392009141452825	-5	1.82816042852175	-0.370671966205419	0.518154511204127
Healthy	1.49457893733627	-0.863279432843593	-1.68423950933427	-1.06429125215734	-5	1.66400962634643	-0.940058111938045	-0.673787070000569
Healthy	1.23249066332249	-0.460986665060487	-0.343039817257151	1.68812791006636	-5	1.32580085766442	-5	0.498321583350671
Healthy	1.45331895172898	-0.153199145720522	0.213326465927919	-1.60101893334187	-0.194444773478747	1.5976974889962	-0.366460851072662	0.437461993994192
Healthy	1.6692777272002	1.40218999749517	-0.74816718137136	-5	-5	1.23406807784543	-0.581831337932134	-0.515017218069439
Healthy	1.41584323663477	0.58524070644868	-2.57348873863542	0.21827810816134	-0.743787541434838	1.54045311221858	-0.713813083058962	-5
Healthy	1.14208867249843	0.808918910248124	-1.43004118190341	-5	-1.09044397075882	1.75494401147996	-2.69680394257951	-5
Healthy	1.34703771974518	0.221041079911257	-0.885355661097721	-5	-5	1.73383868006618	0.63423738469509	-0.292634245878962
Healthy	1.31590278328254	1.49047300321867	-0.529736553034922	-5	-5	1.39257878095216	-0.0375264840391993	0.864685475789771
Healthy	1.15252805770336	-0.149347639409046	-1.75300930075845	-5	-0.726790316599669	1.80276490252706	0.186603221792895	-0.378107411682646
Healthy	1.41352674519155	-0.461866312749331	-0.235375602149019	-0.200824927584771	-1.15187248943213	1.71674927159693	0.345965457886395	0.310272618148416
Healthy	1.49291480841852	-0.0724294764176733	0.0460149508590078	-1.40693556834128	-5	1.60700891850696	-0.530929447968747	-1.30980391997149
Healthy	1.24379901006385	0.832641096937677	-0.0923522065996969	0.066516004090991	-5	1.68234249553608	-0.341635584312928	1.01190185253402
Healthy	1.36879806566854	0.86538413158512	-1.03607057797344	-1.13948232253825	-0.276363751548955	1.74789136461658	-1.95233580539844	-3.09691001300806
Healthy	0.821560034071882	-0.0965030526641406	-0.787785752580059	-5	-5	1.8861083213193	-0.410351941664339	0.811446306956656
Healthy	-0.476006549684386	1.7307742839286	0.544609953795997	-5	-5	0.99071082098826	1.44376241272035	0.507533402997219
Healthy	1.40206921838821	-0.00137890022102005	0.0811419957201863	0.667019376016459	0.459439232218998	1.67301168634137	-5	-5
Healthy	0.409082289950506	-0.81121208736253	-0.612450012609767	-5	-5	1.94992288585992	-0.334353353872193	0.52617250731388
Healthy	1.55513678720214	-1.78727984558216	-0.844208647642382	-1.60572347323218	-5	1.72528954175842	0.108751013469221	-5
D008545	1.84942789074932	1.04721760684823	1.12344425806341	-5	-5	-1.41487781369318	-1.09674718310604	-2.04383156952464
