group	Enterocloster	Anaerobutyricum	Bariatricus	Blautia_A	Dorea	Anaerostipes	Eubacterium_I	Lawsonibacter	Longicatena	Gordonibacter	Bacteroides	Alistipes	Dialister	Akkermansia	Ruminiclostridium_E	Methanobrevibacter_A	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella
D003093	0.26186	0.54182	0.07652	0.02584	0.12768	0	0.0194	0	0	0	5.98464	0.97844	0	0	0	0	0	0	0	0
Healthy	0.14473	8.22143	9.96514	1.39456	0.57236	0.42149	0	0	0	0.00838	1.98229	0.37778	0	0.10792	0	0	0	0	0	0.02111
Healthy	0.1164	0.16922	0.23747	0.12228	0.10819	0.41065	0.03281	0.02157	0.00806	0	16.1504	11.31915	0	0	0	0.00472	0.85574	0.13375	0.36115	0.17652
Healthy	0.117	0.00271	0.00811	0.01336	0	0.01028	0	0	0	0	76.10276	0	3.4124	0	0	0	0	0.18641	0	0.1305
Healthy	1.27316	0.75976	0.78279	0.92264	1.2793	0.29271	0.26911	0	0.00622	0	22.5985	6.8694	0	0	0.09243	0	0.44013	0.00784	0	1.67474
D003093	3.87091	1.69793	0.86371	4.05761	1.03155	0.39494	0.21235	0	0.00071	0.00294	4.48603	0	0	0	0	0	0	0	0	0
Healthy	0.38006	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35428	0.37891	0	0	0	0
Healthy	0.16166	0.22089	0	0.16675	0.28451	0.10158	0	0.0007	0.0095	0	38.07216	1.6354	0	0	0	0	0.45155	0.15594	0.00139	0.06756
Healthy	0	0.30326	0	0	0	0	0	0	0	0	25.48461	0	0	0	0	0	0	0	0	0
Healthy	1.07944	0.8447	1.14902	0.88979	0.28504	0.26442	0.06108	0.06185	0	0	1.61861	1.08436	0.35407	0.42284	0.1511	0	0	0.18325	0.01971	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.00699	0	0	0	0	0	0	0	0	0
Healthy	0.40157	0.19646	0.3149	0.11474	0.13942	0.00878	0.00532	0	0	0	11.72112	3.17843	0	0.07371	0.02744	0.04229	0.30658	0	0	0.06847
Healthy	0.06527	0.0158	0.02615	0.02625	0.00704	0	0.0014	0	0	0	50.52412	6.80394	7.92844	0	0.11467	0	0.67679	0.04219	0.32412	0.2452
Healthy	0.05417	0.05864	0.02037	0.06149	0.00166	0.01141	0.01098	0	0	0	4.72761	0.00761	0	0	0	0	0	0	0	0.14985
Healthy	0	0	0.0267	0	0	0	0	0.06014	0	0	72.34646	5.18749	1.16371	4.6295	0	0	0	0.18492	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.17896	0	0	0	0	0	0	0	0	0
Healthy	0.57578	0.26223	0.048	0.12229	0.23345	0.0202	0.2963	0	0	0	43.10785	2.97183	1.73952	2.84123	0	0	0	0	0	0
Healthy	1.69612	0.38815	0.77662	0.32722	0.28537	0.12592	0.00779	0	0	0	25.02003	3.43411	0	2.40184	0.12575	0.34645	2.43521	0.01967	0	0
Healthy	0.70995	1.41827	0.11504	0.5178	1.01327	0.00895	0.62034	0	0	0	3.5946	1.86479	0	0	0	0	0	0.00296	0.03683	0
Healthy	0.18932	0.84811	0.9745	0.23108	0.31404	0.1209	0.5552	0.02176	0	0	5.54578	5.37174	0	3.47228	8.83926	0	1.00954	0.21782	0.14533	0
Healthy	0.04392	0	0	0	0	0	0	0	0	0	4.33257	21.49616	0	4.19116	0	0	0	0.02751	1.41859	0
Healthy	0.07397	0	0	0.26753	0.06771	0	0	0	0.27999	0	29.5281	13.00116	5.95091	0	0	0	0	0.03845	0.15065	0.17425
Healthy	0.12283	0.83096	0.00546	0.32436	0	0.74714	0	0	0	0	19.99269	3.23914	2.51346	0	0	0	0	0	0	0.04372
Healthy	0.18009	0.54504	0.38673	0.36115	0.21378	0.35772	0.14853	0	0.00593	0.03095	11.68871	5.67276	0.5914	0.21299	0.44764	0.08608	0.64036	0.02709	0.02509	0.05991
Healthy	0.02169	0	0.00326	0	0	0	0	0	0	0	57.88383	0	10.2634	0	0	0	0	0.01201	0	0
Healthy	0.37359	0.19502	0.33775	0.15086	0.13161	0.11456	0.02981	0	0	0	19.136	2.80369	0	0	1.11325	0	1.4341	0.01029	0.01978	0.01022
Healthy	0.33464	0	0.31288	0.23836	0.24642	0	0	0	0	0	11.63372	3.15639	8.4106	2.48303	0.31796	3.55858	0	0	0	0.03674
D003093	1.00525	4.81008	0	3.12062	6.9531	0.93322	1.3137	0	0.06898	0.00398	5.19558	0.12359	1.58164	0.3348	0	0	0	0.04468	0	0.0526
Healthy	0.05061	0.01131	0	0.0622	0.01832	0	0	0.49156	0	0	30.24284	19.74823	0.0601	0	0	0	0.80875	0.13575	0.29933	0.00555
Healthy	0.03212	0.02243	0	0.00322	0	0	0	0	0	0	36.82174	23.73072	0	3.73739	0.03116	0	1.43248	0.02004	0.04702	0.00974
Healthy	0.0138	0.03897	0.00888	0.0313	0.00161	0	0	0.41428	0	0	46.18136	9.0448	6.3059	0	0.21843	0	1.14002	0.14503	0.0542	0.24045
Healthy	0.39965	0.31401	0.69162	0.2314	0.36595	0.00538	0.06699	0	0.01131	0	8.94942	0.82024	0	0	0.04207	0	1.51598	0.02248	0	0.28696
Healthy	0.93956	0.72386	1.20953	0.27396	0.31194	0	0	0	0	0	8.55949	3.63084	0	4.79499	0.14832	0	1.97267	0	0	0.42965
Healthy	0.04887	0	0	0.25446	0.08659	0	0	0	0.31466	0	29.31034	11.62501	6.22355	0	0	0	0	0.04033	0.16936	0.16316
Healthy	0.01226	0.16294	0	0.33739	0.102	0.02653	0	0.35666	0.00194	0	9.68419	9.53555	0.59341	0.4868	0.0132	0	0	0.18334	0.36129	0.00315
Healthy	0.24568	1.43599	4.6617	1.64149	0.65282	0.28966	0	0	0	0	2.89613	0.61412	10.6599	0	0	0	0	0	0	0.07051
Healthy	0.56179	0	0.35207	0.02474	0	0	0	0.61744	0	0	62.3368	4.91666	0.72202	12.5924	0	0	0	0.57271	0	0.11572
Healthy	1.32018	0.63096	0.78062	0.45723	0.93762	0.21141	0	0	0.00366	0.04169	8.24626	0	9.96174	0	0	0	0.6925	0.08069	0	0
Healthy	0.07185	0.39313	0.07762	0.39675	0.18297	0	0.03408	0	0.21155	0	4.25915	5.33246	0	5.3777	0.04994	0	0	0	0	0
Healthy	0.06514	0.20239	0.19313	0.11668	0.14352	0.01396	0.06329	0	0	0.00118	2.71172	4.61793	0	0	0	0	0.33816	0.01387	0.1337	0.04881
Healthy	0.11673	0	0.00986	0.0462	0.00369	0	0	0	0	0	10.46261	19.67138	0.37792	0.50525	0	0	0.84992	0.00579	0.0357	0.01745
Healthy	0.14604	0.02292	0.28773	0.34421	0.14468	0.92787	0.00468	0	0	0	18.93806	0.30637	0	0	0	0	1.03629	0.01457	0	0.05623
Healthy	0.37099	0.20391	0.35986	0.20214	0.09617	0.02718	0.01506	0	0	0	1.89724	1.38996	0	0.04092	6.70702	0.04421	0.51874	0.00482	0	0.00432
D003093	0.03285	0	0.02404	0.03552	0	0	0	0.36944	0	0	61.32208	0	0	0	0.13643	0	0	0.22757	0	0
Healthy	2.47066	2.32936	2.78294	3.18766	1.98426	1.13843	0.11471	0	0	0	4.18947	1.50081	0	0	0	0	0	0	0	0
Healthy	0	0	1.00099	0.27544	0	0	0.79183	0	0	0	5.14105	2.67884	0	0.3553	0.40313	0	0	0	0	0
Healthy	0.54515	0	0	0.00044	0	0	0	0	0.00651	0	11.39588	0.16971	0	0	0.00681	0	0	0.00448	0	0
Healthy	0.58827	0.07542	0	0	0	0.00721	0	0	0.15541	0	33.70968	3.71616	0	1.24863	0	0	0	0.04129	0	0
D003093	0.43911	0.36109	0.8972	1.25211	3.2885	1.03252	0	0.09581	0	0	15.89932	0.00985	0	0	0	0	0	0	0	0
Healthy	0	0.36857	3.12135	0.16602	0.87761	0.81442	0.43576	0	0	0	5.0909	2.34827	5.29396	0	0	0	0	0	0.09297	0.05785
Healthy	0.09668	0	0	0.18765	0.06886	0	0	0	0.24047	0	28.87559	10.77159	6.22044	0	0	0	0	1.89266	0.14862	0.1497
D003093	0.04409	0	0	0	0	0	0	0.33497	0	0	44.3104	0	0	0	4.56054	0	0	0.0255	0	0
Healthy	0	0	0.02433	0.03616	0	0	0	0.06593	0	0	40.16873	2.05442	4.38533	0	0.12586	0	0.98773	0.02162	0.01211	0.07424
Healthy	2.0215	3.27491	0	0	0.46385	0.15254	0	0	0	0	26.25426	4.42974	0.41238	0.06568	0	0	0	0	0	0.10588
Healthy	0.61488	0.56465	0.33855	0.48439	0.14217	0.41161	0.09153	0	0	0	4.97854	0	0	0.35684	2.57283	0	0	0	0.10689	0
Healthy	0.34602	0.3381	0.73343	0.50544	0.56249	0.23918	0.17539	0.00026	0.00213	0	16.40487	15.07536	0.00031	0	0.02632	0	0.85822	0.03512	0	0.00047
Healthy	0.78203	0	0.10438	0.14177	0.0017	0.002	0	0.0078	0.003	0	3.71032	1.41121	0	0	1.69832	1.24695	1.64771	0.07715	0.15474	0.02842
Healthy	0.21891	1.0341	0.51028	0.43894	0.16054	0.01201	0.11849	0	0	0	11.96242	0.74752	3.83576	0	0	0	1.51879	0	0	0
Healthy	0	0	0	0	0	0.0717	0	0	0	0	33.69252	0	0	0	0	0	0	0	0	0
Healthy	0.39512	0.31567	0.96539	0.59777	0.21324	0.24419	0.00345	0.3043	0.0621	0	6.88489	22.15328	0	0.02265	4.80294	0.12133	0	0.80593	0.28626	0
Healthy	1.30319	0	0.08764	0.19554	0.95177	0.21979	0.17351	0	0.0029	0	0.89442	3.82222	0	4.64073	4.79832	27.2102	0	0	0	0.04855
Healthy	2.6543	2.01348	1.43131	2.6573	0	0.10655	0.34054	1.01129	0	0	9.90241	2.79846	0	2.12082	0.08445	1.07	0	0	0	0
Healthy	1.89777	0	0	0	0	0	0	0	0	0	35.85704	11.15259	0	0	0.01501	0	0	0.20631	0.24386	0.3207
Healthy	0.15486	0.06616	0.0616	0.07083	0.00609	0	0	0.88177	0	0.01656	21.89712	4.64349	17.5899	6.84902	0.09018	0	0	0.11748	0.13014	0.00117
Healthy	0.04442	0.01818	0	0.03231	0.01971	0	0	0.5043	0.00255	0	30.59655	19.58655	0.04647	0.00874	0	0	0.7791	0.14317	0.2858	0.0305
Healthy	0.49708	0.28445	0.36796	0.27273	0.10073	0.32889	0.0054	0	0	0	14.20405	10.69766	5.46989	0.2033	0.00181	0.11554	1.01651	0.01357	0	0
Healthy	0.1611	0.45556	0.3999	0.31837	0.10031	0.00271	0.14893	0.00279	0	0	9.82413	4.04721	4.49228	0.0876	0	0	1.63733	0.02494	0	0
Healthy	0.41217	0	0	0.00203	0	0.03975	0	0	0.06649	0	10.4525	0.19282	0	0	0	0	0	0.00427	0	0.41164
Healthy	0.03837	0	0	0.03572	0.01276	0	0	1.64008	0	0	8.91751	17.84341	0	0	0	0	2.77883	0.06392	0	0.00477
Healthy	0.01547	0	0.06559	0.04168	0	0	0.01895	0	0	0	54.80768	8.15134	4.11526	0	0	0	1.08292	0.10678	0.28609	0.21162
Healthy	0.03666	0.37857	0.41607	0.0908	0.01445	0.13756	0.09432	0	0	0	11.53112	3.21779	0	0.01892	0	0	0	0.0173	0	0
Healthy	0.02052	0	0	0	0	0	0	0	0	0	3.67946	0	0	0	0	0	0	0.30588	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	7.74069	0	0	0	0.00079	0	0	0	0	0
Healthy	1.23268	0.58515	0.93647	0.29456	0.49591	0.07557	0.52466	0.62082	0	0.02313	2.58893	3.77686	2.36481	0	0	0	0	0.01789	0	0.00111
Healthy	0	0	0	0	0	0	0	0	0	0	0.01012	0	0	0	0	0	0	0	0	0
Healthy	0.03436	0.50781	3.77938	0.17475	1.2331	1.27083	0.65857	0.01164	0.00934	0.01051	5.39174	1.53655	4.91686	0	0.04615	0	0.50231	0.09431	0.06943	0.18138
Healthy	0.22505	0	0	0.01676	0	0	0	0	0	0	9.44505	12.53258	0.19137	0.72345	0	0	0	0.01544	0.0038	0.00143
Healthy	0.13439	0.03486	0.26248	0.3489	0.13404	0.8149	0.01832	0	0	0	18.53668	0.33796	0	0	0	0	1.06776	0.03777	0	0.05103
Healthy	0.51148	2.63926	3.44042	2.44988	0.31921	0.182	0.47343	0	0.04134	0.00093	7.45403	4.97063	0	0.76146	0	3.0169	2.35597	0.02049	0.22293	0
Healthy	0.118	0.76519	0.29473	0.29312	0.22954	0.08184	0.06148	0	0	0.09063	14.01788	5.99648	1.1194	1.98576	4.62491	0.6898	0.40554	0.02226	0.05173	0.11497
Healthy	0.84429	0.56616	0	3.68226	0.4514	0.36914	0	0.7125	0	0	13.92662	3.45281	0	0	0	0	0	0	0	0
Healthy	0.20865	0.18196	0.15956	0.18425	0.45996	0.36483	0.01567	0	0	0	6.84448	1.73103	0	0	2.19297	0	1.04115	0.0061	0	0
D003093	2.93916	1.06836	0.6792	0.96097	0.87231	0.15551	0.00985	0.00581	0.00628	0.0493	1.60296	2.09751	4.58517	0	0.13353	0	0.94058	0.01503	0.35708	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.0862	0	0	0.15625	0	0	0	0.01314	0.10469	0.16459	8.73793	1.2302	2.62815	43.6798	0.46847	0	0	0.05289	0	0.00914
Healthy	4.31906	1.27661	0	0.22738	0.4587	0.10843	0.55071	8e-05	0.21905	0	8.21825	3.70546	0	0	2.24205	0	0.3067	0.1527	0	8e-05
Healthy	0.20471	0.07071	0.47131	0.08164	0.10964	0.0912	0.05708	0	0.00192	0	33.24027	1.41079	0	0	0	0	1.04767	0.21574	0.00788	0.5597
Healthy	0.04198	0	0.00879	0.0333	0.03271	0.00353	0	0	0	0	7.17393	29.12451	2.43521	0	0	0	1.44352	0	0.2435	0.00295
Healthy	0.14131	0	0.00355	0.02296	0	0	0.04954	0.15893	0.02013	0	38.02173	2.54842	1.2734	0	1.45047	0	0	0.1219	0	0
Healthy	0	0	0	0.83605	0	0	0	0	0	0	10.78958	0	2.61997	0	0	0	0	0	0	0
D003093	0.64408	1.01017	0.26198	0.95391	0.59289	0.16507	0.26835	0.00181	0.02658	0.00656	10.93294	3.18416	3.0933	0.00671	0.13594	0.12786	0.99636	0.03882	0.04891	0.024
Healthy	0	0	0	0	0	0	0	0	0	0	3.23478	29.72015	0	0	0	0	0	0	0	0
Healthy	0.70327	0.66924	1.28141	2.8669	0.12059	0.03318	0.32262	0.00833	0.02485	0	20.29389	8.94894	0	1.58407	4.2719	0.18045	0	0.08609	0.21245	0.09801
Healthy	0.11845	0	0	0.13498	0.08232	0	0	0	0.27504	0	29.2558	11.58602	6.19504	0	0	0	0	1.8241	0.1754	0.12904
Healthy	0.01327	0	0	0.00239	0.01615	0	0	0	0.03612	0	25.88152	15.21235	6.01422	0	0	0	0.54807	0.01895	0.26543	0.11868
Healthy	1.23168	0.36717	0.47949	0.35224	0.45931	0.07877	0.3171	0.01038	0.00495	0	3.31078	5.75613	0	2.74406	0.1691	0.7215	1.16749	0.01835	0.03646	0.01891
Healthy	1.38003	1.1733	1.25289	1.25094	0.60402	0.14752	0.73831	0	0.03193	0	15.36156	6.13467	0	0.55328	0.46478	0.45909	0	0.029	0	0
Healthy	0	0	0.02406	0	0.00347	0	0	0	0	0.00407	21.50056	16.34596	0	8.52608	0.17387	0	0.21893	0	0	0
Healthy	0.06	0.15532	0.03455	0.60207	0.01066	0.26645	0.08261	0	0	0	10.05138	10.13398	0	9.31857	0.21898	7.872	1.73745	0.3819	0.22823	0
Healthy	0	0	0	0	0.06765	0	0	0	0	0.00972	10.83698	23.126	0	5.41567	0.04349	0	0.09995	0	0.00842	0.00818
Healthy	0.09623	0	0.01958	0.0582	0.0196	0	0	0	0	0	10.72421	19.35007	0.35224	0.5814	0	0	0.80985	0.01331	0.01811	0.0173
Healthy	0.12129	0.27421	0.15192	0.50545	0.04183	0.42323	0.03027	0	0	0	22.37697	9.65528	0	1.05638	0.04541	1.94601	1.64459	0.25303	0.01668	0
Healthy	0.0851	0.01431	0.04769	0.03849	0.00444	0	0	0	0	0	50.57146	6.80177	7.84332	0	0.06779	0	0.70482	0.06527	0.33294	0.22153
Healthy	2.39342	1.53153	2.34923	0.21409	0.87028	1.03435	0.4864	0	0.01114	0	2.88076	0.04203	2.99798	0	0	0	0	0.04242	0	0
Healthy	0.12489	0	0	0.18463	0.12508	0	0	0	0.31189	0	29.56681	11.38816	6.42925	0	0	0	0	0.04558	0.14441	0.16446
Healthy	2.46682	0	0	0	0	0	0	0.38818	0	0	70.2404	1.49861	0	0	0	0	0	0.57604	0.03321	0.1169
Healthy	0.25844	1.03653	0	0.34456	0.6491	0	0.39341	0	0	0	2.61329	2.67202	0	0	0	0	0	0	0	0
Healthy	0	0	0.04743	0.02157	0.00825	0	0	0	0	0	21.10701	16.78135	0	8.20473	0.19193	0	1.27246	0	0	0.01322
Healthy	0.57856	0	0	0	0	0	0	0	0	0	15.53154	0	0	0.59403	0	0	0	0.0778	0	0
Healthy	0.05757	0.6034	0	0.14953	0.11911	0.21884	0	0	0	0	18.60614	8.19907	4.57379	0.4233	0.01463	0	0	0.02115	0	0
Healthy	0.99093	1.38666	0.30058	0.85647	0.11428	0.04597	0	0	0	0	16.1631	0.38558	1.01678	0	0.18227	0.70003	0	0	0	0
D003093	0.58302	0	0	0.00056	0	0.25552	0	0	0.00072	0	41.13409	0.07748	0	0	0	0	0	0.00934	0	0
Healthy	0.10123	0	0	0.03327	0.00393	0	0	0	0	0	6.33785	20.61466	0.39964	0.50967	0	0	0.87191	0.00622	0.02765	0.02551
Healthy	0	0	0	0	0	0	0	0	0	0	45.39267	0	0	0	0	0	0	0	0	0
Healthy	0.38712	0	0	0	0	0.00902	0	0	0.23882	0	6.64099	0.0147	0	0	0	0	0	0.00953	0	0
Healthy	1.61556	0.49404	0.73137	0.1493	0.57266	0.11325	0.07974	0	0.00059	0	23.07233	0	0	0	0.06944	0	0	0.06911	0	0
Healthy	0.35445	3.83709	1.99918	1.12385	0.24857	0.19364	0.40393	0	0.01402	0.016	7.35922	8.28617	0	0	0	0	1.03593	0.14181	0.01029	0
Healthy	0.40063	0.6196	0.23851	0.22248	0.42575	0.07892	0.11289	0.00423	0	0	9.26431	0.47165	0.00215	0.00396	0.32851	0	0.9664	0.04494	0.00361	0.01187
Healthy	0.02801	0	0	0	0	0.00664	0	0	0	0	31.9736	0	0	0	0	0	0	0	0	0
Healthy	0.01969	0.0503	0.07336	0.03871	0.01467	0.01185	0.02335	0.08618	0.00818	0	11.89159	8.76056	0	0	0	0	1.07007	0.05422	0	0.00694
Healthy	0.08257	0.31165	0	0.08954	0	0.14596	0.02826	0	0.00441	0	6.58435	0.20701	0	0	0	0	0	0.0045	0	0.5146
Healthy	0.07045	0	0	0.06454	0.01528	0	0.06975	0	0	0	38.74482	1.60996	0	0	0.27268	0	1.98441	0.01899	0	0
Healthy	0.57853	0.00274	0.08586	0.13661	0.00926	0	0	0	0.00143	0	5.3611	25.7302	0	6.92065	2.34111	0	1.71086	0.0551	0	0.20349
Healthy	2.50659	0.81044	0.97928	0.52458	0.56574	0.19369	0.00649	0	0.03596	0.08219	4.45024	1.07814	0	2.29678	3.58994	0	0	0.01996	0	0
Healthy	2.80821	1.93431	1.26116	0.74575	0.37941	0.84791	0.39783	0	0.00041	0.06534	6.14682	4.80061	0	7.21283	0.03168	0	0.92509	0.01106	0.18439	0.03352
Healthy	0.19353	0.47104	0.49446	0.05308	0.15374	0.06286	0.14401	0	0	0	39.8737	2.3879	0	0.70978	0	0	0	0.02285	0	0
Healthy	2.2068	1.25975	2.45145	0.99442	0.72412	0.33408	0	0.03376	0	0	12.44722	1.15186	1.57303	2.42903	1.77014	23.0782	0.92838	0	0	0.00375
Healthy	1.20912	0.68976	0.49662	1.19453	0.24477	0.31358	0.01961	0	0.01699	0.03569	24.45945	4.28571	0.31831	0.16777	0.17456	0	1.65077	0.48454	0	0.01064
D003093	2.26201	2.04256	1.41459	2.40542	1.95233	0.43624	2.5357	0.06728	0.00692	0.03602	6.31169	0.51073	0	0	0	0	0	0.00124	0	0.1686
Healthy	0.33095	0.01211	0.02022	0.10442	0.11898	0.30422	0.05937	0	0.00817	0	14.64369	13.4447	0	3.27005	18.1798	5.69836	0.75395	0.03129	0	0.04308
Healthy	0.99309	0	0	0	0	0	0	0	0	0	64.69363	1.4337	0	1.90243	0	0	0	0.06199	0	0.52898
Healthy	0.34206	0	0.03027	0	0.01659	0	0	0	0	0	50.36608	0.63222	0	0	2.86789	0	0.90234	0	0	0
Healthy	0.00355	0.02868	0.04602	0.11362	0	0	0	0	0	0	22.48395	13.81171	0.39088	0	1.74153	0.19466	2.35519	0.1449	0.01242	0.01276
Healthy	0	0.00056	0	0	0	0	0	0	0.03603	0	4.59382	0	0	0	0	0	0	3.97707	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	23.11624	0	0	0	0	24.9923	0	0	0	0
Healthy	0.38423	0.0848	0.21163	0.13331	0.05521	0.00497	0	0	0	0	12.69822	0	0	0	0	0	0	0	0	0
Healthy	0.28087	0	0	0	0.45808	0.00763	0	0	0.00719	0	17.29721	0.00204	0	0.96214	0	0	0	0.07107	0	0
D003093	0.77201	0.65681	0.93709	0.42282	0.22033	0	0	0	0	0	3.79474	0.40244	1.02843	0	9.11908	0.50707	0	0	0	0
Healthy	0.44459	0.38783	0.40254	0.50832	0.2821	0.0494	0	0	0	0	4.14427	0.56682	6.11846	0.51042	2.52358	1.18571	0	0	0	0
Healthy	0.01584	0	0.01284	0.04114	0	0	0	0	0	0	33.20138	17.74209	0	5.89208	0.08286	0	0.75415	0.07391	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.77297	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	2.29418	0	0	25.72978	16.26894	0	0	0	0	0	0.01572	0	0
Healthy	0.28375	0.04491	0.17775	0.1154	0.02561	0	0	0	0	0	7.45625	7.06329	0	22.9272	0.00848	2.25233	0	0.85776	0	0
D003093	0.60449	0.14377	0.49501	0.98691	0.07468	0.06331	0.00779	0	0	0	13.84251	0.47442	0	0.1072	3.471	2.66297	1.09235	0.00643	0.04114	0.12771
Healthy	0.04402	0.57907	0	0.15292	0	0.32987	0.01857	0	0	0	22.40828	1.72468	1.07244	0	0.24207	0	0	0	0	0.00711
Healthy	2.33179	0	0	0	0	0	0	0.35679	0	0	63.06795	1.36981	0	0	0	0	0	0.54361	0.02589	0.09478
Healthy	0	0	0	0	0	0	0	0	0	0	1.71329	0.00083	0.00055	0	0	0	0	0	0	0
Healthy	0.08354	0	0.02656	0.0371	0.00424	0	0.00829	0	0	0	49.61939	6.49996	8.03237	0	0.08683	0	0.66576	0.04463	0.3247	0.23073
D003093	1.83368	0.27596	0.02446	8.01128	0.44776	0.36457	0	0.13163	0.07288	0	7.73875	6.54429	0	0	15.146	9.21716	0	0	0	0
Healthy	0.45943	0.00665	0	0.04129	0	0	0	2.6645	0	0	22.30229	17.32851	0	0	0	0	1.13165	0.14041	0	0.0111
Healthy	0.28469	0.08383	0.26891	0.17803	0.26284	0	0	0	0	0	11.98016	3.47004	9.88296	3.03715	0.44281	2.85438	0	0	0	0.04614
Healthy	4.11687	1.67754	2.72282	1.38972	0.42435	0.81222	0.93694	0	0.00836	0.01282	37.38131	8.42316	0	0.27013	0.02502	0	0	0.07789	0.15643	0
Healthy	0	0	0	0	0	0	0	0	0.00052	0	1.98728	0.00218	0	0	0	0	0	0.01949	0	0
D003093	0.00916	6.60454	3.0127	1.12119	0.76837	1.1437	0	0.07691	0.12708	0.07054	7.83526	2.62563	0	0	13.8603	2.4371	0.25639	0.05576	0	0
Healthy	0.10462	0	0.0076	0.05756	0	0	0	0	0	0	10.46621	19.44448	0.369	0.60698	0	0	0.85933	0	0.02892	0.02743
Healthy	0.01279	0	0.18587	0.00511	0.02118	0	0.08116	0.00429	0	0	39.95093	7.23757	0	0	0	0	0	0.04172	0.00698	0
D003093	1.79381	0.64036	0.13494	0.43949	0.94927	0.22279	0.20048	0.28011	0.00633	0.00306	10.26986	0	0.57372	0	0	0	0	0.06365	0	0.65405
Healthy	0.1121	0.01657	0.05382	0.8849	0	0.49053	0.03548	0	0	0	20.13636	12.42502	0	1.10837	0.06916	0.72763	1.26878	0.17107	0	0
Healthy	0.65421	0	0	0.00579	0.31537	0.52591	0.17181	0	0.00354	0	24.55407	0	0	0.00206	0	0	0	0.01791	0	0.25013
Healthy	0.02641	0.70296	0.59448	0.16847	0.03064	0.29528	0.09112	0.00124	0.00164	0	22.39108	12.57713	3.11691	0.16075	0.36434	0	1.61871	0.04326	0.0676	0
Healthy	0.06683	0.14445	2.17717	0.20557	0.50773	0.1752	0.28965	0.00419	0	0	27.61551	0	0	0.02062	0	0	0	0.09334	0	0
Healthy	1.45953	0.91817	1.89402	0.57736	0.33615	0.09571	0.13935	0.00171	0.0004	0	7.24076	9.55853	0	0	0.01595	0	1.35491	0.02884	0	0.00502
D003093	1.76732	1.1267	2.04139	0.46018	0.56996	0.52234	0.19205	0	0	0	6.87975	4.97739	0	0	0.9138	0	0	0.0292	0.70191	0.00629
Healthy	0	1.31516	0.82217	0.11405	0	0.61508	0	0	0	0.01333	10.03914	4.03674	2.2472	0	0	0	0	0	0	0
Healthy	5.26636	0	0	0.17932	0.13838	0.62613	0	0	0.00029	0	61.08242	0	0	0	0	0	1.28999	0.0297	0	0
Healthy	1.26413	1.89085	0.43487	0.3095	0.03388	1.05191	0.00718	0	0	0	4.83942	1.2335	17.3349	1.5579	0	3.75888	0	0.31563	0.09517	0
Healthy	0.03642	0	0	0	0	0	0	0	0	0	0	3.2574	0	0	0.16005	0	0	0	0.03717	0
Healthy	0.31612	3.13196	0.12691	1.46423	1.36821	2.0237	0.45487	0	0	0	12.40822	5.21364	0	0	0	0	0	0	0	0
Healthy	1.99837	0	0	0	0	0.41635	0	0	0.02546	0	0.0237	0.00046	1.58516	8.81852	0	0	0	0.01479	0	0
Healthy	0.0935	0.01125	0	0.19544	0.07982	0	0	0	0.32788	0	29.3154	11.17789	6.32995	0	0	0	0	0.05229	0.12313	0.16686
Healthy	4.03756	0	0	0.61209	0.09952	1.36003	0	0	0	0	33.18666	5.84825	0	0	0	0	0	0.06224	0	0
Healthy	0.39297	0.29771	0.28444	0.57189	0.17323	0.06029	0.11997	0	0.00092	0	23.09891	6.29329	0	4.41413	0.00276	0	1.0311	0.18789	0.00063	0.07255
Healthy	1.08436	0.81724	1.89752	1.12174	0.52129	0.2926	0.37903	0.00315	0.02869	0	11.88748	1.43466	0	0.62741	0.00342	0	0.3684	0.06746	0.02861	0.05674
Healthy	0	0	0	0	0	0	0	0	0.14782	0	0.0027	0.00345	0	0	0.00269	0	0	0	0	0
Healthy	0.07588	0	0	0	0	0	0	0	0	0	66.22736	7.05022	1.14664	0	0	0	0.40913	0.12743	0	0.04704
Healthy	0.07873	0	0	0.17181	0	0	0	0.00727	0.10439	0.11948	8.70644	1.27005	2.69129	43.6515	0.45183	0	0	0.06832	0	0.00349
D003093	1.13669	0.96207	0.71038	0.37582	0.29145	0.08463	0.23565	0.03727	0.00789	0.02875	2.38916	2.49138	4.2158	1.38717	2.00787	3.41689	0.49052	0.01304	0	0.00898
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.6478	0	0	0	0	0
Healthy	0.60432	0	0.09129	0.02701	0.04321	0	0.03498	0.00819	0	0	13.93909	11.71794	0	0	1.41978	0.02974	2.62064	0.05226	1.87375	0
Healthy	0.16404	0.40061	0.2534	0.06211	0.05439	0.01494	0.20534	0.00173	0.00159	0	44.36842	0.93553	0	0	0	0	0.82735	0.13478	0	0
