group	Enterocloster	Anaerobutyricum	Bariatricus	Blautia_A	Dorea	Anaerostipes	Eubacterium_I	Lawsonibacter	Longicatena	Gordonibacter	Bacteroides	Alistipes	Dialister	Akkermansia	Ruminiclostridium_E	Methanobrevibacter_A	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella
Healthy	0.15367	0.63437	0	0.33974	0	0.15727	0	0	0	0	15.43309	3.20901	0.99085	0.08687	0.48711	0	0.9083	0	0	0.0283
Healthy	0.21058	0.10803	0.16322	0.01568	0.09646	0.04517	0.07325	0	0	0	12.72123	2.32716	0	0.40549	0.03379	0	0	0	0.04188	0.32161
Healthy	0.10483	0.06532	0.04933	0.09136	0.00182	0.13423	0.10972	0	0	0.00211	31.3614	1.665	0	0.08623	0.1003	0	0.3977	0.17117	0	0.01507
Healthy	2.8838	3.71069	2.39303	0.69925	0.00875	0.77688	0	0.2041	0.1217	0	19.46539	0.29281	3.15007	48.7672	0	0	0	0.01067	0	0
Healthy	0.67854	0.17246	0.8052	0.21407	0.17812	0.08035	0.08635	0.0045	0.00141	0.00019	11.34088	4.14364	0	0.02505	5.25385	0.63907	1.15443	0.08463	0.03022	0.18042
Healthy	0.19353	1.00185	1.22378	0.80681	0.42828	0.98045	0	0	0	0	5.17941	7.48688	0	0	0	0	0	0	0	0.04446
Healthy	0.71649	0.47205	0.88158	0.32854	0.13036	0.35696	0.10032	0.00064	0	0.01691	14.58237	9.43069	0	1.65301	0.77316	0.18038	1.48318	0.05382	1.12029	0.19327
Healthy	0.16007	0.01676	0.01724	0.12906	0.0769	0	0	0.00867	0.0123	0.05095	34.6117	13.90556	0	0	2.9041	0.08119	0	0.20742	0	0.002
Healthy	0.02364	0.64033	0.17051	0.17307	0.2587	0.65154	0.40139	0	0	0	9.98078	3.04812	0	0	0.0078	0	0	0	0.17996	0
Healthy	0	0	0	0	0	0.00655	0	0	0	0	24.34593	0	0	0	0	0	0	0.04847	0	0
Healthy	0.01364	0.00256	0.08538	0.08949	0	0	0	0	0	0	21.7959	13.77824	0.386	0	1.73905	0.18758	2.31782	0.16032	0.03009	0.01697
Healthy	0.39719	0.34	0.20512	0.48211	0.27323	0.28271	0.10492	0.0008	0	0	20.9233	6.19704	0	0.62975	0.50096	0.07048	0.98932	0.02715	0.05137	0
Healthy	0.87631	0.51939	0.77811	0.3583	0.61097	0.1905	0.2393	0.0079	0	0	18.04438	2.5474	0	0.03917	3.9656	0	0.84408	0.08103	0.00799	0.08967
D003093	0.40001	0	0	0.41267	0	0.01837	0	0	0	0	17.97935	0	0.09283	0	0	0	0	0.11011	0	0
Healthy	0.26551	0.43019	0.34916	0.38507	0.20709	0.09643	0.06404	0.0062	0.00016	0	20.34305	1.75725	10.2571	1.1655	0.26842	0	0.45607	0.21544	0.0182	0.02565
Healthy	1.12558	1.67721	1.37517	0.25643	0.46545	0.09444	0.01954	0.00295	0.00364	0.01241	24.21156	6.13224	0	0.07252	0.67935	0.52921	3.30425	0.02161	0.09568	0
Healthy	0.01573	0.06374	0.01663	0.03551	0	0	0	0.5025	0	0	45.82086	8.60817	6.24256	0	0.17288	0	1.03995	0.10007	0.06004	0.29286
Healthy	0	0	0	0	0	0	0	0	0	0	2.12647	0	0	0	0	0	0	0	0	0
Healthy	0.96456	0.56451	0.7182	0.20371	0.06101	0.06974	0.21786	0	0	0	16.9332	8.31905	0	4.64535	0.41444	2.8803	2.06509	0.2895	0	0
Healthy	0.09105	0.01863	0.01295	0.01794	0	0.01274	0	0	0	0	76.44491	0	3.32443	0	0	0	0	0.18962	0	0.0857
D003093	0.42542	2.27575	1.34029	0.69985	0.32626	1.88808	0.49664	0.00799	0.00915	0.01173	17.86164	2.39409	0	6.76964	10.935	0	0.81072	0.15112	0	0.01222
Healthy	0.14689	0.02058	0.34057	0.12538	0	0.03177	0.01725	0	0.00061	0	27.70954	11.63986	0	0.02478	10.3731	0	1.39468	0.12367	0	1.28454
Healthy	1.88463	0	0.00682	0	0	0	0	0	0	0	9.16337	8.93454	0	20.014	0.00489	0.54614	0	0.66922	0.00624	0.00459
Healthy	1.06288	0	0	0	0	0	0	0	0	0	11.75805	16.12624	0	0	0	0	0	1.66202	0	0
Healthy	0.60527	0.92226	0.9289	0.64062	0.45839	0.11062	0.2872	0	0	0	12.93179	0.23838	0.59117	1.13725	0	15.6428	1.03345	0.0234	0	0
Healthy	0.47844	0.31703	0.23437	0.06819	0.06578	0	0	0	0	0	20.1568	3.02671	0	0	0	0.32705	0	0	0	0.04035
Healthy	2.53167	0	0	0	0	0	0	0.37687	0	0	70.91809	1.4586	0	0	0	0	0	0.59111	0.04504	0.08025
Healthy	0.22579	0.44587	0.18392	0.53306	0.26968	0.01693	0	0	0	0	4.39804	0	4.25365	0.00932	1.77715	3.21156	0	0	0	0
Healthy	0.01556	0.0557	0	0.01221	0	0	0	0.54748	0	0	45.09603	8.41418	6.31044	0	0.18227	0	0.99432	0.14654	0.02679	0.29889
Healthy	1.87818	1.94333	2.63735	4.10101	0.67153	0	0	0	0	0	6.87234	1.61128	2.39552	0	0	1.04718	0	0	0	0
Healthy	0.90362	0.56239	0.675	0.32815	0.33065	0.09467	0.1239	0	0	0	23.31325	5.49021	0	0	0	0	0.59341	0.00299	0.26567	0.13187
D003093	0	0	0	0	0	0	0	0	0	0	50.88233	0	0	0	0.95023	0	0	0	0	0
Healthy	0.09816	0	0	0.17257	0.09228	0	0	0	0.24099	0	29.28272	11.47761	6.35013	0	0	0	0	1.74357	0.1613	0.12857
Healthy	0.02291	0	0	0	0	0	0	0	0	0	22.97864	22.15493	0	0	0	0	0.77418	0.02547	0.05469	0.0276
Healthy	0.41483	0.0884	1.31434	0.08257	0	0	0	0	0	0	10.87271	5.79551	11.5958	0.54368	4.76676	0.60936	2.25825	0	0	0.00574
Healthy	0.45183	0.04157	0.11013	0.26395	0.03044	0.06775	0.00849	0	0.0032	0.0036	19.89786	20.6628	0.22524	1.91855	2.28599	0.01981	2.31492	0.03175	0	0
Healthy	0.27756	0.91156	0	0.00032	0	2.17641	0	0	0.03527	0	41.7997	6.05686	0	0	0	0	0	0.00521	0	0
Healthy	0.61162	1.94611	0.03547	0.12913	0.55837	0.34365	0.05594	0	0.02503	0.01863	7.83739	5.4983	4.06746	0	0	0	0	0.13195	0	0.00678
Healthy	0.24044	1.40044	0.21954	0.35495	0.678	0.38652	0.34821	0	0	0.13544	16.97089	4.3396	0	0.87446	15.5655	0	0.58748	0.01037	0.08978	0.00396
Healthy	0.17365	0.26674	0.23362	1.27903	0.08256	0.22003	0	0	0	0	21.12726	17.09281	0	1.83608	0.22622	0.54243	1.88591	0.14019	0.05238	0
D003093	0.6122	4.05587	2.72309	2.82071	0.60932	3.17255	1.60475	0	0	0	16.08199	6.52618	0	0.00323	0	0.03628	2.84765	0.0817	0	0.08264
Healthy	0	0	1.5103	0.10729	0.04752	0	0.04297	0.05454	0	0	42.67203	6.97937	4.47702	0	0	0	0	0.04626	0	1.07698
Healthy	0	0	0.0126	0	0	0	0	0	0	0	13.289	11.65477	0	7.69718	0.51705	0	0	0.0164	0.18968	0.10417
Healthy	0.5447	0.04396	0.20356	0.07178	0.2418	0.24457	0	0	0	0	50.35663	0.33602	0	0	0	0	0	0.13021	0.17847	0
Healthy	0	0	0	0	0.03418	0	0	0	0	0	10.66841	23.11237	0	5.35516	0.05143	0	0.03503	0	0.01862	0
Healthy	0.01641	0	0.03658	0.03836	0.06314	0	0	0	0	0	7.84251	28.77168	2.48965	0	0	0	1.45795	0	0.20337	0.013
Healthy	1.90813	3.49856	0.15763	0.5729	1.07415	0.13271	1.62433	0.0512	0.0072	0.0618	13.27297	8.7859	0.14204	4.75004	0.05591	0.00715	1.36225	0.08154	0.0424	0.00147
Healthy	0.28013	0.0105	0.05957	0.02584	0.00456	0	0	0.15962	0.00279	0.01047	49.62456	2.49326	9.30256	7.16262	2.67228	0	0	0.17583	0	0.01997
Healthy	0.19726	0.29161	0.43148	0.2837	0.14329	0.10568	0.17875	0	0	0	7.42691	7.99269	0.26986	0.03189	27.6619	0.05897	1.54784	0.01682	0	0
Healthy	0.85549	2.37613	0.46665	4.65973	3.79291	0.32591	0.64915	0	0	0	0	0	0	0	0	1.97108	0	0	0	0
D003093	5.00909	1.97219	1.58146	1.28389	1.42495	0.44342	0.47215	0	0	0	2.32115	0.82518	0	0.57305	1.66892	0	0	0	0	0
Healthy	0.13561	0.00425	0	0.01228	0	0.01443	0	0	0	0	76.31918	0	3.34381	0	0	0	0	0.20572	0	0.11156
Healthy	0.03017	0.87265	0	0.33867	0	0.30038	0	0	0	0	27.78982	3.7531	1.41269	0	0.61967	0	0	0	0	0.03569
Healthy	0.3291	0	0.0036	0.06136	0	0	0	0	0	0	31.70646	0.63812	0	0	2.4149	0	0.9632	0.15639	0	0
Healthy	0.40561	0	0	0.08017	0	0	0	0	0	0	37.14727	0.89891	0	0	3.31537	0	1.07873	0.23769	0	0
Healthy	0.05507	0.08798	0.07222	0.27957	0.17733	0.04889	0.06815	0.01815	0	0	10.10225	0.87139	5.34871	0	0	0	0.587	0.081	0	0
Healthy	0	0.02841	0	0.08851	0.07619	0	0.00264	0.06841	0	0	24.40483	24.34596	0	0	0	0	0.79485	0.1543	0.08903	0.38392
Healthy	0	0	0.0202	0.04586	0	0	0.00389	0.0959	0	0	41.147	2.45469	4.62199	0	0.17968	0	1.04245	0.0264	0.00312	0.05957
Healthy	0.65934	0	0	0	0	0	0	0.08064	0	0	12.23413	17.06665	0	17.199	0.92377	0	0	0.04991	0	0.02873
Healthy	0.04138	0.46926	0	0.11858	0.02334	0.0846	0	0	0.00209	0.00802	0.92068	0.15948	0	3.52859	0	0	0	0.05913	0.04022	0.02799
Healthy	0.09799	0.12008	0	0.0048	0	1.2924	0	0	0.00545	0	44.95971	0	0	0	0	0	0	0.04607	0	0.17411
Healthy	1.01141	0	0	0	0	0	0	0	0	0	47.8383	0	5.07885	0	0	0	0	0.1339	0	0.04242
Healthy	2.16324	0.57718	0.49361	0.72437	0.9074	0	0	0	0	0	4.75974	0.23084	0	0	0.62242	0	0	0	0	0
Healthy	0.09151	0.60249	0	0.90537	1.51285	3.30523	0	0	0.5723	0.01837	5.30319	0.61624	1.99584	0	0	0	0	0	0	0
Healthy	0.79534	0.79118	0.62703	0.66445	0.68194	0.07734	0.46258	0	0	0	19.09021	0.03482	0	0.06765	0.14519	0	0	0	0	0
Healthy	2.08235	0.9126	0.78451	0.29839	0	0.29749	0.06265	0	0	0	13.40581	15.1618	0	3.04604	0.66989	0.57278	1.80602	1.53569	0.07651	0.00222
Healthy	0.50451	0.13232	0.27715	0.1194	0.08105	0	0.00727	0	0	0	0.70692	2.85475	0	1.83008	24.0999	0.1514	0.70656	0	0.01553	0
Healthy	0.06154	0.00178	0	0.04908	0.01672	0	0	0.53633	0.01167	0	30.39863	19.6794	0.03571	0.00437	0	0	0.79541	0.16651	0.32215	0.0042
Healthy	0	0.15205	0	0.32589	0.07593	0	0	0.35559	0	0	9.60579	14.31076	0.61502	0.51673	0	0	0	0.15037	0.36706	0
Healthy	10.72712	4.4287	5.67344	2.75113	0.02256	0.18609	0	0.18435	0.52614	0.00992	16.95479	0.42444	4.75712	25.358	0	0	0	0.08746	0	0
Healthy	0.39147	0	0.02105	0.23815	0.04307	0	0	0	0	0	35.73784	13.99989	0	0.53875	1.65937	0.0264	1.94002	0.09268	0	0.01784
Healthy	1.36094	0.31153	0.59005	0.38828	0.13667	0.07293	0	0	0	0	20.92541	8.47845	0	5.195	0.14698	0.50179	2.21731	0.03116	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.04484	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.1208	0.02254	0	0.04133	0.05387	0	0	24.38544	20.26434	0	0	0	0	0.83263	0.14498	0.0063	0.20827
Healthy	0	0	0	0	0	0	0	0	0.02798	0	0.00012	0.01919	0	0.00841	0	0	0	0.25159	0	0
Healthy	1.07384	0	0	0	0	0	0	0	0	0	64.79877	1.42524	0	1.66666	0	0	0	0.08128	0	0.58962
Healthy	1.09337	0	0	0	0	0	0	0	0	0	11.34734	15.98344	0	0	0	0	0.67172	1.25366	0	0
Healthy	0.04741	0	0	0.0369	0.18785	0.081	0.16552	0	0	0	14.22069	15.10948	15.1182	0	0	0	0.79281	0.25381	0	0
Healthy	0.58052	0.9071	0.27043	0.57222	0.16507	0.50664	0.11937	0	0	0	20.35744	5.8663	0	1.05654	0.01221	0	0	0.08686	0.02574	0
Healthy	0.47482	0.22621	0.15252	0.1772	0.09942	0.089	0.02382	0	0	0	6.65579	0.8965	3.44835	0.01073	0	0	0	0.10013	0	0
Healthy	0.04264	0.02999	0.01423	0.03083	0	0	0	0	0	0	37.14624	16.04646	2.88164	0.14766	1.18221	0.0539	0.77438	0.02179	0.02747	0.23778
Healthy	0.00963	0	0.08845	0.00565	0.06279	0.00253	0.00918	0.00539	0.00235	0	29.2088	6.13869	0	0.83505	0	0	0.14977	0.1212	0.0285	0
Healthy	0.14049	0.42331	0.19765	0.29976	0.27478	0.01153	0.03984	0	0.01801	0.00348	6.24867	5.44351	0	0.00071	0.01813	0	0.67975	0.00865	0	0
Healthy	0.30085	0.4936	0.50109	0.13302	0.1677	0	0	0	0	0	6.53279	0	0	0	0	0	0	0	0	0.04874
D003093	0.1424	0.56964	0	1.37988	0.08497	0.28713	0	0	0	0	30.46019	1.08507	0.52019	0	0	0	0	0	0	0.02804
Healthy	0.30949	0.32437	0.62476	0.42806	0.51624	0.3205	0.10661	0	0	0	14.80091	20.28008	0	0	0.01772	0	0.7634	0.01974	0	0
Healthy	0.36316	0.18274	0.5826	0.21301	0.2229	0	0	0	0	0	2.90707	0.27958	0	0	1.11485	3.7275	0	0	0.08691	0
Healthy	0	0	0	0	0	0	0	0	0	0	3.61561	0	0	0	0	0	0	0	0	0
Healthy	0.04387	0	0.05664	0	0	0	0	0	0	0	4.50718	10.28757	0	10.5195	0	0	1.11619	1.31228	0.04463	0
Healthy	0.37487	0	0.04993	0	0.00989	0	0	0	0	0	9.75499	8.59861	0	0	0.32918	0.09708	0.87961	0.13412	1.3879	0
Healthy	0.28899	1.40782	0	0.2328	0.01748	0.59193	0	0	0	0	9.97635	1.62392	0.19855	0	0.15406	0	0	0	0	0.0586
Healthy	1.12486	3.00802	0.79959	0.39242	0.04477	1.72021	2.57306	0	0.59191	0.08424	2.07824	5.15366	0	6.51919	13.2551	0	0.23793	0.11742	0.05701	0
D003093	0.7578	0.41963	0.29891	0.31774	0.78793	0.12699	0.03421	0	0.00042	0	0.82808	0.00464	0	0.00375	0.0121	0	0.16738	0.0047	0	0
Healthy	0.98337	0.15216	0.81399	1.00121	0	0.74149	1.21381	0	0.07364	0.01546	21.10584	6.33041	0	0.00699	1.36382	1.62145	0	0.03588	0.04649	0
Healthy	0.41058	0.39885	0.51643	0.12754	0.13158	0.15794	0.14387	0	0	0	17.23727	4.32853	0	0	0	0	0	0.02712	0.26009	0.1002
Healthy	0.07476	0	0.02666	0	0	0	0	0	0	0	0.43226	0	0	0	0.81758	0	0	0	0	0
Healthy	2.01212	5.83452	0.26241	2.84013	2.54844	2.42031	0.55361	0	0	0	4.47186	4.0178	0	0	0	3.06148	0	0	0	0
Healthy	0.44703	0	0	0	0	0	0	0	0.07394	0	0	0	0.05242	0	0	0	0	0.04332	0	0
Healthy	1.09541	0	0	2.43898	0	0	0	0	0.00254	0	22.0643	0	0	0	0	0	0	0	0	0
Healthy	0.08203	0.08323	0	0.13568	0.01852	0.00936	0	0.8947	0.02371	0	13.99928	21.21031	2.97255	0.13239	0	0	0	0.20774	0.18828	0.01275
Healthy	0.19451	0.86242	0	0.40834	0.79977	0	0.26117	0	0	0	2.35591	2.14488	0	0	0	0	0	0	0	0
Healthy	0.11559	0.27006	0.33604	0.23597	0.17601	2.43132	0.33744	0	0	0	12.21041	0.72472	0	0	0	0	0.85088	0.06439	0.1986	0
Healthy	0.05055	0.02937	2.12341	0	0	0	0	0	0	0	8.00633	8.27981	12.9858	0.03307	0	0	0	0.07299	0	0.0234
Healthy	3.12286	3.90154	0.98779	1.28674	1.05475	0.40929	0.55074	0	0.00403	0	7.19094	0.38998	4.58123	0	0	0	1.447	0	0.18705	0
Healthy	0.08032	0	0	0.15744	0	0	0	0.04117	0.10487	0.14118	8.73365	1.20878	2.60171	43.9894	0.43743	0	0	0.05826	0	0.00705
Healthy	0.04111	0	0.09443	0	0	0	0	0	0	0	4.53197	9.69106	0	10.41	0	0	1.07194	1.33726	0.01799	0
Healthy	0.28181	0.48446	0.36895	0.20733	0.22893	0.37965	0.10424	0	0	0	7.21779	9.00838	5.94604	0.10078	0.56156	0	0.62491	0.05911	1.35444	0
Healthy	0.01072	0	0	0	0.00637	0	0	0	0.02247	0	26.17955	14.2955	5.89113	0	0	0	0.60288	0.00889	0.2643	0.11666
Healthy	0.17447	0.07101	0.07025	0.08157	0.01205	0	0	0.91922	0	0.02894	21.67315	4.85341	17.7048	7.09147	0.08736	0	0	0.14954	0.12613	0.27735
Healthy	0.4664	0.36709	0.7908	0.25761	0.36276	0.01932	0.0803	0	0.00342	0	9.15477	1.25469	0	0	0.06598	0.02465	1.44036	0.08893	0.00065	0.00491
Healthy	0.66465	2.07775	2.37879	0.53567	0	0	0	0	0	0	2.70808	1.26871	5.0839	0	6.48886	0	0	0	0	0
Healthy	0.79934	1.01417	0.70173	0.43257	0.42913	0.52611	0	0	0	0	3.00482	1.04566	0	0	0	0	0	0	0	0
Healthy	0.02036	0	0.20999	0	0.01714	0	0.06746	0	0	0	39.02837	7.19544	0.01411	0	0	0	0	0.04979	0.01592	0
Healthy	0.61109	0	0	0	0	0	0	0	0	0	15.48506	0	0	0.55019	0	0	0	0.08548	0	0
Healthy	0.14405	0.16832	0.26633	0.32221	0.10267	0.14366	0.07386	0.01716	0	0	15.20872	10.80823	1.21706	0.38836	0.18129	0	0.92049	0.06861	0	0.01433
Healthy	0.45248	0	0	0	0.00131	0	0	0	0	0	30.72796	0	0.62783	0	0	0	0	0.2382	0	0.01751
Healthy	1.99695	0	0	0	0	0	0	0	0	0	36.08333	10.77377	0	0	0	0	0	0.2224	0.26641	0.34626
Healthy	0.07968	0.82993	0.05153	0.88487	0.89458	0.14314	0.25493	0	0	0	7.12648	0.61666	5.62249	0	0	0	0	0	0	0
Healthy	0.36575	0.1047	0.40466	0.26133	0.0981	0.0218	0.0451	0.01588	0	0	4.35395	5.5241	0	0.09373	12.8886	0.18137	0.39279	0.07061	0.01816	0.00946
Healthy	0	0	0.05616	0.01581	0.01103	0	0	0	0	0	21.37675	16.91407	0	8.71159	0.13725	0	1.30125	0	0.00472	0
Healthy	2.0934	0	1.21033	0.83816	0	0	0	0	0	0.12466	12.74911	4.64923	0	0	0.08138	0.11191	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.35748	0	0	0	0	0	0	0	0	0
Healthy	0.14842	0	0.21317	0.02511	0	0.04991	0.14375	0.25902	0	0	30.08327	0.94071	0	0	0	0	0	0.01016	0	0
