group	Bacteroidales	Veillonellales		Bacteroidales	Lachnospirales	Oscillospirales	Veillonellales	Verrucomicrobiales	Lactobacillales	Methanobacteriales	Coriobacteriales	Acidaminococcales	Desulfovibrionales
Healthy	12.46553	5.12865		12.46553	58.92111	9.34538	5.12865	0.00932	0.11515	3.21156	0	0	0
Healthy	76.44017	6.53381		76.44017	2.98722	3.85686	6.53381	0	0	0	0.19064	0	0.10029
Healthy	9.7859	2.39552		9.7859	15.91284	8.70302	2.39552	0	15.71087	1.04718	2.82554	0	0
Healthy	42.18549	0.00473		42.18549	15.08024	4.12956	0.00473	0	0.46803	0	1.73487	2.16701	0.03635
D003424	79.53366	0.16576		79.53366	0.60546	9.25794	0.16576	0.01663	0	0	0.03164	0	0
Healthy	68.34488	6.35013		68.34488	2.94694	4.3862	6.35013	0	0	0	0	0	0
Healthy	75.43383	0		75.43383	3.31311	2.11122	0	0	0	0	0.31594	0	0.20315
Healthy	33.84867	11.5958		33.84867	4.67955	7.10371	11.5958	0.54368	0	0.60936	0	0	0
Healthy	52.57168	0.22524		52.57168	4.47133	19.62191	0.22524	1.91855	0.0109	0.01981	0.21172	0	0.0924
Healthy	56.34078	0.01956		56.34078	4.96469	8.99262	0.01956	0	0.27467	0	0.00368	0	0
Healthy	20.22819	4.07963		20.22819	26.02253	14.11143	4.07963	0	0.54071	0	0.20396	0	0.06614
Healthy	34.97998	0		34.97998	15.93214	17.74577	0	0.87446	2.28761	0	1.11002	2.25084	0.28312
Healthy	54.76138	0		54.76138	13.86684	7.44577	0	1.83608	0	0.54243	0.44391	0	0
Healthy	66.122	4.777		66.122	13.69074	3.85957	4.777	0	0.19801	0	0	0	0.01952
Healthy	65.39898	0		65.39898	5.4809	4.49464	0	7.69718	0	0	0	0	0
Healthy	76.52103	0		76.52103	5.82858	2.70927	0	0	0.06404	0	0.31466	0	0.04377
Healthy	53.00535	0		53.00535	7.62617	8.46934	0	5.35516	0	0	0.23162	0	0.32464
Healthy	75.97442	2.69249		75.97442	2.05337	6.34267	2.69249	0	0.00291	0	0	0	0.00721
Healthy	43.89442	0.15028		43.89442	17.42598	4.61086	0.15028	4.75004	2.3757	0.00715	1.00781	0	0.08954
Healthy	54.50736	9.30256		54.50736	0.82468	6.37802	9.30256	7.16262	0	0	0.69144	0	0.17895
Healthy	36.60204	0.27195		36.60204	13.15289	38.2343	0.27195	0.03189	0.02683	0.05897	0.41073	0.19254	0.14804
Healthy	2.1963	0		2.1963	29.97117	54.60222	0	0	0	2.07917	3.68311	0.2624	0
D003424	54.41581	0.03827		54.41581	7.74016	32.01664	0.03827	0	0	0	0.10731	0.00137	0
Healthy	88.99303	3.36743		88.99303	1.15799	1.47786	3.36743	0	0.21585	0	0.14868	0	0
Healthy	55.54238	1.41269		55.54238	16.08956	7.9392	1.41269	0	0.04828	0	0.23323	0	0
Healthy	70.48564	0		70.48564	2.66517	9.10469	0	0	0	0	0.51129	0	0
Healthy	58.09122	0		58.09122	3.20391	14.02014	0	0	0.00451	0	0.7355	0	0
Healthy	40.21055	5.37671		40.21055	22.52399	14.94458	5.37671	0	0.0073	0	0.03641	0	0
Healthy	64.56848	0		64.56848	23.50672	4.07902	0	0	0	0	0.07736	0	0.55153
Healthy	69.88918	4.62199		69.88918	5.27636	4.98386	4.62199	0	0.5783	0	0.03571	0	0
Healthy	41.95701	0		41.95701	0.74218	9.91116	0	17.199	0	0	0.14686	0	1.61864
Healthy	1.9337	0		1.9337	4.66382	0.59296	0	3.52859	0.10611	0	1.47704	0	0
Healthy	63.27551	0.008		63.27551	20.07617	8.24625	0.008	0	0.1514	0	0.01042	0	0
Healthy	50.98894	7.88732		50.98894	20.8232	9.74817	7.88732	0	0	0	0	0	0
Healthy	18.80818	0		18.80818	18.86342	37.18712	0	0	0.78156	0	3.88243	1.40591	0
D003424	64.98006	0		64.98006	10.26609	16.57418	0	0	0	0	0.15058	0	0.00654
Healthy	7.42578	1.99584		7.42578	8.09311	35.45277	1.99584	0	0.60443	0	0.21735	0	0
Healthy	68.09654	0		68.09654	18.30054	3.31872	0	0.06765	0	0	0.10638	0	0
Healthy	43.75014	0		43.75014	9.47397	13.42089	0	3.04604	0.00195	0.57278	0	1.52523	0.04203
Healthy	17.56695	0		17.56695	11.74589	29.26325	0	1.83008	0.03976	0.1514	0.07817	6.00307	0.03232
Healthy	67.09431	0.03571		67.09431	0.2867	4.1034	0.03571	0.00437	0.04975	0	0.97538	0.02808	0.40307
D003424	0.4239	0.87052		0.4239	70.95108	3.51307	0.87052	0	0.02662	0	0	0	0
D003424	53.07556	7.67833		53.07556	18.98477	1.88823	7.67833	0	1.21285	0	0	0	0
Healthy	31.28267	0.61502		31.28267	1.01616	6.98888	0.61502	0.51673	0.29215	0	1.24073	0.02259	0.80581
Healthy	20.36905	4.75712		20.36905	25.34291	10.98327	4.75712	25.358	0.22287	0	0.08385	0	0
Healthy	67.23166	0.01308		67.23166	9.43879	6.25977	0.01308	0.53875	0.02321	0.0264	0.38018	0	0.09289
Healthy	42.56931	0.49436		42.56931	6.33331	11.98098	0.49436	5.195	0	0.50179	0.22602	0	0.29804
Healthy	0.05164	0		0.05164	0.00094	0	0	0	0.22892	0	0	0	0
Healthy	61.38019	0		61.38019	21.55607	3.98991	0	0	0.09358	0	0.17798	0	0.16147
Healthy	0.01931	0.04244		0.01931	0	0.25159	0.04244	0.00841	3.59098	0	0.00219	0	0
Healthy	92.92764	0		92.92764	1.72277	1.15541	0	1.66666	0	0	0	0	0
Healthy	43.38378	0		43.38378	1.17854	2.17255	0	0	0	0	0.11605	0	0.03182
Healthy	56.61767	15.1182		56.61767	4.22058	1.07347	15.1182	0	0.25024	0	0.571	0	0.01125
Healthy	52.15726	0		52.15726	12.86174	11.12191	0	1.05654	0	0	0.14804	0	0.20998
Healthy	61.05334	3.44835		61.05334	26.41081	2.31532	3.44835	0.01073	0.00441	0	0.01375	0	0
Healthy	70.56182	2.88164		70.56182	5.7435	4.54787	2.88164	0.14766	0.00552	0.0539	0.00226	0	0.07482
Healthy	83.56988	0		83.56988	1.35877	1.72019	0	0.83505	0.04713	0	0.13383	0	0
Healthy	37.34462	0		37.34462	26.62906	20.95643	0	0.00071	0.04653	0	0.29421	0	0.05661
