group	Rikenellaceae	Burkholderiaceae	Enterobacteriaceae	Acidaminococcaceae	Desulfovibrionaceae	Coprobacteraceae		Bacteroidaceae	Lachnospiraceae	Rikenellaceae	Tannerellaceae	Burkholderiaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae
Healthy	1.25512	1.41746	1.09555	1.79344	0	0		12.62268	21.23129	1.25512	0	1.41746	0.48243	0.02251	0	0.01242	0.00279
Healthy	5.66775	0	16.867	2.26583	0	0		17.33784	19.84564	5.66775	1.03617	0	0	0	0	0	0.30973
Healthy	5.23769	0.02467	0.04967	0	0	0		25.10843	20.53981	5.23769	0.28318	0.02467	1.27209	0.01625	0.0558	0	1.78824
Healthy	6.87422	0.15702	0.02561	0	0.23947	0		38.87685	6.19713	6.87422	2.41768	0.15702	0	0.42481	0	0	0
Healthy	3.61395	0.12934	21.7082	1.95356	0.04548	0		11.78917	18.27579	3.61395	0.81843	0.12934	0.86467	0	0.04354	0.34533	0.05105
Healthy	2.27428	0.15098	0.00817	0	0	0		19.43855	52.59742	2.27428	1.5996	0.15098	3.04967	0.01382	0	0.00722	0.00373
Healthy	0.12299	0.12175	0	0	0	0		12.45034	39.389	0.12299	0.0213	0.12175	0	0	1.72376	2.16962	4.77347
Healthy	0.21427	0.02629	0.5133	12.4621	0.01282	0		31.91916	10.98274	0.21427	0.0006	0.02629	0	0.00173	0.06149	0.64482	0.01007
Healthy	8.62297	0.04911	6.48238	1.04876	0.71956	0		18.14348	4.36604	8.62297	1.81602	0.04911	0	0.79294	0	0	0
Healthy	0.68295	0	0	0	0	0.0169		12.98109	39.77654	0.68295	0.82088	0	0.22406	0	0	0	0
D001528	16.68745	13.58346	0.37941	0	0.05764	0		44.34274	2.95934	16.68745	2.01746	13.58346	3.5813	0.03304	0.01387	2.99676	0
Healthy	0	0.88337	7.46327	0	0	0		0.00116	39.62724	0	0	0.88337	0	1.79372	0.22815	0	0.66857
Healthy	3.20901	0.0283	0	0	0	0		29.94081	23.75263	3.20901	0.18134	0.0283	0.9083	0	0	0.09129	0.4766
Healthy	0.44777	3.89876	0.01636	0.11165	0.00855	0		19.56969	1.457	0.44777	0.93182	3.89876	0	0.00115	0.01122	0.01104	0.00332
Healthy	2.36904	0.32161	0.1043	3.27575	0	0.01972		56.5229	15.2491	2.36904	8.30208	0.32161	0	0	0	0	0
Healthy	9.39716	0.15155	0.17344	0	0.03054	0		67.73399	11.18939	9.39716	0.90677	0.15155	0.93324	0.00058	0	0.06532	0.00384
Healthy	1.61042	0.50884	0.06106	0	0	0		83.19387	1.72893	1.61042	5.52009	0.50884	0	0.05427	0	0	0
Healthy	0.60937	0	0	0	0	0.19301		24.27551	38.8167	0.60937	4.21557	0	0	0	0.14734	0	0
Healthy	1.665	0.01507	0.09972	0	0.24772	0		41.90442	10.34856	1.665	2.16565	0.01507	0.3977	0.17117	0.21193	0	0
Healthy	0.29281	0	0	0	0	0		20.65804	14.18773	0.29281	0.22304	0	0	0.21477	0	0	0
Healthy	4.17386	0.19046	0.09298	2.67443	0.07772	0.0881		26.51697	13.93238	4.17386	6.60174	0.19046	1.15443	0.10316	0.06374	0.10937	0.02211
Healthy	8.58898	2.24124	7.65476	0	0.00133	0.06673		19.26815	8.44434	8.58898	2.63163	2.24124	2.09091	0.30207	0.01761	0.09002	0.07496
Healthy	7.48688	0.04446	0.21745	0	0	0		7.77903	26.51074	7.48688	0.39655	0.04446	0	0	0.30547	0	0
Healthy	0	0.04965	87.6699	0	0	0		0.03436	0	0	0.00378	0.04965	0	0	0	0	0
Healthy	6.38575	1.83111	0.87742	1.23038	0.00889	0		38.21478	24.73501	6.38575	0.6642	1.83111	0	0.05845	0.05289	0.14111	0.28323
Healthy	2.77726	0.01528	0	0	0	0		63.87995	9.69299	2.77726	4.40354	0.01528	0	0	0	0	0
