group	Enterobacteriaceae	Pseudomonadaceae	Moraxellaceae	Veillonellaceae	Staphylococcaceae	Actinomycetaceae		Bacteroidaceae	Lachnospiraceae	Rikenellaceae	Ruminococcaceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae
Healthy	0	0	0	0	0	0		42.92261	16.00939	3.22808	6.22563	2.0217	0	5.79777	1.3964	0	0.08008
Healthy	0.91721	0	0	7.29344	0.00202	0.1312		24.58404	20.64762	0	0.00068	0.10923	0	0	5.7193	0.04847	0.01514
D007234	0.05141	2.59201	70.429	4.81404	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.05728	0	0	0.03268	0	0		32.3303	6.7014	13.80833	6.6407	9.50977	0.70541	5.23642	0.19788	0.16032	0.15405
Healthy	0.09665	0	0	0	0	0		35.65422	21.81106	6.24841	3.9338	6.40451	0.14072	2.61653	0.08046	0.02795	0.09305
Healthy	0.10061	0	0	0.04899	0	0		34.30152	19.16726	2.55539	11.17958	1.44495	0.6487	1.20157	0.33622	0.08893	0
D007234	35.76182	1.84759	48.1408	1.53356	0.53584	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.00903	0	0	0.02073	0	0		28.09092	9.33161	1.77545	4.02687	17.6543	3.93134	0	0.91269	0.24086	0.0012
Healthy	0.0092	0	0	0	0	0		39.23273	13.53386	6.22792	4.47674	3.48193	4.96347	3.70146	1.43581	0.38997	0.05871
D007234	37.86075	25.7145	1.25348	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.07286	0	0	0.23551	0	0		55.7372	2.91449	8.66821	2.12034	5.10208	0.9933	6.38478	0.14288	0.60257	0.07883
Healthy	16.2661	0.41286	0	3.20071	2.27154	0		9.03133	0.18846	0	0.00368	0.75704	0.00014	0	0.12	0	0.13184
Healthy	0	0	0	0	0	0		26.41612	13.06821	8.31905	10.01197	6.52016	1.82773	3.61045	0	0.33091	0.08855
D007234	50.5398	30.2212	0	0	0.85172	0		0	0	0	0	0	0	0	0	0	0
D007234	38.81673	14.1159	0	0	1.65732	0.00169		0	0	0	0	0	0	0	0	0	0
Healthy	0.37736	0	0	0.03427	0	0		85.81859	1.11149	0	0.90434	3.29067	0.35951	0	0.15444	0.18962	0.00251
Healthy	0	0	0	0	0	0		36.05486	8.53065	11.63986	27.22336	4.03444	0.02581	0	0.01631	0.12367	0.037
D007234	24.16759	0.07926	0.00673	1.38855	0.00023	0		0	0.70656	0	0	0	0	0	0	0	0
Healthy	6.37382	0	0	0	0	0		18.8565	4.60479	8.94078	3.58402	2.08417	1.03234	0.67267	0	0.66922	0.65549
Healthy	0	0	0	0	0	0		24.95525	3.30342	16.12624	0.69262	0	0.20168	3.37828	0.102	1.66202	0.05737
Healthy	0	0	0	0	0	0		31.29799	24.13931	0.23838	1.051	2.05761	0.15905	4.44353	0.06941	0.0234	0.02658
Healthy	16.4109	0	0	0	0	0		31.97894	12.86415	3.02671	1.09293	1.90474	2.6742	4.1818	0	0	0
D007234	0	11.3792	88.6208	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	1.67377	0	0	0	0	0		73.8556	4.04901	1.50364	2.47447	8.83823	0.15275	2.56053	0	0.96798	0.09831
Healthy	0	0	0	0.875	0	0		11.09524	58.92111	0	2.97284	0.90553	6.37254	0.46476	0	0	0
Healthy	0.02833	0	0	0.22337	0	0		55.62337	2.98722	8.44097	2.20024	5.15553	0.9626	6.22598	0.19064	0.69402	0.10029
Healthy	1.75061	0	0	0	0	0		7.9325	15.91284	1.61128	2.60289	0.24212	6.10013	0	2.82554	0	0
Healthy	6.48387	0.01561	0	0.00473	0	0.00544		35.33617	15.08024	5.75588	2.1367	0.50003	1.98987	0	1.73487	0.00299	0.03635
