group	Enterobacteriaceae	Pseudomonadaceae	Moraxellaceae	Veillonellaceae	Staphylococcaceae	Actinomycetaceae		Bacteroidaceae	Lachnospiraceae	Rikenellaceae	Ruminococcaceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae
D007234	69.9862	0	0	0	0.11821	0		17.7005	0	0	0	0	0	0	0	0	0
Healthy	0.26138	0	0	0	0	0		14.0122	43.15563	0.63972	2.03888	0	4.21798	3.57079	0	0	0
Healthy	11.8998	0	0	0.706	0	0		39.08999	2.0341	6.28127	0.03196	0	0	18.1495	0.14533	0	0.04396
Healthy	0	0	0	0	0	0		22.78948	9.19371	9.49054	2.27185	9.43424	2.21282	6.91258	0.30832	0.35342	0.06786
Healthy	10.014	0	0	0	0	0		8.86346	0.38403	1.29088	3.77372	2.83489	1.798	0	1.38014	0.08751	0.67751
Healthy	9.5299	0	0.73774	0	0	0.01423		4.75497	20.64043	1.13591	6.31337	0.83801	2.50165	2.00865	8.28998	0.00614	0.03683
Healthy	0.15088	0	0.05372	0.01659	0	0		42.84491	24.04584	3.01217	11.07113	3.43357	0.34564	1.09221	0.02629	0	0.55645
D007234	82.23861	1.66314	0.00331	0.12427	0.31544	0		0	0	0	0	0	0	0	0	0	0
D007234	0	7.11867	23.2732	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.30352	0	0		53.36578	13.2101	7.11006	4.06346	4.41499	0	1.07231	0	0.19158	0.01561
Healthy	0	0	0	0.01559	0	0		75.60287	1.67644	0.75766	6.43879	3.66461	0.46012	0	0.02701	0	0
Healthy	0	0	0	0	0	0		20.53284	40.39967	2.50732	2.48237	1.03492	0	0.79816	0	0	0
Healthy	0	0	0	0.00573	0	0		77.26842	0.47202	8.12916	1.71475	2.19472	0.0192	0	0	0.01841	0
D007234	58.46687	1.53394	0.19383	2.66443	0.69353	12.0925		0	0	0	0	0	0	0	0	0	0
Healthy	4.13304	0	0	0	0	0		91.9548	0.65051	0	1.44308	0	0	0	0	0.09406	0
Healthy	0	0	0	0	0	0		45.92573	8.96629	14.31981	5.41906	5.14474	0.53199	0	0.40143	0.08016	0.06554
Healthy	0.1421	0	0	0	0	0		55.23312	4.66288	8.53545	3.41053	2.35712	0	2.80679	0	0.11263	0.11411
Healthy	0	0	0	0	0	0		4.43774	12.96484	6.96709	12.24781	1.44408	4.91229	0.92252	0.72678	0	0.17623
D007234	82.50532	6.82947	0	0	0	0		0	0	0	0	0	0	0	0	0	0
D007234	11.2398	0	0	0	1.36936	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	77.7156	0	0	1.76631	0		17.70179	0	0	0	0.11714	0	0	0	0	0
Healthy	0	0	0	0	0	0		84.43985	0	0	0	1.89189	0	0	0	0	0
Healthy	0	0	0	0	0	0		34.8843	11.56338	3.16553	1.78645	2.72011	0.26289	0	0	1.83829	0
D007234	18.38011	0.02472	0.00511	10.33421	0.61898	22.9135		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		18.03711	10.77031	4.61532	1.34276	2.50801	7.35714	4.65866	2.25198	0.27951	0
Healthy	0	0	0	0	0	0		55.90911	4.74488	12.02973	1.84188	1.43576	0.53321	0	0	0.05053	0
Healthy	1.84917	0	0	0.00304	0	0		16.85905	27.7372	0.95685	6.74631	3.65063	0	0.58234	1.33923	0.12334	0.05309
Healthy	0	0	0	0	0	0		0.27232	1.93201	2.59906	3.85463	0	0	0	0	0	0
Healthy	0	0	0	0.18084	0	0		30.82664	26.41635	3.10749	13.60415	0	0.01522	0	0.24301	0.01742	0
D007234	61.07962	13.5571	0	3.30615	0	0.06437		0	0	0	0	0	0	0	0	0	0
Healthy	0.15972	0	2.35765	0.01603	0	0		54.69375	19.14214	0.00157	9.29308	0.22725	0	0	0	0.5566	0
Healthy	0	0.00957	0	0.05479	0	0		24.71427	28.95117	14.61982	6.44974	1.57298	2.61931	0	0	0.064	0
D007234	96.23714	0.0149	0	0.07706	0.0051	0		0	0.0574	0	0	0	0	0	0	0	0
D007234	59.5115	2.87093	13.5586	10.033	0	0		0	0	0	0	0	0	0	0	0	0
D007234	27.61646	49.0471	0	13.01	2.73245	0		0	0	0	0	0	0	0	0	0	0
D007234	44.35149	6.36452	0	4.97599	0	0.43204		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		39.15026	23.27727	3.23073	4.97429	0.23764	4.38821	0	0.02057	0	0
Healthy	0.06461	0	0	0.02014	0	0		32.30265	6.6805	13.71788	6.54119	10.04471	0.61546	5.41002	0.23223	0.15494	0.19126
Healthy	77.2984	0	0.09237	0.70908	0	0		6.13182	1.69878	2.55531	0.11961	0	0.74654	0	0.02367	0.04055	0
Healthy	0	0	0	0	0	0		26.39883	13.96067	0	0.48542	6.34899	0.96576	1.82871	0	0	0
Healthy	0	0	0	0.10107	0	0		22.97043	44.45119	2.38017	9.89402	1.88529	0.00941	0.06231	0.11936	0.22751	0
Healthy	0.00823	0	0	0.13844	0	0		47.23513	7.16031	3.34875	2.12934	5.72018	2.63915	0.02386	1.31884	0.09443	0
Healthy	0.4514	0	0	0.14006	0	0		49.54937	1.54044	18.60375	5.35091	7.19968	0	2.22675	0.06541	1.87573	0
Healthy	0.04173	0	0	0	0.09033	0		28.88519	33.51811	4.40872	23.88145	1.68278	0.53086	0	0	0	0.02346
Healthy	0.05765	0	0	0	0	0		52.91018	1.48738	15.17791	1.69646	0.91601	0.14018	0	0	0.00829	0
Healthy	9.92646	0.33189	0	0	0.14154	0		2.35035	0.04822	0	0	0.13751	0	0	0.00056	0	0
Healthy	0.06685	0	0	0.24884	0	0		32.85601	13.11846	11.85176	6.14942	1.08962	3.28984	10.0835	0.0752	0.05144	0.00159
Healthy	0	0	0	0	0	0		42.35973	21.60129	0.07484	8.50938	0.25523	0.15458	0	0.03504	0	0
Healthy	0	0	0	0.12248	0	0		11.61313	23.54448	0	26.2798	0.17891	15.5125	0.25616	0	0	0
D007234	31.69266	12.9783	0.01014	0.00306	0.62587	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		50.91938	10.31941	2.74265	10.87567	2.0463	0	3.49461	0.66904	0	0
Healthy	1.3884	0.49486	0	0	0	0		13.74561	20.52769	0.45089	3.64434	1.73484	20.3588	0	8.43543	0	0
Healthy	0	0	0	0	0	0		10.6792	17.58457	1.86074	9.90853	1.15914	6.75813	0.25548	0.02349	0	0
Healthy	0.37676	0	0.0053	0.03572	0	0		32.5966	20.55581	4.38452	17.46693	3.85505	1.30097	5.1616	0.01035	0.00158	0.38467
Healthy	0	0	0	0	0	0		41.41169	14.16387	6.81784	8.00261	9.76726	2.57401	4.53713	0.2526	0.22617	0.01957
Healthy	1.00028	0	0	0	0	0		49.83387	0.81264	2.623	3.71995	1.88935	0.58795	0	0.67773	0.39212	0.11766
Healthy	0	0	0	0	0	0		31.13092	23.68743	2.58798	7.53769	3.97691	0.01057	0.35828	3.59342	2.0594	0.78752
Healthy	0	0	0	0	0	0		38.84589	19.90362	4.79465	7.64122	1.10675	1.31043	0.03974	0	1.39068	0.00447
D007234	0.02165	0.08383	0.50463	0	41.7903	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.01982	0	0	0	0	0		53.30752	1.61093	14.8888	1.63475	1.01817	0.13911	0	0	0.01491	0
Healthy	0	0	0	0	0	0		54.78862	5.1752	11.89123	1.82983	1.47101	0.54553	0	0	1.93841	0
Healthy	0	0	0	0	0	0		48.81389	13.85288	1.62947	1.74647	9.15786	1.62282	3.14994	0	0	0
D007234	9.86004	0.55676	76.2634	0	0.00265	0.00055		0.02042	0	0	0	0	0	0	0	0	0
D007234	67.66518	21.54576	0.0029	0.00043	0.8339	0		0	4e-05	0	0	0	0	0	0	0	0
D007234	0	54.20662	43.0866	0	2.57098	0		0	0	0	0	0	0	0	0	0	0
Healthy	7.53919	0.1399	0	4.64447	0.04081	0		50.2751	0	0	0	0	0	0	0	0	0
Healthy	10.53786	0.04349	0	0.02088	0	0.02978		12.06082	8.28516	16.83811	9.93102	3.40826	6.39799	5.60307	1.94935	0.04395	0.01696
Healthy	0	0	0	0	0	0		46.22565	20.62588	6.34043	4.88015	5.13609	0.00693	5.18587	0.57769	0.24123	0
Healthy	0.221	0	0	1.09195	0	0		73.73789	1.72788	0	4.29583	2.73859	0.29465	0	0.21169	0.63366	0.00758
Healthy	0	0	0	0	0	0		70.65791	0.45797	2.81952	19.16031	1.14957	0.1528	0	0.0005	0.02335	0
Healthy	0.02829	0	0	0	0	0		19.75469	6.10625	12.45034	16.90289	16.13198	1.05668	1.14736	0	1.41506	0.67046
D007234	43.86656	5.48654	0.00787	7.35595	0.28204	0.00383		0.00066	0	0	0	4.75969	0	0	0	0	0
D007234	87.66582	0	0	0.00056	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.91502	0	0	0.80401	0	0		67.06407	2.60477	0	0.05921	0	0	0	0	0.02297	0
D007234	67.73752	0.00122	0	0.61398	0.21566	0.00622		1.41969	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.00272	0	0		34.71971	21.15606	20.16489	3.71731	3.2154	0	2.68881	0.01515	0.17357	0.2095
D007234	54.21324	1.40499	25.3582	13.803	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	1.48694	0	0	0	0	0		73.63161	4.06038	1.4978	2.37679	9.06897	0.16178	2.6134	0	0.91625	0.1116
Healthy	0.01004	0	0	0.04549	0	0		40.17864	12.34772	1.76495	10.57922	1.43424	0.9252	3.15534	0.00299	0.46134	0.01137
Healthy	0	0	0	0	0	0		7.31907	25.41698	0	2.07733	0	24.1679	0	1.56759	0	0
Healthy	0	0	0	0	0	0		17.16407	32.64568	7.10169	13.20697	0.66907	10.7472	0.59662	2.08154	0	0
D007234	18.17703	26.1019	0	0	49.0151	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.26705	0	0	0.0444	0	0		47.46587	15.68244	1.11863	2.25204	0.01487	0.07138	0.01725	0.07535	0.00616	0
D007234	12.80767	0.03853	3.39848	0	0.2356	0		0	0	0	0	0	0	0	0	0	0
Healthy	5.96187	0	1.87907	0	0	0		19.22216	41.85287	9.9613	1.6468	4.10491	0	3.68421	0.0526	0.08334	0.50015
Healthy	13.16383	0	0	0	0	0		17.94314	32.09044	3.73828	4.24561	2.49326	0.13604	3.20238	0.42674	0.11878	0.00589
Healthy	0	0	0	0	0	0		24.47287	48.7524	2.54259	6.29313	1.49365	1.91025	1.5372	0	0	0
Healthy	0	0	0	0	0	0		14.9615	43.61226	7.12823	5.66544	4.6352	1.96927	0	0.33557	0.10793	0
Healthy	0.11192	0	0	0	0	0		60.21116	5.93259	10.06608	1.88463	3.39534	0	5.03873	0.14943	0	0.12417
D007234	82.14983	0.1264	5.16223	0.03018	0.01221	0		0	0.00869	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.01319	0	0		46.03059	9.28142	13.94375	5.56492	5.06463	0.63776	0	0.28869	0.10619	0.09285
Healthy	0	0	0	0	0	0		14.72384	35.58038	0.61673	0.45624	0	30.6348	0.15049	1.00147	0	0
Healthy	1.15375	0	0	0.82718	0	0		65.74523	2.52501	0	0.07588	0	0	0	0	0.00916	0
D007234	11.0723	3.67093	0	29.6339	0.20697	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.42786	0	0	0.0374	0	0		85.13786	1.15002	0	0.87145	3.40555	0.44183	0	0.12811	0.16588	0
D007234	45.47313	0.19232	0	0.1077	0.0368	0		0	0	0	0	0	0	0	0	0	0
D007234	19.77674	40.6586	0	15.5537	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.09638	0.00221	0	0.02371	0	0.00453		38.52546	33.95497	0.00671	0.01143	0.0026	0	0	0	0.05126	0
Healthy	0.38936	0	0	0	0	0		15.62342	0.63738	21.27971	3.32049	6.13355	2.15063	1.86899	0.74412	2.64096	0.64934
Healthy	0.80866	0	0	0	0	0		20.79256	11.51499	2.68436	15.50636	1.01784	3.55577	0.7067	1.1403	0	0
Healthy	0	0	0	0.09642	0	0		18.9049	22.82702	5.93957	12.1741	1.00754	0	1.1934	1.15815	1.16906	0.00668
Healthy	0	0	0	0	0	0		59.8763	2.44034	0.68751	8.6583	5.37929	0	0	0	3.02847	0
Healthy	3.07745	0	0	0	0	0		45.56877	12.00207	0	0	34.028	0.05714	0	0	0.47462	0.02721
Healthy	0.14072	2.54566	0	0.05711	0	0		8.68325	23.03604	1.32347	13.70086	0.26434	2.99911	0.21631	0.62139	0	0
Healthy	2.07969	0	0	0	0	0		36.03327	2.48131	11.34921	0.56733	20.3628	0	3.23532	0	0.25138	0.10091
D007234	40.94415	9.39337	0	0	0	0		44.0979	3.61713	0	0	0.36934	0	0	0	0	0
D007234	46.86631	0	0	11.94213	0	0		0	0	0	0	0	0	0	0	0	0
D007234	77.50142	1.45781	0	0	0	0		0	9.98479	0	0	0	0	0	0	0	0
Healthy	2.75306	0	0	0	0	0		12.29634	27.02578	4.21711	18.01835	0.61903	9.65779	1.67696	0	0	0
Healthy	0	0	0	0	0	0		20.75551	27.28254	2.48925	10.1033	0.76683	2.08621	4.80051	0	0	0
Healthy	0	0	0	0	0	0		19.68008	19.70649	32.39951	3.70751	9.12767	0.35965	2.64561	0.07387	0.3729	0.43223
D007234	49.2637	33.27674	0.02525	0	0.28715	0		0	0	0	0	0	0	0	0	0	0
D007234	3.83255	12.8432	72.7491	0	0.09324	0		0	0	0	0	0	0	0	0	0	0
D007234	66.6496	20.5464	0	0	0	1.88544		0	0	0	0	0	0	0	0	0	0
Healthy	1.399	0	0	0	0	0		11.93753	10.06013	0.1297	0.22045	73.327	0.05188	0	0	0.07862	0
D007234	91.38461	0.21299	0.01352	0.05404	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.24188	0	0	0.00896	0	0		57.41781	7.84032	0.59902	1.32487	0.8329	0	0.34663	0.24786	0.00465	0
Healthy	1.8246	0.06487	0	0.00432	0	0		18.9129	30.39926	4.62077	16.28303	2.88698	5.07992	0	1.12271	0.02428	0.34193
Healthy	0.05196	0	0	0	0	0		59.55542	8.4705	10.44264	4.1026	2.04506	0.20533	2.53864	0	0	0.00306
Healthy	0	0	0	0	0	0		29.25989	17.08991	1.1095	20.2023	0.01835	1.95437	1.16431	0	0	0
Healthy	0	0	0	0.2024	0	0		17.55206	40.99906	3.49587	2.36589	0.92025	7.44835	0.79694	0	0.01249	0.0123
D007234	31.486	17.0137	23.6187	7.83202	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	2.30231	8.42604	0	0	0	0		0.44312	36.68818	0.20177	1.06455	0.01833	31.36991	0.18095	0	0	0
D007234	41.63345	0	0	1.32539	0	0		0	0	0	0	0	0	0	0	0	0
D007234	24.7951	0	0	47.8203	10.58625	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.00261	0	0		25.91495	20.99256	0.5545	4.50668	0.13704	2.27313	0	0.13765	0	0
Healthy	0	0	0	0	0	0		30.08043	12.29415	0.96757	1.46549	50.6479	0	0	0	0.26868	0
Healthy	0	0	0	0	0	0		15.70664	23.61941	0.679	18.7844	3.0744	15.773	0	0	0	0
Healthy	0	0	0	0	0	0		0.21928	2.21262	0.84002	0.86535	0	0	0	0	0	0
Healthy	0.5421	0	0	0	0	0		15.76668	0.57429	21.43944	3.34865	6.05413	2.08417	1.98093	0.76007	2.65101	0.69799
Healthy	0.03561	0	0	0	0	0		30.57538	17.65966	5.5923	16.38094	2.02884	0	2.88926	0.99492	0	0.05916
D007234	22.43433	0.06952	18.9683	15.6112	0	0		0	29.3358	0	0	0	0	0	0	0	0
D007234	0.20607	37.8245	0	0.00099	0.46815	0		0	0	0	0	0	0	0	0	0	0
Healthy	19.4089	0.81899	0	0	0	0		8.83754	5.33313	4.53821	7.14021	0.26189	0	2.51391	0.37033	0	0
Healthy	0	0	0	0	0	0		43.57307	18.82662	4.42259	4.28588	0.52056	2.63643	0.98884	0.11976	0.02103	0.19257
Healthy	0	0	0	0	0	0		55.76659	5.10605	11.74033	1.86825	1.3756	0.53711	0	0	0.05795	0
Healthy	0.58474	0.00961	0	0.08164	0	0		80.88058	12.23176	0	1.49187	0	0	0	0.00101	0.20692	0
Healthy	0.3673	0	0.16248	0.01053	0	0		69.74923	9.23465	4.59773	3.20291	1.76452	1.16913	1.13788	0.1036	0.05765	0.00186
Healthy	0	0	0	0	0	0		20.2027	35.46094	2.74353	3.65793	1.76922	4.8755	0	0	0	0
Healthy	0.03	0	0	0	0	0		23.30888	22.1625	5.63008	7.16871	4.22872	8.40088	2.40449	0.06671	0.05517	0.00321
Healthy	0	0	0	0	0	0		48.95995	3.72731	13.77421	2.76316	3.93466	1.63956	1.95703	0.57128	2.61338	1.33117
D007234	57.6026	0	0	0	0	0		7.97935	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		41.04866	17.81643	1.99266	6.12355	1.12228	12.09543	0	1.20861	0.025	0
D007234	39.30085	0	59.0795	1.14512	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	4.53415	0	0	0	0	0		92.47901	0.63088	0	1.41377	0	0	0	0	0.04805	0
Healthy	0	0	0	0	0	0		50.04103	10.51845	1.85374	9.47927	1.30433	0	2.46657	1.68149	0	0.07375
D007234	77.2946	0	0	0	0.00689	0		20.9684	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.25366	0	0		53.89702	13.35752	7.10713	3.70077	4.15528	0	1.07087	0	0.14258	0
Healthy	0.12373	0	0	0	0	0		17.18971	0.97368	23.57475	1.30408	0.55277	0.15118	0.52437	0.4575	0.10334	2.65193
D007234	61.5624	1.18273	0	15.9795	0.24679	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		8.13754	13.71249	6.76763	0.99318	1.69413	3.6023	4.15093	1.29787	0.26528	0
Healthy	1.53536	0	0	0	0	0		76.4727	3.42316	1.34845	2.22683	7.60288	0.16027	2.33717	0	0.8752	0.09632
Healthy	0.20751	0	0	0	0	0		34.35816	5.991	15.76797	4.41598	6.47708	1.34149	0	1.40458	0.1676	0.10935
Healthy	1.17903	0.51495	0	0.04534	0	0.01586		11.28898	45.26128	2.44939	5.01973	1.81384	11.9669	1.36268	0	0.00775	0.08277
Healthy	0	0	0	0	0	0		26.4724	16.22241	1.98064	15.35462	2.14793	0.00583	1.4862	0	0.10226	0
Healthy	0.23199	0	0	0	0	0		46.5794	31.60651	6.4052	3.95604	2.37154	2.16458	0	0.20099	0.04656	0.02455
Healthy	5.44491	0	0	0	0	0		34.09888	1.37921	21.84875	0.37319	0.36921	0.38422	4.09509	0	0	0.22609
Healthy	0	0	0	0.70646	0	0		24.78537	19.00012	1.91814	4.38885	0.07228	9.96809	0	0.15105	0	0
Healthy	1.20195	0	0	0.83577	0	0		67.44375	2.28573	0	0.08765	0	0	0	0	0	0
Healthy	0.04182	0	0	0.13291	0	0		55.8719	5.53462	1.10933	0.30864	0.50198	0	8.63714	0	0	0
Healthy	0.22271	0	0	0	0	0		45.96753	5.55094	15.92806	3.43977	4.35391	0.96525	3.074	0	0.02796	0.11614
Healthy	0.05389	0	0	0	0	0		33.20945	5.87078	15.80305	4.53686	6.40616	1.32144	0	1.39849	0.13633	0.0717
D007234	31.0117	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.16394	0	0		22.93571	31.25844	0.35526	9.32541	0.01768	19.1706	0	0.14193	0	0
Healthy	1.2167	0.39466	0	0	0	0		15.63581	22.10185	4.59144	11.91692	1.1027	4.35138	1.5607	0	0	0
Healthy	0	0	0	0	0	0		12.90064	69.83677	0.727	0.60719	3.95369	1.04824	1.92045	0	0	0
Healthy	0	0	0	0.57178	0	0		59.80829	9.86494	1.95936	2.71111	0.28127	5.37573	0	0	0	0
Healthy	0	0.01062	0	0	0	0		40.69162	2.41508	20.31839	7.60448	5.13444	0.31506	0.71652	0.10079	0	0.06204
D007234	91.9742	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
D007234	88.76037	0.02074	0	0	7.56566	0		0	0	0	0	0	0	0	0	0	0
D007234	16.73733	54.9572	27.781	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	3.60249	0	0	0	0	0		29.84366	13.47566	12.05245	2.51652	16.3538	3.1519	0.6852	0	1.27495	0.28287
Healthy	0	0	0	0	0	0		59.04823	0	0	0	9.66807	0	0	0	0	0
Healthy	0	0	0	0	0	0		7.30625	23.52533	0.76495	7.21895	0.36939	0	0.37237	0.03826	0.00863	0
D007234	0	10.4236	0	0	89.1572	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.0051	0.10895	0	0	0	0		23.27902	7.05512	24.67263	10.90396	4.66423	0.28939	0	1.4619	0.2674	0.64324
D007234	0	83.915	0	0	16.085	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.08151	0	0		50.52064	8.92962	1.49551	7.33223	5.1744	0	0	0.27304	0.00317	0
Healthy	0.14588	0	0	0.22984	0	0.01953		65.82313	14.21606	0	11.1243	1.14246	0.19556	0	0.17531	0	0.11504
Healthy	0	0	0	0	0	0		46.01868	10.11818	3.29894	5.67516	1.21658	12.5183	3.86143	0	0	0
Healthy	1.36303	0	0	0.00087	0	0		15.64829	21.72554	2.2877	10.19668	2.79303	5.57867	0.8644	0.80147	0.00509	0.14269
Healthy	0	0	0	0.22855	0	0		48.82208	17.04743	5.92515	4.04494	2.99133	6.48206	4.15678	0.24671	0.09077	0.00715
Healthy	0	0	0	0	0	0		54.84655	3.17894	17.72523	1.63362	2.41448	0	1.91359	0.19978	0.01827	0.14421
D007234	71.095	0.95522	0	0	0.04868	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.04607	0	0	0.19692	0	0		56.29311	3.146	8.40584	2.17296	5.11037	1.04293	6.33451	0.18884	0.62569	0.05495
D007234	58.28813	2.11343	15.2869	2.36665	0.31996	0		0.00284	0	0	0	0	0	0	0	0	0
D007234	0.57921	47.1272	38.1412	0	0	8.1581		0	0	0	0	0	0	0	0	0	0
Healthy	10.6542	0	0	0	0	0		8.99093	0.38565	1.29904	3.79625	3.06237	1.92591	0	1.31902	0.08372	0.72008
Healthy	3.53088	3.19333	0.33424	3.93941	0.05572	0.07796		11.93338	0	0.00057	0.00083	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		41.5846	1.9568	13.27617	5.85538	5.87994	0.67142	0.7642	0.04363	0.00328	0.03414
Healthy	0	0	0	0	0	0		33.62024	29.47953	0.22768	1.96996	0	0	7.46588	0	0	0
Healthy	1.00904	0	0	0	0	0		18.24724	30.42778	2.64777	3.84376	3.63759	0.13804	0.83644	0.03036	0.08924	0.04745
D007234	38.5643	1.65707	0	0	0.01206	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		5.84934	5.01193	1.49584	2.02787	0.40386	13.86325	0	1.65203	0.00717	0.01788
Healthy	4.25211	0.19873	0	0	0	0		59.19358	0.00652	0	0	0	0	0	0	0	0
D007234	14.46082	0.26073	12.7945	38.34763	0.06295	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.41934	0	0		35.17321	36.63131	0	0.36792	2.53828	0	1.34238	0	0	0
Healthy	0.006	0	0	0.02858	0	0		6.47971	11.14217	9.23026	4.02033	3.00089	0.16972	13.0687	0.00854	0.30678	0.00212
D007234	78.86803	0	0	0.06943	0	0		6.415	0	0	0	0	0	0	0	0	0
Healthy	1.2327	0.60344	0	0.01114	0	0.01532		11.8947	43.84906	2.39061	4.76086	2.03626	11.8786	1.38445	0	0.00468	0.0843
D007234	76.3066	0.36032	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		10.11264	10.84159	5.58462	46.506	0.04781	2.35448	0	1.13592	0	0
Healthy	0	0	0	0.32115	0	0		55.97027	24.305	0.56803	0.44251	2.22091	6.52159	3.00722	0	0.07354	0
Healthy	0	0	0.02173	0	0	0		28.26705	4.2111	15.15027	0.76597	0	0.01905	13.3842	0.58803	0.22674	0.02339
D007234	25.1336	24.6672	1.6928	30.2184	0	0		0	0	0	0	0	0	0	0	0	0
D007234	34.79659	46.4151	0.17718	0.70724	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		34.89174	21.03439	21.18007	3.95924	3.20043	0	2.7799	0.00952	0.17254	0.1922
D007234	44.3338	1.92099	0	5.90547	0	1.33399		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		23.8708	1.23217	15.74561	0.61842	0	0.15999	3.40273	0.10075	1.37496	0.04787
Healthy	0.25682	0	0	0	0	0		31.83094	36.2769	3.95401	4.8351	1.21836	8.3959	0	1.19723	0	0
Healthy	0	0	0	0	0	0		54.07795	9.67989	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0		23.28874	31.8156	2.27085	16.1291	1.17122	12.5307	0	0	0	0
D007234	27.37998	2.45443	13.0879	6.48721	3.07224	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.11644	0	0		40.36867	7.41093	17.9083	4.4427	1.85304	1.80811	0	0	0.06815	0
Healthy	0.03994	0	0	0	0	0		39.08014	6.17621	6.74889	9.97041	2.48665	0.70508	0	0	0.46712	0.23731
Healthy	1.55509	0	0	0.27641	0	0		64.74334	2.09958	0.04698	0.86179	0.00731	0.42651	0	0	0.05841	0
Healthy	0	0	0	0.09281	0	0		15.54464	21.33534	6.04093	4.6139	0.56977	0.02087	4.53503	1.31913	0.33599	0.00493
Healthy	0.14131	0	0	0	0	0		51.90519	0.76121	18.47392	5.3939	3.17893	0.11557	2.21282	0.05876	2.80319	0.00324
Healthy	0.06081	0	0	0	0	0		46.22622	5.72513	15.96016	3.44435	4.31082	0.95857	3.07647	0	0.03199	0.11375
Healthy	0	0	0	0	0	0		43.31286	15.12293	3.27176	0.58598	1.16252	0	1.30736	0	0	0
Healthy	1.9574	0	0.09955	0	0	0		39.33635	9.78814	25.0389	2.84173	4.38575	7.38221	0	0.02427	0.00151	0.26162
D007234	7.13509	0.7343	0.02745	11.3123	0.05896	0.00061		0.00056	0	0	0	0	0	0	0	0.01441	0
Healthy	0.08339	0	0	0.0553	0	0.00206		66.02304	20.0574	0.23302	4.23559	1.5611	0.03805	0.00099	0.16288	0.01318	0
Healthy	12.8743	0	0	1.05894	0	0		39.96737	1.70546	6.0314	0.03625	0	0	18.2103	0.29068	0	0.04885
Healthy	0	0	0	0	0	0		61.16748	2.70959	0.69834	8.73338	5.46858	0	0	0	0.1962	0
Healthy	0.03899	0	0	0	0	0		29.82025	27.26938	4.08269	4.41343	2.72865	6.65527	1.71259	0.56754	0.06691	0.06165
Healthy	0	0	0	0	0	0		61.55379	2.42962	0.75727	8.59103	5.83707	0	0	0	0.24336	0
Healthy	0	0	0	0.00942	0	0		1.44531	20.09009	0.14918	4.62922	0.00983	0.12081	0	0	0.34115	0
D007234	6.16145	66.6818	0	11.2316	3.27167	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.02492	0	0	0	0	0		39.24998	6.18849	6.76396	10.19266	2.43475	0.71587	0	0	1.58801	0.19675
D007234	0.35253	0.06012	0.18075	0.0979	0.00326	0		0	0	0	0	0	0	0	0	0	0
Healthy	1.85023	0	0	0	0	0		74.46039	3.74794	1.4039	2.43803	8.31258	0.1507	2.64261	0	0.92137	0.10547
Healthy	0	0	0	0	0	0		8.60161	5.6304	2.76905	5.7395	0.85914	27.1201	0	0.04776	0	0
Healthy	0	0	0	0.47754	0	0		8.48384	35.85053	0.82889	6.11979	1.06069	5.19532	0.71556	0.04697	0.02466	0.00509
Healthy	0	0	0	0	0	0		19.92818	6.11296	7.33463	2.52174	1.33326	4.99805	0.78045	0.35659	1.03877	0.81652
