group	Lachnospiraceae	Barnesiellaceae	Methanobacteriaceae	Coprobacteraceae		Lachnospiraceae	Bifidobacteriaceae	Tannerellaceae	Dialisteraceae	Barnesiellaceae	Erysipelotrichaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae	Coprobacteraceae
Healthy	24.13931	4.44353	15.6428	0.22964		24.13931	0.09522	2.05761	0.59117	4.44353	0	0	0	0	0.22964
Healthy	12.86415	4.1818	0.32705	0.15438		12.86415	0	1.90474	0	4.1818	0.14265	0	0	0.35363	0.15438
Healthy	4.04901	2.56053	0	0		4.04901	0.22191	8.83823	0	2.56053	0.04	0	0	0	0
Healthy	58.92111	0.46476	3.21156	0		58.92111	0	0.90553	4.25365	0.46476	0	0	0	0	0
Healthy	2.98722	6.22598	0	0		2.98722	0.6206	5.15553	6.31044	6.22598	0.14147	0.01062	0	0	0
Healthy	15.91284	0	1.04718	0		15.91284	22.56278	0.24212	2.39552	0	0	0	0	0	0
Healthy	15.08024	0	0	0		15.08024	5.05257	0.50003	0	0	1.6957	0.03449	0.13116	0.04743	0
Healthy	2.94694	0	0	0		2.94694	0.38779	1.43325	6.35013	0	0.24099	0	0	0	0
Healthy	3.31311	1.7863	0	0		3.31311	0.49252	2.34465	0	1.7863	0.09705	0.01729	0	0	0
Healthy	4.67955	0.89589	0.60936	0		4.67955	0	3.29162	11.5958	0.89589	0.2213	0	0	0	0
Healthy	4.47133	0	0.01981	0.04067		4.47133	0	6.53852	0.22524	0	0.0032	0	0	0	0.04067
Healthy	4.96469	0	0	0		4.96469	5.15639	0	0	0	0.03527	2.29054	0	0.09932	0
Healthy	26.02253	0	0	0		26.02253	9.82654	2.10613	4.06746	0	0.02503	0.19393	0	0.0908	0
Healthy	15.93214	3.89693	0	0.13753		15.93214	0.73193	4.63046	0	3.89693	0.08713	0	0.003	0	0.13753
Healthy	13.86684	9.5509	0.54243	0.03883		13.86684	2.58432	2.52603	0	9.5509	0	0	0	0.12217	0.03883
Healthy	13.69074	1.10706	0	0		13.69074	0.50518	4.22958	4.47702	1.10706	0	2.77557	0	0	0
Healthy	5.4809	0	0	0		5.4809	0	1.26783	0	0	0	0.12423	0	0	0
Healthy	5.82858	0	0	0		5.82858	0.00669	0.08399	0	0	0	0	0	0.0709	0
Healthy	7.62617	1.61717	0	0		7.62617	0.13549	15.63019	0	1.61717	0	0	0	0	0
Healthy	2.05337	2.7737	0	0		2.05337	0	5.22934	2.48965	2.7737	0	0.23479	0	0	0
Healthy	17.42598	2.84294	0.00715	0.22887		17.42598	8.07662	1.46835	0.14204	2.84294	0.08093	0	0.90454	0.13647	0.22887
Healthy	0.82468	0	0	0		0.82468	0.02207	1.75228	9.30256	0	0.35675	0	0	0	0
Healthy	13.15289	0.51114	0.05897	0		13.15289	2.3021	1.40721	0.26986	0.51114	0	0.01462	0	0	0
Healthy	29.97117	0	2.07917	0		29.97117	0	0	0	0	1.933	0	0	0.26971	0
Healthy	1.15799	0	0	0		1.15799	0	3.17839	3.34381	0	0.02708	0	0	0	0
Healthy	16.08956	0	0	0		16.08956	1.87214	0.27114	1.41269	0	0.43867	0.04188	0	0.26029	0
Healthy	2.66517	0	0	0.21743		2.66517	0	5.80673	0	0	0.01705	0.07776	0	0	0.21743
Healthy	3.20391	0	0	0.24355		3.20391	0	6.68856	0	0	0.01215	0.06544	0	0	0.24355
Healthy	22.52399	1.24513	0	0		22.52399	1.19003	0.00304	5.34871	1.24513	0.0136	0.02787	0.0073	0	0
Healthy	23.50672	1.10334	0	0.0745		23.50672	0	6.3337	0	1.10334	0.05412	0	0	0	0.0745
Healthy	5.27636	3.76568	0	0		5.27636	0.23312	6.04427	4.62199	3.76568	0	0	0	0	0
Healthy	0.74218	6.29834	0	0		0.74218	2.71886	5.2338	0	6.29834	0	0	0	0	0
Healthy	4.66382	0	0	0		4.66382	5.45435	0.02172	0	0	0.00569	0	0	0	0
Healthy	20.07617	0	0	0		20.07617	0.74589	0	0	0	0.00545	0.04462	0.02608	0.25312	0
Healthy	20.8232	0	0	0		20.8232	0.01296	0	5.07885	0	0	0.67165	0	0.16683	0
Healthy	18.86342	1.08835	0	0		18.86342	2.57185	0	0	1.08835	11.3576	0	0	0	0
Healthy	8.09311	0	0	0		8.09311	4.99535	0.26959	1.99584	0	0.5723	0	0	0.01342	0
Healthy	18.30054	0	0	0.42578		18.30054	0	0	0	0	0	0	0	0	0.42578
Healthy	9.47397	0.10558	0.57278	0.16582		9.47397	0	0.73403	0	0.10558	0	0.06709	0	0	0.16582
Healthy	11.74589	0.16735	0.1514	0.02847		11.74589	0.3126	0.84661	0	0.16735	0.11145	0.12678	0	0.39724	0.02847
Healthy	0.2867	2.88154	0	0.081		0.2867	0.32681	6.32032	0.03571	2.88154	0.29282	0	0	0	0.081
Healthy	1.01616	1.9336	0	0.01499		1.01616	1.20433	3.97953	0.61502	1.9336	0.56328	0	0	0	0.01499
Healthy	25.34291	0	0	0		25.34291	5.29069	1.06739	4.75712	0	0.57913	0	0	0	0
Healthy	9.43879	0	0.0264	0		9.43879	1.37642	4.96493	0	0	0	0	0	0	0
Healthy	6.33331	3.19204	0.50179	0		6.33331	3.22177	0.96468	0	3.19204	0.28536	0.01449	0	0.0182	0
Healthy	0.00094	0	0	0		0.00094	0.02275	0	0	0	0	0	0.22892	0	0
Healthy	21.55607	2.48727	0	0.04561		21.55607	0	3.1482	0	2.48727	0.0673	0.11696	0	0	0.04561
D050177	58.75221	4.41251	0	0.01194		58.75221	0.02283	1.94334	0	4.41251	0.78856	0	0	0	0.01194
Healthy	0	0	0	0		0	89.8523	0	0	0	0.02798	0.0088	3.58269	0.02357	0
D050177	59.80062	0	0	0		59.80062	0	0	0	0	0	0	0	0	0
Healthy	1.72277	1.99692	0	0		1.72277	0.11834	5.73289	0	1.99692	0	0	0	0	0
Healthy	1.17854	3.44508	0	0		1.17854	0	0	0	3.44508	0	0	0	0	0
Healthy	4.22058	12.6988	0	0		4.22058	0.43511	0	15.1182	12.6988	0	0	0	0	0
Healthy	12.86174	4.55688	0	0.06628		12.86174	1.32525	2.04418	0	4.55688	0.10518	0	0	0	0.06628
Healthy	26.41081	0.04919	0	0		26.41081	0.01689	2.14848	3.44835	0.04919	0	0	0	0	0
Healthy	5.7435	3.20915	0.0539	0.02796		5.7435	4.34504	4.49613	2.88164	3.20915	0	0	0	0	0.02796
Healthy	1.35877	4.11412	0	0.00691		1.35877	0.06193	8.71279	0	4.11412	0.00711	0	0	0	0.00691
Healthy	26.62906	0.52356	0	0		26.62906	0.0216	2.61407	0	0.52356	0.02471	0	0	0.00354	0
Healthy	46.55662	0.15386	0	0		46.55662	0	3.81604	0	0.15386	2.64033	0	0	0	0
Healthy	25.0635	5.44263	0	0		25.0635	0.33771	1.74419	0	5.44263	0.15335	0.08119	0.52882	0	0
Healthy	56.88681	0.24568	3.78245	0		56.88681	1.2613	0.57618	0	0.24568	1.06366	0	0	0	0
Healthy	12.1476	0	0	0		12.1476	21.2371	0	0	0	0	0	0	0	0
Healthy	2.9794	0.74068	0	0.01168		2.9794	0.14666	0.92557	0	0.74068	0.03085	0	0	0	0.01168
Healthy	4.23484	3.25057	0.09708	0		4.23484	0	3.21554	0	3.25057	0.19977	0	0	0	0
Healthy	13.98492	0	0	0		13.98492	35.90039	0.10385	0.19855	0	0.86835	3.85851	0	1.16392	0
Healthy	22.45504	0.62205	0	0		22.45504	0.03459	0.98259	0	0.62205	0.98615	0.00058	0	0	0
Healthy	25.21853	0	1.82276	0		25.21853	0.24421	0.57341	0	0	0.07916	0.14273	0.00868	0.28618	0
Healthy	29.12875	0	0	0		29.12875	0	1.5306	0	0	0	0.19515	0	0.05986	0
Healthy	20.95243	0.20778	0	0		20.95243	0	0.11864	0	0.20778	1.5817	0.81232	0	0	0
Healthy	38.42361	4.13991	3.06148	0		38.42361	0.26781	0.08661	0	4.13991	0.05851	0	2.24067	0	0
Healthy	35.15934	0	0	0		35.15934	0	0	0.05242	0	0.07394	0.32966	0	0.01366	0
Healthy	22.27209	0	0	0		22.27209	0.18712	0	0	0	0.00254	0.44799	0	0.17413	0
Healthy	0.65685	2.14547	0	0.11682		0.65685	1.20908	6.13296	2.97255	2.14547	0.49025	0	0	0	0.11682
Healthy	6.95679	0	0	0		6.95679	1.62673	0.56763	0	0	1.19138	0	0.39151	0	0
Healthy	10.2726	0	0	0		10.2726	0.43785	3.67041	0	0	0	0	0	0	0
Healthy	6.52439	2.67909	0	0		6.52439	35.20264	1.13924	12.9858	2.67909	0	0	0	0	0
Healthy	17.31738	3.83289	0	0.00357		17.31738	5.45267	1.44797	4.58123	3.83289	1.14247	0.12773	0	0.25	0.00357
Healthy	0.38881	0	0	0		0.38881	0.0103	2.9639	2.60171	0	0.13551	0	0	0	0
Healthy	3.13409	0.76415	0	0.01321		3.13409	0.13383	1.02204	0	0.76415	0.0128	0	0	0	0.01321
Healthy	8.78889	1.78582	0	0.02264		8.78889	2.43475	1.94101	5.94604	1.78582	0.40667	0	0	0	0.02264
Healthy	1.4222	0	0	0		1.4222	0.27682	1.11256	5.89113	0	0.02247	0	0	0	0
Healthy	4.3198	5.12769	0	0		4.3198	5.34259	4.77866	17.7048	5.12769	0.17455	0	0	0.00258	0
Healthy	38.69933	0.39095	0.02465	0		38.69933	0.1995	6.14159	0	0.39095	1.34329	0.0175	0	0	0
Healthy	24.09166	0	0	0		24.09166	5.93464	0	5.0839	0	0	0	0	0.92052	0
