o	Lachnospirales	Oscillospirales	Lactobacillales	Actinomycetales	Coriobacteriales	Erysipelotrichales	Acidaminococcales	Peptostreptococcales	Bacteroidales	Burkholderiales
Healthy	1.31487020916473	-1.30838812578558	-0.532717552381859	1.40112833208387	0.759851342542993	-5	-1.53017798402184	-5	1.39257878095216	-5
Healthy	0.826166189386517	0.875434017573925	-1.75300930075845	-0.299330889371745	-0.683903790324869	-5	-5	-5	1.80276490252706	0.163951096346079
Healthy	1.33867697157123	0.613046472501289	-0.251145532354061	-0.587875593826683	-1.06068046892176	-1.68298189895189	0.310272618148416	-5	1.71674927159693	0.326616422851385
Healthy	1.2825602605898	1.07617495679094	0.0209162281357402	-0.328716051374985	-0.423336216585005	-1.20453710560962	-5	-1.57528166266843	1.60690102497749	-0.843784117323237
Healthy	0.969957045245668	0.913765123927758	-1.78041547378575	0.768325030057909	-0.0285803382281341	-0.101346109972029	-5	-5	1.68234249553608	-1.59074334796109
Healthy	1.13142200053863	0.992561912049238	-1.05359686610095	0.749569366032057	0.234745000628051	-2.43770713554353	-3.09691001300806	-1.87095494011204	1.74789136461658	-5
Healthy	0.464564059655464	0.570101416289806	-5	-0.181859917724294	-0.844998163768747	-0.787785752580059	-5	-5	1.8861083213193	-0.533325112790015
Healthy	-0.7247577694441	-2.41680122603138	0.0871458327523663	1.72967106334891	-0.920782564253433	-5	-1.77211329538633	-5	0.99071082098826	1.03783709058621
Healthy	1.11621643709677	1.08531270277569	-0.721863993284522	-0.00137890022102005	-5	0.00676972824547518	-5	-5	1.67301168634137	-5
Healthy	0.0459094670350095	0.162409060221068	-0.63339028960757	-5	-0.81121208736253	-1.93930215964639	-5	-5	1.94992288585992	-1.06696850489759
Healthy	0.930982632957629	1.43732001753566	-0.846063245539065	-5	-1.78727984558216	-3.20760831050175	-5	-5	1.72528954175842	0.108751013469221
Healthy	0.663210772256511	0.72309347214351	-0.669342765288606	-5	-5	-1.2308443092856	0.00220927298801476	-5	1.4858262973554	-1.47925452848052
Healthy	0.518965108499921	0.407616916750889	-5	-5	-0.991357252434715	-5	-5	-5	1.64796730935212	-0.999088937868777
Healthy	1.38272503194164	0.0911250702741142	-5	-1.02122621566988	-1.15851539066461	-5	-1.93404701968613	-5	1.59439929128072	-5
D003924	0.939098731904189	1.52616293871591	0.433529825915495	1.27885187753101	1.01871339419216	-1.63732907027433	-3.16115090926274	-1.2942217871714	0.328666999038706	-5
Healthy	1.10938143304344	0.57601176039378	-5	-5	-5	-0.845697780315335	-5	-0.45143861810245	1.61538794443253	-1.39404884243513
Healthy	0.607349921956901	0.55572426305758	-1.20453710560962	-0.65380355627079	-5	-1.397831448621	-5	-5	1.93830958188606	-1.09550084460218
Healthy	1.77027099352016	0.970597429985983	-0.938698343793955	-5	-5	-5	-5	-5	1.09571109663366	-5
Healthy	0.475268662137219	0.58623500074467	-5	-0.207181230830761	-0.719763190390311	-0.849304948857286	-5	-5	1.88332170105324	-0.524474084960719
Healthy	1.20174796898831	0.939670480570701	1.19620051148431	1.35339280128144	0.451102996833693	0.410225371069719	-5	-5	0.990601217280949	-5
Healthy	1.17840854131628	0.615904832201299	-0.329717029325588	0.704108458618344	0.239269440429388	0.229351581311782	0.335862919556807	-1.32385531964379	1.62516320091162	0.953714279257453
Healthy	0.469372767370689	0.642089420697162	-5	-0.411392195257313	-5	-0.617982957425132	-5	-5	1.83470604885608	-0.890826578574528
Healthy	0.52023716615483	0.324535548461467	-5	-0.30756731148585	-0.500381640299993	-1.01295971302073	-5	-5	1.87756621627172	0.774801536086167
Healthy	0.670205020049456	0.851485834970511	-5	-5	-5	-0.654998961821958	-5	-5	1.52954173713065	-0.425101010741054
Healthy	0.650437694808689	1.29274150073038	-1.96217524941166	-5	-0.674217602484195	-2.49349496759513	-5	-5	1.72075193832482	0.152893488130231
Healthy	0.695893010680155	0.953886724819663	-0.561172961277832	0.714166239729455	-2.43297363384094	-1.37232696823338	-5	-1.00291956452827	1.75082293228829	-2.45469288353418
Healthy	1.41534968477539	1.14957133353778	-0.267027566564563	0.992401068294658	-0.690433704106227	-1.05863766428824	-5	-1.04186632432376	1.30595723893257	-2.1681302257195
Healthy	1.20227438660659	1.2490950931314	0.359383884802275	-0.135524518308971	0.045334716316743	-1.05978244440026	0.352346553933043	-5	1.54381968098756	-2.03105031901866
Healthy	1.14197781774328	0.871910199999814	-5	0.412347969086344	-0.35269528819389	-5	-5	-0.912999879204009	1.73847446323237	0.0660723575773765
Healthy	1.13642724009451	0.586540047260709	-0.703290943824397	-0.29654525468797	-5	-5	-5	-5	1.82034604693572	0.0322116708328178
Healthy	0.73885267074137	0.652695878719575	-5	-5	-5	-5	-5	-5	1.81557104127818	-0.982215646903322
Healthy	0.765563506854856	0.432853891032061	-1.19348086591929	-2.17392519729917	-0.502144659868822	-5	-5	-1.14929251462546	1.88378086390612	-5
Healthy	0.882307051669907	0.927850080667718	-5	-0.868060704789575	-0.63520519282589	-5	-5	-5	1.72431978848234	-0.408868583576876
Healthy	0.312469327661736	0.802272800986002	-2.53461714855158	-5	-5	-5	-5	-5	1.88066745045934	-1.88572270343841
Healthy	1.24119746047586	0.663782877786846	0.37579342575089	0.907689155879493	0.00338297259828993	-1.09183679994445	-5	-0.864930986176552	1.64240941377882	-2.36251027048749
Healthy	-0.0837092715592769	0.804686557679567	-5	-1.65600093094284	-0.160239219038679	-0.447623844747437	-5	-5	1.73645522766992	-0.566694301291877
Healthy	1.11902151823587	1.58245325704891	-1.57121748850305	0.362126071357915	-0.386433001228715	-5	-0.71545647704125	-5	1.56350540995057	0.269157891804425
Healthy	1.476703841958	1.73721038001092	-5	-5	0.566215868865457	0.485269866168583	-0.581019618754964	-0.569086848995397	0.341693638960031	-5
Healthy	0.0637085593914174	0.169636233270082	-0.665827827275394	-5	-0.827718238544999	-1.56719099496683	-5	-5	1.94935604251243	-0.952452566921365
Healthy	1.20654443756562	0.899777289617267	-1.31614279459965	0.272340642245293	-0.632196967250993	-0.357852165202157	-5	-0.584525831890764	1.74462456359356	-1.44733178388781
Healthy	0.425726545582806	0.959265640357073	-5	-5	-0.291324207273463	-1.7680209731685	-5	-5	1.84810070904581	0.755898474554684
Healthy	0.505681663469531	1.14675266012306	-2.34486156518862	-5	-0.133411418224968	-1.91506642506328	-5	-5	1.76411057214773	0.851036863233541
Healthy	1.35264551866897	1.17448400480989	-2.13608262304214	0.0755615592810349	-1.4386600585411	-1.86614187479667	-5	-5	1.6043401214296	-5
Healthy	1.37119221901313	0.610556899430001	-5	-5	-1.1114274031424	-1.26656197290894	-5	-5	1.81002063010515	0.473590604448907
Healthy	0.722335242394437	0.697566705597547	-0.237839297913818	-0.632401836320167	-1.44708854978349	-5	-5	-5	1.84441000712758	0.801618402870708
Healthy	-0.129484901474809	0.996124925378408	-5	0.434388442735579	-0.833066905128846	-5	-5	-5	1.62280463482383	-1.19921420967224
Healthy	0.668742711689318	-0.226967278244564	-0.974202758689708	0.736743798962006	0.169395196975156	-1.99225222199926	-5	-5	0.286391343147528	-1.55284196865778
Healthy	1.30268108084626	0.916257023745133	-0.819845440546652	-0.12731939284807	-1.98171569157347	-0.835409239809776	-5	-0.59665638086955	1.8012357228892	-0.759151341514639
Healthy	1.31854767896072	0.988923539827931	-5	-1.88706002391592	-5	-5	-5	-0.777699818826206	1.70747606876486	0.771175771563677
Healthy	1.27562066478692	1.57039266200351	-0.107032119049397	0.410247323940247	0.58910475277915	1.05528695170825	0.147960609057186	-5	1.27434700337415	-5
Healthy	0.908115979902185	1.54965029569179	-0.218646803094664	0.698566791937309	-0.662820374590166	-0.240528576357249	-5	-1.87192398733128	0.870742663294291	-5
Healthy	1.26246414210068	0.520971921200441	-5	-5	-0.973099191109745	-5	-5	-5	1.83312510965263	-5
Healthy	0.976532463577624	1.12778164041776	-2.70774392864352	-5	-5	-5	0.183338186289204	-5	1.64097954636543	0.943884117923751
Healthy	1.06988629910927	1.46632270597064	-1.40044440901402	-0.504997133561376	-1.10690433390377	-0.179069852819449	0.778374131016551	-0.400936094120583	1.24469661240851	-1.05256627811295
Healthy	-0.542557159271581	0.613144912492539	-1.30311962831724	-0.485691374343224	-0.0108217012429983	-0.533384432507628	-1.55144826079842	-5	1.82668575568211	-2.37571790416433
Healthy	0.00696636925290523	0.844408205051166	-0.534379244145795	0.080749110907479	0.0936807835974929	-0.249267958658788	-1.6458915608526	-5	1.49530395216766	-5
Healthy	1.40385665264794	1.04073205533978	-0.651928900920112	0.723572234494289	-1.07644514193245	-0.224032943545995	-5	-5	1.30897098745708	-5
Healthy	0.974916783863191	0.796559070196858	-1.63413778459744	0.138754129723719	-0.41999931041096	-5	-5	-5	1.8275738990396	-1.74836177955179
Healthy	0.801631431928032	1.07849270568042	-5	0.508095881195523	-0.645833914968581	0.102519458368337	-5	-1.73969005420508	1.62909671283614	-0.169206100295901
Healthy	-3.02227639471115	-5	-0.640297291725886	-1.64282774227697	-5	-5	-5	-5	-1.28692967414436	-5
Healthy	1.33356978670234	0.600964187940667	-1.02877055272376	-5	-0.749604396942884	-1.17192040944325	-5	-5	1.78802829919445	0.714520036294616
Healthy	-5	-0.599289363226769	0.555214195727336	1.95786132529501	-2.65757731917779	-1.55299710153384	-5	-1.62745619924093	-1.71399287792053	-5
Healthy	0.236229821332926	0.062739880787584	-5	-0.926831737734898	-5	-5	-5	-5	1.96814495463693	-0.229420427959381
Healthy	0.0713480122005758	0.336971779279089	-5	-5	-0.935317433771488	-5	-5	-5	1.63732748922239	-0.945885099489414
Healthy	0.625373165614261	0.0307939575095279	-0.601625913848644	-0.361390954192885	-0.243356285962926	-5	-5	-5	1.75295206948262	-0.571136591700743
Healthy	1.10930006373877	1.04617976687076	-5	0.122301089961987	-0.829591588274682	-0.97802554488994	-5	-5	1.71731485160876	-0.287501822878101
Healthy	1.4217818853397	0.364612899010632	-2.35457773065091	-1.77211329538633	-1.86138156610051	-5	-5	-5	1.78570949869202	-0.930516906065389
Healthy	0.759177381552239	0.657808996907215	-2.2572748686953	0.637994778390935	-2.64397414280688	-5	-5	-5	1.84856983556758	-0.623806413115715
Healthy	0.133149145827103	0.235578943330128	-1.32661042181169	-1.20802879897923	-0.873414072045662	-2.14752000636314	-5	-5	1.92204983052155	0.185063118628386
Healthy	1.42535599929959	1.32131750828927	-1.33217362104929	-1.66534523311676	-0.531327808853853	-1.60695153358322	-5	-2.44977164694491	1.57222816092954	-5
Healthy	1.66798153638897	-0.905528871358355	-5	-5	-5	1.051093840473	-5	-5	1.31736058768831	-1.31202537996544
Healthy	1.39904189135433	0.847391871115861	0.451290473578162	-0.471443219398817	-0.569199575375819	0.000585902155538262	-5	-5	1.69391056216295	-0.335480245715309
Healthy	1.75501165718045	1.0113077576718	-5	0.100821838946951	-0.758602958350354	0.0569048513364726	0.945026679940939	-5	0.862428959956688	-1.33320131633383
Healthy	1.08449084041063	1.79933855031565	-5	1.32709541653146	-5	-5	-5	-5	0.558182780051332	-5
Healthy	0.474130271085285	0.676155665743792	-1.36632959394856	-0.833658708016502	-0.613073193204431	-1.51060407827287	-0.0641250998316844	-5	1.81917871144198	-0.939906816175532
Healthy	0.626838032063187	0.750745148079811	-5	-5	-0.199152378124986	-0.522227791650743	-1.16723569505947	-5	1.88965420652834	-5
Healthy	1.14566029690062	0.84498883224354	-0.0352172681616929	1.55509928748709	-0.363903445843243	-0.0613001900303484	-5	0.0659268621627721	1.35740003085252	-1.23202827861838
Healthy	1.35131402643057	1.47247004224014	-0.808381336630531	-1.37664731846201	0.39167242839155	0.344058072451302	-5	-5	1.01821768096015	-1.04014804520039
Healthy	1.40171993995722	1.10998734039473	-0.120852490143188	-0.601140261595739	-0.729344451047015	-0.917035206222248	0.0897885777744039	-0.543345545351551	1.64695609540824	0.248137629211972
Healthy	1.46432199727374	1.06056375483841	-5	-5	-0.475292388205987	-5	-5	-1.22279074185432	1.70267966728539	-0.999088937868777
Healthy	1.32123460567136	0.745812309400151	-0.0955495471875633	-5	-5	0.25653735366673	0.504940923792709	-5	1.76331049352414	-5
Healthy	1.58459827858825	0.427003832965794	1.14513484820309	-0.572156994294466	0.575643845661616	-1.23269568254673	-5	-5	1.27892180034509	-0.794092237372614
Healthy	1.5460408375615	-1.36321131096562	0.195631247417338	-5	-1.40837896178668	-1.13106182166709	-5	-1.86423148543218	-5	-2.79860287567955
Healthy	1.34776116788335	0.952044735789634	-0.637649492405152	-0.644491011975566	-0.871213141357402	-1.21925076889645	-5	-0.759101459876509	1.34369035064213	0.224022589711839
Healthy	-0.182527184026897	0.777055446996348	-1.23500240071512	0.0824586292715335	-0.146478218173163	-0.309573539117544	-1.16545214231905	-5	1.65574909221612	-1.89414932561486
Healthy	0.842409518070182	0.347101584670897	1.23470857391237	0.211318145691329	0.356274500903909	0.613698089944562	0.472763760610584	-5	1.25929923269997	-5
Healthy	1.01168080042184	0.920892577739454	-0.747316838067802	-0.358664727273591	-0.92786043676026	-5	-5	-5	1.80432102081899	-5
Healthy	0.814540579049336	0.800660726291882	-5	1.54657535771273	0.0330657171185611	-1.61834351741421	-5	-5	1.49356427633227	-1.63059858630338
Healthy	1.23848243768063	1.25202441263091	-0.568427181414346	0.743686895664305	0.636777663647943	0.68275951582264	-5	-0.602042619896113	1.33045943275192	-1.05685187064144
Healthy	-0.410251404069212	0.779590719864235	-5	-1.98674133471648	0.130005510862396	-0.867996607013368	-5	-5	1.12349589629023	-0.546574628728335
Healthy	0.496112849425274	0.671244138941686	-1.25258819211358	-0.873414072045662	-0.547186591322146	-1.89245087025531	-0.0941232027331172	-5	1.81791352489197	-1.01963297381522
Healthy	0.943934523102862	1.24591642329382	-0.345650160093309	0.386456158235409	-0.0788599869822159	-0.390747185114997	-5	-5	1.66387781019517	0.399753306006056
Healthy	0.152963727974303	0.269727703434182	-5	-0.557786847277181	-2.63078414258986	-1.64820369310298	-5	-5	1.84899289555575	-0.933040802132878
Healthy	0.635464645480143	0.828133785268303	-5	0.72775265980976	-0.149390519078651	-0.758055266755733	-5	-2.58670023591875	1.6475331865481	-0.55695617135166
Healthy	1.58770355838319	0.561013084036811	-1.85263289220621	-0.700035331375845	-1.22577509513108	0.715600599372018	-5	-5	1.56000304445673	-2.30803489723264
Healthy	1.3818669057122	1.48651577073244	-5	0.773395111234869	0.233549419743861	-5	-5	-0.0359620533064625	1.25952794138506	-5
Healthy	1.57320230646532	0.528021491404521	-2.09963287134353	-5	-5	0.291077891161752	0.339403735860026	-5	1.62839833114676	-5
Healthy	1.17246135381866	0.169418718601164	-5	-0.0318206967250459	-0.62845190731615	-1.33236029394359	-5	-5	1.80403694856363	-0.759026648159996
Healthy	-0.190130666360444	0.187740632484242	-1.88840147511961	-5	-5	-5	-5	-5	1.96760834270013	-5
D003924	1.18242521005644	1.32803264097649	0.895707561849365	-0.296536658116707	0.119879162620163	0.0163897727884604	-2.51144928349956	0.145062708638412	1.13623813732956	-0.467538645736156
Healthy	1.31061324187225	1.07796787099673	-0.442974277613617	-0.209510758477563	-0.890455199121653	-0.830943067255148	-2.94309514866353	-5	1.69670438392489	0.405718501895727
