o	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Methanobacteriales	Lactobacillales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Peptostreptococcales	Pseudomonadales	Bacteroidales	Burkholderiales
D015179	1.50170009280912	1.293571363684	0.623026916062447	0.0434683822624187	-5	-5	-5	-0.21911408406016	-5	-5	-5	1.4473974477235	-5
D015179	1.5359922283187	0.410574796542328	-1.19681611146466	-5	-5	-1.84863014975254	0.569976353186005	-0.214250312681285	-5	-5	-5	1.44719990771968	0.0857791967997027
D015179	1.16039349103558	1.32135294433025	0.0958246588951075	-5	-5	-5	0.690051586605213	0.817384871792336	0.823941528939971	-5	-5	1.47571185613765	-5
Healthy	0.969957045245668	0.913765123927758	0.768325030057909	0.066516004090991	-5	-1.78041547378575	-0.101346109972029	-0.0285803382281341	-5	-5	-5	1.68234249553608	-1.59074334796109
Healthy	1.13142200053863	0.992561912049238	0.749569366032057	-1.13948232253825	-0.276363751548955	-1.05359686610095	-2.43770713554353	0.234745000628051	-3.09691001300806	-1.87095494011204	-5	1.74789136461658	-5
Healthy	0.464564059655464	0.570101416289806	-0.181859917724294	-5	-5	-5	-0.787785752580059	-0.844998163768747	-5	-5	-5	1.8861083213193	-0.533325112790015
Healthy	-0.7247577694441	-2.41680122603138	1.72967106334891	-5	-5	0.0871458327523663	-5	-0.920782564253433	-1.77211329538633	-5	-0.384186672726646	0.99071082098826	1.03783709058621
Healthy	1.11621643709677	1.08531270277569	-0.00137890022102005	0.667019376016459	0.459439232218998	-0.721863993284522	0.00676972824547518	-5	-5	-5	-5	1.67301168634137	-5
Healthy	0.0459094670350095	0.162409060221068	-5	-5	-5	-0.63339028960757	-1.93930215964639	-0.81121208736253	-5	-5	-5	1.94992288585992	-1.06696850489759
Healthy	0.930982632957629	1.43732001753566	-5	-1.60572347323218	-5	-0.846063245539065	-3.20760831050175	-1.78727984558216	-5	-5	-5	1.72528954175842	0.108751013469221
Healthy	0.663210772256511	0.72309347214351	-5	1.30133411244408	-0.262688062010375	-0.669342765288606	-1.2308443092856	-5	0.00220927298801476	-5	-5	1.4858262973554	-1.47925452848052
Healthy	0.518965108499921	0.407616916750889	-5	-5	-5	-5	-5	-0.991357252434715	-5	-5	-5	1.64796730935212	-0.999088937868777
Healthy	1.38272503194164	0.0911250702741142	-1.02122621566988	0.0558597642979701	1.19431477032722	-5	-5	-1.15851539066461	-1.93404701968613	-5	-5	1.59439929128072	-5
Healthy	1.10938143304344	0.57601176039378	-5	-5	-0.48537256758866	-5	-0.845697780315335	-5	-5	-0.45143861810245	-5	1.61538794443253	-1.39404884243513
Healthy	0.607349921956901	0.55572426305758	-0.65380355627079	-5	-5	-1.20453710560962	-1.397831448621	-5	-5	-5	-5	1.93830958188606	-1.09550084460218
Healthy	1.77027099352016	0.970597429985983	-5	-2.0301183562535	0.506717392419689	-0.938698343793955	-5	-5	-5	-5	-5	1.09571109663366	-5
Healthy	0.475268662137219	0.58623500074467	-0.207181230830761	-5	-5	-5	-0.849304948857286	-0.719763190390311	-5	-5	-5	1.88332170105324	-0.524474084960719
Healthy	1.20174796898831	0.939670480570701	1.35339280128144	-5	0.0200254863257827	1.19620051148431	0.410225371069719	0.451102996833693	-5	-5	-5	0.990601217280949	-5
Healthy	1.17840854131628	0.615904832201299	0.704108458618344	-5	-5	-0.329717029325588	0.229351581311782	0.239269440429388	0.335862919556807	-1.32385531964379	-1.80631897045872	1.62516320091162	0.953714279257453
Healthy	0.469372767370689	0.642089420697162	-0.411392195257313	-5	-5	-5	-0.617982957425132	-5	-5	-5	-5	1.83470604885608	-0.890826578574528
Healthy	0.52023716615483	0.324535548461467	-0.30756731148585	-5	-5	-5	-1.01295971302073	-0.500381640299993	-5	-5	-5	1.87756621627172	0.774801536086167
Healthy	0.670205020049456	0.851485834970511	-5	-0.264648654831209	-0.21511893041391	-5	-0.654998961821958	-5	-5	-5	-5	1.52954173713065	-0.425101010741054
Healthy	0.650437694808689	1.29274150073038	-5	0.282975385635692	-1.70289634985074	-1.96217524941166	-2.49349496759513	-0.674217602484195	-5	-5	-5	1.72075193832482	0.152893488130231
Healthy	0.695893010680155	0.953886724819663	0.714166239729455	-5	-5	-0.561172961277832	-1.37232696823338	-2.43297363384094	-5	-1.00291956452827	-5	1.75082293228829	-2.45469288353418
Healthy	1.41534968477539	1.14957133353778	0.992401068294658	-5	-5	-0.267027566564563	-1.05863766428824	-0.690433704106227	-5	-1.04186632432376	-5	1.30595723893257	-2.1681302257195
Healthy	1.20227438660659	1.2490950931314	-0.135524518308971	-0.0582550850508751	-5	0.359383884802275	-1.05978244440026	0.045334716316743	0.352346553933043	-5	-5	1.54381968098756	-2.03105031901866
Healthy	1.14197781774328	0.871910199999814	0.412347969086344	0.263893965288644	-0.265648292705235	-5	-5	-0.35269528819389	-5	-0.912999879204009	-5	1.73847446323237	0.0660723575773765
D015179	1.22210594949235	1.00948361538325	-2.0893755951108	-5	-5	-0.175678875149229	-0.768708853581651	-0.512720183556931	0.21090146911642	-5	-5	0.531832595259028	-5
Healthy	1.13642724009451	0.586540047260709	-0.29654525468797	-5	-5	-0.703290943824397	-5	-5	-5	-5	-5	1.82034604693572	0.0322116708328178
Healthy	0.73885267074137	0.652695878719575	-5	0.886332206961341	-5	-5	-5	-5	-5	-5	-5	1.81557104127818	-0.982215646903322
Healthy	0.765563506854856	0.432853891032061	-2.17392519729917	-5	-5	-1.19348086591929	-5	-0.502144659868822	-5	-1.14929251462546	-5	1.88378086390612	-5
Healthy	0.882307051669907	0.927850080667718	-0.868060704789575	0.728773262075445	-5	-5	-5	-0.63520519282589	-5	-5	-5	1.72431978848234	-0.408868583576876
D015179	0.395366587479231	0.170302795362467	-5	-5	-5	-1.26648174856551	-5	-5	0.379818389488834	-5	-5	1.66349154686969	-5
D015179	1.13345778991377	0.926217903574648	0.574388979023984	-5	0.127542113597888	-0.895581179352405	-1.37892762885637	0.025457432170485	-5	-5	-5	1.27246658712754	-2.34582345812204
D015179	0.690584998238207	0.905622127822281	-1.50334706074908	-2.73992861201493	-5	0.0301583225356494	-0.973344186122957	-1.32605800136591	-5	-2.42250820016277	-5	1.88146317650607	-5
Healthy	0.312469327661736	0.802272800986002	-5	-5	-5	-2.53461714855158	-5	-5	-5	-5	-5	1.88066745045934	-1.88572270343841
