group	Dialisteraceae	Streptococcaceae	Peptostreptococcaceae	Oscillospiraceae	Eggerthellaceae	Coprobacteraceae	Lactobacillaceae		Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Akkermansiaceae	Burkholderiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Eggerthellaceae
Healthy	0	0.14253	0	0.12367	0	0	0		36.05486	8.53065	27.22336	0.02581	0.02478	1.28454	0	0.01631	0	0
Healthy	0	0.21411	0	0.66922	0	0.05326	0		18.8565	4.60479	3.58402	1.03234	20.014	0.03316	0.54614	0	1.00509	0
Healthy	0	0	0	1.66202	0	0	0		24.95525	3.30342	0.69262	0.20168	0	0.1002	0	0.102	0	0
Healthy	0.59117	0	0	0.0234	0	0.22964	0		31.29799	24.13931	1.051	0.15905	1.13725	0	15.6428	0.06941	0.01163	0
Healthy	0	0	0.35363	0	0	0.15438	0		31.97894	12.86415	1.09293	2.6742	0	0.04035	0.32705	0	0	0
Healthy	0	0.06243	0	0.96798	0	0	0		73.8556	4.04901	2.47447	0.15275	0	0.08025	0	0	0	0
Healthy	4.25365	0.11515	0	0	0	0	0		11.09524	58.92111	2.97284	6.37254	0.00932	0	3.21156	0	0	0
Healthy	6.31044	0	0	0.69402	0	0	0		55.62337	2.98722	2.20024	0.9626	0	0.29889	0	0.19064	0	0
Healthy	2.39552	15.69812	0	0	0	0	0		7.9325	15.91284	2.60289	6.10013	0	0	1.04718	2.82554	0	0
Healthy	0	0.33687	0.04743	0.00299	0	0	0.13116		35.33617	15.08024	2.1367	1.98987	0	8.98905	0	1.73487	2.16701	0
D011236	2.30825	0.03409	0.08459	0.0137	0.02493	0	0.14267		66.19962	16.08732	0.32465	0	0	0	0	0	0	0.02493
Healthy	6.35013	0	0	1.74357	0	0	0		55.27272	2.94694	2.03873	0.6039	0	0.12857	0	0	0	0
Healthy	0	0	0	0.02547	0	0	0		48.31908	3.31311	2.08575	0	0	5.95389	0	0.31594	0	0
Healthy	11.5958	0	0	0	0	0	0		21.6074	4.67955	5.16023	1.94348	0.54368	0.37574	0.60936	0	0	0
Healthy	0.22524	0.0109	0	0.04391	0.06556	0.04067	0		23.01477	4.47133	7.83113	11.74687	1.91855	1.42197	0.01981	0.14616	0	0.06556
Healthy	0	0.25644	0.09932	0.00521	0.00368	0	0		50.28392	4.96469	8.98741	0	0	0.0035	0	0	0	0.00368
Healthy	4.06746	0.54071	0.0908	0.52013	0.20396	0	0		12.62376	26.02253	8.82855	4.72778	0	0.00678	0	0	0	0.20396
Healthy	0	2.28461	0	0.01037	0.3762	0.13753	0.003		21.2982	15.93214	17.63019	0.10521	0.87446	0.0093	0	0.73212	2.25084	0.3762
