o	Enterobacterales	Pseudomonadales	Staphylococcales	Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Desulfovibrionales	Peptostreptococcales
Healthy	-1.0395292224657	-5	-5	1.53452703352098	1.3757118865383	0.94218868195857	0.99456129217834	-1.06108018775523	-1.5480601306349	-5	-0.334456530644509	-0.856080061614163	-5	-5	-0.321836849737658
Healthy	-0.981674054597079	-5	-5	1.82816042852175	1.18324449723243	0.424537003174977	-5	-0.392009141452825	-0.492656952400061	-5	-5	-5	0.515312075477326	-5	-5
Healthy	-1.00117418095971	-5	-5	1.66400962634643	1.01488034167546	1.31977084357145	-5	-1.06429125215734	-1.82159865846624	-5	-1.68423950933427	-0.863279432843593	-5	-0.606021397348228	-5
Healthy	-5	-5	-5	1.32580085766442	1.15191322113061	0.461255349847157	-0.460986665060487	1.68812791006636	-5	-5	-0.571023361487117	-5	-5	-5	-5
Healthy	-0.69387532926347	-1.42875714943978	-2.58169870868025	1.5976974889962	1.14402562286898	1.159734081827	-0.215925022521303	-1.60101893334187	-0.720173418205985	-0.194444773478747	0.164715607852906	-1.02447628703967	0.427232859115983	-1.10941133229451	-1.65521487736734
Healthy	-0.662620616304181	-5	-5	1.23406807784543	1.42342201427606	1.30502982953019	1.38646596861784	-5	-1.35193287055107	-5	-5	-0.0468639369858433	-5	-5	-5
Healthy	-5	-5	-5	1.54045311221858	1.25318772119131	0.910535829660712	0.530503213925169	0.21827810816134	-0.713813083058962	-0.743787541434838	-5	-0.341330501793832	-5	-1.12644690648638	-5
Healthy	-5	-5	-5	1.75494401147996	0.584881660330662	1.00110734089234	0.750233691942234	-5	-2.69680394257951	-1.09044397075882	-1.90974194706868	-0.0893435844122668	-5	-0.986109939671561	-5
D007234	1.82440188453041	0.992149962274027	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	1.73383868006618	1.20437505574366	0.794184003829024	-0.687653360969147	-5	0.63423738469509	-5	-5	0.163846875794205	-5	-1.09642170633695	-5
Healthy	-0.0375264840391993	-5	-2.69250396208679	1.39257878095216	1.31487020916473	-1.30838812578558	1.40112833208387	-5	-5	-5	-5	0.759851342542993	-1.53017798402184	-1.81958736716168	-5
D007234	-1.28886792769316	1.86344789513353	-5	-5	-5	-5	-2.0515870342214	-5	-5	-5	-3.23657200643706	-5	-5	-5	-5
Healthy	-1.10729336219433	-5	-5	1.80276490252706	0.826166189386517	0.875434017573925	-0.299330889371745	-5	0.163951096346079	-0.726790316599669	-5	-0.683903790324869	-5	-0.812310106474816	-5
Healthy	-1.01475320919714	-5	-5	1.71674927159693	1.33867697157123	0.613046472501289	-0.587875593826683	-0.200824927584771	0.326616422851385	-1.15187248943213	-1.68298189895189	-1.06068046892176	0.310272618148416	-1.03123695180275	-5
Healthy	-0.820419486604591	-5	-5	1.60690102497749	1.2825602605898	1.07617495679094	-0.328716051374985	-1.40693556834128	-0.843784117323237	-5	-1.20453710560962	-0.423336216585005	-5	-5	-1.57528166266843
D007234	1.55341973435673	1.69886923632668	-0.270956764951463	-5	-5	-5	-5	-5	-5	-5	0.702195229866541	-5	-5	-5	-5
Healthy	-0.366814432940472	-5	-5	1.68234249553608	0.969957045245668	0.913765123927758	0.768325030057909	0.066516004090991	-1.59074334796109	-5	-0.101346109972029	-0.0285803382281341	-5	-2.91721462968355	-5
Healthy	-1.95233580539844	-5	-5	1.74789136461658	1.13142200053863	0.992561912049238	0.749569366032057	-1.13948232253825	-5	-0.276363751548955	-2.43770713554353	0.234745000628051	-3.09691001300806	-1.23121395309199	-1.87095494011204
D007234	1.57818932754889	1.43084857847221	-5	-5	-5	-5	0.659457905959164	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.01831727262871	-5	-5	1.8861083213193	0.464564059655464	0.570101416289806	-0.181859917724294	-5	-0.533325112790015	-5	-0.787785752580059	-0.844998163768747	-5	-1.10325338439259	-5
Healthy	1.21639737630927	-0.384186672726646	0.358347992103246	0.99071082098826	-0.7247577694441	-2.41680122603138	1.72967106334891	-5	1.03783709058621	-5	-5	-0.920782564253433	-1.77211329538633	-0.879919865870547	-5
Healthy	-5	-5	-5	1.67301168634137	1.11621643709677	1.08531270277569	-0.00137890022102005	0.667019376016459	-5	0.459439232218998	0.00676972824547518	-5	-5	-1.05276239212933	-5
D007234	1.7036336048948	1.48031184867948	-0.0696980555782436	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	1.58901905862932	1.14970888072874	0.219408991768612	-5	-5	-5	-1.38258025326282	-5	-5	-5	1.60091748967361	-5	-5	-5	-5
Healthy	-0.423232628157107	-5	-5	1.94992288585992	0.0459094670350095	0.162409060221068	-5	-5	-1.06696850489759	-5	-1.93930215964639	-0.81121208736253	-5	-2.59859945921846	-5
Healthy	-5	-5	-5	1.72528954175842	0.930982632957629	1.43732001753566	-5	-1.60572347323218	0.108751013469221	-5	-3.20760831050175	-1.78727984558216	-5	-1.43168091490489	-5
D007234	1.84244884551033	-1.06550154875643	-1.94043658209873	-5	-0.150844806062009	-5	-1.25072759170158	-5	0.128683535146743	-5	-2.34969247686806	-5	-5	-5	-5
Healthy	0.804400475980121	-5	-5	1.4858262973554	0.663210772256511	0.72309347214351	-5	1.30133411244408	-1.47925452848052	-0.262688062010375	-1.2308443092856	-5	0.00220927298801476	-0.183427303973897	-5
Healthy	-5	-5	-5	1.64796730935212	0.518965108499921	0.407616916750889	-5	-5	-0.999088937868777	-5	-5	-0.991357252434715	-5	-1.24123945609002	-5
Healthy	-5	-5	-5	1.59439929128072	1.38272503194164	0.0911250702741142	-1.02122621566988	0.0558597642979701	-5	1.19431477032722	-5	-1.15851539066461	-1.93404701968613	-1.57528166266843	-5
Healthy	1.21513266374785	-5	-5	1.61538794443253	1.10938143304344	0.57601176039378	-5	-5	-1.39404884243513	-0.48537256758866	-0.845697780315335	-5	-5	-5	-0.45143861810245
D007234	-5	2.00000004342945	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.223698374168054	-5	-5	1.93830958188606	0.607349921956901	0.55572426305758	-0.65380355627079	-5	-1.09550084460218	-5	-1.397831448621	-5	-5	-1.0073581301216	-5
Healthy	-5	-5	-5	1.09571109663366	1.77027099352016	0.970597429985983	-5	-2.0301183562535	-5	0.506717392419689	-5	-5	-5	-5	-5
Healthy	-1.40938105179342	-5	-5	1.88332170105324	0.475268662137219	0.58623500074467	-0.207181230830761	-5	-0.524474084960719	-5	-0.849304948857286	-0.719763190390311	-5	-0.998699066979582	-5
Healthy	0.243191885767495	-5	-5	0.990601217280949	1.20174796898831	0.939670480570701	1.35339280128144	-5	-5	0.0200254863257827	0.410225371069719	0.451102996833693	-5	-5	-5
Healthy	0.814139008537479	-1.80631897045872	-5	1.62516320091162	1.17840854131628	0.615904832201299	0.704108458618344	-5	0.953714279257453	-5	0.229351581311782	0.239269440429388	0.335862919556807	-1.43937612545007	-1.32385531964379
Healthy	-5	-5	-5	1.83470604885608	0.469372767370689	0.642089420697162	-0.411392195257313	-5	-0.890826578574528	-5	-0.617982957425132	-5	-5	-5	-5
Healthy	-1.7619538968712	-5	-5	1.87756621627172	0.52023716615483	0.324535548461467	-0.30756731148585	-5	0.774801536086167	-5	-1.01295971302073	-0.500381640299993	-5	-0.69216179584344	-5
Healthy	1.10904539072735	-5	-5	1.52954173713065	0.670205020049456	0.851485834970511	-5	-0.264648654831209	-0.425101010741054	-0.21511893041391	-0.654998961821958	-5	-5	-5	-5
Healthy	-2.08301995267962	-5	-5	1.72075193832482	0.650437694808689	1.29274150073038	-5	0.282975385635692	0.152893488130231	-1.70289634985074	-2.49349496759513	-0.674217602484195	-5	-1.03428102975578	-5
Healthy	0.360714559905001	-5	-5	1.75082293228829	0.695893010680155	0.953886724819663	0.714166239729455	-5	-2.45469288353418	-5	-1.37232696823338	-2.43297363384094	-5	-5	-1.00291956452827
Healthy	-0.666371387481309	-5	-5	1.30595723893257	1.41534968477539	1.14957133353778	0.992401068294658	-5	-2.1681302257195	-5	-1.05863766428824	-0.690433704106227	-5	-1.17947015147648	-1.04186632432376
Healthy	-5	-5	-2.12609840213554	1.54381968098756	1.20227438660659	1.2490950931314	-0.135524518308971	-0.0582550850508751	-2.03105031901866	-5	-1.05978244440026	0.045334716316743	0.352346553933043	-0.548014111051091	-5
Healthy	-5	-5	-5	1.73847446323237	1.14197781774328	0.871910199999814	0.412347969086344	0.263893965288644	0.0660723575773765	-0.265648292705235	-5	-0.35269528819389	-5	-5	-0.912999879204009
Healthy	0.443353749433271	-5	-5	1.82034604693572	1.13642724009451	0.586540047260709	-0.29654525468797	-5	0.0322116708328178	-5	-5	-5	-5	-1.70929775671215	-5
Healthy	-0.905738557279498	-5	-5	1.81557104127818	0.73885267074137	0.652695878719575	-5	0.886332206961341	-0.982215646903322	-5	-5	-5	-5	-5	-5
D007234	1.63576594652318	-0.236939065468551	-0.889309302726246	-5	-5	-5	-5	-5	-5	-5	0.191107131756712	-5	-5	-5	-5
Healthy	0.138826693810669	-5	-5	1.88378086390612	0.765563506854856	0.432853891032061	-2.17392519729917	-5	-5	-5	-5	-0.502144659868822	-5	-1.35872424276809	-1.14929251462546
Healthy	-1.34794715175189	-5	-5	1.72431978848234	0.882307051669907	0.927850080667718	-0.868060704789575	0.728773262075445	-0.408868583576876	-5	-5	-0.63520519282589	-5	-0.488584592791225	-5
D007234	1.73631306190876	1.09655235455813	-5	1.34737763870735	0.277661922309125	-5	-0.583043454609657	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.221046047095941	-5	-5	1.88066745045934	0.312469327661736	0.802272800986002	-5	-5	-1.88572270343841	-5	-5	-5	-5	-2.14146280243036	-5
Healthy	0.328275604985012	-5	-5	1.64240941377882	1.24119746047586	0.663782877786846	0.907689155879493	0.676698181121668	-2.36251027048749	-2.14508697769214	-1.09183679994445	0.00338297259828993	-5	-1.04793440981495	-0.864930986176552
D007234	-1.33761997998375	-5	1.31291853753562	-5	-5	-5	-2.00480370840282	-5	-2.32605800136591	-5	-2.00217691925427	-5	-5	-5	-5
D007234	1.64307250246412	-0.299850318308085	-1.08175990977858	-5	0.491360292882071	-5	-5	-5	0.828200229078416	-5	0.576140860328306	-5	-5	-5	-5
Healthy	0.0261940310141587	-5	-5	1.73645522766992	-0.0837092715592769	0.804686557679567	-1.65600093094284	0.855072517386656	-0.566694301291877	-5	-0.447623844747437	-0.160239219038679	-5	-0.747244028911427	-5
Healthy	-1.83475567387469	-5	-5	1.56350540995057	1.11902151823587	1.58245325704891	0.362126071357915	-1.49620931694282	0.269157891804425	-1.22929523178422	-5	-0.386433001228715	-0.71545647704125	-0.829591588274682	-5
Healthy	-5	-5	-5	0.341693638960031	1.476703841958	1.73721038001092	-5	-5	-5	0.317892088957648	0.485269866168583	0.566215868865457	-0.581019618754964	-5	-0.569086848995397
Healthy	-0.366875075889939	-5	-5	1.94935604251243	0.0637085593914174	0.169636233270082	-5	-5	-0.952452566921365	-5	-1.56719099496683	-0.827718238544999	-5	-5	-5
D007234	-5	1.38518088567486	0.351167980231891	-5	-5	-5	-5	-5	-5	-5	1.65465207944646	-5	-5	-5	-5
Healthy	-1.37788963963878	-5	-5	1.74462456359356	1.20654443756562	0.899777289617267	0.272340642245293	-5	-1.44733178388781	-5	-0.357852165202157	-0.632196967250993	-5	-5	-0.584525831890764
Healthy	-1.10918790104488	-5	-5	1.84810070904581	0.425726545582806	0.959265640357073	-5	-5	0.755898474554684	-5	-1.7680209731685	-0.291324207273463	-5	-5	-5
Healthy	-1.18409034911323	-5	-5	1.76411057214773	0.505681663469531	1.14675266012306	-5	-5	0.851036863233541	-5	-1.91506642506328	-0.133411418224968	-5	-5	-5
Healthy	-1.1253442674019	-5	-5	1.6043401214296	1.35264551866897	1.17448400480989	0.0755615592810349	-5	-5	-5	-1.86614187479667	-1.4386600585411	-5	-5	-5
Healthy	-5	-5	-5	1.81002063010515	1.37119221901313	0.610556899430001	-5	-5	0.473590604448907	-5	-1.26656197290894	-1.1114274031424	-5	-0.258422985219577	-5
Healthy	-5	-5	-5	1.84441000712758	0.722335242394437	0.697566705597547	-0.632401836320167	-5	0.801618402870708	-5	-5	-1.44708854978349	-5	-5	-5
D007234	1.7435184662094	1.23082174362667	0.600177594069011	-5	-5	-5	0.289789555606911	-5	-5	-5	-2.13786862068696	-5	-5	-5	-1.75300930075845
D007234	-1.13377175262035	-0.215204462143238	-1.41027374374576	-5	-5	-5	-5	-5	-5	-5	-1.82073553566097	-5	-5	-5	-5
Healthy	-1.37892762885637	-5	-5	1.62280463482383	-0.129484901474809	0.996124925378408	0.434388442735579	1.23550344900574	-1.19921420967224	-5	-5	-0.833066905128846	-5	0.209152951593855	-5
Healthy	1.89632655045426	-0.235248677675379	-5	0.286391343147528	0.668742711689318	-0.226967278244564	0.736743798962006	0.547602429785681	-1.55284196865778	-5	-1.99225222199926	0.169395196975156	-5	-5	-5
