g	Streptococcus	Ruminococcus_C	Clostridium_A	Muricomes	Anaerotruncus	Bilophila	Adlercreutzia	Gordonibacter	Eggerthella	Rothia	Dialister	Methanobrevibacter_A	Sutterella	Phascolarctobacterium	Desulfovibrio
Healthy	-1.06514819703434	-5	-1.47069800221202	-5	-2.0515870342214	-1.46180342165055	-0.570764660373345	-1.90587840415944	-5	-5	-5	-0.276363751548955	-5	-5	-5
Healthy	-5	-5	-5	-5	-1.42377386255039	-1.10325338439259	-5	-5	-5	-5	0.795363420938209	-5	-5	-5	-5
Healthy	0.0871458327523663	-5	-3.82390874094432	-5	-5	-0.911084653395094	-5	-5	-5	-0.475694771155077	-5	-5	1.03783709058621	-1.77211329538633	-5
Healthy	-0.721863993284522	-5	-5	-5	-5	-1.05276239212933	-5	-5	-5	-5	-5	0.459439232218998	-5	-5	-5
Healthy	-0.63339028960757	-5	-0.444276944924946	-5	-0.424177348062638	-2.59859945921846	-5	-5	-5	-5	0.521718499145115	-5	-5	-5	-5
D016640	-0.847497619538874	-5	-1.81930079870397	-0.796695083861517	-1.1786175002527	-1.03971953556336	-5	-1.28567024025477	-1.12257105921178	-1.94846160948467	-5	-5	-5	-5	-5
Healthy	-0.846063245539065	-5	-2.37161106994969	-5	-1.95979337242529	-1.43168091490489	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.669342765288606	-5	-1.28592183501814	-5	-5	-1.89245087025531	-5	-5	-5	-5	-5	-0.262688062010375	-5	0.00220927298801476	-0.292889908735527
Healthy	-5	-5	-0.695315634025614	-5	-5	-1.24123945609002	-5	-5	-5	-5	-5	-5	-0.999088937868777	-5	-5
Healthy	-5	-1.42492767428619	-5	-5	-5	-1.7851561519523	-5	-5	-5	-5	-0.228280266826629	1.19431477032722	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.48537256758866	-5	-5	-5
Healthy	-1.20453710560962	-5	-0.81599035029872	-1.01327304066878	-5	-1.0073581301216	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.938698343793955	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.628762773290026	0.506717392419689	-5	-5	-5
Healthy	-5	-5	-5	-5	-1.26704363042438	-0.998699066979582	-5	-5	-5	-5	0.80006033001252	-5	-5	-5	-5
Healthy	1.1958479212595	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.379401614039029	0.0200254863257827	-5	-5	-5
Healthy	-0.472524771587791	-5	-5	-5	-5	-1.43937612545007	-5	-5	-5	-2.82390874094432	-5	-5	0.947295961045249	0.335862919556807	-5
Healthy	-5	-5	-0.219027778954588	-5	-5	-5	-5	-5	-5	-5	0.802783300182877	-5	-5	-5	-5
Healthy	-5	-0.471636156280326	-5	-5	-5	-0.722620025332745	-5	-5	-5	-5	-5	-5	0.772783632470863	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.0643010907268	-0.21511893041391	-0.536495213897901	-5	-5
Healthy	-1.96217524941166	-5	-1.26217149410422	-2.83564714421556	-2.6458915608526	-5	-1.20781850385032	-2.44249279809434	-5	-5	-0.647335200348899	-1.70289634985074	0.140608591625051	-5	-5
