group	Bacteroidales	Lachnospirales	Oscillospirales	Lactobacillales	Coriobacteriales	Desulfovibrionales	Pseudomonadales	Peptostreptococcales		Bacteroidales	Lachnospirales	Actinomycetales	Enterobacterales	Lactobacillales	Burkholderiales	Erysipelotrichales	Pseudomonadales	Desulfovibrionales	Peptostreptococcales
Healthy	54.17995	16.00939	6.22563	0.1302	1.45829	0.08008	0	0		54.17995	16.00939	0.20527	0	0.1302	4.30761	0	0	0.08008	0
Healthy	24.69327	20.64762	0.04915	0.29327	5.75242	0.01514	0	0		24.69327	20.64762	25.1842	0.91721	0.29327	0	0	0	0.01514	0
Healthy	63.4987	6.7014	7.50643	0.01765	0.20705	0.15405	0	0		63.4987	6.7014	0.50195	0.0781	0.01765	1.45864	0	0	0.15405	0
Healthy	52.08938	21.81106	4.10247	0.56085	0.08695	0.09305	0	0		52.08938	21.81106	0.25829	0.09665	0.56085	2.12136	0.02074	0	0.09305	0
Healthy	40.44836	19.16726	11.91721	1.04933	0.37727	0	0	0.02658		40.44836	19.16726	0.46911	0.1512	1.04933	0.14328	0.06243	0	0	0.02658
Healthy	48.12186	9.33161	8.19907	0.01657	0.9363	0.0012	0	0		48.12186	9.33161	5.86576	0.42971	0.01657	0.02565	0.79186	0	0.0012	0
Healthy	55.96175	13.53386	9.83018	0.08838	1.71689	0.05871	0	0.01345		55.96175	13.53386	5.61783	0.01115	0.08838	0	0.00364	0	0.05871	0.01345
Healthy	76.93222	2.91449	3.71621	0	0.14288	0.07883	0	0		76.93222	2.91449	0.65786	0.09586	0	0.29286	0.163	0	0.07883	0
Healthy	9.78837	0.18846	0.00382	1.2222	0.12	0.13184	0.41286	0		9.78837	0.18846	53.66251	16.45876	1.2222	10.9103	0	0.41286	0.13184	0
Healthy	47.09899	13.06821	12.17061	0.18972	0	0.08855	0	0		47.09899	13.06821	0.99682	0	0.18972	0	1.0157	0	0.08855	0
Healthy	89.10926	1.11149	1.45347	0.23259	0.15444	0.00251	0	0		89.10926	1.11149	0	0.37736	0.23259	0.0857	0.01149	0	0.00251	0
D016640	55.54737	11.09183	1.58831	0.14206	0.12719	0.13444	0	0.00101		55.54737	11.09183	1.09157	0.24205	0.14206	0	3.6752	0	0.13444	0.00101
Healthy	53.12384	8.53065	27.37284	0.14253	0.01631	0.037	0	0		53.12384	8.53065	0	0	0.14253	1.28454	0.00061	0	0.037	0
Healthy	30.60738	4.60479	5.28558	0.21411	0	0.65549	0	0		30.60738	4.60479	0	6.37382	0.21411	0.03316	0.05876	0	0.65549	0
Healthy	44.45977	3.30342	2.55632	0	0.102	0.05737	0	0		44.45977	3.30342	0	0	0	0.1002	0	0	0.05737	0
Healthy	39.3006	24.13931	1.23345	0	0.06941	0.02658	0	0		39.3006	24.13931	0.09522	0	0	0	0	0	0.02658	0
Healthy	41.24657	12.86415	3.76713	0	0	0	0	0.35363		41.24657	12.86415	0	16.4109	0	0.04035	0.14265	0	0	0.35363
Healthy	86.758	4.04901	3.5952	0.06243	0	0.09831	0	0		86.758	4.04901	0.22191	1.67377	0.06243	0.08025	0.04	0	0.09831	0
Healthy	12.46553	58.92111	9.34538	0.11515	0	0	0	0		12.46553	58.92111	0	0	0.11515	0	0	0	0	0
Healthy	76.44017	2.98722	3.85686	0	0.19064	0.10029	0	0		76.44017	2.98722	0.6206	0.03895	0	0.29889	0.14147	0	0.10029	0
Healthy	9.7859	15.91284	8.70302	15.71087	2.82554	0	0	0		9.7859	15.91284	22.56278	1.75061	15.71087	0	2.57172	0	0	0
Healthy	42.18549	15.08024	4.12956	0.46803	1.73487	0.03635	0.01561	0.04743		42.18549	15.08024	5.0595	6.51836	0.46803	8.98905	1.6957	0.01561	0.03635	0.04743
Healthy	68.34488	2.94694	4.3862	0	0	0	0	0		68.34488	2.94694	0.38779	0	0	0.12857	0.24099	0	0	0
Healthy	75.43383	3.31311	2.11122	0	0.31594	0.20315	0	0		75.43383	3.31311	0.49252	0.01729	0	5.95389	0.09705	0	0.20315	0
Healthy	33.84867	4.67955	7.10371	0	0	0	0	0		33.84867	4.67955	0	12.8542	0	0.37574	0.2213	0	0	0
Healthy	52.57168	4.47133	19.62191	0.0109	0.21172	0.0924	0	0		52.57168	4.47133	0	0.00825	0.0109	1.42197	0.0032	0	0.0924	0
Healthy	56.34078	4.96469	8.99262	0.27467	0.00368	0	0	0.09932		56.34078	4.96469	5.17804	2.29463	0.27467	0.0035	0.04242	0	0	0.09932
Healthy	20.22819	26.02253	14.11143	0.54071	0.20396	0.06614	0	0.0908		20.22819	26.02253	9.82654	0.21558	0.54071	0.00678	0.08736	0	0.06614	0.0908
Healthy	34.97998	15.93214	17.74577	2.28761	1.11002	0.28312	0	0		34.97998	15.93214	0.73193	0	2.28761	0.0093	0.08713	0	0.28312	0
Healthy	54.76138	13.86684	7.44577	0	0.44391	0	0	0.12217		54.76138	13.86684	2.58432	0	0	1.16431	0	0	0	0.12217
Healthy	66.122	13.69074	3.85957	0.19801	0	0.01952	0	0		66.122	13.69074	0.50518	2.77557	0.19801	1.07698	0	0	0.01952	0
Healthy	65.39898	5.4809	4.49464	0	0	0	0	0		65.39898	5.4809	0	0.12423	0	0.10417	0	0	0	0
D016640	65.0424	10.52407	4.0161	0.02547	0.30159	0	0	0.00026		65.0424	10.52407	0.36366	0.18635	0.02547	0	0	0	0	0.00026
Healthy	76.52103	5.82858	2.70927	0.06404	0.31466	0.04377	0	0.0709		76.52103	5.82858	0.00669	1.37665	0.06404	0	0	0	0.04377	0.0709
Healthy	53.00535	7.62617	8.46934	0	0.23162	0.32464	0	0		53.00535	7.62617	0.13549	0.04487	0	0.39005	0	0	0.32464	0
Healthy	75.97442	2.05337	6.34267	0.00291	0	0.00721	0	0		75.97442	2.05337	0	0.6011	0.00291	0.013	0	0	0.00721	0
Healthy	43.89442	17.42598	4.61086	2.3757	1.00781	0.08954	0	0.13647		43.89442	17.42598	8.08516	2.12948	2.3757	0.00433	0.08093	0	0.08954	0.13647
Healthy	54.50736	0.82468	6.37802	0	0.69144	0.17895	0	0		54.50736	0.82468	0.02207	1.06216	0	0.2712	0.35675	0	0.17895	0
Healthy	36.60204	13.15289	38.2343	0.02683	0.41073	0.14804	0	0		36.60204	13.15289	2.3021	0.01462	0.02683	1.85847	0	0	0.14804	0
Healthy	2.1963	29.97117	54.60222	0	3.68311	0	0	0.26971		2.1963	29.97117	0	0	0	0	3.05681	0	0	0.26971
Healthy	88.99303	1.15799	1.47786	0.21585	0.14868	0	0	0		88.99303	1.15799	0	0.42965	0.21585	0.11156	0.02708	0	0	0
Healthy	55.54238	16.08956	7.9392	0.04828	0.23323	0	0	0.26029		55.54238	16.08956	1.87214	0.04188	0.04828	0.03569	0.43867	0	0	0.26029
Healthy	70.48564	2.66517	9.10469	0	0.51129	0	0	0		70.48564	2.66517	0	0.07776	0	5.7003	0.01705	0	0	0
Healthy	58.09122	3.20391	14.02014	0.00451	0.7355	0	0	0		58.09122	3.20391	0	0.06544	0.00451	7.09637	0.01215	0	0	0
Healthy	40.21055	22.52399	14.94458	0.0073	0.03641	0	0	0		40.21055	22.52399	1.19003	0.07492	0.0073	0	0.0136	0	0	0
Healthy	64.56848	23.50672	4.07902	0	0.07736	0.55153	0	0		64.56848	23.50672	0	0	0	2.9757	0.05412	0	0.55153	0
Healthy	69.88918	5.27636	4.98386	0.5783	0.03571	0	0	0		69.88918	5.27636	0.23312	0	0.5783	6.33312	0	0	0	0
Healthy	41.95701	0.74218	9.91116	0	0.14686	1.61864	0	0		41.95701	0.74218	2.71886	0.04178	0	0.0632	0	0	1.61864	0
Healthy	1.9337	4.66382	0.59296	0.10611	1.47704	0	0.58176	0		1.9337	4.66382	5.45435	78.76377	0.10611	0.02799	0.01017	0.58176	0	0
Healthy	63.27551	20.07617	8.24625	0.1514	0.01042	0	0	0.25312		63.27551	20.07617	0.74589	1.87079	0.1514	0.17411	0.14607	0	0	0.25312
Healthy	50.98894	20.8232	9.74817	0	0	0	0	0.16683		50.98894	20.8232	0.01296	3.09305	0	5.90439	0	0	0	0.16683
Healthy	18.80818	18.86342	37.18712	0.78156	3.88243	0	0	0		18.80818	18.86342	2.57185	0	0.78156	0	11.3576	0	0	0
Healthy	7.42578	8.09311	35.45277	0.60443	0.21735	0	0.06974	0.01342		7.42578	8.09311	4.99535	0	0.60443	0	0.57473	0.06974	0	0.01342
Healthy	68.09654	18.30054	3.31872	0	0.10638	0	0	0		68.09654	18.30054	0	0	0	0	0	0	0	0
Healthy	43.75014	9.47397	13.42089	0.00195	0	0.04203	0	0		43.75014	9.47397	0	0.06709	0.00195	8.78787	0	0	0.04203	0
Healthy	17.56695	11.74589	29.26325	0.03976	0.07817	0.03232	0.963	0.39724		17.56695	11.74589	0.3126	0.8398	0.03976	0.08859	0.6621	0.963	0.03232	0.39724
Healthy	67.09431	0.2867	4.1034	0.04975	0.97538	0.40307	0	0		67.09431	0.2867	0.32681	1.00992	0.04975	0.0042	0.29282	0	0.40307	0
Healthy	31.28267	1.01616	6.98888	0.29215	1.24073	0.80581	0	0		31.28267	1.01616	1.20433	0.1118	0.29215	0	0.56328	0	0.80581	0
Healthy	20.36905	25.34291	10.98327	0.22287	0.08385	0	0	0		20.36905	25.34291	5.29141	0	0.22287	0	0.59698	0	0	0
Healthy	67.23166	9.43879	6.25977	0.02321	0.38018	0.09289	0	0		67.23166	9.43879	1.37642	0	0.02321	0.01784	0	0	0.09289	0
Healthy	42.56931	6.33331	11.98098	0	0.22602	0.29804	0	0.0182		42.56931	6.33331	3.22177	1.08785	0	0.67731	1.26624	0	0.29804	0.0182
Healthy	0.05164	0.00094	0	0.22892	0	0	0	0		0.05164	0.00094	0.02275	86.41751	0.22892	0	0	0	0	0
Healthy	61.38019	21.55607	3.98991	0.09358	0.17798	0.16147	0	0		61.38019	21.55607	0	0.11696	0.09358	5.18226	0.0673	0	0.16147	0
Healthy	0.01931	0	0.25159	3.59098	0.00219	0	0.57192	0.02357		0.01931	0	90.75306	3.9748	3.59098	0	0.02798	0.57192	0	0.02357
Healthy	92.92764	1.72277	1.15541	0	0	0	0	0		92.92764	1.72277	0.11834	0.09795	0	0.58962	0	0	0	0
Healthy	43.38378	1.17854	2.17255	0	0.11605	0.03182	0	0		43.38378	1.17854	0	0	0	0.11326	0	0	0.03182	0
Healthy	56.61767	4.22058	1.07347	0.25024	0.571	0.01125	0.02363	0		56.61767	4.22058	0.43511	0	0.25024	0.26844	0	0.02363	0.01125	0
Healthy	52.15726	12.86174	11.12191	0	0.14804	0.20998	0	0		52.15726	12.86174	1.32525	0.08321	0	0.51581	0.10518	0	0.20998	0
Healthy	61.05334	26.41081	2.31532	0.00441	0.01375	0	0	0		61.05334	26.41081	0.01689	0	0.00441	0.11734	0	0	0	0
Healthy	70.56182	5.7435	4.54787	0.00552	0.00226	0.07482	0	0		70.56182	5.7435	4.34504	0.15123	0.00552	0.23778	0	0	0.07482	0
Healthy	83.56988	1.35877	1.72019	0.04713	0.13383	0	0	0		83.56988	1.35877	0.06193	0	0.04713	1.5313	0.00711	0	0	0
Healthy	37.34462	26.62906	20.95643	0.04653	0.29421	0.05661	0	0.00354		37.34462	26.62906	0.0216	2.8125	0.04653	0	0.02471	0	0.05661	0.00354
Healthy	20.76636	46.55662	0.12429	0	0	0	0	0		20.76636	46.55662	0	0	0	0.04874	11.24847	0	0	0
Healthy	49.42088	25.0635	7.03706	2.82676	0.26964	0.01742	0	0		49.42088	25.0635	0.33771	0.08119	2.82676	0.46186	1.00134	0	0.01742	0
Healthy	7.28498	56.88681	10.26378	0	0.17433	0.01529	0	0		7.28498	56.88681	1.2613	0	0	0.04642	1.13999	0	0.01529	0
Healthy	3.61561	12.1476	62.9997	0	0	0	0	0		3.61561	12.1476	21.2371	0	0	0	0	0	0	0
Healthy	65.94451	2.9794	4.74411	0.04301	0.24373	0.31288	0	0		65.94451	2.9794	0.14666	0	0.04301	0.11483	0.03085	0	0.31288	0
Healthy	77.56292	4.23484	5.63306	0	0.63218	1.50048	0	0		77.56292	4.23484	0	0	0	0	0.30044	0	1.50048	0
Healthy	22.77193	13.98492	6.99823	0.9221	0.4326	0	0	1.16392		22.77193	13.98492	35.90039	3.85851	0.9221	0.0586	0.86835	0	0	1.16392
Healthy	10.42839	22.45504	29.68041	0.15545	2.46417	0.00355	0.32517	0		10.42839	22.45504	0.042	0.00058	0.15545	0.09116	2.20829	0.32517	0.00355	0
Healthy	44.35637	25.21853	12.88211	0.75708	0.18648	0.01117	0.0872	0.28618		44.35637	25.21853	0.25052	1.02549	0.75708	1.77066	0.12104	0.0872	0.01117	0.28618
Healthy	50.42891	29.12875	11.49644	0	0.33473	0	0	0.05986		50.42891	29.12875	0	0.19515	0	0.1002	0	0	0	0.05986
Healthy	57.9843	20.95243	5.56944	0.8025	0	0	0	0		57.9843	20.95243	0	0.81232	0.8025	0	1.80524	0	0	0
Healthy	19.00735	38.42361	2.67302	13.96801	3.76394	0	0.42465	0		19.00735	38.42361	0.26781	0.0911	13.96801	0.16065	0.05851	0.42465	0	0
Healthy	0	35.15934	0.04332	1.56902	0.03904	0	0.06891	0.01366		0	35.15934	0	4.14218	1.56902	0.00158	0.07394	0.06891	0	0.01366
Healthy	22.0643	22.27209	8.95456	0.23032	0.13451	0	0	0.17413		22.0643	22.27209	0.22672	0.92321	0.23032	1.67502	0.06035	0	0	0.17413
Healthy	45.26359	0.65685	5.98487	0.0582	0.7137	0.66408	0	0		45.26359	0.65685	1.20908	0.34649	0.0582	0.01275	0.49025	0	0.66408	0
Healthy	18.16766	6.95679	2.22382	17.16755	2.27129	0	0	0		18.16766	6.95679	1.62673	2.71161	17.16755	0	4.10863	0	0	0
Healthy	63.72663	10.2726	8.33474	0.17892	0.11806	0.06978	0	0		63.72663	10.2726	0.43785	0.07952	0.17892	0	0	0	0.06978	0
Healthy	31.15761	6.52439	6.31917	0	1.0791	0.00756	0	0		31.15761	6.52439	35.20264	0.08088	0	0.0234	0.02407	0	0.00756	0
Healthy	21.40224	17.31738	17.86587	0.27012	4.33288	0	0.06946	0.25		21.40224	17.31738	5.54225	0.16148	0.27012	0.08772	4.8168	0.06946	0	0.25
Healthy	13.2891	0.38881	6.01991	0	1.34897	0.45505	0	0		13.2891	0.38881	0.0103	10.2181	0	0.28406	0.13551	0	0.45505	0
Healthy	65.75268	3.13409	4.69076	0.05589	0.28366	0.33848	0	0		65.75268	3.13409	0.13383	0	0.05589	0.09557	0.0128	0	0.33848	0
Healthy	46.11877	8.78889	17.61636	0.45117	0.83394	0.00124	0	0		46.11877	8.78889	2.43475	0.06381	0.45117	2.51045	0.40667	0	0.00124	0
Healthy	70.63059	1.4222	1.86091	0	0.00233	0	0	0		70.63059	1.4222	0.27682	0.06157	0	0.11666	0.02247	0	0	0
Healthy	44.41535	4.3198	6.73183	0	0.70893	0.1094	0	0.00258		44.41535	4.3198	5.34259	0	0	0.27735	0.17455	0	0.1094	0.00258
Healthy	36.30805	38.69933	3.63925	0.01403	0.05945	0	0	0		36.30805	38.69933	0.1995	0.0175	0.01403	0.00491	5.19517	0	0	0
Healthy	18.17723	24.09166	30.65601	0	1.71217	0	0	0.92052		18.17723	24.09166	5.93464	0	0	0	0	0	0	0.92052
Healthy	42.50091	37.42848	3.37303	0.00794	0	0	0	0		42.50091	37.42848	0	0	0.00794	0	1.95468	0	0	0
Healthy	63.68496	14.87514	1.47712	0	0.23525	0.05044	0	0		63.68496	14.87514	0.92934	0	0	0.17416	0.04651	0	0.05044	0
Healthy	92.81289	0.64545	1.54077	0.01292	0	0	0	0		92.81289	0.64545	0	4.2841	0.01292	0	0	0	0	0
Healthy	49.73983	20.44622	11.96651	0.36059	0.12868	0.10707	0	0		49.73983	20.44622	0.61728	0.01667	0.36059	2.54517	0.14758	0	0.10707	0
Healthy	51.54426	11.94382	31.88632	0.10367	0	0	0	0		51.54426	11.94382	0.01142	0.47737	0.10367	2.10393	0	0	0	0
Healthy	71.0787	2.68635	0.77931	0	0	0.03142	0	0		71.0787	2.68635	0	2.0968	0	0.34626	0	0	0.03142	0
Healthy	26.51604	32.47023	13.63179	0	0	0	0	0		26.51604	32.47023	10.94462	0	0	0	0	0	0	0
Healthy	14.1769	51.48479	17.91611	0.20263	0.16698	0.08154	0	0		14.1769	51.48479	0.53641	0.09698	0.20263	0.63021	1.34631	0	0.08154	0
Healthy	58.04866	4.28305	4.47132	0	0.253	0.55816	0	0		58.04866	4.28305	0.49856	0.02507	0	0.51464	0	0	0.55816	0
Healthy	22.14347	38.09029	21.15368	0.34649	1.54102	0	0.22899	0		22.14347	38.09029	0.40697	1.49435	0.34649	0	0	0.22899	0	0
Healthy	0.35748	6.73804	0.39654	0.45334	1.31584	0	0	0		0.35748	6.73804	25.6546	0	0.45334	0	0	0	0	0
Healthy	80.38068	12.91336	1.73887	0	0	0	0	0		80.38068	12.91336	0	0	0	0	0.53907	0	0	0
Healthy	20.33218	21.6924	25.92229	0	3.69281	0.19041	0	0		20.33218	21.6924	0.19456	0	0	0.00056	0.1903	0	0.19041	0
Healthy	28.87276	0.0105	0.00433	0.00765	0.0026	0	0	0.23549		28.87276	0.0105	7.18306	55.0788	0.00765	0	0	0	0	0.23549
Healthy	38.75978	14.063	5.64434	0	0.78351	0	0	0		38.75978	14.063	10.5799	0.57325	0	0	1.18442	0	0	0
Healthy	29.53286	41.68406	7.35678	0.7126	0.4209	0	0	4.42379		29.53286	41.68406	0.58931	0.91179	0.7126	0.06954	1.65472	0	0	4.42379
Healthy	33.23081	11.91339	3.242	0	0.00433	0	1.74985	0		33.23081	11.91339	0	33.3132	0	0	0.73283	1.74985	0	0
Healthy	41.87328	26.02128	4.27652	0.02733	0	0	2.00314	0		41.87328	26.02128	0.13293	5.37164	0.02733	0	1.85933	2.00314	0	0
Healthy	69.54234	3.89694	7.01832	0.04903	0.64273	1.21704	0	0		69.54234	3.89694	0.74931	0	0.04903	2.99685	0.17372	0	1.21704	0
Healthy	28.72289	57.26534	0.76115	0.34273	0	0	0	0		28.72289	57.26534	0	0.09139	0.34273	0.03267	0	0	0	0
Healthy	65.70584	2.30841	0.10838	0	0	0	0	0		65.70584	2.30841	0.1845	1.15581	0	0	0	0	0	0
Healthy	7.75441	64.4011	14.55616	0.0318	0.47668	0	0	0		7.75441	64.4011	0.0008	0.05193	0.0318	0	0.02408	0	0	0
Healthy	25.16801	11.56562	8.83526	1.51516	1.11166	0.0392	6.4544	0.20169		25.16801	11.56562	2.78263	26.87573	1.51516	0	0.04376	6.4544	0.0392	0.20169
Healthy	75.927	1.72941	3.83581	0	0.1628	0.0151	0	0		75.927	1.72941	1.21132	0	0	0.7445	0.00174	0	0.0151	0
Healthy	27.96087	46.51861	9.83849	0.4968	0.59299	0	0.33242	0.1088		27.96087	46.51861	2.04031	0.76155	0.4968	0.06486	0.00415	0.33242	0	0.1088
Healthy	66.09812	3.10588	4.70989	0.05237	0.22282	0.33033	0	0		66.09812	3.10588	0.11984	0	0.05237	0.11834	0.00808	0	0.33033	0
Healthy	25.51014	25.5392	20.96904	8.14983	1.03937	0.07805	0	0.07247		25.51014	25.5392	1.03523	2.10237	8.14983	0.20459	0.13303	0	0.07805	0.07247
Healthy	18.16758	12.06107	47.80958	0	1.79807	0	0	0		18.16758	12.06107	0	0	0	0	0	0	0	0
Healthy	78.57875	0.68422	7.98813	0.03648	0.03568	0.0016	0	0		78.57875	0.68422	0.12056	0.09832	0.03648	0.0657	0.03735	0	0.0016	0
Healthy	64.93079	18.72938	4.49598	0	0.12192	0.40904	0	0		64.93079	18.72938	0	0	0	1.07337	0.06825	0	0.40904	0
Healthy	39.03604	5.48461	6.84934	0.01927	0.65339	0.18958	4.54617	0.0581		39.03604	5.48461	6.99607	9.39904	0.01927	0.21451	0.8809	4.54617	0.18958	0.0581
Healthy	88.7654	1.21892	1.32719	0.20842	0.13178	0.00253	0	0		88.7654	1.21892	0	0.38656	0.20842	0.11966	0.02311	0	0.00253	0
Healthy	79.91048	11.90134	0.49666	0.07356	0	0.0383	0	0		79.91048	11.90134	0	2.90482	0.07356	0.07877	0.01034	0	0.0383	0
Healthy	64.14272	6.58367	6.98856	0.00636	0.1822	0.13826	0	0		64.14272	6.58367	0.57014	0.13452	0.00636	1.39314	0.02486	0	0.13826	0
Healthy	38.36526	3.07898	8.76396	0.01559	0.0593	0.35495	0.05478	0.00271		38.36526	3.07898	0.01179	5.3394	0.01559	0.03034	0.51579	0.05478	0.35495	0.00271
Healthy	80.84169	1.71238	3.69428	0	0.1128	0.02838	0	0		80.84169	1.71238	1.06722	0.00402	0	0.70225	0	0	0.02838	0
Healthy	25.1195	13.19326	6.67228	0.75851	0.29588	0.37016	0.00368	0.08429		25.1195	13.19326	1.57348	0.00781	0.75851	0.88008	1.03495	0.00368	0.37016	0.08429
Healthy	55.82578	23.45088	1.67288	1.65013	0.03785	0	0	0.08412		55.82578	23.45088	0	0	1.65013	0.08336	7.32767	0	0	0.08412
Healthy	27.29133	12.8256	18.48604	0	1.00364	0.05407	0	0		27.29133	12.8256	29.09458	1.88746	0	1.38138	0	0	0.05407	0
Healthy	78.2146	11.33591	3.19307	0	0	0	0	0		78.2146	11.33591	0	0	0	0	0.43276	0	0	0
Healthy	64.69453	17.3938	7.34323	0.43462	0.42331	0.03475	0	0.00613		64.69453	17.3938	1.11818	1.46273	0.43462	0.56976	0.07146	0	0.03475	0.00613
Healthy	79.61067	11.91696	0.43168	0.09803	0	0.04609	0	0		79.61067	11.91696	0	2.74832	0.09803	0.06262	0.00254	0	0.04609	0
Healthy	46.96026	28.14546	5.6291	0.75909	0	0	0	0.04315		46.96026	28.14546	0.05685	0.3539	0.75909	0	0	0	0	0.04315
Healthy	33.30529	20.27504	6.02774	0.03125	0.27859	0	0	0.03226		33.30529	20.27504	0.50648	0.24621	0.03125	1.2693	0.1551	0	0	0.03226
Healthy	69.58044	1.00013	5.24253	0	0.14886	1.64987	0	0		69.58044	1.00013	0.11493	0	0	0.0624	0.56566	0	1.64987	0
Healthy	77.68829	0.6717	8.42329	0.02956	0.05215	0.00154	0	0		77.68829	0.6717	0.09615	0.04198	0.02956	0.07281	0.0243	0	0.00154	0
