c	Clostridia	Actinomycetia	Coriobacteriia	Bacilli	Verrucomicrobiae	Bacteroidia	Gammaproteobacteria	Desulfovibrionia
Healthy	1.51828844302872	0.99456129217834	-0.856080061614163	-0.304833651694131	-1.06108018775523	1.53452703352098	-0.922268820347608	-5
Healthy	1.2530225910835	-5	-5	-5	-0.392009141452825	1.82816042852175	-0.370671966205419	-5
Healthy	1.49457893733627	-5	-0.863279432843593	-1.68423950933427	-1.06429125215734	1.66400962634643	-0.940058111938045	-0.606021397348228
Healthy	1.23249066332249	-0.460986665060487	-5	-0.343039817257151	1.68812791006636	1.32580085766442	-5	-5
D009765	1.5530000751814	-5	-5	1.34929520979159	-5	1.47134966203032	-5	-5
Healthy	1.45331895172898	-0.215925022521303	-1.02447628703967	0.213326465927919	-1.60101893334187	1.5976974889962	-0.366460851072662	-1.10941133229451
Healthy	1.6692777272002	1.38646596861784	-0.0468639369858433	-0.74816718137136	-5	1.23406807784543	-0.581831337932134	-5
Healthy	1.41584323663477	0.530503213925169	-0.341330501793832	-2.57348873863542	0.21827810816134	1.54045311221858	-0.713813083058962	-1.12644690648638
D009765	1.55209181574762	0.0559743125658122	0.738339700252139	0.234494505232732	-2.66958622665081	0.891259174764387	-5	-0.768708853581651
Healthy	1.14208867249843	0.750233691942234	-0.0893435844122668	-1.43004118190341	-5	1.75494401147996	-2.69680394257951	-0.986109939671561
Healthy	1.34703771974518	-0.687653360969147	0.163846875794205	-0.885355661097721	-5	1.73383868006618	0.63423738469509	-1.09642170633695
Healthy	1.31590278328254	1.40112833208387	0.759851342542993	-0.529736553034922	-5	1.39257878095216	-0.0375264840391993	-1.81958736716168
Healthy	1.15252805770336	-0.299330889371745	-0.683903790324869	-1.75300930075845	-5	1.80276490252706	0.186603221792895	-0.812310106474816
Healthy	1.41352674519155	-0.587875593826683	-1.06068046892176	-0.235375602149019	-0.200824927584771	1.71674927159693	0.345965457886395	-1.03123695180275
Healthy	1.49291480841852	-0.328716051374985	-0.423336216585005	0.0460149508590078	-1.40693556834128	1.60690102497749	-0.530929447968747	-5
D009765	1.28235855640647	-0.613697269302485	0.376392616499668	-0.929223537156565	-5	1.62689822621276	1.00729703831055	-5
Healthy	1.24379901006385	0.768325030057909	-0.0285803382281341	-0.0923522065996969	0.066516004090991	1.68234249553608	-0.341635584312928	-2.91721462968355
Healthy	1.36879806566854	0.749569366032057	0.234745000628051	-1.03607057797344	-1.13948232253825	1.74789136461658	-1.95233580539844	-1.23121395309199
Healthy	0.821560034071882	-0.181859917724294	-0.844998163768747	-0.787785752580059	-5	1.8861083213193	-0.410351941664339	-1.10325338439259
Healthy	-0.476006549684386	1.7298044975577	-0.920782564253433	0.544609953795997	-5	0.99071082098826	1.44376241272035	-0.879919865870547
Healthy	1.40206921838821	-0.00137890022102005	-5	0.0811419957201863	0.667019376016459	1.67301168634137	-5	-1.05276239212933
D009765	1.52973094534494	0.254504572978657	0.602026332201307	-5	-0.557755472152048	1.39024516099432	0.588222390604441	-5
Healthy	0.409082289950506	-5	-0.81121208736253	-0.612450012609767	-5	1.94992288585992	-0.334353353872193	-2.59859945921846
D009765	0.69477186584108	-5	-5	-5	-5	1.86906260540295	-0.81491135724208	-5
Healthy	1.55513678720214	-5	-1.78727984558216	-0.844208647642382	-1.60572347323218	1.72528954175842	0.108751013469221	-1.43168091490489
Healthy	0.995212978021115	-5	-5	-0.564028293600659	1.30133411244408	1.4858262973554	0.806654046147595	-0.183427303973897
Healthy	0.767879087701276	-5	-0.991357252434715	-5	-5	1.64796730935212	-0.999088937868777	-1.24123945609002
Healthy	1.40436788267485	-1.02122621566988	-1.15851539066461	-5	0.0558597642979701	1.59439929128072	-5	-1.57528166266843
Healthy	1.2300635056576	-5	-5	-0.845697780315335	-5	1.61538794443253	1.21619916612133	-5
D009765	1.72993206731245	-0.859586242408926	-1.43604453500419	0.42195746972176	-5	1.50646227732335	-0.717423199290782	-5
Healthy	0.883333177521008	-0.65380355627079	-5	-0.989530430203608	-5	1.93830958188606	0.244037017036314	-1.0073581301216
Healthy	1.83420763729357	-5	-5	-0.938698343793955	-2.0301183562535	1.09571109663366	-5	-5
Healthy	0.835315711892788	-0.207181230830761	-0.719763190390311	-0.849304948857286	-5	1.88332170105324	-0.471276076739006	-0.998699066979582
Healthy	1.39121518967295	1.35339280128144	0.451102996833693	1.2620379575553	-5	0.990601217280949	0.243191885767495	-5
Healthy	1.28459404298254	0.704108458618344	0.239269440429388	0.335205073740825	-5	1.62516320091162	1.19097649680895	-1.43937612545007
D009765	1.12162286647815	-5	-5	0.686797982569039	-5	1.74242565545812	-5	-5
D009765	1.83546937368883	0.162558432692636	0.425623874143587	-0.230128096286424	-5	0.984048650659634	-1.91506642506328	-5
Healthy	0.865290568604777	-0.411392195257313	-5	-0.617982957425132	-5	1.83470604885608	-0.890826578574528	-5
Healthy	0.73434690347996	-0.30756731148585	-0.500381640299993	-1.01295971302073	-5	1.87756621627172	0.776060890414528	-0.69216179584344
D009765	1.7852156219039	-5	-5	-0.498735284266517	-5	1.4153753853301	0.391545514887644	-5
