group	Prevotella	Phytobacter	Ruminococcus_B	Streptococcus	Veillonella	Parasutterella	Faecalimonas	Muricomes	Longicatena	Rothia	Prevotella	Enterocloster	Phascolarctobacterium	Anaerostipes	Haemophilus_D	Flavonifractor	Intestinibacter	Parasutterella	Clostridium_Q	Gordonibacter
Healthy	0	0	0	0.18972	0	0	0	0	0	0	0	0.96456	0	0.06974	0	0.2895	0	0	0	0
Healthy	0	0.37736	0.02053	0.23259	0.03427	0.0857	0	0	0	0	0	0.09105	0	0.01274	0	0.18962	0	0.0857	0.48828	0
Healthy	0	0	0	0.14253	0	1.28454	0	0	0.00061	0	0	0.14689	0	0.03177	0	0.12367	0	1.28454	0	0
Healthy	7.42671	6.343	0	0.21411	0	0.00459	0	0	0	0	7.42671	1.88463	1.00509	0	0	0.66922	0	0.00459	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.06288	0	0	0	1.66202	0	0	0.02064	0
Healthy	0	0	0.07063	0	0	0	0	0	0	0	0	0.60527	0	0.11062	0	0.0234	0	0	0	0
Healthy	0	16.4109	5.39169	0	0	0.04035	0	0	0	0	0	0.47844	0	0	0	0	0.35363	0.04035	0	0
Healthy	0	0.45378	0	0.06243	0	0.08025	0	0.09698	0	0	0	2.53167	0	0	0	0.59111	0	0.08025	0.17587	0
Healthy	0	0	0	0.11515	0.875	0	0	0	0	0	0	0.22579	0	0.01693	0	0	0	0	0	0
Healthy	0	0.02833	0.00483	0	0.22337	0.29889	0	0	0	0	0	0.01556	0	0	0.01062	0.14654	0	0.29889	0	0
Healthy	0	1.75061	0	15.69812	0	0	0.84621	0	0	0	0	1.87818	0	0	0	0	0	0	0	0
Healthy	0.0022	0.14333	0.01648	0.33687	0.00473	0.13187	0	0	0	0.00149	0.0022	0.90362	2.16701	0.09467	0.03449	0.00299	0.04743	0.13187	0	0
Healthy	0	0	0.00686	0	0	0.12857	0	0	0.24099	0	0	0.09816	0	0	0	1.74357	0	0.12857	0	0
Healthy	0	0	0	0	0	0.0276	0	0	0	0	0	0.02291	0	0	0.01729	0.02547	0	0.0276	0	0
Healthy	0	12.8542	0	0	0	0.00574	0	0	0	0	0	0.41483	0	0	0	0	0	0.00574	0	0
Healthy	0.15669	0.00825	0.00091	0.0109	0	0	0	0.00145	0.0032	0	0.15669	0.45183	0	0.06775	0	0.03175	0	0	0.0004	0.0036
Healthy	8.48422	0.00409	0.00557	0.25644	0.01956	0	0.221	0.10584	0.03527	0.02165	8.48422	0.27756	0	2.17641	2.02288	0.00521	0.09932	0	0.29612	0
Healthy	0	0.02165	0.14116	0.54071	0.01217	0.00678	0.0264	0.00719	0.02503	0	0	0.61162	0	0.34365	0.19393	0.13195	0.0908	0.00678	0.07417	0.01863
Healthy	0	0	0.11141	2.24552	0	0.00396	0	0	0	0	0	0.24044	2.25084	0.38652	0	0.01037	0	0.00396	0.01212	0.13544
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.17365	0	0.22003	0	0.14019	0.12217	0	0	0
Healthy	0	0	0	0.19801	0.29998	1.07698	0	0	0	0	0	0	0	0	2.77557	0.04626	0	1.07698	0	0
Healthy	0	0	0	0	0	0.10417	0	0	0	0	0	0	0	0	0.12423	0.0164	0	0.10417	0	0
Healthy	0.06453	1.37665	0.05311	0.06404	0	0	0.13412	0.02348	0	0	0.06453	0.5447	0	0.24457	0	0.13021	0.0709	0	0.03988	0
Healthy	0	0.04487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.36631	0	0.00291	0.20284	0.013	0	0	0	0	0	0.01641	0	0	0.23479	0	0	0.013	0	0
Healthy	0.01157	2.12948	0.05193	0.07392	0.00824	0.00147	0	0.00482	0.0072	0.00327	0.01157	1.90813	0	0.13271	0	0.08154	0.13647	0.00147	0.00814	0.0618
Healthy	0	1.06216	0.01119	0	0	0.01997	0	0	0.00279	0	0	0.28013	0	0	0	0.17583	0	0.01997	0	0.01047
Healthy	2.41062	0	0.05435	0.02683	0.00209	0	0	0	0	0	2.41062	0.19726	0.19254	0.10568	0.01462	0.01682	0	0	0	0
Healthy	2.1963	0	0.0266	0	0	0	0	0	0	0	2.1963	0.85549	0.2624	0.32591	0	0	0.26971	0	0	0
Healthy	0	0.42965	0.01424	0.21585	0.02362	0.11156	0	0	0	0	0	0.13561	0	0.01443	0	0.20572	0	0.11156	0.43633	0
Healthy	0	0	0	0.04828	0	0.03569	0	0	0	0	0	0.03017	0	0.30038	0.04188	0	0.26029	0.03569	0	0
Healthy	0	0	0	0	0	0	0	0.06952	0	0	0	0.3291	0	0	0.07776	0.15639	0	0	0	0
Healthy	0	0	0	0.00451	0	0	0	0.08949	0	0	0	0.40561	0	0	0.06544	0.23769	0	0	0	0
Healthy	0	0.04705	0.00935	0	0.028	0	0	0	0	0	0	0.05507	0	0.04889	0.02787	0.081	0	0	0	0
Healthy	0	0	0	0	0	0.38392	0	0	0	0	0	0	0	0	0	0.1543	0	0.38392	0	0
Healthy	0	0	0	0.5783	0	0.05957	0	0	0	0	0	0	0	0	0	0.0264	0	0.05957	0	0
Healthy	0	0.04178	0	0	0	0.02873	0	0	0	0	0	0.65934	0	0	0	0.04991	0	0.02873	0	0
Healthy	0	78.7042	0.07356	0.10271	0	0.02799	0	0.0059	0.00209	0	0	0.04138	0	0.0846	0	0.05913	0	0.02799	0.00113	0.00802
Healthy	0	0.36158	0.09022	0.01597	0.008	0.17411	0.0228	0.00265	0.00545	0	0	0.09799	0	1.2924	0.04462	0.04607	0.25312	0.17411	0.08828	0
Healthy	0	2.27843	0.00665	0	2.80187	0.04242	0	0.56096	0	0	0	1.01141	0	0	0.62055	0.1339	0	0.04242	1.87455	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	2.16324	1.40591	0	0	0	0	0	0	0
Healthy	0	0	0.09717	0.60443	0	0	0	0	0.5723	0	0	0.09151	0	3.30523	0	0	0.01342	0	0.05149	0.01837
Healthy	46.7432	0	0	0	0	0	0	0	0	0	46.7432	0.79534	0	0.07734	0	0	0	0	0	0
Healthy	6.74233	0	0	0.00195	0	0.00222	0	0	0	0	6.74233	2.08235	1.52523	0.29749	0.06709	1.53569	0	0.00222	0	0
Healthy	10.3598	0.29883	0	0	0	0	0	0	0	0	10.3598	0.50451	6.00307	0	0.12678	0	0.39724	0	0	0
Healthy	0.03398	1.00992	0	0.04975	0	0.0042	0	0.02914	0.01167	0	0.03398	0.06154	0	0	0	0.16651	0	0.0042	0.00519	0
Healthy	0	0.1118	0	0.29215	0	0	0	0	0	0	0	0	0	0	0	0.15037	0	0	0	0
Healthy	0	0	0.13052	0.22287	0	0	0	0.00396	0.52614	0	0	10.72712	0	0.18609	0	0.08746	0	0	0.00485	0.00992
Healthy	0	0	0	0.02321	0.01308	0.01784	0	0	0	0	0	0.39147	0	0	0	0.09268	0	0.01784	0	0
Healthy	1.16567	0.61563	0	0	0	0	0	0	0	0	1.16567	1.36094	0	0.07293	0.01449	0.03116	0.0182	0	0	0
Healthy	0	83.838	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.09358	0	0.20827	0	0	0	0	0	0	0	0	0.11696	0.14498	0	0.20827	0	0
Healthy	0	3.89743	0	0.00367	0.04244	0	0	0	0.02798	0	0	0	0	0	0.00589	0.25159	0.02357	0	0	0
