group	Bacteroidales	Enterobacterales	Lactobacillales	Pseudomonadales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales		Bacteroidales	Oscillospirales	Actinomycetales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	35.10278	0.04967	0.09181	0	0.00655	0	1.78824		35.10278	25.31462	0.32652	3.37599	0	0.02467	0	0.00655	2.56562	1.78824
Healthy	48.16875	0.02561	0	0	0.02265	0.23947	0		48.16875	11.29908	0	0	5.84141	0.15702	0	0.02265	0	0
Healthy	20.83528	22.05353	1.3459	1.41332	3.94147	0.04548	0.05105		20.83528	6.088	12.85417	0.04354	1.65451	0.12934	0.79631	3.94147	0.34053	0.05105
Healthy	26.99455	0.01539	0.23414	0	0.72541	0	0.00373		26.99455	4.35982	0.12523	0	0.55641	0.15098	0.1082	0.72541	0.05756	0.00373
Healthy	12.59463	2.16962	0.27572	0	2.00328	0	4.77347		12.59463	11.62999	2.73178	4.84801	0	0.12175	0	2.00328	0.72482	4.77347
Healthy	32.13403	1.15812	0	0	0.68012	0.01282	0.01007		32.13403	28.97877	0.00421	0.06149	0	0.02629	0.09203	0.68012	0.53123	0.01007
Healthy	29.16997	6.48238	0.18933	0	0.01647	0.71956	0		29.16997	5.2006	0	0	19.976	0.04911	0.54221	0.01647	0	0
Healthy	15.76133	0	0.84631	0.00495	1.96761	0	0		15.76133	5.18687	12.15454	3.47983	0.93483	0	0	1.96761	0.83719	0
Healthy	0.00116	7.46327	1.33778	1.80175	3.71166	0	0.66857		0.00116	1.79372	26.17698	0.24214	0	0.88337	0	3.71166	0.0532	0.66857
D001943	83.68251	0.61902	0.30871	0.0538	0	0	0.15402		83.68251	2.40428	6.81063	0.03447	0	0.05099	0	0	0.3342	0.15402
Healthy	34.23946	0.09129	0.03268	0	0.46295	0	0.4766		34.23946	8.75363	9.87554	0.99085	0.08687	0.0283	0	0.46295	0.13928	0.4766
Healthy	21.72158	0.0274	0.67221	0.01802	0	0.00855	0.00332		21.72158	7.31055	47.76658	0.15082	0	3.89876	0.00083	0	0.69723	0.00332
Healthy	67.32252	0.1043	0	0	0	0	0		67.32252	2.65788	0	0.02151	0.40549	0.32161	0	0	0	0
Healthy	80.02181	0.23876	0	0.00428	0.00703	0.03054	0.00384		80.02181	3.85451	0	0	0	0.15155	0	0.00703	0.02949	0.00384
Healthy	92.37086	0.06106	0	0	0	0	0		92.37086	1.0371	0.18969	0	1.85231	0.50884	0	0	0	0
Healthy	36.46828	0	0	0	6.35549	0	0		36.46828	0.86701	0	0.14734	0	0	7.54448	6.35549	0	0
Healthy	46.13277	0.09972	0	0	0.02068	0.24772	0		46.13277	20.88193	0	0.21193	0.08623	0.01507	0	0.02068	0.13699	0
Healthy	21.17389	0	0.18538	0	0.26851	0	0		21.17389	2.89237	0.34594	3.15007	48.7672	0	0	0.26851	0	0
Healthy	39.6002	0.20235	0.15228	0.03725	1.46121	0.07772	0.02211		39.6002	14.44554	0.60823	0.06374	0.02505	0.19046	0.63907	1.46121	0.09451	0.02211
Healthy	38.19224	7.74478	0.50239	0	0.08378	0.00133	0.07496		38.19224	13.90893	5.35245	0.01761	0.71933	2.24124	0	0.08378	1.33277	0.07496
Healthy	17.14225	0.21745	0.17857	0	0	0	0		17.14225	20.18504	24.34814	0.30547	0	0.04446	0	0	0.8977	0
Healthy	0.03814	87.6699	4.6561	0.04741	0	0	0		0.03814	0	6.59575	0	0	0.04965	0	0	0	0
Healthy	45.26473	1.01853	0.78952	0.10447	0.40302	0.00889	0.28323		45.26473	12.90988	0.26711	0.05289	0.01764	1.83111	1.70994	0.40302	0.21191	0.28323
Healthy	74.29777	0	0	0	0	0	0		74.29777	1.95808	0	3.61042	0.70276	0.01528	0	0	0	0
Healthy	36.8274	0.16438	0.05277	0	0.02874	0.15156	0.0975		36.8274	15.21987	2.80319	0.03405	0	0.03217	1.80075	0.02874	0.7347	0.0975
Healthy	34.70987	0	0.00266	0	0	0.07473	0		34.70987	8.13833	3.39236	0	1.65301	0.19327	0.18038	0	0.45568	0
Healthy	81.72666	0	0	0	0.51735	0	0		81.72666	1.76508	0.02023	0	0	0	0	0.51735	0	0
Healthy	56.87795	0	0.02484	0	0.0123	0.10324	0		56.87795	10.02552	5.62643	0	0	0.002	0.08119	0.0123	0.81405	0
Healthy	54.17995	0	0.1302	0	0	0.08008	0		54.17995	6.22563	0.20527	0	0	4.30761	0	0	1.45829	0
Healthy	73.74703	0.60422	0.02913	0	0	0.04112	0		73.74703	6.13736	0.02352	2.62063	0	0.00901	0	0	0	0
