group	Enterocloster	Collinsella	Clostridium_A	Clostridium_Q	Faecalimonas	Ruminococcus_B	Longicatena	Muricomes	Anaerotruncus	Lactococcus	Ruminococcus_H	Roseburia	Coprococcus	Ruminiclostridium_E	Mediterraneibacter	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0	0.12	0.00014	0	0	0	0	0	0	0	0	0	0	0	0.18846	0	0	0	0	0
Healthy	0.96456	0	0	0	0	0	0	0	0	0	1.82773	7.38522	0	0.41444	0.32606	2.8803	0.2895	0	0.13245	0
Healthy	0.09105	0.15444	0.35951	0.48828	0	0.02053	0	0	0.37654	0	0	0.38595	0	0	0.02773	0	0.18962	0	0	0
Healthy	0.14689	0.01631	0.00424	0	0	0	0.00061	0	0.01096	0	0.02157	3.23114	0	10.3731	0.35646	0	0.12367	0	0	0
Healthy	1.88463	0	0.05176	0	0	0	0	0	0	0	0.98058	0.34484	0	0.00489	1.83505	0.54614	0.66922	0.00624	0	0
Healthy	1.06288	0.102	0.20168	0.02064	0	0	0	0	0	0	0	0	0	0	2.18411	0	1.66202	0	0	0
Healthy	0.60527	0.06941	0	0	0	0.07063	0	0	0	0	0.15905	1.87495	8.31452	0	1.8025	15.6428	0.0234	0	0.43583	0
D003924	0.66827	10.17355	0.38915	0	0.03138	0.19609	0.0053	0	0	0	8.11681	1.38097	0.99899	0.00113	0.14965	0	0.03253	0.08056	0.04113	0.25737
Healthy	0.47844	0	0	0	0	5.39169	0	0	0	0	2.6742	0.88099	0	0	0.06129	0.32705	0	0	0	0
Healthy	2.53167	0	0.15275	0.17587	0	0	0	0.09698	0	0	0	0	0	0	1.23277	0	0.59111	0.04504	0	0
Healthy	0.22579	0	0	0	0	0	0	0	0	0	6.37254	12.93834	25.01375	1.77715	0.40197	3.21156	0	0	0	0
Healthy	0.01556	0.19064	0	0	0	0.00483	0	0	0.05406	0	0.9626	1.23219	0	0.18227	0.23742	0	0.14654	0.02679	0	0
Healthy	1.87818	2.82554	0	0	0.84621	0	0	0	0	0	6.10013	0.63495	0	0	0.20105	1.04718	0	0	0.27437	0
Healthy	0.90362	1.73487	0	0	0	0.01648	0	0	0	0	1.98987	2.36098	0	0	0.05105	0	0.00299	0.26567	0.03973	0
Healthy	0.09816	0	0.6039	0	0	0.00686	0.24099	0	0	0	0	0.98094	0	0	0.08193	0	1.74357	0.1613	0	0
Healthy	0.02291	0.31594	0	0	0	0	0	0	0	0	0	2.87296	0	0	0.20381	0	0.02547	0.05469	0	0
