s	Streptococcus_parasanguinis_D	Clostridium_Q_symbiosum	Enterocloster_clostridioformis_A	Muricomes_sp000509105	Enterocloster_asparagiformis	Schaedlerella_glycyrrhizinilyticum	Longicatena_innocuum	Gordonibacter_pamelaeae	Enterocloster_sp000155435	Eggerthella_lenta	Alistipes_putredinis	Ruminococcus_H_sp003531055	Barnesiella_intestinihominis	Alistipes_shahii	Alistipes_obesi	Parabacteroides_johnsonii	Paraprevotella_clara	Alistipes_A_indistinctus	Coprobacter_fastidiosus	Paraprevotella_xylaniphila
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.354484920689846	0.339544849295641	-0.963411023244595	-1.3269790928711	-2.18575240426808	-1.16361258067359	-5	-1.37788963963878	-1.70487291474781	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-2.67366413907125	-5	-5	0.131002388743692	-0.0446875498903091	-5	-0.891198275877974	-1.66756154008439	-5	-5	-5	-5	-5
Healthy	-1.37695756575362	-5	-5	-5	-5	-1.47069800221202	-5	-5	-2.08512818245995	-5	-0.533399263703119	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.31776464309744	-5	-5	-5	-2.26760624017703	-2.67571754470231	-2.84771165561694	-3.69897000433602	-5	-5	0.481627486804783	0.533360185517288	0.0273944621654235	-0.537781747353759	-0.538846765009157	-3.0087739243075	-0.0583643590187177	-1.51956185282218	-1.05497479875754	-1.61136603064821
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.28458167740494	0.723658404930206	1.04217016556323	0.170203022985664	-0.126092596098388	-0.540803592201894	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-1.77159964129699	-5	-5	0.599026733709951	0.757873338483088	0.743498005693372	0.367208645996994	0.484588798211553	-5	-5	0.0493343359722838	-1.7867479478036	-5
Healthy	-5	-5	-5	-5	-5	-5	-1.90974194706868	-1.29277058067271	-5	-1.7535014192042	1.03897007898612	-0.568314655313988	-5	0.434712580645523	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.333640699028418	-5	0.763261731784976	-0.246470561019737	-0.780729914114604	-5	-5	-0.744799883342882	-0.678194516142461	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.47977856411804	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.949733402662655	-0.151552231418591	0.71903530230948	0.438654665438737	0.234825937948012	-1.050219791638	0.101117853394378	-1.52143350440616	-0.528605596307167	-0.345197985431559
