group	Bacteroidales	Enterobacterales	Pseudomonadales	Lactobacillales		Bacteroidales	Lachnospirales	Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	89.10926	0.37736	0	0.23259		89.10926	1.11149	0.37736	0	0.23259	0.0857	0.01149	0	0	0
Healthy	53.12384	0	0	0.14253		53.12384	8.53065	0	0.02478	0.14253	1.28454	0.00061	0	0	0
Healthy	30.60738	6.37382	0	0.21411		30.60738	4.60479	6.37382	20.014	0.21411	0.03316	0.05876	1.00509	0	0
Healthy	44.45977	0	0	0		44.45977	3.30342	0	0	0	0.1002	0	0	0	0
Healthy	39.3006	0	0	0		39.3006	24.13931	0	1.13725	0	0	0	0.01163	0	0
Healthy	41.24657	16.4109	0	0		41.24657	12.86415	16.4109	0	0	0.04035	0.14265	0	0	0.35363
Healthy	86.758	1.67377	0	0.06243		86.758	4.04901	1.67377	0	0.06243	0.08025	0.04	0	0	0
Healthy	12.46553	0	0	0.11515		12.46553	58.92111	0	0.00932	0.11515	0	0	0	0	0
Healthy	76.44017	0.03895	0	0		76.44017	2.98722	0.03895	0	0	0.29889	0.14147	0	0	0
Healthy	9.7859	1.75061	0	15.71087		9.7859	15.91284	1.75061	0	15.71087	0	2.57172	0	0	0
Healthy	42.18549	6.51836	0.01561	0.46803		42.18549	15.08024	6.51836	0	0.46803	8.98905	1.6957	2.16701	0.01561	0.04743
Healthy	68.34488	0	0	0		68.34488	2.94694	0	0	0	0.12857	0.24099	0	0	0
Healthy	75.43383	0.01729	0	0		75.43383	3.31311	0.01729	0	0	5.95389	0.09705	0	0	0
Healthy	33.84867	12.8542	0	0		33.84867	4.67955	12.8542	0.54368	0	0.37574	0.2213	0	0	0
Healthy	52.57168	0.00825	0	0.0109		52.57168	4.47133	0.00825	1.91855	0.0109	1.42197	0.0032	0	0	0
Healthy	56.34078	2.29463	0	0.27467		56.34078	4.96469	2.29463	0	0.27467	0.0035	0.04242	0	0	0.09932
Healthy	20.22819	0.21558	0	0.54071		20.22819	26.02253	0.21558	0	0.54071	0.00678	0.08736	0	0	0.0908
Healthy	34.97998	0	0	2.28761		34.97998	15.93214	0	0.87446	2.28761	0.0093	0.08713	2.25084	0	0
Healthy	54.76138	0	0	0		54.76138	13.86684	0	1.83608	0	1.16431	0	0	0	0.12217
Healthy	66.122	2.77557	0	0.19801		66.122	13.69074	2.77557	0	0.19801	1.07698	0	0	0	0
Healthy	65.39898	0.12423	0	0		65.39898	5.4809	0.12423	7.69718	0	0.10417	0	0	0	0
Healthy	76.52103	1.37665	0	0.06404		76.52103	5.82858	1.37665	0	0.06404	0	0	0	0	0.0709
Healthy	53.00535	0.04487	0	0		53.00535	7.62617	0.04487	5.35516	0	0.39005	0	0	0	0
Healthy	75.97442	0.6011	0	0.00291		75.97442	2.05337	0.6011	0	0.00291	0.013	0	0	0	0
Healthy	43.89442	2.12948	0	2.3757		43.89442	17.42598	2.12948	4.75004	2.3757	0.00433	0.08093	0	0	0.13647
Healthy	54.50736	1.06216	0	0		54.50736	0.82468	1.06216	7.16262	0	0.2712	0.35675	0	0	0
Healthy	36.60204	0.01462	0	0.02683		36.60204	13.15289	0.01462	0.03189	0.02683	1.85847	0	0.19254	0	0
Healthy	2.1963	0	0	0		2.1963	29.97117	0	0	0	0	3.05681	0.2624	0	0.26971
Healthy	88.99303	0.42965	0	0.21585		88.99303	1.15799	0.42965	0	0.21585	0.11156	0.02708	0	0	0
Healthy	55.54238	0.04188	0	0.04828		55.54238	16.08956	0.04188	0	0.04828	0.03569	0.43867	0	0	0.26029
Healthy	70.48564	0.07776	0	0		70.48564	2.66517	0.07776	0	0	5.7003	0.01705	0	0	0
Healthy	58.09122	0.06544	0	0.00451		58.09122	3.20391	0.06544	0	0.00451	7.09637	0.01215	0	0	0
Healthy	40.21055	0.07492	0	0.0073		40.21055	22.52399	0.07492	0	0.0073	0	0.0136	0	0	0
Healthy	64.56848	0	0	0		64.56848	23.50672	0	0	0	2.9757	0.05412	0	0	0
Healthy	69.88918	0	0	0.5783		69.88918	5.27636	0	0	0.5783	6.33312	0	0	0	0
Healthy	41.95701	0.04178	0	0		41.95701	0.74218	0.04178	17.199	0	0.0632	0	0	0	0
Healthy	1.9337	78.76377	0.58176	0.10611		1.9337	4.66382	78.76377	3.52859	0.10611	0.02799	0.01017	0	0.58176	0
Healthy	63.27551	1.87079	0	0.1514		63.27551	20.07617	1.87079	0	0.1514	0.17411	0.14607	0	0	0.25312
Healthy	50.98894	3.09305	0	0		50.98894	20.8232	3.09305	0	0	5.90439	0	0	0	0.16683
Healthy	18.80818	0	0	0.78156		18.80818	18.86342	0	0	0.78156	0	11.3576	1.40591	0	0
Healthy	7.42578	0	0.06974	0.60443		7.42578	8.09311	0	0	0.60443	0	0.57473	0	0.06974	0.01342
