group	Phocaeicola	Prevotella	Faecalibacterium	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Rothia	Eggerthella	Prevotella	Enterocloster	Collinsella	Holdemanella	Anaerostipes	Intestinibacter	Parasutterella	Desulfovibrio	Adlercreutzia	Pseudoflavonifractor
Healthy	9.48292	0	9.59753	0	0	0	0	0	0	0	0	0.96456	0	0.79534	0.06974	0	0	0	0	0.04141
Healthy	9.37368	0	0.5278	0.37736	0.02053	0	0	0	0	0	0	0.09105	0.15444	0	0.01274	0	0.0857	0	0	0
Healthy	8.34532	0	16.8393	0	0	0	0	0	0	0	0	0.14689	0.01631	0	0.03177	0	1.28454	0	0	0
Healthy	1.82166	7.42671	3.54818	6.343	0	0	0	0	0	0	7.42671	1.88463	0	0	0	0	0.00459	0.50945	0	0
Healthy	13.1972	0	0.69262	0	0	0	0	0	0	0	0	1.06288	0.102	0	0	0	0	0	0	0
Healthy	18.2992	0	0.90956	0	0.07063	0	0	0	0	0	0	0.60527	0.06941	0	0.11062	0	0	0	0	0
Healthy	11.82214	0	1.09293	16.4109	5.39169	0	0	0	0	0	0	0.47844	0	0.14265	0	0.35363	0.04035	0	0	0
Healthy	2.93751	0	2.47447	0.45378	0	0	0	0.09698	0	0	0	2.53167	0	0	0	0	0.08025	0	0	0
Healthy	6.6972	0	1.19569	0	0	0	0	0	0	0	0	0.22579	0	0	0.01693	0	0	0	0	0
Healthy	10.52734	0	1.96391	0.02833	0.00483	0.01062	0	0	0	0	0	0.01556	0.19064	0	0	0	0.29889	0	0	0
Healthy	1.06016	0	2.60289	1.75061	0	0	0.84621	0	0	0	0	1.87818	2.82554	0	0	0	0	0	0	0
Healthy	11.53363	0.0022	2.1367	0.14333	0.01648	0.03449	0	0	0.00149	0	0.0022	0.90362	1.73487	1.6957	0.09467	0.04743	0.13187	0	0	0
Healthy	25.99	0	2.03873	0	0.00686	0	0	0	0	0	0	0.09816	0	0	0	0	0.12857	0	0	0
Healthy	25.34044	0	1.74819	0	0	0.01729	0	0	0	0	0	0.02291	0.31594	0	0	0	0.0276	0	0	0
Healthy	10.73469	0	0.39347	12.8542	0	0	0	0	0	0	0	0.41483	0	0.2213	0	0	0.00574	0	0	0
Healthy	2.96022	0.15669	5.54289	0.00825	0.00091	0	0	0.00145	0	0	0.15669	0.45183	0.14616	0	0.06775	0	0	0	0.06196	0.01216
Healthy	0	8.48422	8.98741	0.00409	0.00557	2.02288	0.221	0.10584	0.02165	0.00368	8.48422	0.27756	0	0	2.17641	0.09932	0	0	0	0
