s	Intestinibacter_bartlettii	Streptococcus_thermophilus	Coprococcus_A_catus	Anaerostipes_hadrus_A	Haemophilus_D_sp001815355	Streptococcus_parasanguinis_D	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_sp004166885	Rothia_sp001808955	Bacteroides_caccae	Mediterraneibacter_torques
Healthy	-5	-0.669342765288606	-5	-5	-5	-5	-5	-5	-5	-5	0.219539994340191	0.263650268720486
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.339276495711335
Healthy	-5	-5	-0.360672914103328	-5	-5	-5	-5	-5	-5	-5	0.136171804942558	-1.45829597671571
Healthy	-0.45143861810245	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.123309250653081	-1.21253952548158
Healthy	-5	-1.20453710560962	-5	-5	-5	-5	-5	-5	-5	-5	0.745489360501759	0.0908855799932186
Healthy	-5	-5	-5	-1.77108659400531	-5	-0.938698343793955	-5	-5	-5	-5	0.285755284158876	-0.39579555414367
Healthy	-5	-5	-5	-5	-1.9734667354767	-5	-5	-5	-5	-5	0.71023163809811	-1.16659787076814
Healthy	-5	0.474611030257067	-0.561647548235674	-5	-5	0.354216038609021	-5	-5	-5	-5	-5	-0.696674321781085
Healthy	-1.32385531964379	-5	-1.4007721372262	-1.44587441848699	-1.46218090492673	-1.04387961360698	-5	-5	-5	-2.82390874094432	-2.27901425584626	-2.1505805862031
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-1.7619538968712	-5	-5	-5	-5	-5	-0.289882634888184	-0.690753202746328
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.114350477004102	-0.952102376485589
Healthy	-5	-5	-2.65757731917779	-1.30777016422724	-5	-5	-2.49349496759513	-5	-5	-5	-5	-1.11103465569966
Healthy	-1.00291956452827	-5	-5	0.327154512409431	0.305972267500483	-1.36542197714611	-1.52403841080758	-2.20065945054642	-1.9434762759209	-1.6643415477107	-5	-1.74280157386066
Healthy	-1.04186632432376	-0.33965636806918	-5	-2.1944991418416	-0.712332608725865	-2.26360349772336	-1.75080164260889	-5	-5	-5	-5	-1.82275216374438
Healthy	-5	0.270329397089858	-0.936141451146928	-0.934121647142608	-5	-1.161087972594	-5	-5	-2.49757288001557	-5	0.334777340807662	-0.444107860055416
Healthy	-0.912999879204009	-5	-0.834280970199168	-5	-5	-5	-5	-5	-5	-5	0.0788228052228758	-0.764421056669872
Healthy	-5	-0.732148018684395	-5	-5	0.443353749433271	-5	-5	-5	-5	-5	-0.168450148004244	-0.40245837967472
Healthy	-5	-5	-5	-5	-0.905738557279498	-5	-5	-5	-5	-5	0.544504601026068	-0.806013236914305
Healthy	-1.14929251462546	-5	-0.966495827054825	-2.76700388960785	-5	-2.23136189875239	-5	-5	-5	-5	0.0989585184586372	-1.57675412606319
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.0353680076113423	-0.701518087486517
Healthy	-5	-5	-5	-5	-0.629301907424423	-5	-5	-1.94653739507454	-5	-5	0.567486309896987	-1.33170728955178
Healthy	-0.864930986176552	-5	-5	-1.56224943717961	-5	-1.45234834164003	-2.7851561519523	-5	-5	-2.48412615628832	0.180618981186474	-1.28083450591079
Healthy	-5	-5	-2.1681302257195	-5	-5	-5	-2.55284196865778	-5	-5	-5	-5	-2.01010543628123
Healthy	-5	-5	-0.952374722418216	-1.52534674663794	-1.83475567387469	-2.22402566887063	-5	-5	-5	-5	0.154597412797664	-0.772576104066336
Healthy	-0.569086848995397	-5	-0.236939065468551	-1.08996287644695	-5	-5	-5	-5	-5	-5	-5	0.657468905744551
Healthy	-5	-0.665827827275394	-5	-1.84043280676638	-5	-5	-5	-5	-5	-5	-5	-1.1919917000896
Healthy	-0.584525831890764	-5	-1.01488802046065	-1.20335629621488	-1.37788963963878	-5	-5	-5	-5	-5	0.0722977004717016	-0.751953130641338
Healthy	-5	-5	-5	-5	-1.10918790104488	-5	-5	-5	-5	-5	0.931335803564417	-1.37089634982286
Healthy	-5	-2.34486156518862	-5	-5	-1.18409034911323	-5	-5	-5	-5	-5	0.996126239937107	-1.29149411904476
Healthy	-5	-5	-1.49403648198187	-2.79588001734407	-1.55470723057403	-5	-5	-5	-5	-5	-5	-2.40011692792631
Healthy	-5	-5	-1.97551433230083	-5	-5	-5	-5	-5	-5	-5	0.282936901911916	-2.25258819211358
Healthy	-5	-0.237839297913818	-5	-5	-5	-5	-5	-5	-5	-5	0.131378035763099	-0.967220120808755
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.175223537524454	-1.08170748724464
Healthy	-5	-0.988344989275222	-5	-1.5654310959658	-5	-5	-5	-5	-5	-5	-5	-0.420525090719613
Healthy	-0.59665638086955	-5	-5	-5	-1.35037311315947	-2.86646109162978	-2.70996538863748	-3.26760624017703	-2.46218090492673	-5	-5	-2.17522353752445
Healthy	-5	-5	-5	-5	-0.207216221563871	-5	-5	-0.878604319292776	-5	-5	-5	-1.45842075605342
Healthy	-5	-5	-0.549981960843793	-5	-5	-5	-5	-5	-5	-5	-0.0555025226084908	-0.0487013459839108
Healthy	-1.87192398733128	-1.00797697223615	-5	0.435990804241603	-5	-0.899905284985011	-5	-5	-5	-5	-5	-1.92738252345476
Healthy	-5	-5	-0.526191989680166	-5	-5	-5	-5	-5	-5	-5	1.17022385969908	-0.30473727712266
Healthy	-5	-5	-0.501951480646388	-0.721429298389484	-1.17327747983101	-5	-5	-5	-5	-5	-0.517312174147043	-1.03924390909823
Healthy	-0.400936094120583	-5	-0.660071792221486	-5	-0.896914998158385	-5	-5	-5	-5	-5	-1.23254728190223	-1.41397561761302
Healthy	-5	-5	-5	-5	-5	-1.33292079453578	-1.93255715722362	-5	-5	-5	-5	-1.82217502813532
Healthy	-5	-5	-5	-5	-5	-0.651169627621518	-5	-5	-5	-5	-5	-2.20690839982342
Healthy	-5	-5	-5	-0.751928599080798	-5	-1.32744037223672	-2.73282827159699	-5	-1.24964591123729	-5	-0.383188523627415	-0.978686634515305
D003922	-1.9734667354767	0.436903338237	-0.287746056946208	-0.859963589024718	-2.01099538430146	-1.16260097565798	-1.31256022545411	-5	-2.92445303860747	-5	-5	-2.05060999335509
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.459193390491749	-0.127383444216781
Healthy	-1.73969005420508	-5	-1.00283212855417	-5	-1.83863199776502	-5	-5	-5	-5	-5	-5	-1.1007268126824
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-1.63808338133136	-5	-0.931925510092352	-1.91506642506328	-5	-5	-5	-5	0.471725788538257	-0.733980091146502
Healthy	-1.62745619924093	-5	-5	-5	-2.22914798835786	-5	-1.55299710153384	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.710477935741834	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.75129126439908
Healthy	-5	-0.601625913848644	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.45979570015794
