group	Oscillospirales	Enterobacterales	Burkholderiales	Pseudomonadales	Coriobacteriales	Desulfovibrionales		Bacteroidales	Lachnospirales	Oscillospirales	Veillonellales	Verrucomicrobiales	Lactobacillales	Methanobacteriales	Coriobacteriales	Desulfovibrionales	Peptostreptococcales
Healthy	24.28629	0.13726	0.05064	0	0.15464	0		13.80299	34.70995	24.28629	0	0.02627	1.49083	1.65371	0.15464	0	0.43689
Healthy	3.86127	0	1.19055	0	0.05765	0.6158		34.77124	5.38139	3.86127	0	1.86453	0.28536	8.04332	0.05765	0.6158	0
Healthy	8.06439	0.13175	0.05761	0	0.17073	0		45.30071	26.06072	8.06439	1.5604	0	0.07802	0	0.17073	0	0.21074
Healthy	6.40852	16.867	0	0	0.50024	0		26.92825	19.84564	6.40852	0	5.52258	2.15807	0	0.50024	0	0.30973
Healthy	25.31462	0.04967	0.02467	0	2.56562	0		35.10278	20.53981	25.31462	3.37599	0	0.09181	0	2.56562	0	1.78824
Healthy	11.29908	0.02561	0.15702	0	0	0.23947		48.16875	6.19713	11.29908	0	5.84141	0	0	0	0.23947	0
Healthy	6.088	22.05353	0.12934	1.41332	0.34053	0.04548		20.83528	18.27579	6.088	0.04354	1.65451	1.3459	0.79631	0.34053	0.04548	0.05105
Healthy	11.62999	2.16962	0.12175	0	0.72482	0		12.59463	39.389	11.62999	4.84801	0	0.27572	0	0.72482	0	4.77347
Healthy	5.2006	6.48238	0.04911	0	0	0.71956		29.16997	4.36604	5.2006	0	19.976	0.18933	0.54221	0	0.71956	0
Healthy	8.75363	0.09129	0.0283	0	0.13928	0		34.23946	23.75263	8.75363	0.99085	0.08687	0.03268	0	0.13928	0	0.4766
Healthy	2.65788	0.1043	0.32161	0	0	0		67.32252	15.2491	2.65788	0.02151	0.40549	0	0	0	0	0
Healthy	20.88193	0.09972	0.01507	0	0.13699	0.24772		46.13277	10.34856	20.88193	0.21193	0.08623	0	0	0.13699	0.24772	0
Healthy	2.89237	0	0	0	0	0		21.17389	14.18773	2.89237	3.15007	48.7672	0.18538	0	0	0	0
Healthy	14.44554	0.20235	0.19046	0.03725	0.09451	0.07772		39.6002	13.93238	14.44554	0.06374	0.02505	0.15228	0.63907	0.09451	0.07772	0.02211
Healthy	20.18504	0.21745	0.04446	0	0.8977	0		17.14225	26.51074	20.18504	0.30547	0	0.17857	0	0.8977	0	0
Healthy	8.13833	0	0.19327	0	0.45568	0.07473		34.70987	17.91379	8.13833	0	1.65301	0.00266	0.18038	0.45568	0.07473	0
Healthy	10.02552	0	0.002	0	0.81405	0.10324		56.87795	3.84486	10.02552	0	0	0.02484	0.08119	0.81405	0.10324	0
