group	Firmicutes_A	Actinobacteriota	Firmicutes		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	51.3549	0.56004	1.16405		26.72493	51.3549	0.56004	2.00692	1.39047	1.16405	0.4225	0	
Healthy	7.81722	0.37131	0.43082		80.57588	7.81722	0.37131	0.73549	0	0.43082	0	0.12417	
Healthy	15.59029	1.79346	0.00541		66.88368	15.59029	1.79346	0.03262	0.62769	0.00541	0	0.09285	
Healthy	66.67142	5.63825	3.03464		15.49106	66.67142	5.63825	0	0	3.03464	0	0	
D003093	60.50578	8.20428	5.29704		6.06178	60.50578	8.20428	0.06714	0	5.29704	0	0	
Healthy	2.61005	0.2633	0		65.74523	2.61005	0.2633	1.15375	0	0	0	0	
Healthy	2.62918	0.12811	0.2695		88.54341	2.62918	0.12811	0.524	0	0.2695	0	0	
Healthy	39.94426	4.93854	2.21529		38.53477	39.94426	4.93854	2.12567	0	2.21529	0	0	
Healthy	8.74946	1.88654	0.65276		45.56493	8.74946	1.88654	0.43242	0.15443	0.65276	0	0.64934	
Healthy	30.57712	27.14313	0		25.46761	30.57712	27.14313	2.65729	1.23786	0	0.45781	0	
Healthy	36.17249	15.30158	0.18131		27.08035	36.17249	15.30158	1.47353	0	0.18131	0	0.00668	
Healthy	14.12711	0.58729	0.04032		67.07715	14.12711	0.58729	5.9313	0	0.04032	0	0	
Healthy	12.53383	0	0.10682		79.59677	12.53383	0	3.18019	0	0.10682	0	0.02721	
Healthy	40.17061	15.74297	3.52398		10.48737	40.17061	15.74297	2.84091	1.00434	3.52398	2.15523	0	
Healthy	3.30002	0	0		70.9806	3.30002	0	2.45958	0	0	0	0.10091	
Healthy	54.70192	15.17112	1.40402		18.80944	54.70192	15.17112	2.75306	0	1.40402	0	0	
Healthy	40.25028	0.54909	0		28.8121	40.25028	0.54909	0.16885	0.22312	0	0.84261	0	
Healthy	24.14655	0.1063	0.07539		64.81071	24.14655	0.1063	1.16749	0	0.07539	0	0.43223	
Healthy	10.41108	0.00827	0		85.39423	10.41108	0.00827	1.399	0	0	0	0	
Healthy	9.16984	0.24786	0.17183		60.68742	9.16984	0.24786	0.26539	0	0.17183	0	0	
Healthy	51.78719	2.42495	0.14932		27.35827	51.78719	2.42495	2.16118	0.89717	0.14932	0.14616	0.34193	
Healthy	12.77843	0.01975	0		76.25237	12.77843	0.01975	0.18603	0.03022	0	0	0.00306	
Healthy	39.24658	3.55909	0		31.55205	39.24658	3.55909	0	0	0	0	0	
Healthy	50.82579	0.85652	0.43993		22.85404	50.82579	0.85652	0.00845	0.08994	0.43993	0	0.0123	
Healthy	69.1428	4.61176	2.50344		0.84417	69.1428	4.61176	10.72835	0.53602	2.50344	0	0	
Healthy	28.19325	35.46128	0.42747		26.60649	28.19325	35.46128	0.85716	0	0.42747	0	0	
Healthy	14.02832	0.00694	0.52152		81.6959	14.02832	0.00694	0	0	0.52152	0	0	
Healthy	58.23553	4.90922	1.46359		19.46004	58.23553	4.90922	0.06878	0	1.46359	0	0	
Healthy	3.07797	0	0		1.0593	3.07797	0	0	0	0	0	0	
Healthy	8.65812	1.88452	0.63827		45.89856	8.65812	1.88452	0.56395	0.14175	0.63827	0	0.69799	
Healthy	34.0406	1.02374	0		41.50004	34.0406	1.02374	5.24819	0	0	0	0.05916	
Healthy	12.47334	20.98509	2.15938		16.15155	12.47334	20.98509	20.22789	2.17357	2.15938	0.19313	0	
Healthy	25.76996	0.12829	0.6201		50.36431	25.76996	0.12829	0	0.00195	0.6201	0	0.19257	
Healthy	7.56936	0.40995	0.28005		69.39126	7.56936	0.40995	0.15717	0	0.28005	0	0	
Healthy	14.03432	0.15418	0.82687		80.88058	14.03432	0.15418	0.65199	0	0.82687	0	0	
Healthy	13.74403	1.22737	0.35606		77.87295	13.74403	1.22737	1.09713	2.21179	0.35606	0	0.00186	
Healthy	43.99437	0	0		24.71545	43.99437	0	0.25355	0	0	0.2591	0	
Healthy	37.78726	0.59603	6.35708		35.63195	37.78726	0.59603	0.26757	0.58929	6.35708	0.55965	0.00321	
Healthy	10.74341	1.36553	0.27233		70.99252	10.74341	1.36553	3.24403	0	0.27233	0.01877	1.33117	
Healthy	36.06041	3.54024	0.03414		44.1636	36.06041	3.54024	0.67314	0	0.03414	0	0	
Healthy	2.0927	0	0		92.47901	2.0927	0	4.53415	0.51403	0	0	0	
Healthy	19.99772	1.90279	0		56.09489	19.99772	1.90279	4.74194	0	0	0	0.07375	
Healthy	17.20087	0.40388	0.20951		66.2303	17.20087	0.40388	3.86667	0	0.20951	0	0	
Healthy	2.53228	0.53226	0		41.8416	2.53228	0.53226	1.17055	10.9796	0	0	2.65193	
Healthy	18.57325	8.38237	0.42642		20.75023	18.57325	8.38237	0.12538	0.41073	0.42642	35.1411	0	
Healthy	6.68546	0.18279	0.09897		87.7612	6.68546	0.18279	1.64559	0	0.09897	0	0.09632	
D003093	27.23535	17.83267	3.94525		26.92838	27.23535	17.83267	0.74862	4.29843	3.94525	4.20579	0.1131	
Healthy	11.91607	13.67243	0.2769		57.5046	11.91607	13.67243	0.21132	0	0.2769	0.20364	0.10935	
Healthy	62.67548	1.07701	2.65107		16.91489	62.67548	1.07701	2.5524	0	2.65107	0.77591	0.08277	
Healthy	31.68543	0.17167	0.30238		32.23104	31.68543	0.17167	0.03603	0.04302	0.30238	0	0	
Healthy	37.77369	0.20099	0		55.35614	37.77369	0.20099	0.48949	0	0	0	0.02455	
Healthy	2.13662	0	0		60.41193	2.13662	0	6.87193	0.58013	0	0	0.22609	
Healthy	33.74428	24.12671	1.08345		26.77579	33.74428	24.12671	1.88064	0	1.08345	0	0	
Healthy	2.37338	0.21668	0		67.44375	2.37338	0.21668	1.20195	0	0	0	0	
Healthy	6.18903	0	0		66.12035	6.18903	0	0.84789	0	0	0	0	
Healthy	9.98392	4.35992	0.00177		70.13297	9.98392	4.35992	0.45512	0.13626	0.00177	0.05586	0.11614	
Healthy	11.86541	13.99503	0.21278		56.39179	11.86541	13.99503	0.05963	0	0.21278	0.19256	0.0717	
D003093	41.24901	0.59569	0		43.0907	41.24901	0.59569	4.52379	0	0	0	0.07905	
Healthy	60.11098	1.39549	0.42068		23.30865	60.11098	1.39549	0.8796	0	0.42068	0	0	
Healthy	38.37015	4.89218	2.81321		22.89065	38.37015	4.89218	1.61136	2.84965	2.81321	3.32246	0	
Healthy	71.4922	0	0		19.52397	71.4922	0	0.22402	0	0	0.51583	0	
Healthy	18.19587	0.97922	0.43603		63.77111	18.19587	0.97922	2.16516	0	0.43603	0	0	
Healthy	10.33462	0.30221	0.01202		67.86063	10.33462	0.30221	0.08866	0.56547	0.01202	0	0.06204	
D003093	26.052	0.26987	0.20794		38.43229	26.052	0.26987	0.2492	0	0.20794	0.32764	0.02015	
Healthy	20.41903	0	0		60.69024	20.41903	0	3.9162	0	0	0	0.28287	
D003093	42.46481	2.10942	8.53516		34.55705	42.46481	2.10942	0.63711	0	8.53516	0	0	
Healthy	0	0	0		68.7163	0	0	0	0	0	0	0	
D003093	19.85874	2.04353	20.38801		30.73503	19.85874	2.04353	0.93934	3.86254	20.38801	8.60606	0.00856	
D003093	35.76256	3.05263	6.13851		37.7696	35.76256	3.05263	1.74277	0	6.13851	5.32385	0	
Healthy	30.81269	0.30162	2.52225		8.95235	30.81269	0.30162	0.01271	9.41662	2.52225	2.26721	0	
Healthy	18.51587	1.94292	0.12889		53.88338	18.51587	1.94292	0.18186	12.8248	0.12889	0	0.64324	
Healthy	16.26502	0.3783	0.02346		59.47556	16.26502	0.3783	11.6155	0	0.02346	0	0	
Healthy	25.87444	0.63978	2.35812		66.96559	25.87444	0.63978	1.42928	0.12452	2.35812	0	0.11504	
Healthy	28.31164	5.27002	0		54.39563	28.31164	5.27002	2.52426	0	0	0	0	
Healthy	37.69654	18.98871	0.32283		22.01124	37.69654	18.98871	3.23698	0.89803	0.32283	1.5014	0.14269	
Healthy	27.88844	0.61254	0.06128		62.88602	27.88844	0.61254	0.00657	0.83565	0.06128	0	0.00715	
Healthy	4.83083	0.67007	0.05228		77.74572	4.83083	0.67007	5.66829	0	0.05228	0	0.14421	
Healthy	6.98758	0.76952	0.1265		77.15751	6.98758	0.76952	0.26813	0	0.1265	0	0.05495	
Healthy	6.19153	1.48043	0.176		13.35234	6.19153	1.48043	10.88687	44.3211	0.176	0	0.72008	
Healthy	0.01982	27.08167	3.57883		12.31931	0.01982	27.08167	7.07975	0	3.57883	0	0	
Healthy	8.48688	0.13318	0		61.52629	8.48688	0.13318	0.04903	0.70898	0	0	0.03414	
Healthy	31.44949	0	1.18947		41.3138	31.44949	0	0	0	1.18947	3.11173	0	
Healthy	34.53581	0.24586	0.09013		26.0167	34.53581	0.24586	1.00904	0	0.09013	0.57844	0.04745	
D003093	29.7342	0.26481	0.00779		51.57872	29.7342	0.26481	2.02451	0	0.00779	0	0	
D003093	18.20346	0.71365	0.04503		44.69945	18.20346	0.71365	0.02002	13.3734	0.04503	0	0.59879	
Healthy	21.04741	51.45775	2.79671		8.23024	21.04741	51.45775	0	0.02197	2.79671	9.29125	0.01788	
Healthy	0.00652	36.14721	0.06942		59.19358	0.00652	36.14721	4.49196	0	0.06942	0	0	
Healthy	36.99923	0	0.67212		39.1705	36.99923	0	5.6289	0	0.67212	0	0	
Healthy	15.67684	1.43162	0.20171		33.35905	15.67684	1.43162	0.13042	0.05676	0.20171	0.0089	0.00212	
Healthy	60.95132	1.0735	2.54226		17.70602	60.95132	1.0735	2.68584	0	2.54226	0.70044	0.0843	
Healthy	59.70207	3.02327	0		15.74507	59.70207	3.02327	0	0	0	0	0	
D003093	21.29414	13.119	1.57794		50.1531	21.29414	13.119	0	0	1.57794	0	0	
Healthy	32.00827	0	0.10091		62.55839	32.00827	0	0	0.07577	0.10091	0	0	
Healthy	5.22286	0.9849	0.31322		57.60587	5.22286	0.9849	0.28892	0	0.31322	0	0.02339	
D003093	78.34537	1.84558	0.28188		2.84309	78.34537	1.84558	0.00315	0	0.28188	0	0	
Healthy	25.16617	0.18221	0.10277		62.10895	25.16617	0.18221	5.16908	0	0.10277	0	0.1922	
D003093	34.07257	12.66752	0.23082		38.08819	34.07257	12.66752	0.01071	0	0.23082	0	0.14654	
Healthy	3.38554	0.10075	0.01606		43.68784	3.38554	0.10075	0.12874	0	0.01606	0	0.04787	
Healthy	49.5079	1.30916	0.05262		37.00331	49.5079	1.30916	0.29846	0	0.05262	0	0	
Healthy	9.67989	0	0		54.07795	9.67989	0	0	0	0	0	0	
Healthy	60.4754	0	0.27659		26.73081	60.4754	0	0.03047	0	0.27659	0	0	
Healthy	13.72989	0.81819	0.51391		60.91644	13.72989	0.81819	2.9996	5.85149	0.51391	0	0	
Healthy	17.31882	0	0.028		48.31568	17.31882	0	0.18097	5.88994	0.028	0	0.23731	
Healthy	3.45024	5.92614	0.24303		64.79763	3.45024	5.92614	1.66688	0.00115	0.24303	0	0	
Healthy	26.31333	2.57071	1.36381		28.3397	26.31333	2.57071	0.23102	1.90163	1.36381	0	0.00493	
D003093	22.36025	2.11664	7.76683		40.82872	22.36025	2.11664	20.06854	0	7.76683	0	0	
Healthy	9.07387	0.15779	0.04674		77.32999	9.07387	0.15779	0.21085	0	0.04674	0	0.00324	
Healthy	10.16004	4.05199	0.00189		70.34527	10.16004	4.05199	0.27404	0.10717	0.00189	0.04814	0.11375	
Healthy	15.70891	0	0		49.0545	15.70891	0	0.33905	1.29381	0	0	0	
Healthy	20.03877	0.22693	1.05864		69.79397	20.03877	0.22693	2.08269	0	1.05864	0	0.26162	
D003093	40.8053	14.87046	0.6221		21.21568	40.8053	14.87046	3.87379	0.09064	0.6221	0	0	
Healthy	24.38633	1.1037	1.15316		67.81815	24.38633	1.1037	0.37751	0	1.15316	0	0	
Healthy	1.74171	0.36372	0.17968		65.5694	1.74171	0.36372	13.04891	0	0.17968	0	0.04885	
Healthy	11.63917	0.58739	0.01799		68.45521	11.63917	0.58739	5.97252	0	0.01799	0	0	
Healthy	38.41294	1.96175	2.1851		38.97581	38.41294	1.96175	0.41962	0.18045	2.1851	0	0.06165	
Healthy	11.26401	0.59301	0.01821		69.30138	11.26401	0.59301	6.12364	0	0.01821	0	0	
Healthy	25.19698	1.12325	9.02489		1.60432	25.19698	1.12325	0	0	9.02489	22.3755	0	
D003093	20.68411	4.27196	3.60489		43.5361	20.68411	4.27196	0.63374	0.22938	3.60489	0	0.14893	
Healthy	18.68503	0	0.03168		48.44869	18.68503	0	0.16153	5.94372	0.03168	0	0.19675	
Healthy	7.25804	0.23047	0.10576		86.81948	7.25804	0.23047	1.92478	0	0.10576	0	0.10547	
Healthy	38.49	4.47777	0		12.2298	38.49	4.47777	0.50243	10.6627	0	0	0	
D003093	20.5873	4.44752	3.47229		43.83247	20.5873	4.44752	0.66064	0.26975	3.47229	0	0.15113	
Healthy	47.21911	0.50234	0.39056		12.06736	47.21911	0.50234	0.52664	0.55245	0.39056	1.49401	0.00509	
Healthy	14.67152	0.48479	0.35923		29.37652	14.67152	0.48479	0	23.5265	0.35923	2.19041	0.81652	
Healthy	50.29109	0	0		11.17298	50.29109	0	0	0	0	10.4569	0	
Healthy	3.50703	0.3179	0.02955		69.41041	3.50703	0.3179	0.2133	0	0.02955	0	0	
Healthy	61.00256	1.76654	0.81908		15.44434	61.00256	1.76654	0	0	0.81908	0.75007	0	
Healthy	4.81242	1.21779	0.36405		67.72931	4.81242	1.21779	0.63269	0.00985	0.36405	0	0.44833	
D003093	47.69433	3.3077	1.50616		35.96179	47.69433	3.3077	4.15799	0	1.50616	0	0.01705	
Healthy	0	0.06844	1.06666		0.0051	0	0.06844	98.78012	0	1.06666	0	0	
D003093	47.11702	9.6612	1.43145		24.39084	47.11702	9.6612	0.47399	0	1.43145	0	0	
Healthy	12.20377	5.70717	0.02822		60.07223	12.20377	5.70717	0.00159	0	0.02822	0.0641	0.05598	
Healthy	10.64705	2.54979	1.06496		26.39939	10.64705	2.54979	0.08659	0.43209	1.06496	0	0.70216	
Healthy	7.66993	0.40184	0.09571		66.30708	7.66993	0.40184	0.09483	10.5133	0.09571	0.00202	0.26754	
Healthy	6.24697	0.25964	0.45071		69.02422	6.24697	0.25964	0.10327	0	0.45071	0.03445	1.47767	
Healthy	23.90713	0.15625	0.09192		64.42086	23.90713	0.15625	1.09687	0	0.09192	0	0.37319	
Healthy	67.42944	0.59	1.90526		15.55609	67.42944	0.59	0.25217	0.00206	1.90526	0	0	
Healthy	9.54403	0.17225	0.04849		76.65911	9.54403	0.17225	0.17766	0	0.04849	0	0.00325	
Healthy	16.54498	0.34951	0		52.02453	16.54498	0.34951	0.44553	5.54787	0	0	0.32032	
Healthy	33.49437	5.38716	0		10.94183	33.49437	5.38716	0.41648	11.9466	0	0	0	
D003093	20.33904	0	0.81142		53.85946	20.33904	0	6.30768	0	0.81142	0	0	
Healthy	50.42246	13.37925	0.32345		9.58545	50.42246	13.37925	0	0.91338	0.32345	0	0	
Healthy	27.86279	2.74684	0.80264		24.65919	27.86279	2.74684	18.71592	5.55483	0.80264	0.32437	0.15039	
D003093	31.93394	2.27321	0.37164		51.56724	31.93394	2.27321	1.05258	0	0.37164	0	0	
D003093	47.96157	4.83158	2.11046		13.88459	47.96157	4.83158	0.0157	0	2.11046	2.32697	0.04749	
Healthy	8.63416	0.06684	0		80.04586	8.63416	0.06684	4.2966	0	0	0	0	
Healthy	15.1094	1.78685	0.02136		67.13567	15.1094	1.78685	0.03074	0.58248	0.02136	0	0.07483	
Healthy	14.99674	1.76277	0.01061		67.41444	14.99674	1.76277	0.41238	0.54782	0.01061	0.01295	0.0955	
Healthy	49.52544	0.3758	2.05058		42.27842	49.52544	0.3758	0.7789	0	2.05058	0.14841	0	
Healthy	8.61692	0.58462	0.2707		55.64763	8.61692	0.58462	1.18189	6.98413	0.2707	0	0.17982	
Healthy	14.38678	0.48381	0.37513		30.28015	14.38678	0.48381	0.01322	23.0526	0.37513	2.25595	0.5915	
D003093	35.56661	0.64833	0.16777		35.3634	35.56661	0.64833	0.24225	7.1606	0.16777	6.00333	0.03017	
D003093	27.57109	16.2314	0.35113		19.73209	27.57109	16.2314	0.08073	0	0.35113	0	0.06763	
D003093	13.62615	0.04006	0		80.78024	13.62615	0.04006	0.73666	0	0	0	0	
Healthy	24.59434	4.08678	0.01654		4.60152	24.59434	4.08678	0	1.17037	0.01654	0	0	
Healthy	17.7056	1.26081	0.08549		63.84875	17.7056	1.26081	0.17701	0	0.08549	0	0.06882	
Healthy	7.30886	1.95099	0.68287		45.58241	7.30886	1.95099	0.40597	0.14643	0.68287	0	0.62884	
Healthy	17.14498	0	0.03337		48.56843	17.14498	0	0.22964	6.15939	0.03337	0	0.19774	
Healthy	13.90813	69.98326	1.55162		6.64501	13.90813	69.98326	0	0	1.55162	3.75983	0	
Healthy	5.88172	0.64731	0.31397		78.67341	5.88172	0.64731	0	0	0.31397	0.10412	1.51706	
Healthy	63.6422	1.0503	4.71788		11.67897	63.6422	1.0503	0.33318	0.72467	4.71788	2.99009	0.04407	
Healthy	2.38464	0.2095	0		66.55142	2.38464	0.2095	0.83258	0	0	0	0	
Healthy	17.44591	0	0.03381		47.27326	17.44591	0	0.1849	5.82754	0.03381	0	0.17934	
Healthy	26.86133	29.04837	17.46502		9.6557	26.86133	29.04837	1.45409	0	17.46502	0.78441	0	
Healthy	14.89059	37.43912	0.04048		31.27239	14.89059	37.43912	0.18509	0.05007	0.04048	0	0.00419	
Healthy	23.56575	1.03992	2.14453		38.73967	23.56575	1.03992	0.05111	0.22973	2.14453	0	0.13801	
Healthy	30.87403	0.19149	1.81925		47.96941	30.87403	0.19149	7.11235	0	1.81925	0	1.28897	
Healthy	31.46681	0	6.64053		10.74105	31.46681	0	0	2.25271	6.64053	6.83579	0	
Healthy	60.31806	0.62083	1.01067		25.8744	60.31806	0.62083	0.35663	0.43301	1.01067	0.29171	0	
Healthy	0.02011	39.44138	1.25776		46.93403	0.02011	39.44138	0.01256	0	1.25776	0	0.07383	
D003093	29.06191	9.57179	1.32134		39.58388	29.06191	9.57179	0.24795	0	1.32134	0	0.13137	
Healthy	32.28007	13.18618	0.44553		28.91381	32.28007	13.18618	0.6199	0.07339	0.44553	0	0	
Healthy	28.05617	0	0		50.11589	28.05617	0	0	0	0	0	0	
Healthy	14.99412	2.58058	0.70429		44.43514	14.99412	2.58058	4.89566	0.21883	0.70429	0.00143	0.03955	
Healthy	14.67312	1.42784	0.43446		53.13198	14.67312	1.42784	1.18756	0	0.43446	0	0.07429	
Healthy	33.62698	1.73773	2.33764		34.50608	33.62698	1.73773	0.01054	0.83149	2.33764	0	0.26021	
Healthy	28.39475	0.0728	0.09727		63.55773	28.39475	0.0728	3.23814	0	0.09727	0	0.3977	
Healthy	8.51644	0.62741	0.26286		77.7602	8.51644	0.62741	0	0	0.26286	0.10932	1.47135	
Healthy	63.08873	0	0.16003		26.36217	63.08873	0	0	0	0.16003	0	0	
Healthy	8.39833	0.72064	0.31186		53.52142	8.39833	0.72064	1.46263	7.17834	0.31186	0	0.15019	
Healthy	17.56202	2.27646	0		53.23884	17.56202	2.27646	3.3402	0	0	0	0	
Healthy	33.87622	0.36869	0		49.92278	33.87622	0.36869	5.02014	0	0	1.12509	0	
Healthy	2.66137	0.15418	0.25017		89.09289	2.66137	0.15418	0.47722	0	0.25017	0	0.00256	
Healthy	13.7628	0.72457	0.02067		65.07545	13.7628	0.72457	1.47703	0	0.02067	0.15029	0.15304	
Healthy	14.10248	1.45291	0.09398		64.06727	14.10248	1.45291	3.70084	0	0.09398	0	0.03707	
Healthy	9.83999	0.4291	0.03503		48.80242	9.83999	0.4291	0.86857	9.16536	0.03503	0	0.67466	
Healthy	33.52926	1.77718	2.93267		39.68736	33.52926	1.77718	0.31393	2.55681	2.93267	1.41365	0	
D003093	21.91842	0.57675	0.04161		71.38209	21.91842	0.57675	0.2523	0	0.04161	0	0.0076	
Healthy	70.1664	26.4576	0		3.37609	70.1664	26.4576	0	0	0	0	0	
Healthy	52.46052	5.90617	0.88425		22.54515	52.46052	5.90617	0.62955	0	0.88425	0	0	
D003093	9.54521	0.02927	0.01216		57.941	9.54521	0.02927	19.61833	0.01598	0.01216	0	0.10186	
Healthy	23.88165	0.59768	2.02511		61.90876	23.88165	0.59768	0.80646	0	2.02511	0	0	
Healthy	17.10062	0.46514	0.24015		65.77098	17.10062	0.46514	4.17527	0	0.24015	0	0	
Healthy	35.47692	0.48064	0.72561		52.17961	35.47692	0.48064	1.34659	0.18057	0.72561	0	0	
D003093	4.82246	0	1.16238		84.12996	4.82246	0	0.149	0	1.16238	0	0	
Healthy	27.87747	19.08666	27.88653		4.39774	27.87747	19.08666	0.02111	0.10792	27.88653	0	0	
Healthy	29.15036	0.36948	0.75085		49.23491	29.15036	0.36948	1.39042	0	0.75085	0.00472	0.34134	
Healthy	2.48315	0.13229	0.27016		88.84668	2.48315	0.13229	0.67394	0	0.27016	0	0.00761	
Healthy	29.10969	4.82326	6.02693		46.5767	29.10969	4.82326	1.73545	0	6.02693	0	0.05704	
D003093	53.30445	11.37628	11.67231		15.50364	53.30445	11.37628	0.47226	0	11.67231	0	0	
Healthy	72.45225	0	0.36672		8.0179	72.45225	0	0	0	0.36672	0.37891	0	
Healthy	19.96364	0.08657	0.29673		71.53509	19.96364	0.08657	0.58142	0	0.29673	0	0.0596	
Healthy	34.62935	0	0		34.82541	34.62935	0	0	0	0	0	0	
Healthy	53.9664	1.80574	1.48064		23.7146	53.9664	1.80574	0.35198	0.42284	1.48064	0	0	
Healthy	0	1.06664	2.09464		38.55289	0	1.06664	58.22321	0	2.09464	0	0	
Healthy	20.56037	0.05845	0.12072		23.71179	20.56037	0.05845	24.87977	0.07371	0.12072	0.04229	0	
Healthy	8.48952	0.14659	0.37468		65.86083	8.48952	0.14659	0.4287	0	0.37468	0	0.02623	
Healthy	8.24743	0.171	0.00194		84.82546	8.24743	0.171	0.97105	0	0.00194	0	0.0213	
Healthy	1.71941	0.09213	0		88.87543	1.71941	0.09213	0	4.6295	0	0	0	
Healthy	0	3.17555	0		7.28936	0	3.17555	68.45102	0	0	0	0	
Healthy	17.26085	0	0		70.25622	17.26085	0	0.04885	2.84123	0	0	0	
Healthy	20.47438	1.11346	0.96634		43.52601	20.47438	1.11346	1.28779	2.40184	0.96634	0.34645	0.06803	
Healthy	12.5235	2.20275	29.07578		18.58328	12.5235	2.20275	3.02478	0	29.07578	0	0.18021	
Healthy	51.8003	0.55042	0.25973		21.84724	51.8003	0.55042	0.42698	3.47228	0.25973	0	0.07256	
Healthy	36.7793	2.49772	0		30.04784	36.7793	2.49772	0.02182	4.19116	0	0	0	
Healthy	7.41575	0.36907	0.30214		70.00135	7.41575	0.36907	0.17425	0	0.30214	0	0	
Healthy	23.54391	14.69762	0.43676		44.99102	23.54391	14.69762	2.48842	0	0.43676	0	0	
Healthy	62.83116	1.5173	0.49077		24.68143	62.83116	1.5173	0.12353	0.21299	0.49077	0.08608	0	
Healthy	2.53704	0.18021	0		66.80106	2.53704	0.18021	1.26907	0	0	0	0	
Healthy	27.60436	0.2307	0.43754		30.74518	27.60436	0.2307	1.04012	0	0.43754	0	0	
Healthy	55.18876	0	0.12098		20.681	55.18876	0	0.22372	2.48303	0.12098	3.55858	0	
D003093	43.20902	7.25367	7.13619		15.41301	43.20902	7.25367	0.41534	0.3348	7.13619	0	0	
Healthy	3.78633	1.26533	0.36034		67.23864	3.78633	1.26533	0.70667	0	0.36034	0	0.43213	
Healthy	5.49309	1.25162	0.00769		79.5532	5.49309	1.25162	0.6799	3.73739	0.00769	0	0.02068	
Healthy	6.74849	0.85203	0.14078		77.46103	6.74849	0.85203	0.30335	0	0.14078	0	0.08262	
Healthy	41.99058	0.0445	4.6511		37.48435	41.99058	0.0445	0.28696	0	4.6511	0	0	
Healthy	27.55531	0.78799	0.58424		42.17307	27.55531	0.78799	0.79435	4.79499	0.58424	0	0.01653	
Healthy	7.54795	0.40595	0.31823		69.54745	7.54795	0.40595	0.16316	0	0.31823	0	0	
Healthy	13.63051	2.61896	1.11266		26.3885	13.63051	2.61896	0.08638	0.4868	1.11266	0	0.51404	
Healthy	42.63635	8.06115	5.1157		18.78237	42.63635	8.06115	2.07808	0	5.1157	0	0.08455	
Healthy	5.41797	0.05927	0		77.19162	5.41797	0.05927	0.11572	12.5924	0	0	0	
Healthy	36.85695	1.92584	0.55111		33.92262	36.85695	1.92584	0.95105	0	0.55111	0	0.00067	
Healthy	28.76911	2.75381	3.42563		27.41332	28.76911	2.75381	13.544	5.3777	3.42563	0	0	
Healthy	26.2803	0.47639	0.07435		62.32274	26.2803	0.47639	0.43051	0	0.07435	0	0.00226	
Healthy	10.03618	0.33413	0.0121		68.75745	10.03618	0.33413	0.06107	0.50525	0.0121	0	0.08344	
Healthy	50.98217	0	0.03721		36.60658	50.98217	0	0.05623	0	0.03721	0	0.05779	
Healthy	46.88372	0.48326	2.00768		22.21139	46.88372	0.48326	1.03095	0.04092	2.00768	0.04421	0	
D003093	3.78365	1.58963	0		86.82646	3.78365	1.58963	0	0	0	0	0	
Healthy	53.12494	14.64927	3.06956		14.04776	53.12494	14.64927	5.89184	0	3.06956	0	0	
Healthy	15.80437	0	0.08617		79.3563	15.80437	0	0	0.3553	0.08617	0	0	
Healthy	1.77442	67.04682	4.11064		14.44243	1.77442	67.04682	2.08779	0	4.11064	0	0	
Healthy	8.12133	4.8397	0.15639		47.15603	8.12133	4.8397	0.80316	1.24863	0.15639	0	0	
D003093	36.38583	14.77678	2.62352		19.97988	36.38583	14.77678	0.80173	0	2.62352	0	0	
Healthy	52.09716	11.29489	0.33876		19.14718	52.09716	11.29489	0.34545	0	0.33876	0	0	
Healthy	7.76639	0.31106	0.24047		67.53369	7.76639	0.31106	0.1497	0	0.24047	0	0	
D003093	16.34241	1.85813	0		65.60662	16.34241	1.85813	0	0	0	0	0	
Healthy	10.13138	0.24164	0.48478		67.96798	10.13138	0.24164	6.20782	0	0.48478	0	0.01482	
Healthy	47.04581	0.24558	1.35608		39.78159	47.04581	0.24558	0.10588	0.06568	1.35608	0	0	
Healthy	36.9452	0	1.7695		17.42109	36.9452	0	0.54752	0.35684	1.7695	0	0	
Healthy	32.24089	0.35801	4.2094		46.68828	32.24089	0.35801	0.45319	0	4.2094	0	0.01124	
Healthy	16.65619	0.13524	0.28255		33.17284	16.65619	0.13524	5.38178	0	0.28255	1.24695	0.13317	
Healthy	23.41688	0.02847	0		68.79055	23.41688	0.02847	0.13697	0	0	0	0	
Healthy	0.0717	17.7817	1.65425		46.32513	0.0717	17.7817	11.02661	0	1.65425	0	0	
Healthy	28.12505	1.06614	0.20809		45.38947	28.12505	1.06614	0.64296	0.02265	0.20809	0.12133	0.20968	
Healthy	21.62037	23.50545	4.0634		7.18264	21.62037	23.50545	0.35498	4.64073	4.0634	27.2102	0	
Healthy	54.17399	4.01656	0.20006		20.40739	54.17399	4.01656	0.90366	2.12082	0.20006	1.33131	0	
Healthy	3.35005	0	0		71.10958	3.35005	0	2.86052	0	0	0	0.06823	
Healthy	11.01785	5.95915	0.23921		44.66073	11.01785	5.95915	0.0125	6.84902	0.23921	0	0.10009	
Healthy	4.35053	1.27878	0.35102		67.51672	4.35053	1.27878	0.76704	0.00874	0.35102	0	0.4126	
Healthy	13.67774	1.30967	0.15939		47.52177	13.67774	1.30967	2.65317	0.2033	0.15939	0.11554	0	
Healthy	22.17427	0.79006	0.0671		63.18956	22.17427	0.79006	2.66211	0.0876	0.0671	0	0.0502	
Healthy	42.17168	3.7193	1.72201		46.5268	42.17168	3.7193	3.49531	0	1.72201	0	0	
