group	Firmicutes_A	Actinobacteriota	Firmicutes		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	25.37276	0.16463	0		39.3006	25.37276	0.16463	0	1.13725	0	15.6428	0.02658	
Healthy	16.98491	0	0.14265		41.24657	16.98491	0	16.45125	0	0.14265	0.32705	0	
Healthy	7.64421	0.22191	0.10243		86.758	7.64421	0.22191	1.75402	0	0.10243	0	0.09831	
Healthy	68.26649	0	0.11515		12.46553	68.26649	0	0	0.00932	0.11515	3.21156	0	
Healthy	6.84408	0.81124	0.14147		76.44017	6.84408	0.81124	0.33784	0	0.14147	0	0.10029	
Healthy	24.61586	25.38832	18.28259		9.7859	24.61586	25.38832	1.75061	0	18.28259	1.04718	0	
Healthy	19.25723	6.79437	2.16373		42.18549	19.25723	6.79437	15.52302	0	2.16373	0	0.03635	
D003093	3.26733	0.96585	0		88.00964	3.26733	0.96585	0	0	0	0	0	
Healthy	7.33314	0.38779	0.24099		68.34488	7.33314	0.38779	0.12857	0	0.24099	0	0	
Healthy	5.42433	0.80846	0.09705		75.43383	5.42433	0.80846	5.97118	0	0.09705	0	0.20315	
Healthy	11.78326	0	0.2213		33.84867	11.78326	0	13.22994	0.54368	0.2213	0.60936	0	
Healthy	24.09324	0.21172	0.0141		52.57168	24.09324	0.21172	1.43022	1.91855	0.0141	0.01981	0.0924	
Healthy	14.05663	5.18172	0.31709		56.34078	14.05663	5.18172	2.29813	0	0.31709	0	0	
Healthy	40.22476	10.0305	0.62807		20.22819	40.22476	10.0305	0.22236	0	0.62807	0	0.06614	
Healthy	33.73335	1.84195	2.38221		34.97998	33.73335	1.84195	0.0093	0.87446	2.38221	0	0.28312	
Healthy	21.43478	3.02823	0		54.76138	21.43478	3.02823	1.16431	1.83608	0	0.54243	0	
D003093	23.53397	0.55443	0.4287		51.10222	23.53397	0.55443	0.14343	0.00323	0.4287	0.03628	0.0847	
Healthy	17.55031	0.50518	0.19801		66.122	17.55031	0.50518	3.85255	0	0.19801	0	0.01952	
Healthy	9.97554	0	0		65.39898	9.97554	0	0.2284	7.69718	0	0	0	
Healthy	8.60875	0.32135	0.06404		76.52103	8.60875	0.32135	1.37665	0	0.06404	0	0.04377	
Healthy	16.09551	0.36711	0		53.00535	16.09551	0.36711	0.43492	5.35516	0	0	0.32464	
Healthy	8.39604	0	0.00291		75.97442	8.39604	0	0.6141	0	0.00291	0	0.00721	
Healthy	22.17331	9.09297	2.45663		43.89442	22.17331	9.09297	2.13381	4.75004	2.45663	0.00715	0.08954	
Healthy	7.2027	0.71351	0.35675		54.50736	7.2027	0.71351	1.33336	7.16262	0.35675	0	0.17895	
Healthy	51.38719	2.71283	0.02683		36.60204	51.38719	2.71283	1.87309	0.03189	0.02683	0.05897	0.14804	
Healthy	84.8431	3.68311	3.05681		2.1963	84.8431	3.68311	0	0	3.05681	2.07917	0	
D003093	61.49243	14.64205	3.75341		6.48747	61.49243	14.64205	0.75279	0.57305	3.75341	0	0	
Healthy	2.63585	0.14868	0.24293		88.99303	2.63585	0.14868	0.54121	0	0.24293	0	0	
Healthy	24.28905	2.10537	0.48695		55.54238	24.28905	2.10537	0.07757	0	0.48695	0	0	
Healthy	11.76986	0.51129	0.01705		70.48564	11.76986	0.51129	5.77806	0	0.01705	0	0	
Healthy	17.22405	0.7355	0.01666		58.09122	17.22405	0.7355	7.16181	0	0.01666	0	0	
Healthy	37.46857	1.22644	0.0209		40.21055	37.46857	1.22644	0.07492	0	0.0209	0	0	
Healthy	27.58574	0.07736	0.05412		64.56848	27.58574	0.07736	2.9757	0	0.05412	0	0.55153	
Healthy	10.26022	0.26883	0.5783		69.88918	10.26022	0.26883	6.33312	0	0.5783	0	0	
Healthy	10.83038	2.86572	0		41.95701	10.83038	2.86572	0.10498	17.199	0	0	1.61864	
Healthy	5.25678	6.93139	0.13494		1.9337	5.25678	6.93139	79.37352	3.52859	0.13494	0	0	
Healthy	28.57554	0.75631	0.29747		63.27551	28.57554	0.75631	2.0449	0	0.29747	0	0	
Healthy	30.75896	0.01296	0		50.98894	30.75896	0.01296	8.99744	0	0	0	0	
Healthy	56.05054	6.45428	12.13916		18.80818	56.05054	6.45428	0	0	12.13916	0	0	
Healthy	43.5593	5.2127	1.18962		7.42578	43.5593	5.2127	0.06974	0	1.18962	0	0	
Healthy	21.61926	0.10638	0		68.09654	21.61926	0.10638	0	0.06765	0	0	0	
Healthy	22.89486	0	0.00195		43.75014	22.89486	0	8.85496	3.04604	0.00195	0.57278	0.04203	
Healthy	41.40638	0.39077	0.70186		17.56695	41.40638	0.39077	1.89139	1.83008	0.70186	0.1514	0.03232	
Healthy	4.3901	1.30219	0.34257		67.09431	4.3901	1.30219	1.01412	0.00437	0.34257	0	0.40307	
Healthy	8.00504	2.44506	0.85543		31.28267	8.00504	2.44506	0.1118	0.51673	0.85543	0	0.80581	
Healthy	36.32618	5.37526	0.81985		20.36905	36.32618	5.37526	0	25.358	0.81985	0	0	
Healthy	15.69856	1.7566	0.02321		67.23166	15.69856	1.7566	0.01784	0.53875	0.02321	0.0264	0.09289	
Healthy	18.33249	3.44779	1.26624		42.56931	18.33249	3.44779	1.76516	5.195	1.26624	0.50179	0.29804	
Healthy	0.00094	0.02275	0.22892		0.05164	0.00094	0.02275	86.41751	0	0.22892	0	0	
Healthy	25.54598	0.17798	0.16088		61.38019	25.54598	0.17798	5.29922	0	0.16088	0	0.16147	
Healthy	0.27516	90.99881	3.62578		0.01931	0.27516	90.99881	4.54672	0.00841	3.62578	0	0	
Healthy	2.87818	0.11834	0		92.92764	2.87818	0.11834	0.68757	1.66666	0	0	0	
Healthy	3.35109	0.11605	0		43.38378	3.35109	0.11605	0.11326	0	0	0	0.03182	
Healthy	5.29405	1.00611	0.25024		56.61767	5.29405	1.00611	0.29207	0	0.25024	0	0.01125	
Healthy	23.98365	1.47329	0.10518		52.15726	23.98365	1.47329	0.59902	1.05654	0.10518	0	0.20998	
Healthy	28.72613	0.03064	0.00441		61.05334	28.72613	0.03064	0.11734	0.01073	0.00441	0	0	
