f	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Streptococcaceae	Coriobacteriaceae	Lactobacillaceae	Akkermansiaceae	Acidaminococcaceae	Methanobacteriaceae	Enterobacteriaceae	Pseudomonadaceae	Micrococcaceae	Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae	Desulfovibrionaceae
Healthy	1.30706473841213	0.731861020341784	-0.0907114758377493	-0.134896025358872	-0.169411331314856	-5	-5	-2.79860287567955	0.529330239490453	-5	-5	-5	-5	1.54219842077457	1.01469774850903	0.289985611272195	-5	0.783824284719325	-5	-1.73353310455976	0.0235939977382082	0.336485750711003	-5
Healthy	0.684733184327011	0.282816901350496	-0.419576861588155	-0.254175994059787	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.75217425969463	1.03859473133614	0.201765708466026	0.792386786145778	-0.796070062755374	-0.255026763964733	-1.07504911108439	-5	-5	-5
Healthy	0.998671199580085	1.27004054824372	-2.60730304674033	-1.99054910420131	-0.655411257421286	-5	-5	-5	-5	-5	0.419180592824017	-5	-5	1.62860489952653	-0.649441882058301	0.684788827898108	-5	-5	-5	-0.677491272078491	-1.38795825535473	-0.297845293657048	-1.8018930011266
Healthy	1.16253991329623	1.1133911132836	-3.52287874528034	-0.481328163562692	-0.976788707671111	0.272713963632576	-5	0.873068207464629	-5	0.413064946837411	-1.04019568349166	-0.61441159897034	-1.77108659400531	1.49797608721456	0.650979333858769	0.500477987397316	-5	-1.12627261935332	0.0502327751117544	-0.659000977468558	-1.17953580942232	-1.42446578168014	-0.709275519980777
Healthy	1.49143313640473	1.07206268038956	-0.722459544882569	-1.12424442074195	0.414609056007625	-5	-0.762984371254838	-1.00793273997233	-5	-1.31158017799729	-5	-5	-5	1.56404245741518	0.486393636650568	-5	-0.280279348665997	-0.783306400830245	-5	-1.38373459471829	-5	-1.27769521312567	-1.9734667354767
Healthy	1.1009571356995	0.346734281891791	-0.301507982535077	-0.385218751858922	-1.47781668238131	-0.277942228668536	-1.98088370955293	0.815250243860085	-5	-5	-1.01587791713889	-5	-5	1.26817390882452	0.564158104275546	0.137043790184323	-5	0.430258930332081	-0.0191833724103408	-0.611188586526476	-5	-5	-1.35076252765039
Healthy	1.11779014983648	0.947517043534692	-0.0859743483036714	0.84938562719768	-1.77572598570574	0.0957480250442235	-1.35349824996839	-5	-5	-5	-1.07381195089279	-5	-5	1.66858633555195	0.378241599497053	0.199497375490972	-5	-2.52578373592374	-0.488049829624501	-1.84557602688535	-2.22694530663574	-2.25570701687732	-3.2839966563652
Healthy	0.532721264367791	0.242849399830293	0.0356218259759235	0.0114224114884595	-2.38090666937326	-0.353655098683705	-5	-5	-5	-5	-0.903368024441839	-5	-5	1.57647369193875	1.5530644962456	0.882877294493618	-5	-0.538561504246437	0.351668781788749	-2.30364361126667	-5	-5	-1.27736607746619
Healthy	1.24008775247789	1.03946607275992	-5	-0.378605586791193	-1.71579493229821	-1.91470942176993	-5	-5	-5	-5	-5	-5	-5	1.71748543082935	0.635095523184499	0.0638922893443259	-5	-1.96617430604669	-0.111511609537604	-1.42550573171467	-5	-5	-0.744076541267099
Healthy	1.18079945560002	1.23456308954756	1.34327168575716	-5	-5	0.123949591081827	-1.07083661679494	-5	-5	-5	-5	-5	-5	1.14982516181725	0.997676399751038	-0.13519829994923	0.469780792850616	0.254888708775947	-5	0.149382327425737	-5	-5	-5
Healthy	1.18128750658172	0.762234291084241	-0.14506878137718	-0.112343322416142	-1.28291227507298	-5	-5	-0.0835460514500749	-5	-0.593527949534324	-5	-5	-2.39577394691553	1.4934093905568	1.09551072269155	0.557037765882228	-5	0.253345275820191	0.279566570280012	-0.424465781680136	-1.90692869362394	-5	-1.83564714421556
Healthy	0.975087453435228	0.580112621451532	1.07310257186231	1.22148491906009	1.1269644402306	-5	-5	-5	-5	-5	-5	-5	-5	1.30116134987843	-5	0.490821992900465	-5	-5	-5	-5	-5	-5	-5
Healthy	1.17788033655633	0.699240919575959	1.58276460271344	0.487702450362203	-0.632532257882026	-0.492575939905145	-5	-5	-5	-5	-5	-5	-5	1.37564679043827	0.230045095288004	-0.962135444225626	-0.0705299838225105	-1.21817284706757	-5	-5	-5	0.118337488299989	-5
Healthy	0.37159239488545	0.883883918596591	-5	-0.476578725627368	-1.79425445905734	-0.92161569125181	-5	-0.218474395596606	-5	-5	-5	-1.41612140150137	-5	1.60898703950159	1.31658086566086	0.687245284100021	-0.355541715083896	-1.54959691384463	-0.043010837158594	-5	-1.86296254521049	-1.14333151638846	-1.14697138528701
Healthy	1.4491178545749	0.222784080594466	0.9318081145476	1.55339155917997	-0.462747745749293	-5	-0.961538803821436	-0.00261361560268669	-5	-5	0.375840952758352	0.957278688671952	-5	-0.56125202309777	-5	-5	-5	-5	-5	-5	-5	-5	-5
