group	Lachnospiraceae	Coriobacteriaceae	Lactobacillaceae	Streptococcaceae	Erysipelotrichaceae	Methanobacteriaceae	Erysipelatoclostridiaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae
Healthy	19.16726	0.33622	0	1.04933	0.06243	0	0	0.04105	0.02658	0	19.16726	11.17958	0.46911	0.6487	0.03917	0	0.33622	0.08893	0	0.04105
Healthy	9.33161	0.91269	0	0.01657	0.79186	0	0	0.02361	0	0	9.33161	4.02687	5.86576	3.93134	1.1655	0	0.91269	0.24086	0.0012	0.02361
Healthy	13.53386	1.43581	0	0.08838	0.00364	0.52921	0	0.28108	0.01345	0	13.53386	4.47674	5.61783	4.96347	0.07252	0.52921	1.43581	0.38997	0.05871	0.28108
Healthy	2.91449	0.14288	0	0	0.163	0	0	0	0	0	2.91449	2.12034	0.65786	0.9933	0	0	0.14288	0.60257	0.07883	0
Healthy	0.18846	0.12	0	1.2222	0	0	0	0	0	0.33442	0.18846	0.00368	53.32809	0.00014	0	0	0.12	0	0.13184	0
Healthy	13.06821	0	0	0.18972	0.79534	2.8803	0.22036	0	0	0	13.06821	10.01197	0.99682	1.82773	4.64535	2.8803	0	0.33091	0.08855	0
Healthy	1.11149	0.15444	0	0.23259	0.01149	0	0	0	0	0	1.11149	0.90434	0	0.35951	0	0	0.15444	0.18962	0.00251	0
Healthy	8.53065	0.01631	0	0.14253	0.00061	0	0	0	0	0	8.53065	27.22336	0	0.02581	0.02478	0	0.01631	0.12367	0.037	0
D008545	56.77516	0	2.13325	11.15427	0	0	0	0.09959	0.4075	0	56.77516	12.9862	11.04893	0.53251	0	0	0	0	0	0.09959
Healthy	4.60479	0	0	0.21411	0.05876	0.54614	0	0	0	0	4.60479	3.58402	0	1.03234	20.014	0.54614	0	0.66922	0.65549	0
Healthy	3.30342	0.102	0	0	0	0	0	0	0	0	3.30342	0.69262	0	0.20168	0	0	0.102	1.66202	0.05737	0
Healthy	24.13931	0.06941	0	0	0	15.6428	0	0	0	0	24.13931	1.051	0.09522	0.15905	1.13725	15.6428	0.06941	0.0234	0.02658	0
Healthy	12.86415	0	0	0	0.14265	0.32705	0	0	0.35363	0	12.86415	1.09293	0	2.6742	0	0.32705	0	0	0	0
Healthy	4.04901	0	0	0.06243	0.04	0	0	0	0	0	4.04901	2.47447	0.22191	0.15275	0	0	0	0.96798	0.09831	0
Healthy	58.92111	0	0	0.11515	0	3.21156	0	0	0	0	58.92111	2.97284	0	6.37254	0.00932	3.21156	0	0	0	0
Healthy	2.98722	0.19064	0	0	0.14147	0	0	0	0	0	2.98722	2.20024	0.6206	0.9626	0	0	0.19064	0.69402	0.10029	0
