group	Bacteroidota	Proteobacteria	Desulfobacterota		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
D001943	83.68251	0.72381	0		83.68251	5.12118	7.14483	0.72381	0	0.30871	0	0	
Healthy	34.23946	0.11959	0		34.23946	32.98286	10.01482	0.11959	0.08687	0.49563	0	0	
Healthy	21.72158	3.94418	0.00855		21.72158	8.77087	48.46381	3.94418	0	0.67221	0.00083	0.00855	
Healthy	67.32252	0.42591	0		67.32252	17.90698	0	0.42591	0.40549	0	0	0	
Healthy	80.02181	0.39459	0.03054		80.02181	15.04774	0.02949	0.39459	0	0.00703	0	0.03054	
Healthy	92.37086	0.5699	0		92.37086	2.76603	0.18969	0.5699	1.85231	0	0	0	
Healthy	36.46828	0	0		36.46828	39.68371	0	0	0	6.35549	7.54448	0	
Healthy	46.13277	0.11479	0.24772		46.13277	31.23049	0.13699	0.11479	0.08623	0.02068	0	0.24772	
Healthy	21.17389	0	0		21.17389	17.0801	0.34594	0	48.7672	0.45389	0	0	
Healthy	39.6002	0.43006	0.07772		39.6002	28.40003	0.70274	0.43006	0.02505	1.63427	0.63907	0.07772	
Healthy	38.19224	9.98602	0.00133		38.19224	22.46823	6.68522	9.98602	0.71933	0.58617	0	0.00133	
Healthy	17.14225	0.26191	0		17.14225	46.69578	25.24584	0.26191	0	0.17857	0	0	
Healthy	0.03814	87.76696	0		0.03814	0	6.59575	87.76696	0	5.4974	0	0	
Healthy	45.26473	2.95411	0.00889		45.26473	37.92812	0.47902	2.95411	0.01764	1.19446	1.70994	0.00889	
Healthy	74.29777	0.01528	0		74.29777	11.65107	0	0.01528	0.70276	0	0	0	
Healthy	36.8274	0.19655	0.15156		36.8274	39.05863	3.53789	0.19655	0	0.10864	1.80075	0.15156	
Healthy	34.70987	0.19327	0.07473		34.70987	26.05212	3.84804	0.19327	1.65301	0.00266	0.18038	0.07473	
Healthy	81.72666	0	0		81.72666	14.09583	0.02023	0	0	0.51735	0	0	
Healthy	56.87795	0.002	0.10324		56.87795	13.87038	6.44048	0.002	0	0.03714	0.08119	0.10324	
Healthy	54.17995	4.30761	0.08008		54.17995	22.23502	1.66356	4.30761	0	0.1302	0	0.08008	
Healthy	73.74703	0.61323	0.04112		73.74703	8.20005	0.02352	0.61323	0	0.02913	0	0.04112	
Healthy	24.69327	0.91721	0.01514		24.69327	20.69677	30.93662	0.91721	0	0.29529	0	0.01514	
Healthy	70.62031	0.39039	0.07434		70.62031	10.29268	4.05241	0.39039	0.09043	0	0.04311	0.07434	
Healthy	63.4987	1.53674	0.15405		63.4987	14.20783	0.709	1.53674	0	0.01765	0.18758	0.15405	
Healthy	42.29907	0.28059	0.01399		42.29907	22.05547	4.81243	0.28059	0.98179	3.42795	0	0.01399	
Healthy	52.08938	2.21801	0.09305		52.08938	25.91353	0.34524	2.21801	0.62975	0.58159	0.07048	0.09305	
Healthy	28.91364	0	0		28.91364	48.19235	0	0	0	0.76987	0	0	
Healthy	40.45841	0.29448	0		40.45841	31.11105	0.84638	0.29448	0.03917	1.11176	0	0	
Healthy	29.45115	0	0.71462		29.45115	14.30626	0.5288	0	23.484	0.31565	2.20838	0.71462	
Healthy	59.94951	0.24576	0.36652		59.94951	9.71004	3.63884	0.24576	0.90006	0.09111	0.91984	0.36652	
Healthy	69.31403	0.35618	0.08906		69.31403	10.42742	4.25947	0.35618	0.11704	0.01041	0.06314	0.08906	
Healthy	51.86404	0.04924	0		51.86404	37.54418	0	0.04924	0	0	0	0	
Healthy	87.79754	0.02213	0		87.79754	7.19351	0.00788	0.02213	0	0.10386	0	0	
Healthy	48.12186	0.45536	0.0012		48.12186	17.53068	6.80206	0.45536	1.1655	0.80843	0	0.0012	
Healthy	52.10296	1.87444	0		52.10296	24.0498	1.27202	1.87444	0	0.32	0	0	
Healthy	3.58455	0	0		3.58455	40.23628	5.34989	0	0	3.31825	0	0	
Healthy	55.96175	0.01115	0.05871		55.96175	23.37749	7.33472	0.01115	0.07252	0.09202	0.52921	0.05871	
Healthy	76.93222	0.38872	0.07883		76.93222	6.6307	0.80074	0.38872	0	0.163	0	0.07883	
Healthy	9.78837	27.78192	0.13184		9.78837	0.33418	53.799	27.78192	0	3.50436	0	0.13184	
Healthy	47.09899	0	0.08855		47.09899	25.23882	0.99682	0	4.64535	1.20542	2.8803	0.08855	
Healthy	68.68363	0.23778	0		68.68363	7.58224	0.40903	0.23778	0	0.27242	0	0	
Healthy	89.10926	0.46306	0.00251		89.10926	2.56496	0.15444	0.46306	0	0.24408	0	0.00251	
Healthy	68.74356	0.07863	1.66613		68.74356	9.90427	0.20519	0.07863	0	0.50213	0	1.66613	
Healthy	28.65617	2.17787	0		28.65617	34.3302	5.20082	2.17787	1.91177	11.84842	0	0	
Healthy	63.79876	0.15651	0.06513		63.79876	15.58102	1.1437	0.15651	0	0.07183	0	0.06513	
Healthy	53.12384	1.28454	0.037		53.12384	35.90349	0.01631	1.28454	0.02478	0.14314	0	0.037	
Healthy	79.20896	0.26069	0		79.20896	2.41615	0.0863	0.26069	0	0	0	0	
Healthy	30.60738	6.40698	0.65549		30.60738	9.89037	0	6.40698	20.014	0.27287	0.54614	0.65549	
Healthy	56.25764	0.01474	0		56.25764	28.81302	0	0.01474	0.00383	0.0223	0	0	
Healthy	44.45977	0.1002	0.05737		44.45977	5.85974	0.102	0.1002	0	0	0	0.05737	
Healthy	39.3006	0	0.02658		39.3006	25.37276	0.16463	0	1.13725	0	15.6428	0.02658	
Healthy	41.24657	16.45125	0		41.24657	16.98491	0	16.45125	0	0.14265	0.32705	0	
Healthy	86.758	1.75402	0.09831		86.758	7.64421	0.22191	1.75402	0	0.10243	0	0.09831	
Healthy	12.46553	0	0		12.46553	68.26649	0	0	0.00932	0.11515	3.21156	0	
Healthy	32.27683	1.15039	0.00189		32.27683	29.47053	4.58886	1.15039	0.46621	0.23235	0.11285	0.00189	
Healthy	64.17502	0.19017	0.06104		64.17502	17.59314	1.24577	0.19017	0	0.06868	0	0.06104	
Healthy	76.44017	0.33784	0.10029		76.44017	6.84408	0.81124	0.33784	0	0.14147	0	0.10029	
Healthy	9.7859	1.75061	0		9.7859	24.61586	25.38832	1.75061	0	18.28259	1.04718	0	
Healthy	42.18549	15.52302	0.03635		42.18549	19.25723	6.79437	15.52302	0	2.16373	0	0.03635	
Healthy	42.13047	3.57498	0.0481		42.13047	23.91868	2.14557	3.57498	0.4713	2.45416	0.14447	0.0481	
Healthy	0	0	0		0	66.8256	7.83428	0	17.4263	0	0	0	
Healthy	32.80466	0.40379	0		32.80466	44.58733	0	0.40379	0	0.11797	0.15253	0	
Healthy	68.34488	0.12857	0		68.34488	7.33314	0.38779	0.12857	0	0.24099	0	0	
Healthy	75.43383	5.97118	0.20315		75.43383	5.42433	0.80846	5.97118	0	0.09705	0	0.20315	
Healthy	56.49432	0.71479	0.03612		56.49432	11.51107	0.02957	0.71479	0	0.07184	0	0.03612	
Healthy	33.84867	13.22994	0		33.84867	11.78326	0	13.22994	0.54368	0.2213	0.60936	0	
Healthy	52.57168	1.43022	0.0924		52.57168	24.09324	0.21172	1.43022	1.91855	0.0141	0.01981	0.0924	
Healthy	56.34078	2.29813	0		56.34078	14.05663	5.18172	2.29813	0	0.31709	0	0	
Healthy	20.22819	0.22236	0.06614		20.22819	40.22476	10.0305	0.22236	0	0.62807	0	0.06614	
Healthy	68.44359	1.52386	0		68.44359	3.76215	21.04313	1.52386	0	0.86968	0	0	
Healthy	92.1473	4.12779	0		92.1473	2.12578	0	4.12779	0.53649	0	0	0	
Healthy	34.97998	0.0093	0.28312		34.97998	33.73335	1.84195	0.0093	0.87446	2.38221	0	0.28312	
Healthy	23.00519	2.08862	0		23.00519	37.48533	5.02245	2.08862	3.051	2.88264	3.06931	0	
Healthy	54.76138	1.16431	0		54.76138	21.43478	3.02823	1.16431	1.83608	0	0.54243	0	
Healthy	66.122	3.85255	0.01952		66.122	17.55031	0.50518	3.85255	0	0.19801	0	0.01952	
Healthy	64.06188	3.18134	0.24434		64.06188	27.95041	0	3.18134	0	0.0405	0	0.24434	
Healthy	65.39898	0.2284	0		65.39898	9.97554	0	0.2284	7.69718	0	0	0	
Healthy	64.13532	3.01158	0.33779		64.13532	27.79906	0.06704	3.01158	0	0.07771	0	0.33779	
Healthy	14.14777	0.29008	0.04101		14.14777	47.65975	0.3515	0.29008	1.18295	0.47803	0	0.04101	
Healthy	18.69823	0.07615	0		18.69823	50.32821	2.8568	0.07615	0.00566	18.58702	0	0	
Healthy	76.52103	1.37665	0.04377		76.52103	8.60875	0.32135	1.37665	0	0.06404	0	0.04377	
Healthy	53.00535	0.43492	0.32464		53.00535	16.09551	0.36711	0.43492	5.35516	0	0	0.32464	
Healthy	12.99612	0.20592	0		12.99612	60.43685	1.28228	0.20592	0.02702	2.72725	1.70278	0	
Healthy	24.87301	2.52419	0.09504		24.87301	47.10592	2.28523	2.52419	0	8.36331	0.81474	0.09504	
Healthy	28.73911	0	0		28.73911	37.85585	0.6947	0	0	0.57303	9.23471	0	
Healthy	24.27956	11.58286	0.00212		24.27956	32.19718	0.39939	11.58286	14.9065	3.20524	0	0.00212	
Healthy	75.23177	0.04317	0		75.23177	15.38875	0.99055	0.04317	0.28653	0.12222	0	0	
Healthy	62.65267	8.85477	0.02153		62.65267	23.36519	0.06475	8.85477	0	0.07644	0	0.02153	
Healthy	33.92343	0.529	0		33.92343	51.20299	0.15815	0.529	0	1.26624	0.89622	0	
Healthy	60.8361	3.13255	0		60.8361	13.88628	0.87671	3.13255	5.74457	0.50458	0	0	
Healthy	75.97442	0.6141	0.00721		75.97442	8.39604	0	0.6141	0	0.00291	0	0.00721	
Healthy	22.48595	0.65702	0		22.48595	52.75611	5.93184	0.65702	0	0.80012	0	0	
Healthy	43.89442	2.13381	0.08954		43.89442	22.17331	9.09297	2.13381	4.75004	2.45663	0.00715	0.08954	
Healthy	67.57311	0.08094	0.19444		67.57311	7.23406	0.2826	0.08094	10.3129	0.05079	0	0.19444	
Healthy	54.50736	1.33336	0.17895		54.50736	7.2027	0.71351	1.33336	7.16262	0.35675	0	0.17895	
Healthy	36.60204	1.87309	0.14804		36.60204	51.38719	2.71283	1.87309	0.03189	0.02683	0.05897	0.14804	
Healthy	2.1963	0	0		2.1963	84.8431	3.68311	0	0	3.05681	2.07917	0	
Healthy	40.07286	0.24052	0		40.07286	35.81923	1.00994	0.24052	0	3.87859	0.71531	0	
Healthy	57.19092	0.41712	0		57.19092	20.68332	0.47592	0.41712	0	1.06094	0	0	
Healthy	88.99303	0.54121	0		88.99303	2.63585	0.14868	0.54121	0	0.24293	0	0	
Healthy	0.0487	15.84624	0		0.0487	0.09445	0.25315	15.84624	0	0.32245	0	0	
Healthy	85.92767	1.31886	0		85.92767	1.3669	0	1.31886	0	1.26078	0	0	
Healthy	55.54238	0.07757	0		55.54238	24.28905	2.10537	0.07757	0	0.48695	0	0	
Healthy	26.65492	2.63804	0		26.65492	51.16439	3.40006	2.63804	0	5.52076	0.49771	0	
Healthy	70.48564	5.77806	0		70.48564	11.76986	0.51129	5.77806	0	0.01705	0	0	
Healthy	56.2617	0	0		56.2617	36.05002	0	0	0	0	0	0	
D001943	81.14409	1.57842	0.02445		81.14409	0.8779	0.16688	1.57842	0	0.23668	0	0.02445	
Healthy	58.09122	7.16181	0		58.09122	17.22405	0.7355	7.16181	0	0.01666	0	0	
Healthy	51.67547	1.01497	0		51.67547	21.97814	0.2026	1.01497	0	13.79911	0	0	
Healthy	40.21055	0.07492	0		40.21055	37.46857	1.22644	0.07492	0	0.0209	0	0	
Healthy	20.97575	1.03159	0.14777		20.97575	39.34834	5.29912	1.03159	0	0.03143	0	0.14777	
Healthy	64.56848	2.9757	0.55153		64.56848	27.58574	0.07736	2.9757	0	0.05412	0	0.55153	
Healthy	69.88918	6.33312	0		69.88918	10.26022	0.26883	6.33312	0	0.5783	0	0	
Healthy	0.04408	1.28372	0		0.04408	0.00731	92.88663	1.28372	0	5.73863	0	0	
Healthy	58.29294	0.08661	0.02767		58.29294	25.13019	0.30291	0.08661	0.95693	0.16256	0	0.02767	
Healthy	0.01473	4.27323	0		0.01473	14.02966	76.98887	4.27323	0.00118	1.22604	0	0	
D001943	20.06567	5.94352	0.00035		20.06567	10.46823	9.58643	5.94352	0.00583	0.52431	0	0.00035	
Healthy	64.8518	0.01982	0.03927		64.8518	9.7834	0.21615	0.01982	0.83121	0	0	0.03927	
