c	Clostridia	Actinomycetia	Bacilli	Coriobacteriia	Bacteroidia	Gammaproteobacteria	Verrucomicrobiae
Healthy	0.835315711892788	-0.207181230830761	-0.849304948857286	-0.719763190390311	1.88332170105324	-0.471276076739006	-5
Healthy	1.39121518967295	1.35339280128144	1.2620379575553	0.451102996833693	0.990601217280949	0.243191885767495	-5
Healthy	1.28459404298254	0.704108458618344	0.335205073740825	0.239269440429388	1.62516320091162	1.19097649680895	-5
D003093	0.51419432959047	-0.0150858193751674	-5	-5	1.94453029387721	-5	-5
Healthy	0.865290568604777	-0.411392195257313	-0.617982957425132	-5	1.83470604885608	-0.890826578574528	-5
Healthy	0.73434690347996	-0.30756731148585	-1.01295971302073	-0.500381640299993	1.87756621627172	0.776060890414528	-5
Healthy	1.07126582915093	-5	-0.654998961821958	-5	1.52954173713065	1.12155820285983	-0.264648654831209
Healthy	1.38189538704128	-5	-1.85047298624565	-0.674217602484195	1.72075193832482	0.155405883408257	0.282975385635692
Healthy	1.14788152240164	0.714166239729455	-0.498803757972911	-2.43297363384094	1.75082293228829	0.361376481869873	-5
Healthy	1.60449356953884	0.992401068294658	-0.201985035648513	-0.690433704106227	1.30595723893257	-0.652923803930265	-5
Healthy	1.52805960109978	-0.135524518308971	0.376981866455769	0.045334716316743	1.54381968098756	-2.03105031901866	-0.0582550850508751
Healthy	1.33111923301633	0.412347969086344	-5	-0.35269528819389	1.73847446323237	0.0660723575773765	0.263893965288644
D003093	1.37169538003921	-0.272068541254356	-0.367836386108758	-1.6996219351293	1.70843985229837	-0.843329723445873	-2.48945498979339
Healthy	1.24428503948943	-0.29654525468797	-0.703290943824397	-5	1.82034604693572	0.585749411171379	-5
Healthy	0.998936849760302	-5	-5	-5	1.81557104127818	-0.641284886197868	0.886332206961341
Healthy	0.934940600473388	-2.17392519729917	-1.19348086591929	-0.502144659868822	1.88378086390612	0.138826693810669	-5
Healthy	1.20670501205503	-0.868060704789575	-5	-0.63520519282589	1.72431978848234	-0.361580635137367	0.728773262075445
Healthy	0.924075016220443	-5	-2.53461714855158	-5	1.88066745045934	-0.21175383062718	-5
Healthy	1.34583072467652	0.907689155879493	0.390341518926754	0.00338297259828993	1.64240941377882	0.329157781394064	0.676698181121668
Healthy	0.857495929293535	-1.65600093094284	-0.447623844747437	-0.160239219038679	1.73645522766992	0.124950679542338	0.855072517386656
Healthy	1.71085495437172	0.362126071357915	-1.57121748850305	-0.386433001228715	1.56350540995057	0.272560963861557	-1.49620931694282
Healthy	1.92861657958856	-5	0.485269866168583	0.566215868865457	0.341693638960031	-5	-5
D003093	1.78882172605021	1.01595336043576	0.574427163794036	0.630214235036177	0.812076031988996	-0.1233203895808	-0.2417999045514
Healthy	0.420922339593397	-5	-0.614500972847943	-0.827718238544999	1.94935604251243	-0.266626163055293	-5
Healthy	1.3854107076947	0.272340642245293	-0.312506711255048	-0.632196967250993	1.74462456359356	-1.11025022473596	-5
Healthy	1.07077166602148	-5	-1.7680209731685	-0.291324207273463	1.84810070904581	0.761782798918629	-5
Healthy	1.23613552968257	-5	-1.77806440017199	-0.133411418224968	1.76411057214773	0.855023401569893	-5
Healthy	1.57366723433078	0.0755615592810349	-1.67964596718233	-1.4386600585411	1.6043401214296	-1.1253442674019	-5
Healthy	1.44068479603106	-5	-1.26656197290894	-1.1114274031424	1.81002063010515	0.473590604448907	-5
Healthy	1.01115709631296	-0.632401836320167	-0.237839297913818	-1.44708854978349	1.84441000712758	0.801618402870708	-5
Healthy	1.03464409575721	0.434388442735579	-5	-0.833066905128846	1.62280463482383	-0.978852064279005	1.23550344900574
Healthy	0.720720628024159	0.736743798962006	-0.869827111107464	0.169395196975156	0.286391343147528	1.89967569522853	0.547602429785681
Healthy	1.45599459811076	-0.12731939284807	-0.526542227184554	-1.98171569157347	1.8012357228892	0.310674198718182	-5
Healthy	1.48797178851542	-1.88706002391592	-5	-5	1.70747606876486	0.954119441900728	-5
Healthy	1.74857987849733	0.410247323940247	1.08418899343258	0.58910475277915	1.27434700337415	-5	-5
Healthy	1.63908099170895	0.698566791937309	0.0754119076576232	-0.662820374590166	0.870742663294291	-1.15645578805436	-5
Healthy	1.33484102540248	-5	-5	-0.973099191109745	1.83312510965263	-5	-1.16966800654804
Healthy	1.3597381818911	-5	-2.70774392864352	-5	1.64097954636543	0.94718709417019	0.483737027872602
Healthy	1.61706736835744	-0.504997133561376	-0.153743320221921	-1.10690433390377	1.24469661240851	0.276783384700269	0.262472447950243
Healthy	0.642475402199867	-0.485691374343224	-0.465237994969973	-0.0108217012429983	1.82668575568211	0.00609363020820083	-2.3585258894959
Healthy	0.903364048891955	0.080749110907479	-0.0678104461845136	0.0936807835974929	1.49530395216766	-0.951519352526498	-0.286727919126105
Healthy	1.56021985014056	0.723572234494289	-0.0862603017850711	-1.07644514193245	1.30897098745708	-5	1.40411516877084
Healthy	1.19586009384911	0.138754129723719	-1.63413778459744	-0.41999931041096	1.8275738990396	-1.74836177955179	-0.268604655755548
Healthy	1.26322169366765	0.508095881195523	0.102519458368337	-0.645833914968581	1.62909671283614	0.246786537772904	0.71558638787792
Healthy	-3.02227639471115	-1.64282774227697	-0.640297291725886	-5	-1.28692967414436	1.9366017988212	-5
Healthy	1.40732273783472	-5	-0.793470948317269	-0.749604396942884	1.78802829919445	0.724212769403576	-5
Healthy	-0.560398916165654	1.95902530881005	0.559402646841045	-2.65757731917779	-1.71399287792053	0.65769916511523	-2.07468790850035
Healthy	0.4591194599369	-0.926831737734898	-5	-5	1.96814495463693	-0.162676764352586	0.221849618204452
Healthy	0.525187387787583	-5	-5	-0.935317433771488	1.63732748922239	-0.945885099489414	-5
Healthy	0.723788859050945	-0.361390954192885	-0.601625913848644	-0.243356285962926	1.75295206948262	-0.534498180058329	-5
Healthy	1.379915458851	0.122301089961987	-0.97802554488994	-0.829591588274682	1.71731485160876	-0.222551427179631	0.0238900543559375
Healthy	1.45827727272622	-1.77211329538633	-2.35457773065091	-1.86138156610051	1.78570949869202	-0.930516906065389	-1.96899571863646
Healthy	1.01247361443207	0.637994778390935	-2.2572748686953	-2.64397414280688	1.84856983556758	-0.41002807048314	-0.830707725120064
Healthy	0.488405457367657	-1.20802879897923	-1.26560025747943	-0.873414072045662	1.92204983052155	0.185063118628386	-0.0782823188484275
Healthy	1.6775069439896	-1.66534523311676	-1.14721513131945	-0.531327808853853	1.57222816092954	0.449094075274832	-3.14266750356873
Healthy	1.66913940664896	-5	1.051093840473	-5	1.31736058768831	-1.31202537996544	-5
D003093	1.72620941374698	0.484672745283087	-1.06318476880237	-1.41555569283482	1.52096158300709	-0.548244257749824	-5
Healthy	1.50651274410758	-0.471443219398817	0.582984408651994	-0.569199575375819	1.69391056216295	-0.265152184721705	-5
Healthy	1.82704989750399	0.100821838946951	0.0569048513364726	-0.758602958350354	0.862428959956688	-1.33320131633383	-5
Healthy	1.87591343904048	1.32709541653146	-5	-5	0.558182780051332	-5	-5
Healthy	0.887815275486838	-0.833658708016502	-1.13153190097901	-0.613073193204431	1.81917871144198	-0.939906816175532	1.02199551080134
Healthy	0.994225179864961	-5	-0.522227791650743	-0.199152378124986	1.88965420652834	-5	-5
Healthy	1.3453164744199	1.55509928748709	0.271353622102484	-0.363903445843243	1.35740003085252	0.592966876255435	-5
Healthy	1.71787046537739	-1.35961795529043	0.376482058819104	0.39167242839155	1.01821768096015	-0.379947270905605	0.81419430479598
D003093	1.33630820468727	-0.628525754363072	0.591834518490138	-0.394317938721017	1.77908715917491	0.304473293523524	-2.42481215507234
Healthy	1.5841822493836	-0.601140261595739	-0.0564411855707237	-0.729344451047015	1.64695609540824	0.459898869322942	-2.15490195998574
Healthy	1.60943496080477	-5	-5	-0.475292388205987	1.70267966728539	-0.529648320654182	-5
Healthy	1.42360430573151	-5	0.416265954074958	-5	1.76331049352414	-0.0902675076251021	-5
Healthy	1.61380631605831	-0.572156994294466	1.146950244924	0.575643845661616	1.27892180034509	-0.169789980446389	-5
Healthy	1.54674409485113	-5	0.215629633457334	-1.40837896178668	-5	0.624558470873253	-5
Healthy	1.49694057445299	-0.644491011975566	-0.536584848478778	-0.871213141357402	1.34369035064213	0.414679264466649	-5
Healthy	0.822281216656299	0.0824586292715335	-0.26085504067402	-0.146478218173163	1.65574909221612	-0.444603223193737	-0.878112014896319
Healthy	0.962872011646389	0.211318145691329	1.32789385998954	0.356274500903909	1.25929923269997	0.433228828459711	-5
Healthy	1.26968452668662	-0.358664727273591	-0.747316838067802	-0.92786043676026	1.80432102081899	-1.09946901754724	-5
Healthy	1.1086857570507	1.54657535771273	-1.61834351741421	0.0330657171185611	1.49356427633227	-0.98175733254209	-1.48043449911949
Healthy	1.54941111098063	0.743686895664305	0.70645576145229	0.636777663647943	1.33045943275192	-0.496658819638013	-5
Healthy	0.806771975129058	-1.98674133471648	-0.867996607013368	0.130005510862396	1.12349589629023	1.02127904398954	1.64334813711979
Healthy	0.89347657602406	-0.873414072045662	-1.16304326294045	-0.547186591322146	1.81791352489197	-1.01963297381522	1.01745114670004
Healthy	1.42169044813617	0.386456158235409	-0.0665886443976464	-0.0788599869822159	1.66387781019517	0.410654095544502	-0.996582554797806
Healthy	0.516286756742558	-0.557786847277181	-1.64820369310298	-2.63078414258986	1.84899289555575	-0.748994826506365	-5
Healthy	1.04352810361786	0.72775265980976	-0.758055266755733	-0.149390519078651	1.6475331865481	-0.55695617135166	0.850736882398385
Healthy	1.62673639063625	-0.700035331375845	0.716771865592201	-1.22577509513108	1.56000304445673	-1.64936439174105	-5
Healthy	1.74560717886567	0.773395111234869	-5	0.233549419743861	1.25952794138506	-5	-5
Healthy	1.61067634238685	-5	0.292838433016156	-5	1.62839833114676	-5	-5
Healthy	1.21357804935372	-0.0318206967250459	-1.33236029394359	-0.62845190731615	1.80403694856363	-0.759026648159996	-5
Healthy	0.33969584950589	-5	-1.88840147511961	-5	1.96760834270013	0.631860613368897	-0.259479413946335
Healthy	1.51071574552102	-0.209510758477563	-0.293982431100993	-0.890455199121653	1.69670438392489	0.408553697586891	-0.410754324947494
Healthy	1.64177295694328	-1.94195376960472	-0.984305011473482	-5	1.71218039327238	0.411840163863845	-5
Healthy	0.539787206963553	-5	-5	-5	1.85173953724011	0.387935910763123	-5
Healthy	1.66372004899893	1.0392010841612	-5	-5	1.42350882927382	-5	-5
Healthy	1.84136516505698	-0.27049503818861	0.190037398989312	-0.777309535288659	1.15158158231486	-0.138346129786089	-1.02807505081581
Healthy	0.942225394038726	-0.302273857453656	-5	-0.596862313373619	1.76379227371666	-0.267831488311101	0.940097926231087
Healthy	1.77264422665499	-0.390426932551334	-0.460296761052174	0.187811093428112	1.34524587426771	0.236373488494027	-5
Healthy	0.853369020778802	1.41013957536425	-0.34356637993405	0.119206384805907	-0.446736102130203	-5	-5
Healthy	1.16590402368497	-5	-0.268346780304104	-5	1.90515172992153	-5	-5
Healthy	1.67775710506271	-0.71092412110178	-0.720538390742327	0.567358139248078	1.30818415943938	-3.24412514432751	1.27927923620624
Healthy	-0.601487100636577	0.856310098713071	-1.69550947222651	-2.58335949266172	1.46048845128655	1.74098454857805	-3.39794000867204
Healthy	1.29462822967002	1.02448197330695	0.0735093989447644	-0.105949913325857	1.58838141538367	-0.241648360659185	1.07807637190583
Healthy	1.72806664688125	-0.229648819820771	0.374258801735391	-0.375810756140244	1.47030565369035	-0.00818049869410116	0.449879338623202
Healthy	1.18056740329026	-5	-0.13499083395651	-2.36251027048749	1.52154105801303	1.54484981487026	-5
Healthy	1.48141123776671	-0.876344325561878	0.275695943772669	-5	1.62193708491111	0.867749658122785	-0.308193814529736
Healthy	1.03803448288161	-0.125332675551212	-0.652162790782278	-0.191964671555741	1.8422493624299	0.476666455108599	-5
Healthy	1.7636263758975	-5	-0.465035207605334	-5	1.45822828621146	-0.906333217772097	-5
Healthy	0.383240712265224	-0.733980091146502	-5	-5	1.81760403789488	0.0628902051108873	-5
Healthy	1.89740598462153	-3.09151498112135	-1.25266589038409	-0.32176395860447	0.889549319851817	-1.28449805470672	-5
Healthy	1.31392160918484	0.445336383611427	0.192826614678094	0.0459758857632826	1.40084905039548	1.52283713787594	-3.48148606012211
Healthy	0.745483117577596	0.0832624731640772	-2.75696195131371	-0.788318923700861	1.8803962977303	-0.128129464579834	0.584892955610718
Healthy	1.75178633158743	0.309698286707962	-0.30019694972716	-0.226945306635737	1.44655083564052	0.0640234774529008	-0.100491382651709
D003093	1.47767086837493	0.787418672548415	0.827679372661362	0.343572038971426	1.45902967019748	-0.589054141312225	-5
Healthy	0.892972326282529	-0.921361961630327	-1.2185318571582	-0.652026339721962	1.82018917291727	-0.926831737734898	1.01623542582996
Healthy	1.66820619715723	0.0150410440855053	0.919402906871174	0.0167743557683439	1.40671301227427	0.363041946961852	-5
Healthy	1.77721404573176	-5	-5	0.254809010414806	1.25929732031192	-5	-5
D003093	1.11664492969131	1.26925953185101	0.767479424829294	0.385465060255515	1.32843016623773	-0.0739200618247823	1.06323612916563
Healthy	0.938137297650076	-0.918760739088303	-1.13170831198214	-1.44745345204434	1.89530517121279	-0.785076715105102	-5
D003093	1.21880534562994	-5	-5	-5	1.85429122086937	0.178617283105406	-5
Healthy	1.36596264140317	-5	-1.16583371605738	-0.91388942619868	1.81245075376518	0.0307534989344725	-5
Healthy	1.09462169057043	0.845592234018708	0.0255802854362789	-0.184820869860581	1.59146586560344	1.17143946128151	-0.458782819002195
Healthy	0.405878868331657	-5	-0.63537397104496	-0.880117542015017	1.94824376338362	-0.295652121429059	-5
Healthy	1.0933519823094	-5	-1.07618627890881	-5	1.902603793708	0.474740598479892	-5
Healthy	1.13265153073686	-0.244010871341215	-1.5054280157698	-0.739427791876507	1.80714744013724	0.184029550144605	-5
Healthy	1.07610425239176	-1.92811799269387	-0.274586622650022	-1.22687207596667	1.58393825894487	0.734362115377894	0.163373101574077
Healthy	0.732929862907847	0.0282580248289713	-5	-0.947652400775336	1.90763543760992	-0.151023091657112	0.553035447175104
Healthy	1.29993941694529	0.196863987186564	0.256277457032671	-0.528869712156724	1.40001116347393	-0.049839682214073	-0.15568439445564
D003093	1.0175925508511	-1.48399376961395	-5	-5	1.92859205986864	-2.24184537803261	-5
Healthy	1.40153649503355	-5	0.953170410062659	-1.42181939037222	1.7468348775601	-1.07899019850297	-1.90763030037088
Healthy	1.49570595381986	1.46381224150908	-5	0.00158228893511219	1.43602485997618	0.514394992263783	0.101217626747548
Healthy	1.16768706622592	-5	-0.363742852536496	-5	1.89328788413065	-5	-5
Healthy	1.39345533900023	0.0485156040340487	-0.295772243975001	-0.37333121254548	1.81086762923236	0.308030554266106	-5
Healthy	1.09161948151491	-5	-0.997488368715092	-5	1.90097133349062	0.448853120627996	-5
Healthy	1.52914432399509	-1.24519314464558	-0.119701008574247	-5	1.67173058524069	-0.451107165863582	-0.167740239407366
Healthy	1.42053414725031	-0.295429124810496	-0.682103733507044	-0.555018887912055	1.52251334995078	0.180561672034769	-5
