p	Bacteroidota	Proteobacteria	Firmicutes_A	Verrucomicrobiota	Methanobacteriota	Desulfobacterota
Healthy	1.12037516310008	0.99950331749903	0.834881459911079	1.63962801034967	-5	-0.154722075245364
Healthy	1.85877539268605	-1.28075160155205	1.14248551342664	-5	-5	-5
Healthy	1.76248500077786	-5	0.905775918547835	-5	-5	-5
Healthy	0.753566207633706	-5	0.506005509528048	-5	-5	-5
Healthy	1.67342301960269	0.916401830084926	1.42200957240051	-2.79860287567955	-5	-5
Healthy	1.84256505913163	-0.796070062755374	0.869094954125148	-5	-5	-5
Healthy	1.49356483387704	0.445532593261974	1.19020951815055	0.815250243860085	-5	-1.35076252765039
Healthy	1.71315322488589	-1.03207779326948	1.46509466393064	-5	-5	-3.2839966563652
Healthy	1.76828215948572	-1.96617430604669	1.45921979121162	-5	-5	-0.744076541267099
Healthy	1.40912732608835	0.254888708775947	1.52809127080218	-5	-5	-5
Healthy	1.751024304759	0.253345275820191	1.34464707672557	-0.0835460514500749	-0.593527949534324	-1.83564714421556
Healthy	1.3636531513135	-5	1.4756432996228	-5	-5	-5
Healthy	1.83153801034881	-0.85873840937791	1.01454111895657	-0.218474395596606	-5	-1.14697138528701
Healthy	-0.56125202309777	1.05839185658905	1.81661503022113	-0.00261361560268669	-5	-5
Healthy	1.93835333049894	0.203449022518777	0.865013906964962	-5	-5	-1.01269132626882
Healthy	1.80841638682843	0.444673910810744	0.621185632512497	-5	-5	-5
Healthy	1.13997348798446	-0.726050107449991	1.77431582986575	-1.58037463911226	0.218461978766149	-5
Healthy	1.54122030352031	0.0757512871934784	0.965797447276839	0.270571704722232	0.90543588720795	-0.210553262965207
D014376	1.86704736850971	0.453055236948311	1.25760394658802	-5	-5	-1.72330847115496
Healthy	1.65610510465173	-0.72268882082597	1.53574792951024	-5	-5	-5
D014376	0.705264006226511	0.497606840516214	0.335496012620553	-5	-5	-5
Healthy	1.43020829188859	1.22703810241191	1.42429183666506	0.74214280216862	-5	-5
Healthy	1.54534163593735	-1.12871902714203	1.67799618346722	-5	-5	-5
Healthy	1.68276546649112	-0.738404101517821	1.24294423094552	0.766518433276982	-5	-0.620730750526353
Healthy	1.31879954964682	1.37284206856713	1.39068469769986	0.218672021321886	-0.0989123766000521	-1.34208406317004
Healthy	1.10018575831703	0.360097118092937	1.74657558857697	-5	-5	-5
Healthy	1.46493613135373	0.815012931185225	0.980759885403075	1.30050874675137	-0.265824467335679	-0.142926951366022
Healthy	1.53452703352098	-0.922268820347608	1.51828844302872	-1.06108018775523	-5	-5
Healthy	1.82816042852175	-0.370671966205419	1.2530225910835	-0.392009141452825	-5	-5
Healthy	1.66400962634643	-0.940058111938045	1.49457893733627	-1.06429125215734	-5	-0.606021397348228
Healthy	1.32580085766442	-5	1.23249066332249	1.68812791006636	-5	-5
Healthy	1.5976974889962	-0.366460851072662	1.45331895172898	-1.60101893334187	-0.194444773478747	-1.10941133229451
Healthy	1.23406807784543	-0.581831337932134	1.6692777272002	-5	-5	-5
Healthy	1.54045311221858	-0.713813083058962	1.41584323663477	0.21827810816134	-0.743787541434838	-1.12644690648638
Healthy	1.75494401147996	-2.69680394257951	1.14208867249843	-5	-1.09044397075882	-0.986109939671561
Healthy	1.73383868006618	0.63423738469509	1.34703771974518	-5	-5	-1.09642170633695
