group	Bacteroidaceae	Rikenellaceae	Enterobacteriaceae	Burkholderiaceae	Marinifilaceae	Acidaminococcaceae	Selenomonadaceae	Desulfovibrionaceae	Pasteurellaceae	Lactobacillaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Acidaminococcaceae	Erysipelotrichaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae
Healthy	34.30152	2.55539	0.10061	0.14328	0.84408	0	0	0	0.05059	0	19.16726	0.10061	0.14328	0	1.04933	0	0.06243	0.04899	0.05059	0
Healthy	28.09092	1.77545	0.00903	0.02565	0.45607	0	0	0.0012	0	0	9.33161	0.00903	0.02565	0	0.01657	0	0.79186	0.02073	0	0
Healthy	39.23273	6.22792	0.0092	0	3.30544	0.00079	0	0.05871	0.00195	0	13.53386	0.0092	0	0.52921	0.08838	0.00079	0.00364	0	0.00195	0
Healthy	55.7372	8.66821	0.07286	0.29286	1.03995	0	0	0.07883	0.023	0	2.91449	0.07286	0.29286	0	0	0	0.163	0.23551	0.023	0
Healthy	9.03133	0	16.2661	10.9103	0	0.01689	0	0.13184	0.19266	0	0.18846	16.2661	10.9103	0	1.2222	0.01689	0	3.20071	0.19266	0
Healthy	26.41612	8.31905	0	0	2.06509	0	0	0.08855	0	0	13.06821	0	0	2.8803	0.18972	0	0.79534	0	0	0
Healthy	85.81859	0	0.37736	0.0857	0	0	0	0.00251	0	0	1.11149	0.37736	0.0857	0	0.23259	0	0.01149	0.03427	0	0
Healthy	36.05486	11.63986	0	1.28454	1.39468	0	0	0.037	0	0	8.53065	0	1.28454	0	0.14253	0	0.00061	0	0	0
Healthy	18.8565	8.94078	6.37382	0.03316	0	1.00509	0	0.65549	0	0	4.60479	6.37382	0.03316	0.54614	0.21411	1.00509	0.05876	0	0	0
Healthy	24.95525	16.12624	0	0.1002	0	0	0	0.05737	0	0	3.30342	0	0.1002	0	0	0	0	0	0	0
Healthy	31.29799	0.23838	0	0	1.03345	0.01163	0	0.02658	0	0	24.13931	0	0	15.6428	0	0.01163	0	0	0	0
Healthy	31.97894	3.02671	16.4109	0.04035	0	0	0	0	0	0	12.86415	16.4109	0.04035	0.32705	0	0	0.14265	0	0	0
Healthy	73.8556	1.50364	1.67377	0.08025	0	0	0	0.09831	0	0	4.04901	1.67377	0.08025	0	0.06243	0	0.04	0	0	0
Healthy	11.09524	0	0	0	0	0	0	0	0	0	58.92111	0	0	3.21156	0.11515	0	0	0.875	0	0
Healthy	55.62337	8.44097	0.02833	0.29889	0.99432	0	0	0.10029	0.01062	0	2.98722	0.02833	0.29889	0	0	0	0.14147	0.22337	0.01062	0
Healthy	7.9325	1.61128	1.75061	0	0	0	0	0	0	0	15.91284	1.75061	0	1.04718	15.69812	0	0	0	0	0
Healthy	35.33617	5.75588	6.48387	8.98905	0.59341	2.16701	0	0.03635	0.03449	0.13116	15.08024	6.48387	8.98905	0	0.33687	2.16701	1.6957	0.00473	0.03449	0.13116
Healthy	55.27272	11.63891	0	0.12857	0	0	0	0	0	0	2.94694	0	0.12857	0	0	0	0.24099	0	0	0
Healthy	48.31908	22.20962	0	5.95389	0.77418	0	0	0.20315	0.01729	0	3.31311	0	5.95389	0	0	0	0.09705	0	0.01729	0
Healthy	21.6074	5.79551	12.8542	0.37574	2.25825	0	0	0	0	0	4.67955	12.8542	0.37574	0.60936	0	0	0.2213	0	0	0
Healthy	23.01477	20.6628	0.00825	1.42197	2.31492	0	0	0.0924	0	0	4.47133	0.00825	1.42197	0.01981	0.0109	0	0.0032	0	0	0
Healthy	50.28392	6.05686	0.00409	0.0035	0	0	0	0	2.29054	0	4.96469	0.00409	0.0035	0	0.25644	0	0.03527	0.01956	2.29054	0
Healthy	12.62376	5.4983	0.02165	0.00678	0	0	0	0.06614	0.19393	0	26.02253	0.02165	0.00678	0	0.54071	0	0.02503	0.01217	0.19393	0
Healthy	21.2982	4.42938	0	0.0093	0.58748	2.25084	0	0.28312	0	0.003	15.93214	0	0.0093	0	2.28461	2.25084	0.08713	0	0	0.003
Healthy	23.61452	17.14519	0	1.16431	1.88591	0	0	0	0	0	13.86684	0	1.16431	0.54243	0	0	0	0	0	0
Healthy	53.80599	6.97937	0	1.07698	0	0	0	0.01952	2.77557	0	13.69074	0	1.07698	0	0.19801	0	0	0.29998	2.77557	0
Healthy	52.2867	11.84445	0	0.10417	0	0	0	0	0.12423	0	5.4809	0	0.10417	0	0	0	0	0	0.12423	0
Healthy	75.92255	0.51449	1.37665	0	0	0	0	0.04377	0	0	5.82858	1.37665	0	0	0.06404	0	0	0	0	0
Healthy	12.59197	23.13099	0.04487	0.39005	0.03503	0	0	0.32464	0	0	7.62617	0.04487	0.39005	0	0	0	0	0	0	0
Healthy	36.92951	28.97505	0.36631	0.013	2.06682	0	0	0.00721	0.23479	0	2.05337	0.36631	0.013	0	0.00291	0	0	0.20284	0.23479	0
Healthy	29.16371	8.8283	2.12948	0.00433	1.36225	0	0	0.08954	0	0.90454	17.42598	2.12948	0.00433	0.00715	1.47116	0	0.08093	0.00824	0	0.90454
Healthy	50.26182	2.49326	1.06216	0.2712	0	0	0	0.17895	0	0	0.82468	1.06216	0.2712	0	0	0	0.35675	0	0	0
Healthy	25.14316	7.99269	0	1.85847	1.54784	0.19254	0.35345	0.14804	0.01462	0	13.15289	0	1.85847	0.05897	0.02683	0.19254	0	0.00209	0.01462	0
Healthy	2.1963	0	0	0	0	0.2624	0	0	0	0	29.97117	0	0	2.07917	0	0.2624	1.933	0	0	0
Healthy	85.81464	0	0.42965	0.11156	0	0	0	0	0	0	1.15799	0.42965	0.11156	0	0.21585	0	0.02708	0.02362	0	0
Healthy	51.51814	3.7531	0	0.03569	0	0	0	0	0.04188	0	16.08956	0	0.03569	0	0.04828	0	0.43867	0	0.04188	0
Healthy	62.86016	0.63812	0	5.7003	0.9632	0	0	0	0.07776	0	2.66517	0	5.7003	0	0	0	0.01705	0	0.07776	0
Healthy	49.18147	0.89891	0	7.09637	1.07873	0	0	0	0.06544	0	3.20391	0	7.09637	0	0.00451	0	0.01215	0	0.06544	0
Healthy	37.50399	0.87139	0.04705	0	0.587	0	0	0	0.02787	0.0073	22.52399	0.04705	0	0	0	0	0.0136	0.028	0.02787	0.0073
Healthy	31.8271	24.43499	0	2.9757	0.79485	0	0	0.55153	0	0	23.50672	0	2.9757	0	0	0	0.05412	0	0	0
Healthy	56.57897	2.45781	0	6.33312	1.04245	0	0	0	0	0	5.27636	0	6.33312	0	0.5783	0	0	0	0	0
Healthy	13.35822	17.06665	0.04178	0.0632	0	0	0	1.61864	0	0	0.74218	0.04178	0.0632	0	0	0	0	0	0	0
Healthy	1.71228	0.1997	78.76377	0.02799	0	0	0	0	0	0	4.66382	78.76377	0.02799	0	0.10271	0	0.00569	0	0	0
Healthy	63.27551	0	1.82617	0.17411	0	0	0	0	0.04462	0.02608	20.07617	1.82617	0.17411	0	0.01597	0	0.00545	0.008	0.04462	0.02608
Healthy	50.98894	0	2.4214	5.90439	0	0	0	0	0.67165	0	20.8232	2.4214	5.90439	0	0	0	0	2.80187	0.67165	0
Healthy	17.48899	0.23084	0	0	0	1.40591	0	0	0	0	18.86342	0	0	0	0.78156	1.40591	11.3576	0	0	0
Healthy	6.53995	0.61624	0	0	0	0	0	0	0	0	8.09311	0	0	0	0.60443	0	0.5723	0	0	0
Healthy	67.63594	0.03482	0	0	0	0	0	0	0	0	18.30054	0	0	0	0	0	0	0	0	0
Healthy	25.70038	15.23831	0	8.78787	1.80602	1.52523	0	0.04203	0.06709	0	9.47397	0	8.78787	0.57278	0.00195	1.52523	0	0	0.06709	0
Healthy	12.94768	2.87028	0.71302	0.08859	0.70656	6.00307	1.66926	0.03232	0.12678	0	11.74589	0.71302	0.08859	0.1514	0.03976	6.00307	0.11145	0	0.12678	0
Healthy	37.01449	20.00155	1.00992	0.0042	0.79541	0.02808	0	0.40307	0	0	0.2867	1.00992	0.0042	0	0.04975	0.02808	0.29282	0	0	0
Healthy	10.67673	14.67782	0.1118	0	0	0.02259	0	0.80581	0	0	1.01616	0.1118	0	0	0.29215	0.02259	0.56328	0	0	0
Healthy	18.87722	0.42444	0	0	0	0	0	0	0	0	25.34291	0	0	0	0.22287	0	0.57913	0	0	0
Healthy	46.32682	13.99989	0	0.01784	1.94002	0	0	0.09289	0	0	9.43879	0	0.01784	0.0264	0.02321	0	0	0.01308	0	0
