group	Agathobacter_rectalis	Butyrivibrio_A_crossotus	Phocaeicola_dorei	Barnesiella_intestinihominis	Methanobrevibacter_A_smithii_A	Roseburia_sp900552665	Anaerobutyricum_hallii_A	Anaerostipes_hadrus	Coprobacter_fastidiosus	Paraprevotella_clara	Barnesiella_intestinihominis	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Parabacteroides_johnsonii	Dorea_formicigenerans	Paraprevotella_clara	Anaerostipes_hadrus_A	Coprobacter_fastidiosus	Paraprevotella_xylaniphila	Enterocloster_sp000155435
Healthy	3.4047	0	0.41421	3.70146	0.52921	0.61323	1.67721	0.06822	0.01227	0.75652	3.70146	1.67721	0.25213	0	0.46545	0.75652	0.02622	0.01227	0.01796	0.02139
Healthy	1.43889	0	2.79526	6.38478	0	0.53969	0.06374	0	0	0	6.38478	0.06374	0.03551	0	0	0	0	0	0	0
Healthy	0	0	2.21232	0	0	0	0	0	0	0	0	0	0	0.134	0	0	0	0	0	0
Healthy	2.38036	0	0	3.61045	2.8803	1.25509	0.56451	0.03743	0.16812	0	3.61045	0.56451	0.20371	2.95126	0.06101	0	0.03231	0.16812	0	0
Healthy	0	0	0	0	0	0.38595	0.01863	0	0	0	0	0.01863	0	0	0	0	0.01274	0	0	0.00232
Healthy	0.51508	0.50521	2.75412	0	0	0.17984	0.02058	0.00764	0	0	0	0.02058	0.12538	0	0	0	0.02413	0	0	0
Healthy	0	0	0.37744	0.67267	0.54614	0	0	0	0.05326	0.3974	0.67267	0	0	0	0	0.3974	0	0.05326	0.04736	0
Healthy	0.03579	0	0	3.37828	0	0	0	0	0	0	3.37828	0	0	0	0	0	0	0	0	0
Healthy	1.95917	0	1.39022	4.44353	15.6428	1.7934	0.92226	0.11062	0.22964	0.05947	4.44353	0.92226	0.64062	0.52741	0.45839	0.05947	0	0.22964	0.00753	0
Healthy	0.91554	0	0.28325	4.1818	0.32705	0.31095	0.31703	0	0.15438	0	4.1818	0.31703	0.06819	0	0.06578	0	0	0.15438	0	0
Healthy	0	0	2.14349	2.56053	0	0	0	0	0	0	2.56053	0	0	0	0	0	0	0	0	0
