group	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Blautia_A_wexlerae	Dorea_formicigenerans	Anaerostipes_hadrus_A	Anaerostipes_hadrus	Blautia_A_hydrogenotrophica	Streptococcus_sp004166885	Gordonibacter_pamelaeae	Longicatena_innocuum	Alistipes_putredinis	Akkermansia_muciniphila_D	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0.47205	0.71649	0.32854	0.13036	0.15978	0.19718	0	0	0.01691	0	3.97215	1.65301	0	2.69889	0.77316	2.3292	0	1.48318	0.19327	0
Healthy	0.01676	0.16007	0.12906	0.0769	0	0	0	0	0.05095	0.0123	10.9388	0	0	4.11204	2.9041	2.72089	0	0	0.002	0.06212
Healthy	0.64033	0.02364	0.17307	0.2587	0.59766	0.05388	0	0	0	0	2.15595	0	0	0	0.0078	0.56692	4.30761	0	0	0
Healthy	0	0	0	0	0.00038	0.00617	0	0	0	0	0	0	0	4.59745	0	0	0	0	0	0.04847
Healthy	0.00256	0	0.08949	0	0	0	0	0	0	0	8.90703	0	0.386	0.41235	1.73905	2.7457	1.44167	2.31782	0.01697	0.0386
Healthy	0.34	0.39719	0.48211	0.27323	0.16433	0.11838	0	0	0	0	4.93927	0.62975	0	0	0.50096	0.47009	2.12136	0.98932	0	0
Healthy	0.51939	0.17504	0.3583	0.61097	0.04257	0.14793	0	0	0	0	2.16754	0.03917	0	0.31304	3.9656	0.2092	0	0.84408	0.08967	0
D003093	0	0.38795	0.41267	0	0	0.01837	0	0	0	0	0	0	0.09283	0	0	0	0	0	0	0.07834
Healthy	0.43019	0.24163	0.38507	0.20709	0.00474	0.09169	0	0	0	0.00016	1.67026	1.1655	10.2571	4.54784	0.26842	0.03848	0	0.45607	0.02565	0.00503
Healthy	1.67721	1.03824	0.25213	0.46545	0.02622	0.06822	0.0043	0	0.01241	0.00193	3.36889	0.07252	0	2.25976	0.67935	1.2034	0	3.30425	0	0.00098
