group	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Blautia_A_wexlerae	Dorea_formicigenerans	Anaerostipes_hadrus_A	Anaerostipes_hadrus	Blautia_A_hydrogenotrophica	Streptococcus_sp004166885	Gordonibacter_pamelaeae	Longicatena_innocuum	Alistipes_putredinis	Akkermansia_muciniphila_D	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0.41985	0	0.09524	0	0	0	0.00436	0	0.01086	0.00097	3.86352	0.0516	0	0.52393	3.806	0.23457	0	0.09448	0.04227	0.0914
Healthy	0	0.94805	0.11302	0	0	0	0	0	0	0	0.32819	0	0	0	1.16473	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	13.6177	8.74254	0	0.0881	0.12702	0.91825	0	1.06637	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.5278	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.13903	0	0.00319	0.01729	0	0	0	0.05662	2.4922	7.77259	0	3.6994	4.07732	1.40473	0	0.76064	0.16422	0
Healthy	0	0	0	0.06589	0	0	0	0	0	0	17.9312	5.38753	0	0	0.06864	1.3582	0.00497	0	0.01364	0
Healthy	0	0	0	0	0	0	0.06629	0	0	0	0	0	0	0	0	0	0	0	0.07304	0.40049
D003093	1.31179	1.06405	1.54738	2.05328	0.01404	0.0363	0	0.02842	0	0.00054	0.02733	0	0	0.24832	2.94289	0.30061	0	0.48083	0.04374	0.02991
Healthy	0.1328	0.40493	0.36482	0.39391	0	0	0	0	0.04366	0	0	0	0	0	0	0	0	0	0.28218	0
Healthy	0	0.05673	0	0.00191	0	0	0	0	0	0	4.15426	10.3229	0	0.13651	0.01237	2.09433	0.10226	1.08879	0	0
Healthy	0.34197	0.50189	0.203	0.40731	0.02506	0.01543	0	0.01384	0	0	0.69863	0	0	0.15586	0.07068	0.10997	0	1.42818	0.00858	0
Healthy	0	0	0	0	0	0.05012	0	0	0	0	0	0	0	0	0	0	0.16267	0	0	0.06058
Healthy	1.94997	0.07672	0.79192	0.27613	0.08919	0.01892	0	0	0.21985	0.00116	0.02706	12.2121	0	9.15458	0.00208	0.34769	0.00859	0	0.05381	0
Healthy	0.07633	0.08611	0.12935	0.02758	0	0	0	0	0	0.03087	16.7389	0.15797	3.05247	0	0.01472	0.92562	0	0.52554	0.04039	0.06476
Healthy	1.76033	1.23585	0.42614	0.45329	0.14749	0.06673	0	0.0527	0	0	2.42981	1.70303	0	4.50071	0.20581	0.36799	0.134	0.88295	0	0
D003093	3.64763	1.52099	2.44957	3.01982	0.05893	0.09065	0.12092	0.04275	0.00464	0.00034	0.01043	0	0	2.88513	0.14603	0.11216	0.0055	0.51904	0.0021	0.06724
Healthy	0.70712	0.38677	0.4394	0.36195	0.01352	0.01371	0	0.00252	0	0.02848	3.10053	3.49865	0	0	0.21115	0.5429	0	1.22171	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.02376	0	0.01208	0.02128	0	0.37877	0	0	0	0	0.10737	0	0.07785	17.2856	0.56304	0.48173	0	0	0	0
Healthy	0.00875	0.08808	0.04465	0	0	0	0	0	0	0	13.5876	0	0	0	0	1.84093	0.07225	1.11388	0.00437	0.05638
Healthy	0	0	0.0373	0.00978	0	0	0	0	0	0	15.4243	0.59824	0.37059	0	0	0.47864	0	0.83625	0.01483	0
Healthy	0	0.87392	0.14994	0	0	0	0	0	0	0	0.06572	0	0	0	1.09148	0	0	1.94578	0	0
Healthy	0.34331	0.14821	0.36471	0.20406	0.14576	0.21495	0	0	0	0	0.51798	0	0	0	2.48331	0.93672	0	1.06046	0.15579	0.00762
Healthy	0	0	0	0	0	0	0	0	0	0	9.06573	0.76661	0.12854	0	0	0.24823	0	0	0	0
Healthy	0.40984	0.0877	0.39031	0.14706	0.47722	0.08358	0	0.01684	0.01149	0	4.86744	2.67299	0	0	18.119	0.86232	0.36324	0.61141	0.0016	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	10.2351	0	0	0	0	0	0	0
Healthy	0.33856	0.24109	0.23492	0.12304	0.04397	0.14942	0	0	0	0.00389	2.94988	0	0	0	0	0.21517	0	0.69402	0.06823	0.01308
Healthy	0	0	0.0375	0.01071	0	0	0	0	0	0	14.6653	0.54825	0.39579	0.00663	0	0.44636	0	0.8552	0.02056	0
D003093	2.67159	0.41097	0.05423	2.33736	0.20055	0.35173	2.27582	0.40189	0.01738	0.0055	0.02919	0	4.279	1.59875	0	0	0	0.17059	0	0.02095
Healthy	0.44028	1.31911	2.69181	1.13421	0	0	0	0	0	0	0	0.80393	12.5399	3.63857	0	0.41321	0	0	0	0
D003093	0	0	0	0	0	0	0	0.28395	0	3.64881	0	0	0.00446	0.00083	0	0	0	0	0	0
Healthy	0.29592	0.24336	0.16356	0	0.00753	0.17723	0	0	0	0	1.71985	0	0	0.71605	0	0.21122	0	0.19415	0	0.16608
Healthy	0.89059	0.04878	1.08347	1.1278	0	0.10297	0	0	0	0	0	0	6.02966	0.34784	0	0	0	0	0	0
Healthy	0.09302	0.08188	0.06887	0.01157	0	0	0	0	0.02579	0	0	7.13824	18.2612	4.58753	0.07827	0.76361	0	0	0.31683	0.10562
Healthy	0	0	0.10534	0	0.01116	0	0	0	0	0	9.36277	0	0.33089	0.4394	1.85416	2.83894	1.45368	2.35828	0.01076	0.06735
Healthy	0	0	0	0	0	0	0	0	0	0	0.00317	0	0	0.97566	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	28.8952	0	4.76088	0	0	0.80196	0	1.11466	0.40728	0
Healthy	2.99236	0	0.22957	0	0.02306	1.57374	0.08751	0.00809	0.07937	0.0447	2.01096	6.77689	0	0	9.64171	1.37644	0.01365	0.16086	0	0.03639
Healthy	3.89335	3.89868	1.37881	1.32099	0.09439	0.06097	0	0	0	0	0.54154	0	0	2.23454	0	0	0.32187	0	0	0
Healthy	0.05909	0.22169	0.11127	0.03974	0	0	0	0	0	0	2.53114	22.7384	0	0.11793	0.01186	1.25662	0	0	0	0.01173
Healthy	0	0	0.04611	0	0	0	0	0	0	0	0.29727	0	4.20297	0	0.07648	0.75209	6.31845	0	0.03323	0
Healthy	1.22033	0.80409	1.14523	0.17836	0	0.01754	0	0	0	0	1.69461	1.97711	1.71106	0	0	0.07183	0	0	0.01459	0
D003093	3.32496	0.5287	0.80818	0.33652	1.48135	0.38416	0	0	0.01841	0.02157	1.13708	4.55499	0.90269	0.42533	0	0.33545	0.02725	0.56867	0	0
Healthy	0.56233	0	0.53754	0.28475	0	0.05173	0.02434	0.00088	0.02999	0.00354	0.0149	1.7831	0	0	9.55082	0.30935	0	0.38319	0.13452	0.00641
Healthy	0.01665	0	0.11803	0.03945	0	0	0	0	0	0	12.6713	0	0	0	0	4.06998	4.69192	0.81369	0.1875	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	19.7803	0	16.448	0	0.45705	0	0	0	0
Healthy	0.16818	7.22726	1.79633	1.68644	0.16493	0.07052	0.53567	0.0262	0.04834	0.0112	0.35187	2.54403	0	18.5233	0	0.16315	1.2322	0.07397	0	0.0208
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	10.2339	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4085	0
Healthy	0	0.59154	0.02619	0.03642	0	0	0	0	0	0	1.29591	0	0	0.77145	1.31631	4.17906	2.94365	2.48897	0	0
Healthy	0.03403	0	0.08096	0.07273	0	0	0	0	0	0	24.477	0	0	0	0	4.39387	1.04066	0.90868	0.16613	0.02361
Healthy	0	0	0	0	0	0	0	0	0	0.17319	0	0	0	0	0	0	0	0	0	0
Healthy	0.16901	0.3266	0.19646	0.32851	0.21764	0.02857	0	0	0	0	6.41484	0.03504	0	0.06377	0.34006	0.20597	0.03195	1.48769	0.02151	0
Healthy	0.31253	0.01783	0.16121	0	0.01741	0.06567	0	0	0	0	0	0	0.52069	16.7914	0	0.82454	0	0.9816	0.04815	0
Healthy	0.50241	1.10458	0.52041	0.68119	0.12652	0.13755	0	0	0	0	1.32797	0	0	0.35028	0.98452	0.39719	0.1098	0	0	0
Healthy	0.03372	0.046	0.00185	0.01727	0	0	0	0	0	0	8.6049	0	0	0	0.04732	2.85881	0.3509	2.32583	0	0
Healthy	0	0.03207	0	0	0	0	0	0	0	0	2.23479	0	6.08421	0	1.6203	0	0.11738	0	0	0
Healthy	0	0.10281	0	0	0	0	0	0	0	0	0.71483	4.31389	1.50834	0.53803	0.17611	0.05986	0	0	0	0
Healthy	0.35198	0.09192	0.02972	0.04037	0	0	0	0	0	0	0	0	0	0.07319	0	0	0	0.73755	0	0
D003093	0.14142	0.1524	0.74897	0.01152	0.10102	0.01459	0	0	0	0	0	0	1.26208	6.67988	0	4.16088	0	0	0.03532	0.05697
Healthy	0	0	0	0	0	0	0	0	0	0.01128	12.9267	13.4977	0	0.30879	0.8642	2.35208	0.01028	0	0.02441	0
Healthy	0	0	0.00459	0.00615	0	0	0	0	0	0	12.7519	0	6.07351	0	0	1.76297	0	0.59117	0.13432	0
Healthy	0	0.59491	0.03419	0.05784	0	0	0	0	0	0	1.45958	0	0	0.79332	1.32501	4.29824	3.21879	2.52233	0	0
Healthy	0.32337	0.10587	0.26432	0.17226	0.0622	0.06551	0	0.09514	0	0	3.45438	0	0	0.14541	5.28071	0.10453	0.00423	0.57947	0	0
Healthy	0.21239	0.38502	0.18443	0.07686	0.0599	0.08305	0	0	0	0	0.56071	0.01016	0	0.04723	0	0.36617	0.14739	0	0	0
Healthy	0.02848	0.03475	0.15261	0.07714	0	0.02772	0	0	0	0	3.09307	0.89591	0	0.25026	0	1.31171	0	0.98511	0	0
Healthy	0.47034	0.31087	0.25385	0.23782	0.1649	0.1551	0	0	0	0	3.90359	0.12521	6.9131	1.49584	0.56913	2.43919	2.37113	0.57529	0	0.01714
Healthy	0.00168	0.09104	0.03202	0	0	0	0	0	0	0	13.7095	0	0	0	0	2.0267	0.06649	1.1562	0.0015	0.07712
Healthy	1.81776	3.6915	0.9475	0.73547	0.31312	0.07966	0	0.21126	0	0.0159	1.38424	1.05241	0	12.9791	0.06371	0.03452	0	0	0	0
D003093	2.94475	3.07826	0.64544	0.75157	0.13701	0.17241	0.01426	0.06825	0.01765	0.00226	1.48378	6.97285	0	3.96506	0.85769	0.06601	0	0.05924	0	0
Healthy	0	0	0.00252	0.03097	0	0	0	0	0	0	3.7172	0	0	0.67919	0	1.21775	0.17472	0	0	0.00257
Healthy	0.29154	0.94611	0.12277	0.25277	0	0.01262	0	0	0	0	2.61184	0.00091	8.45765	0.3639	4.15549	0.16939	0	0.38471	0.04241	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.97825	12.4411	0	0	0	0	0	0
Healthy	0.17036	0.00555	0.08259	0	0.05982	0.00428	0	0	0	0	0.7162	0.17811	0	0	0.84953	0.29236	0	0.71286	0.05804	0.0286
Healthy	1.11391	0.3915	0.40634	0.29781	0.04129	0.07237	0	0	0	0.00212	2.2524	0.00072	2.62863	0.54483	0	0.09318	0.48331	2.46942	0.00296	0.00078
D003093	1.76417	0.04069	0.47594	0.75418	0.194	0.08832	0.00156	0	0.18391	0.00248	5.62197	0	15.3995	2.14433	3.45031	0.35074	0	0.53243	0	0
Healthy	0	1.50109	0.74977	0	0	0	0	0.2094	0	0	3.74533	0	0	0	0	0.23682	0	0	0	0
Healthy	0.07398	0.11243	0.06589	0.00934	0	0	0	0	0.0319	0	0	7.25761	17.903	4.39539	0.09676	0.77075	0	0	0.26997	0.08518
Healthy	0.29743	0.35518	0.08177	0.23234	0.21428	0.04583	0	0.0003	0.00084	0	2.16227	1.94716	3.35406	1.11444	0.9954	1.01623	0.47602	0.34479	0.00254	0.00777
Healthy	0	0	0	0.05432	0	0	0	0	0	0	5.76759	0	7.79359	0	0	0	0.15942	1.37258	0	0
Healthy	0.9044	0.54641	0.58319	0.35799	0.08093	0.03064	0	0	0	0.00651	2.40332	0.00328	0.00439	0.93929	0.60623	0.40707	0	1.01885	0	0
Healthy	0.38648	0.19057	0.20218	0.10815	0	0.17815	0	0	0	0	1.48527	0	0	0	0	0.46773	0	0	0.03248	0
Healthy	0.28125	0.71261	0.39356	0.40075	0.0647	0	0	0	0	0.01804	0	0	0	0	0.19966	0.03344	0	0.88407	0	0
Healthy	2.34448	3.27596	0.50191	0.38286	0	0	0	0.00116	0.01433	0.00018	4.16474	0	9.55173	0	0	0.0545	0	0.13467	0.00478	0
Healthy	0.75834	0.18444	0.38034	0.13582	0	0.01342	0	0	0	0	7.03767	0.77712	0	0.67504	0	1.55043	0.00191	0.86242	0	0
Healthy	0.31453	0.03826	0.09934	0	0.07709	0	0	0	0	0	1.3183	0	0	0	0	0.02963	0.03272	0	0	0
Healthy	0.0220083	0.00657392	0.0635955	0.00585936	0	0	0.00285822	0	0.0484469	0.0135766	0.358136	0.21551	0.179068	0.244521	0.62981	0.77415	0	0.298399	0.049876	0
Healthy	0.07717	0	0.23566	0.23481	0	0	0	0	0	0	0	0	0	0	14.5787	0	0	0	0	0
Healthy	3.10326	1.10863	0.32119	0.07999	0.13987	0.06687	0	0.00153	0.01281	0.00216	4.79018	6.6743	0	0.73501	1.53805	2.3362	0	2.04156	0.00373	0.0166
D003093	1.32114	3.62427	0.52726	0.78978	0.10406	0.07431	0.04441	0.15641	0.00992	0.00977	6.73788	8.68011	0.60196	0.96767	1.49057	0.63646	0.1869	4.92332	0.01301	0.00852
Healthy	0.00404	0	0.00657	0.06123	0.0705	0.01214	0	0	0	0	2.17993	0	1.78037	0	1.05974	0	0	0	0.15661	0.00056
Healthy	1.30867	0	1.56052	0.67123	0.09378	0.17033	0	0	0.00211	0	0.07733	0	11.0033	0.02257	0	0	0	0	0.05586	0.00359
Healthy	0	0	0	0	0	0	0	0.00124	0	0	0	0	0	0	0	0	0	0	0	0.13865
Healthy	0.096	0.13367	0.07162	0.03949	0	0	0	0	0	0	0.05796	0.08498	0	0.04895	0.19607	0.07988	0	0	0	0
Healthy	0.06356	0.0692	0.025	0.20152	0	0.00139	0	0	0	0.00058	20.7255	1.04674	0	0.47644	0.66366	2.70171	0.2793	1.61031	0.07097	0
Healthy	0	0	0	0	0	0	0	0	0	0	13.9643	5.14114	0	1.0592	0.07208	1.84841	0	0	0.02975	0
Healthy	0.38461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.68794	0.23474	2.45565	0.32496	0.07471	0.12673	0	0.05939	0	0.01201	4.35969	0.71687	0	0.83244	0	0.40391	0	2.46988	0	0
Healthy	0.91173	0.99433	0.28495	0.35289	0.0402	0.08927	0	0	0	0	3.00874	0.14379	8.67162	1.50897	0.14391	0.12372	0.57555	0.27644	0	0
Healthy	0	0	0.00273	0	1.10163	0.30965	0	0	0	0.00048	0	0	0.00563	6.73725	0	0	0	0	0	0.01892
Healthy	0	0	0.04592	0	0	0	0	0	0	0	7.2967	0.00269	4.20566	0	0	0.53261	0	1.03251	0.22373	0.04635
Healthy	0.50243	0	0.00621	0	0	0	0	0.00542	0	0.0074	0.01806	1.5884	0	0	0	0.00051	0	0	0	0.00307
Healthy	0	0	0.48498	0.14655	0	1.12999	0	0	0	0	4.94333	0	0	0	0	1.16364	0	0	0	0.06364
Healthy	0	0.04131	0.05924	0.01161	0	0	0	0	0	0	12.9528	0	0.04749	0	0	0.8138	0	0.81967	0.02718	0.08077
Healthy	0	0	0	4.564	0	0	0	0	0	0	0	0	0.00359	2.80173	0	0	0	0	0	0
Healthy	0.0163	0.0852	0.27154	0.48937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	7.26275	0	2.43337	3.62782	0	3.61186	0	0	0	0
Healthy	0.25558	0.73825	0.20452	0.24833	0.04083	0.11861	0	0	0	0	2.20186	0.02732	0.00886	0.00406	0.00989	0.55039	1.60436	0.18967	0	0.13713
Healthy	0.44736	0.39612	0.49125	0.28001	0.00886	0.03519	0	0.02955	0	0	0.75552	0	0	0.00795	1.04501	0.12457	0	0.38502	0.00198	0
Healthy	0.23719	0.287	0.20947	0.0283	0.17998	0.06642	0	0	0	0	3.00341	0.39727	0	0.12483	0.95851	0.58214	0	0	0.06318	0
D003093	1.51328	4.06536	4.27395	1.19092	0.57236	0.51682	1.06091	0	0.00601	0	0	0	0	2.82884	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14938	0	0	4.43181	0	0	0
Healthy	0.05277	0.03121	0.02403	0.00645	0	0	0	0	0	0	12.7371	0.15369	2.80864	3.44908	1.26277	1.71097	0	0.78674	0.25373	0
Healthy	0.70717	2.10183	1.64084	1.47408	0.23621	0.11675	0	0.05695	0.04167	0.00547	0	0.71707	10.0575	1.8004	0.04569	0.33815	1.35596	0	0	0
Healthy	0	0	0.04768	0	0.04139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00335
D003093	0	0.47839	0	0	0	0	0	0	0	0	0.1991	0	0	0	0.0127	0	0	0	0	0
Healthy	0	0	0.01078	0	0	0	0	0	0	0	10.7917	0.86062	0.247	0.00497	0	0.39673	0	0	0.0068	0
Healthy	0	0.00784	0.02708	0.04649	0	0	0	0	0	0	20.9951	0	2.48911	0	0	0.94731	0	1.40335	0.02312	0
Healthy	8.84666	0.07113	2.17126	0.44284	0.99417	3.96024	0	0	0.03277	0	0	0	0	21.5717	0	0	0	0	0	0
Healthy	0.01584	0	0.03711	0.00456	0	0	0	0	0.01173	0	1.81582	7.09065	9.12279	0	2.61437	0.67965	0	0	0.02472	0.09192
D003093	5.01258	0.02045	1.4841	1.58184	0.33982	0.15692	0.06387	0	0.0663	0.00828	1.95073	0	0	0.86154	0	0.00161	0	0	0.05116	0.02072
Healthy	0	0	0	0	0	0	0	0	0	0	1.26615	1.91132	0	0	0	0.21441	0	0	0.49916	0.02816
Healthy	0.31549	0.70684	0.1464	0.23597	0	0	0	0	0	0	3.39047	0	2.33821	16.8812	0	0	1.27602	0	0	0
Healthy	0.18786	0.74356	0.22712	0.01328	0	0	0	0.26832	0	0	0	0	5.01282	0	2.28193	1.91599	0	1.03626	0.02275	0.02354
Healthy	0.00652	0	0	0	0	0	0.01862	0	0	0	0	0	8.20971	0	0	0	0	0	0	0.074
Healthy	0.92233	0.89685	0.63593	0.26538	0.05531	0.071	0	0	0	0.00224	4.47943	0.36383	7.5885	1.1709	8.43309	0.58059	0.52995	0.50676	0	0
Healthy	0.69686	0.78771	0.64475	0.19805	0	0.0412	0	0	0	0	5.90186	3.76576	1.70615	0	0	0.8974	0	0	0	0
Healthy	0	0	0.32294	0	0	0	0	0	0	0.02654	0	0	0	0	0	0	0.13286	0	0	0
D003093	4.00529	10.4636	4.1646	3.53704	0.33968	0.50372	0.42941	0.01975	0	0	0	0	0	9.27539	0	0	0	0	0	0
D003093	0.04383	0.03483	0	0	0	0.01757	0	0.01987	0	0	2.19145	0	13.5056	0	1.14153	0	0	0	0	0
Healthy	0	0.5745	0.02509	0.02468	0	0	0	0	0	0	1.38838	0	0	0.82458	1.36802	4.36167	3.1611	2.46305	0	0
Healthy	0	0.02977	0.04951	0.01157	0	0	0	0	0	0	12.8857	0	0.0453	0	0	0.75346	0	0.77883	0.01379	0.0363
Healthy	0.57686	0.1081	0.38899	0.09745	0.00496	0.07214	0	0	0	0	7.24851	0.03421	0	1.95777	0.17211	1.48747	0	3.95665	0.16388	0.00692
Healthy	0	0	0.04328	0	0.05942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01361
Healthy	0	0.03051	0.02148	0.01103	0	0	0	0	0	0	14.2576	0	0	0.26774	0	2.75713	0.20999	2.72413	0.01275	0.05391
Healthy	0.14846	0	0.37617	0.08754	0.02285	0	0	0	0	0.00387	8.15984	0.43714	0.61061	0	0.01029	0.6523	0	0	0	0.02029
Healthy	0	0	0.12439	0.0104	0	0	0	0	0	0	13.2608	0	0	0	0	3.99182	4.91421	0	0.221	0
Healthy	0	0	0.02961	0.00357	0.05248	0.00953	0	0	0	0	0	0	8.2752	0.11745	0	0	0	0	0.04395	0.52888
Healthy	0	0.01313	0	0.00415	0	0	0	0	0	0	12.4649	0	5.95455	0	0	1.90299	0	0.63633	0.14607	0
D003093	0.24424	1.91901	1.73459	0.42797	0.12149	0.21644	0	0	0	0.00749	6.95591	0	0	0	12.6678	0.44491	0.22183	0.54717	0.00907	0
Healthy	0.00388	2.17605	0.08205	0.01754	0.00513	0.01455	0	0	0	0	7.58988	2.86839	0	0	6.93814	3.11695	0	1.72786	1.52688	0.00674
Healthy	0.98751	1.16716	0.75822	0.68383	0.11696	0.03535	0	0.04004	0	0.00117	3.18146	15.6544	0	0	0	0.47477	0	0.54483	0	0.00837
Healthy	0	0	0	0	0	0	0	0	0	0	15.5467	0	0	0	0	1.21153	0.04231	0	0.27587	0.41863
Healthy	0.42959	0.08534	0.12074	0	0.00941	0.06745	0	0.06564	0	0	0.3434	0.00364	0	0	0	0.02357	0	0.19653	0	0.00305
Healthy	0.73121	1.2679	0.28272	1.06309	0.00831	0.07771	0.00117	0	0.06126	0.00217	0.49619	0.23822	0	0.13054	2.89858	1.09899	0.00018	0.60699	0.00044	0.00704
Healthy	1.03978	2.15861	0.45473	0.7072	0.10081	0.15425	0.00302	0	0	0.0016	3.40414	0.06089	7.40887	0.65096	1.26196	0.1744	0.32989	0.65614	0	0
Healthy	0	0	0	0	0	0	0	0	0	0.15657	0	0	0	5.10345	0	0	0	0	0	0
Healthy	4.5156	0.87724	1.27047	1.2453	0.05485	1.20866	0	0.01131	0	0.00849	4.24076	0.96337	2.38405	1.52003	0.12657	1.70338	1.26416	0.78042	0.02696	0
Healthy	1.3009	0.34312	1.64244	0.14764	0.0278	0.52319	0	0	0	0	8.353	3.64954	0	3.06272	0	2.20949	0.16102	0	0	0
Healthy	0	0	0	0	0	0	0.15351	0	0	0	12.7238	0	0	0	0	0.03843	0.11643	1.37754	0.16096	1.09628
Healthy	0.79503	0.60991	1.60375	0.30988	0.08023	0.20665	0	0	0	0.1271	0.75079	0	0	0	0	0.06293	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01359	0	0	0.08087	0	0	0
Healthy	2.5476	0.74004	3.14687	1.79382	0.43547	2.80587	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.23696	1.07522	0.23226	0.17809	0.00299	0.06539	0	0	0	0.00091	5.26314	5.31662	0	1.74208	0.15641	0.62774	0.73688	2.06652	0.00577	0
Healthy	5.09754	3.42406	2.04584	1.21904	0.14765	0.17822	0	0	0.04607	0	0.17737	0.51997	0	0.00193	0.2399	0.01073	0	0	0	0
Healthy	0.41531	0	0.13553	0.16664	0.00792	0	0	0	0	0	0	1.71892	8.15437	0	0	0	0	0	0	0.02413
Healthy	1.77823	0.95457	1.28024	0.84486	0.05131	0.20879	0	0	0	0	0	0	0	0	0.11313	0	0	0	0	0
Healthy	0.5789	1.61807	0.15892	0.23321	0.1471	0.03165	0	0.02508	0	0.00616	5.63301	0.68442	0	1.32856	0.88801	1.01877	0	1.45712	0.03848	0
Healthy	1.92566	0.08122	2.39395	0	1.14699	0.67191	0	0	0	0	12.1976	2.69661	0	0	0	2.18583	0	0	0	0
Healthy	1.18785	0.70719	0.70656	0.83026	0.05463	0.17314	0	0	0	0	0.2782	11.6762	0	0.15747	3.23536	0.2462	0.82136	1.68167	0	0
Healthy	0.6485	1.65912	0.33111	0.68915	0.01228	0.04893	0.00753	0	0	0.00085	6.46303	0.07665	7.5104	0.59279	0.91151	0.15291	0.6637	1.25963	0	0
Healthy	0	0	0	0	0	0	0	0	0	0.09629	0	0	0	0.00051	0	0	0	0	0	0
Healthy	0.29928	2.42016	0.88669	0.29169	0	0	0	0	0	0	0	0	0	0	0	0.38286	0	0	0	0
Healthy	0.1959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.07606	0	0	0	0	0	0	0	0	0	0	0.13462	0	0	0	0	0
Healthy	0.24113	0.81996	0.54531	0.07514	0.06683	0.08992	0.01745	0	0	0	2.44438	0	1.7568	0	0	0.07666	1.1619	2.1559	0	0.00947
Healthy	0.62623	1.14031	1.03824	0.41761	0	0	0	0	0	0.11258	1.61837	0.53311	0	0	7.34783	0.05428	0	0.88157	0	0
Healthy	0	0.41985	0.20732	0.00669	0	0	0	0	0	0	11.2797	0.53351	0	0.41585	1.58566	1.88724	0	1.8452	0.01588	0
Healthy	0	0	0	0	0	0	0	0	0	0	12.6301	8.43132	0	0.08447	0.14695	0.8193	0	0	0	0
Healthy	0.01941	0.01244	0.01697	0.005	0	0	0	0	0	0	8.90385	0	0	0	0.06254	2.94872	0.34636	2.28234	0.00326	0
Healthy	0.05251	0.73801	0.05596	0	0	0	0	0	0	0	13.0734	0.93618	7.8227	1.86369	0.86692	1.74925	0	1.26718	0.11602	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	46.8384	0	0	0	0	0	0
Healthy	0.27362	0.20086	0.0858	0.09491	0.05727	0.01444	0	0	0.00097	0.00011	3.25135	0.73264	0	1.07423	0.21587	0.37788	0.78426	0.53965	0.01742	0
Healthy	0.01654	0	0.07419	0.05746	0	0	0	0	0	0	23.8687	0	0	0	0	4.35315	0.98644	0.94666	0.13	0
Healthy	0	0	0	0	0	0	0	0	0	0	8.70947	0.07765	0.01147	0	0.25539	0.89878	0	0.62321	0.0668	0.05877
Healthy	0.67796	0.1622	0.1762	0	0	0.03884	0	0	0	0	0	0	1.07746	1.68908	0.0187	3.36743	0	0	0.08554	0
D003093	2.57637	0.5106	0.79286	3.03621	0.37029	0.39773	0.02378	0	0.02905	0.0025	4.16931	0.01202	8.23934	0.47895	0.07659	0.05935	0.32653	0.09168	0.10029	0.01437
Healthy	0.30467	0.49888	0.06493	0.18317	0	0.00379	0	0	0	0	0	0	8.40183	0.03296	0	0.10348	0	0	0	0
Healthy	0	0.07345	0.04164	0.02654	0	0	0	0	0	0	0	0	0	0.00283	0.23904	1.16722	11.7845	1.9701	0	0
Healthy	0.31015	0.29446	0.1754	0.13774	0	0.18127	0	0	0.0008	0.00199	15.0538	0	0	0.01465	0.36046	1.59306	0.01391	0.86133	0.11799	0.01062
Healthy	0.87797	1.04541	1.18404	0.50661	0.01016	0.26299	0	0	0	0.00367	0.99889	0.64022	0	0	0.01079	0.18704	0.07767	0.34465	0.06274	0.0455
Healthy	0.12711	0.02817	0.07299	0.02712	0.00576	0.03655	0	0	0	0.00095	0	0.29306	0	0	6.96553	0.25864	1.18437	0	0	0.06231
Healthy	1.57733	0	1.85203	0	0	0	0	0	0	0	6.84233	1.49548	0	1.46587	0	0.24248	0	0	0	0
D003093	2.44126	2.71453	0.84321	0.58149	0.22054	0.04671	0.06124	0.07249	0	0.00034	14.0466	0	3.14378	2.92076	0.09233	0	0.35127	0.66131	0.0167	0.00778
Healthy	0.06127	0.04315	0.00927	0	0	0	0	0	0	0	12.5111	0.1311	2.93753	3.31663	1.14204	1.67206	0	0.76874	0.22899	0
Healthy	6.03285	1.93359	2.47901	5.08163	1.45649	2.83148	0	0	0	0.00272	0.57092	0	0	0.53314	0	0.10946	0	0	0	0
Healthy	0	0.35171	0.00282	0.00482	0	0	0	0	0	0	0	0	0	0	3.14302	0.56204	4.47882	0.89711	0	0
