group	Prevotella	Alistipes	Phytobacter	Odoribacter	Paraprevotella	Alistipes_A	Parasutterella	Bilophila	Ruminococcus_C	Faecalimonas	Prevotella	Mediterraneibacter	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Haemophilus_D	Flavonifractor	Parasutterella	Clostridium_Q	Muricomes
Healthy	0	6.13224	0.00336	3.30425	0.77448	0.09568	0	0.03452	0	0	0	0.03239	1.67721	0	0.25643	0.00195	0.02161	0	0	0
Healthy	0	8.60817	0.07286	1.03995	0	0.06004	0.29286	0.07883	0	0	0	0.19409	0.06374	0	0.03551	0.023	0.10007	0.29286	0.00142	0
Healthy	0	0	16.2661	0	0	0	0	0.12271	0	0	0	0.18846	0	0.01689	0	0.19266	0	0	0	0
Healthy	0	8.31905	0	2.06509	0	0	0	0.08855	0	0	0	0.32606	0.56451	0	0.20371	0	0.2895	0	0	0
Healthy	0	0	0.37736	0	0	0	0.0857	0.00251	0	0	0	0.02773	0.01863	0	0.01794	0	0.18962	0.0857	0.48828	0
Healthy	0	11.63986	0	1.39468	0	0	1.28454	0.037	0	0	0	0.35646	0.02058	0	0.12538	0	0.12367	1.28454	0	0
Healthy	7.42671	8.93454	6.343	0	0.44476	0.00624	0.00459	0.0128	0	0	7.42671	1.83505	0	1.00509	0	0	0.66922	0.00459	0	0
Healthy	0	16.12624	0	0	0	0	0	0.05737	0	0	0	2.18411	0	0	0	0	1.66202	0	0.02064	0
Healthy	0	0.23838	0	1.03345	0.067	0	0	0.01639	0.03758	0	0	1.8025	0.92226	0	0.64062	0	0.0234	0	0	0
Healthy	0	3.02671	16.4109	0	0	0	0.04035	0	0	0	0	0.06129	0.31703	0	0.06819	0	0	0.04035	0	0
Healthy	0	1.4586	0.45378	0	0	0.04504	0.08025	0.09831	0	0	0	1.23277	0	0	0	0	0.59111	0.08025	0.17587	0.09698
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.40197	0.44587	0	0.53306	0	0	0	0	0
Healthy	0	8.41418	0.02833	0.99432	0	0.02679	0.29889	0.10029	0	0	0	0.23742	0.0557	0	0.01221	0.01062	0.14654	0.29889	0	0
Healthy	0	1.61128	1.75061	0	0	0	0	0	0	0.84621	0	0.20105	1.94333	0	4.10101	0	0	0	0	0
