group	Prevotella	Alistipes	Phytobacter	Odoribacter	Paraprevotella	Alistipes_A	Parasutterella	Bilophila	Ruminococcus_C	Faecalimonas	Prevotella	Mediterraneibacter	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Haemophilus_D	Flavonifractor	Parasutterella	Clostridium_Q	Muricomes
Healthy	18.51456	2.38017	0	0.68181	0.43063	0	0	0	0.44008	0	18.51456	0.9353	0.33985	2.37654	0.31637	0.15182	0.19251	0	0	0
Healthy	0	3.34875	0.00823	0	0	0	0.00326	0	0	0	0	0.01683	0	0	0.00839	0.00122	0.09443	0.00326	0	0.08278
Healthy	0	18.60375	0.4514	2.98324	0	0	0.00179	0	0	0	0	0.04417	0	0	0.03096	0.13338	0.09688	0.00179	0	0
Healthy	0	4.3959	0.04173	0.96774	0	0.01282	0.00397	0.02346	0.17175	0	0	0.43712	0.33111	0	0.27484	0.06391	0	0.00397	0.0019	0.00496
Healthy	0	14.91559	0.05765	0.60246	0	0.26232	0.1336	0	0	0	0	0.04238	0	0	0	0	0.00829	0.1336	0	0
Healthy	0	0	9.92646	0	0	0	0	0	0	0	0	0.00918	0	0	0	0	0	0	0	0
Healthy	0.0274	11.72883	0.06685	2.10261	0	0.12293	0	0.00159	0	0	0.0274	0.23012	0.22452	0	0.21325	0.04665	0.04226	0	0	0
Healthy	0	0.07484	0	0	0	0	0.03817	0	0	0	0	1.42494	0.64552	0	0.41871	0.86819	0	0.03817	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.99062	2.05233	0	0.76255	0	0	0	0	0
Healthy	41.0837	2.74265	0	0	0	0	0	0	0	0	41.0837	1.00251	0.30178	0	0.09187	0	0	0	0	0
Healthy	0	0.45089	1.3884	0	0.0418	0	0	0	0	0	0	5.99343	0.98254	0	1.25347	0	0	0	0.19452	0
Healthy	0	1.86074	0	0	0.68506	0	0	0	0	0	0	0.21493	0.67288	0	0.31197	0.20335	0	0	0	0
Healthy	0.25987	4.384	0.37676	2.12098	0.72122	0.00052	0	0.02238	0.00103	0	0.25987	0.34432	0.81154	0	0.24788	0.07866	0.00158	0	0	0
Healthy	0	6.7735	0	2.13799	0	0.04434	0.01494	0.00269	0	0	0	2.26342	0.19945	0	0.25326	0	0.16889	0.01494	0	0
Healthy	0	2.623	1.00028	0	0	0	0.05447	0.01939	0	0	0	0.01962	0.00415	0	0.03454	0	0.21396	0.05447	0	0
Healthy	0	2.51466	0	0	1.59689	0.07332	0	0.30881	0	0	0	0.02608	0.81614	3.25716	3.49445	0	0.02802	0	0.07257	0.01201
Healthy	22.1544	4.73608	0	1.42283	0.50795	0.05857	0.01465	0.00447	0.08141	0	22.1544	0.04983	0.80567	1.39311	0.37866	0.01139	1.39068	0.01465	0	0
Healthy	0	14.6521	0.01982	0.59738	0	0.2367	0.14096	0	0	0	0	0.06783	0	0	0	0	0.01491	0.14096	0	0
Healthy	0	11.75985	0	0.51777	0	0.13138	0.11941	0	0	0	0	0.27057	0.02647	0	0.21637	0	1.93841	0.11941	0	0
Healthy	0	1.62947	0	0	19.6568	0	0	0	0	0	0	0.24614	0.05302	0	0.19619	0	0	0	0	0
Healthy	0	0	7.53919	0	0	0	0	0	0	0	0	0	0	0	0	0.01538	0	0	0	0
Healthy	0.38526	16.20616	10.5314	2.37228	0	0.63195	0.01098	0.01375	0.04314	0	0.38526	0.46384	1.70011	0	0.24949	0.00868	0.04114	0.01098	0	0.03969
Healthy	0	6.34043	0	0	0	0	0	0	0	0.003	0	0.8644	0.38567	0	0.38524	0	0.24003	0	0	0
Healthy	0	0	0.221	0	0	0	0.03153	0.00758	0	0	0	0.04638	0	0	0.02505	0	0.63366	0.03153	0.0357	0
D014607	0.04132	0.01435	25.4391	0	0	0	0	0	0	0	0.04132	0.01041	0.04329	0	0.037	0.08676	0	0	0	0
Healthy	64.7104	2.81952	0	0	0	0	0.36943	0	0.04125	0	64.7104	0.00891	0	0	0.03635	0.04127	0.02335	0.36943	0	0
Healthy	0	12.18944	0.02829	1.61701	0.68609	0.2609	0.02399	0.02501	0	0	0	2.39243	0	0	0	0	1.34557	0.02399	0.96552	0.08028
Healthy	0	0	0.91502	0	0	0	0	0	0	0	0	0.36532	0	0	0	0	0.02297	0	0	0
Healthy	0	20.15206	0	0	0	0.01283	0.26001	0	0	0	0	0.15015	0	0	0.11554	0.09197	0.11082	0.26001	0	0
Healthy	0	1.47547	0.36103	0	0	0.02233	0.13223	0.1116	0	0	0	1.25235	0	0	0	0	0.55869	0.13223	0.13624	0.10473
Healthy	0.00994	1.76495	0.01004	0.86367	0.00359	0	0	0.01137	0	0.47732	0.00994	0.00123	1.8302	0	0.16969	0.00111	0.11751	0	0.01564	0.01967
Healthy	1.01208	0	0	0	0	0	0	0	0	0	1.01208	5.21929	0.99396	0	1.36061	0	0	0	0	0
Healthy	0	7.10169	0	0	0	0	0.0246	0	0	0	0	7.47309	2.78913	0	0.57997	0	0	0.0246	0	0
Healthy	0	0.79327	0.26705	2.1314	0	0.32536	0.41934	0	0	0	0	2.23943	0.33163	0	0.26318	0.05103	0.00491	0.41934	0	0.00076
Healthy	0	9.86496	5.96187	1.62899	0.95958	0.09634	0.04283	0.12894	0	0	0	0.06136	0.16097	0	0.14913	0	0.07	0.04283	0	0
Healthy	10.6888	3.67679	13.114	1.20655	0.12354	0.06149	0.00206	0.00589	0.00606	0	10.6888	0.78885	0.75349	2.55659	0.40198	0.01086	0.10171	0.00206	0	0
Healthy	0	2.54259	0	0	0.20181	0	0	0	0	0	0	1.8938	0	1.0336	1.30018	0	0	0	0	0
Healthy	0	6.97055	0	0	0	0.15768	0	0	0	0	0	1.788	0.02443	0	0.19295	0	0.10793	0	0	0
Healthy	0.38018	10.06608	0.08449	1.74079	0	0	0.00373	0	0	0	0.38018	0.40468	0.76104	0	0.25684	0	0	0.00373	0	0
Healthy	0	13.94375	0	1.84471	0	0	0.03262	0.09285	0	0	0	0.36671	0.0106	0	0.16311	0	0.10619	0.03262	0	0
Healthy	0	0.61673	0	0	0	0	0	0	0	0	0	3.30885	2.89023	0	2.47055	0	0	0	0	0
Healthy	0	0	1.15375	0	0	0	0	0	0	0	0	0.13771	0	0	0	0	0.00916	0	0	0
Healthy	0	0	0.42786	0	0	0	0.09614	0	0	0	0	0.04943	0.01295	0	0.01265	0	0.16588	0.09614	0.45263	0.00201
Healthy	0.01879	0.00671	0.09638	0	0	0	0.29502	0	0	3.15588	0.01879	0.00083	0.0044	0	0	1.53708	0.05126	0.29502	0.20333	0
Healthy	0	21.0971	0.38936	0.52245	0	0.18261	0.04306	0	0.098	0	0	0.08612	0.07746	0	0.10365	0	0.19102	0.04306	0.01901	0
Healthy	0	2.68436	0.80866	0	0.03388	0	0	0	0.05291	0	0	0.2916	1.38943	0	0.25741	0	0	0	0	0
Healthy	0	5.93957	0	0	0	0	0.00148	0.00668	0	0	0	0.26414	0.24118	0	0.16755	0	0.03095	0.00148	0	0
Healthy	0	0.68751	0	0.91991	0	0	0	0	0	0	0	0.15257	0	0	0.05362	0.04569	0.18375	0	0	0.05777
Healthy	0	0	2.89992	0	0	0	0.10274	0.02721	0	0.05637	0	1.85422	0	0	0.07535	0	0.47462	0.10274	1.45264	0
Healthy	6.8179	1.32347	0.13855	0	0.20366	0	0	0	1.17836	0.00122	6.8179	0.15026	1.75916	0	0.8628	0.15453	0	0	0	0
Healthy	0	11.05835	2.07969	0	0	0.29086	0.37989	0.02247	0	0	0	0.02661	0	0	0	0	0.25138	0.37989	0.58609	0
Healthy	0	4.21711	2.75306	0	0	0	0	0	0.01395	0	0	0.57916	1.34432	0	0.24736	0	0	0	0	0
Healthy	0	2.48328	0	0	0.12251	0.00597	0.07436	0	0	0	0	0.23735	0.53682	0	0.35184	0.09449	0	0.07436	0	0
Healthy	0	32.14968	0	0.87473	0	0.24983	0.15454	0	0	0	0	0.00545	0.02916	0	0.06367	0	0.21599	0.15454	0	0
Healthy	0	0.1297	0.38252	0	0	0	0	0	0	0	0	0.05042	0	0	0	0	0.07862	0	2.75601	2.72446
Healthy	0.01946	0.59902	0.24188	1.49106	0	0	0.01735	0	0	0	0.01946	0.06011	0.03437	1.24016	0.05612	0	0.00465	0.01735	0.06389	0.0081
Healthy	0	4.62077	1.8246	0.90782	0	0	0.00966	0.00297	0.00395	0	0	0.0179	0.29975	0	0.26079	0.24961	0.02058	0.00966	0	0
Healthy	0.8968	10.44264	0.05196	1.56931	0.36249	0	0.08897	0.00306	0.06451	0	0.8968	0.96954	0	0.16495	0.02227	0.0451	0	0.08897	0	0
Healthy	0	1.1095	0	0	0	0	0	0	0	0	0	0.97605	0	0	0.0794	0	0	0	0	0
Healthy	0	3.48109	0	0	0	0.01478	0.00845	0.0123	0	0	0	0.64353	3.12533	0	1.3413	0	0.01249	0.00845	0	0
Healthy	0	0.20177	1.52476	0	0	0	0	0	0.01256	0	0	0.30552	5.0779	0	2.00814	0	0	0	0	0
Healthy	0	0.5545	0	0	0	0	0.0026	0	0	0	0	0	0.67207	0	0.20319	0.85456	0	0.0026	0	0
Healthy	0	0.96757	0	0	0	0	0	0	0	0	0	0.04806	0	0	0.04947	0	0.00575	0	0.18696	0.00594
Healthy	0	0.679	0	0	0	0	0.06878	0	0	0	0	5.21067	3.67544	0	4.36886	0	0	0.06878	0	0
Healthy	0	0.84002	0	0	0	0	0	0	0	0	0	1.17526	0	0	0	0	0	0	0	0
Healthy	0	21.21649	0.5421	0.52481	0	0.22295	0.02185	0	0.11308	0	0	0.07786	0.11057	0	0.10635	0	0.17057	0.02185	0.01411	0
Healthy	12.6002	5.32013	0.03561	0	0	0.27217	0	0	0	0	12.6002	0.76217	0.40725	0	0.22677	0	0	0	0	0
Healthy	0	4.53821	19.4089	0	0	0	0	0	0	0	0	0.29755	0.7692	1.68488	0.37474	0	0	0	0	0
Healthy	36.5936	4.42011	0	0.80858	1.05414	0.00248	0	0	0	0	36.5936	0.30703	0.49787	5.18	0.26647	0	0.02013	0	0	0
Healthy	0	11.60518	0	0.50874	0	0.13515	0.15717	0	0	0	0	0.26604	0.00271	0	0.23123	0	0.05795	0.15717	0	0
Healthy	0	0	0.56607	0	0	0	0	0	0	1.43018	0	0.00389	0	0	0	0.05764	0.20692	0	0.02392	0.08163
Healthy	57.1796	4.35004	0.1785	0.62359	0.19721	0.24769	0.52386	0.00186	0.00235	0	57.1796	0.0692	0.51013	0	0.16787	0.02853	0.05765	0.52386	0.00439	0
Healthy	0	2.74353	0	0	0	0	0	0	0	0	0	0.91408	0	0	0	0	0	0	0	0
D014607	0.00689	15.1075	0.09175	1.74438	0.36465	0	0.31079	0.08911	0.14141	0	0.00689	0.00882	0	0	0.14242	0	0.00144	0.31079	0.00336	0
Healthy	2.20417	5.63008	0.03	0	0	0	0	0.00321	0	0	2.20417	0.87182	1.15631	3.13391	1.12892	0	0.05517	0	0	0
Healthy	31.98809	11.93689	0	2.36667	0.07447	1.83732	0	1.33117	0	0	31.98809	0.45604	0	0	0.05039	0	0.06162	0	0	0
Healthy	0	1.90992	0	0	0	0.08274	0.19732	0	0	0	0	0.21186	2.01041	0	0.4085	0.47582	0.025	0.19732	0	0
Healthy	67.4094	0	4.53415	0	0	0	0	0	0	0	67.4094	0	0	0	0	0	0.04805	0	0.03918	0
Healthy	40.223	1.85374	0	0	0	0	0	0	0	0	40.223	2.14203	0.43688	0	0.23665	0	0	0	0	0
Healthy	0	7.10713	0	0	0	0	1.10957	0	0.25888	0	0	0.53729	0	0	0.10115	2.7571	0.07353	1.10957	0	0
Healthy	3.86971	22.17988	0.12373	0	0.71883	1.39487	0	0.04024	0	0	3.86971	0.09337	0	10.5536	0	0	0.09611	0	0	0
Healthy	0	6.72493	0	0	0	0.0427	0	0	0	0	0	0.21519	0.46959	0	2.27681	0	0.26528	0	0	0
Healthy	0	1.32644	0.31031	0	0	0.02201	0.11023	0.09632	0	0	0	0.92947	0	0	0	0	0.57372	0.11023	0.17305	0.10893
Healthy	0	15.76797	0.20751	0.90139	0	0	0.00381	0.10935	0	0	0	0.01558	0.19471	0	0.37382	0	0.14417	0.00381	0	0
Healthy	0	2.44939	1.00311	0	0.16746	0	0.02597	0	0	0	0	0.04349	0.22962	1.09308	1.02645	0.83245	0.00195	0.02597	0	0
Healthy	0	1.97836	0	0.14387	0	0.00228	0.03603	0	0	0	0	2.44555	0	0	0.26808	0	0.09778	0.03603	0.01756	0.02062
Healthy	0	6.14496	0.23199	0	0	0.26024	0.03172	0.02455	0	0	0	0.20352	0.16885	0	0.17871	0.22578	0.04656	0.03172	0	0
Healthy	0	21.68795	5.44491	0	0	0.1608	0.04029	0	0	0	0	1.36305	0	0	0	0	0	0.04029	0	0
Healthy	0	1.91814	0	0	0	0	0.03924	0	0	0	0	0.18044	0.73934	0	0.25516	1.8414	0	0.03924	0	0
Healthy	0	0	1.20195	0	0	0	0	0	0	0	0	0.04554	0	0	0	0	0	0	0	0
Healthy	0	1.10933	0.04182	0	0	0	0	0	0	0	0	0.82491	0.22229	0	0.01768	0.80607	0	0	0	0
Healthy	0	15.9077	0.22271	0.79043	0	0.02036	0.23241	0.05273	0	0	0	0	0.04022	0	0.01614	0	0.02796	0.23241	0	0
Healthy	0	15.80305	0.05389	0.97313	0	0	0.00574	0.0717	0	0	0	0.0039	0.20492	0	0.43245	0	0.13633	0.00574	0	0
Healthy	0	0.35526	0	0	0	0	0.0336	0	0.71792	0	0	0.14314	0.43242	0	0.35808	0.846	0	0.0336	0	0
Healthy	0	4.59144	1.2167	0	0	0	0	0	0.0259	0	0	0.51133	2.1667	0	3.10903	0	0	0	0	0
Healthy	0	0.727	0	0	0	0	0	0	0	0	0	0.87539	0	0	0.23343	0	0	0	0	0
Healthy	0	1.95936	0	1.72219	0	0	0.01662	0	0	0	0	0.09375	0.24932	0	0.07242	2.14854	0	0.01662	0	0
Healthy	0	20.28508	0	0.94962	4.22044	0.03331	0.02925	0.06204	0.10277	0	0	0.05593	0	0	0.05988	0.04879	0	0.02925	0	0.06247
Healthy	0	11.8699	0	1.33202	0	0.18255	0.18277	0.28287	0	0	0	4.52452	0	0	0.14852	0	1.25434	0.18277	1.73455	0.1081
D014607	0.06181	19.32192	0.77127	4.16588	0	0.29872	0	0	0.00115	0	0.06181	0.27868	0	0	0.00235	0.16702	0.08538	0	0	0.01533
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D014607	0.00481	34.03241	0.11418	0.65783	0	0.10009	0.04549	0.04191	0.00452	0	0.00481	0.00966	0.00716	0	0.00823	0	0.108	0.04549	0.00527	0.01248
Healthy	1.9606	0.76495	0	0	0.05339	0	0	0	0	0	1.9606	2.09841	0.76543	0	0.29861	0	0.00863	0	0	0
Healthy	0	24.67263	0.0051	1.2675	0	0	0.04262	0.01837	0	0	0	0.00068	0.18102	0	0.07633	0	0.11165	0.04262	0.04591	0.01457
Healthy	0	1.49551	0	1.91832	0	0	0	0	0	0	0	0.90766	0	0	0.02704	0	0.00317	0	0	0
Healthy	55.3386	0	0.14588	0	0.53522	0	0.00302	0.00815	0	0	55.3386	1.02534	0.17664	0	0.15134	0.57799	0	0.00302	0	0
Healthy	0	3.29894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	2.24961	1.36303	0.30758	0.30207	0.03809	0	0.14269	0.29533	0	0	1.73694	2.62254	0	0.59848	0.50292	0.00509	0	0	0
Healthy	0	5.92039	0	0.98259	0	0.00476	0	0.00715	0.04954	0	0	0.31798	0.07631	0	0.15534	0	0.09077	0	0	0
Healthy	0	17.68872	0	0.84587	0	0.03651	0.0253	0.14421	0.27174	0	0	0.18436	0	0	0	0.027	0.01827	0.0253	0	0
Healthy	0	8.36664	0.04607	1.01368	0	0.0392	0.18971	0.05495	0	0	0	0.38657	0.06827	0	0.03395	0.03235	0.13803	0.18971	0	0
Healthy	0	1.29904	10.6542	0	0	0	0	0.07465	0	0	0	0.00534	0	0	0.17103	0	0.06085	0	0.02217	0.03794
Healthy	0.001	0.00057	3.48166	0.35787	0	0	0	0	0	0	0.001	0	0	0	0	0.0213	0	0	0	0
Healthy	0	13.26212	0	0	3.08153	0.01405	0.00587	0.03414	0.1028	0	0	0.06855	0	0	0.00717	0.04316	0.00328	0.00587	0	0.1318
Healthy	22.0448	0.22768	0	0	0	0	0	0	0	0	22.0448	1.40747	0	0	0	0	0	0	0	0
Healthy	0.06826	2.64777	1.00904	0.55048	0.78229	0	0	0	0	0	0.06826	0.54808	1.3206	0	0.73448	0	0.05084	0	0	0.01371
Healthy	0	1.44466	0	0.45585	0.048	0.05118	0	0.01788	0	0	0	0.06768	0.31429	0	0.21222	0	0.00717	0	0	0
Healthy	0	0	4.07327	0	0	0	0	0	0	0	0	0.00652	0	0	0	0.04112	0	0	0	0
Healthy	0	0	0	0	0	0	0.03579	0	0	0	0	0.61883	0.74854	0	0.61503	5.59311	0	0.03579	0	0
Healthy	2.16585	9.11526	0.006	1.57722	0.00176	0.115	0.00185	0	0.02547	0.00715	2.16585	1.21272	0.05739	0	0.03171	0.04074	0.0996	0.00185	0.1931	0.02591
Healthy	0	2.39061	1.05361	0	0.17154	0	0.01483	0	0	0	0	0.25985	0.18752	1.1635	0.9898	0.83487	0.00468	0.01483	0	0
Healthy	0	5.58462	0	0	0	0	0	0	0	0	0	0.44409	0	0	0	0	0	0	0	0
Healthy	0	0.56803	0	0.77123	0	0	0	0	0	0	0	0.76435	0.10338	0	0.14238	0	0.07354	0	0	0
Healthy	0	15.15027	0	0.80435	0	0	0	0.02339	0	0	0	0.07088	0	0	0.01467	0	0.22674	0	0	0
Healthy	0	21.15693	0	0	0	0.02314	0.18985	0	0	0	0	0.09729	0.00303	0	0.11971	0.13135	0.11767	0.18985	0	0
D014607	0.04508	0.85211	2.01938	0	0	0	0.08094	0	0	0.00295	0.04508	0	0.04127	0	0	0.03284	0.04052	0.08094	0	0
Healthy	0	15.74561	0	0.6687	0	0	0	0.04787	0	0	0	0.00719	0	0	0	0	1.37496	0	0.03619	0
Healthy	0	3.67145	0.25682	0	0	0.28256	0.04164	0	0	0	0	0.06107	1.83125	0	0.44762	0	0	0.04164	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	2.27085	0	0	0	0	0.03047	0	0	0.47181	0	0.26372	0	0	0.09569	0	0	0.03047	0	0
Healthy	0	17.9083	0	0.78643	0	0	0	0	0.02226	0	0	0.10532	0	0.26428	0.03861	0.69592	0.06815	0	0	0
Healthy	0	6.74889	0.03994	0	0	0	0.05818	0.02331	0	0	0	0.02088	0	0	0.02222	0	0.45694	0.05818	0.03337	0
Healthy	0.07813	0.04698	1.55509	0	0.921	0	0	0	0.00249	0	0.07813	0.00098	0.0057	0.00033	0	0.04568	0.05841	0	0.26556	0.18188
Healthy	0	6.03102	0	1.2265	0	0.00991	0.00081	0.00493	0.01353	0	0	1.90885	0.4236	0	0.2009	0.23021	0.33564	0.00081	0	0
Healthy	0	18.47392	0.14131	1.18435	0	0	0.00583	0.00324	0	0	0	0.10871	0.00184	0	0.05364	0	0.14467	0.00583	0.04629	0
Healthy	0	15.91641	0.06081	0.74343	0	0.04375	0.21323	0.06924	0	0	0	0.08232	0.0417	0	0.01625	0	0.03199	0.21323	0	0
Healthy	0	3.27176	0	0	0	0	0	0	0.00393	0	0	0.47476	0.64885	0	0.5695	0.33905	0	0	0	0
Healthy	0.10716	24.93224	1.9574	1.0316	0	0.10666	0	0.24102	0.02787	0.43996	0.10716	2.38918	0.33337	0	0.53731	0	0.00151	0	0.00867	0.25813
Healthy	0	0.23302	0.08339	0	0	0	0	0	0	0	0	0.54617	0.92778	0	1.03063	0.29412	0.01299	0	0	0
Healthy	0	6.0314	12.8743	1.36033	0	0	0	0.04885	0	0	0	0.16772	0	0	0	0	0	0	0	0
Healthy	0	0.69834	0	0.90465	0	0	0	0	0	0	0	0.14855	0	0	0.0672	0.1014	0.1962	0	0	0.07661
Healthy	0.0149	4.07638	0.03899	0.57563	1.01906	0.00631	0.35586	0.05114	1.59318	0	0.0149	3.819	3.24101	0	1.72681	0	0.05195	0.35586	0	0.00662
Healthy	0	0.75727	0	0.96424	0	0	0	0	0	0	0	0.17079	0	0	0.07802	0.10583	0.24336	0	0	0.06067
Healthy	0	0.14918	0	0	0	0	0	0	0	0.10449	0	0.10752	13.9056	5.0336	0.21913	0	0.3187	0	0.10242	0.01596
Healthy	0	6.76396	0.02492	0	0	0	0.05234	0.01685	0	0	0	0.03882	0	0	0.02816	0	0.44802	0.05234	0.03791	0
Healthy	0	1.3937	0.53569	0	0	0.0102	0.07455	0.10547	0	0	0	0.96394	0	0	0	0	0.60169	0.07455	0.1657	0.10064
Healthy	1.3835	2.76905	0	0	0	0	0.50243	0	0.42209	0.14304	1.3835	0.33099	0.15893	0	0.30864	0	0	0.50243	0	0
Healthy	0	0.82889	0	0.88813	0	0	0	0.00509	0	0	0	0.09527	0.5952	0	0.57454	0.0587	0.01982	0	0	0.00039
Healthy	10.03096	7.31036	0	0	0.27699	0.02427	0	0	0	0	10.03096	0.54105	0.08241	2.59134	0.13554	0	1.03877	0	0.00778	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	1.40469	0	0.38874	0	0	0	0	0
Healthy	0	15.23281	0.06901	0.64388	0	0.21528	0.14429	0	0	0	0	0.13573	0	0	0	0	0.01891	0.14429	0	0
Healthy	0	2.52645	0	0	0	0	0	0	0.29903	0	0	0.38943	0.22762	1.90138	0.82447	0	0	0	0	0
Healthy	0.03589	19.81501	0.60334	0.76261	0	0.3145	0.02935	0	0.13777	0	0.03589	0.0632	0.01158	0	0.03261	0	0.12792	0.02935	0.00774	0.02628
Healthy	0.00376	0	98.5792	0	0	0	0	0	0	0	0.00376	0	0	0	0	0.20092	0	0	0	0
Healthy	0	10.85603	0	0	0	0	0.00159	0.05598	0	0	0	0.02897	0.01145	0	0.12558	0	0.13428	0.00159	0	0
Healthy	0	9.67044	0.08659	0	0	0.3605	0	0.0017	0.00538	0	0	0.02226	0.15182	0	0.32688	0	0.24458	0	0.05627	0.03073
Healthy	45.57342	9.58445	0	1.10801	0.31084	0.03465	0	0	0	0	45.57342	0.31814	0	0.92096	0.00434	0	1.37618	0	0	0
Healthy	33.85975	4.31237	0.06642	1.28278	0.98814	2.19676	0.03685	1.42583	0	0	33.85975	0.16332	0	0	0	0	0.34539	0.03685	0	0
Healthy	0	32.52076	0	0.89772	0	0.25947	0.15062	0	0	0	0	0.01999	0.02981	0	0.10665	0	0.15638	0.15062	0	0
Healthy	2.4831	4.80774	0	0.54139	0.09647	0.03651	0	0	0	0	2.4831	4.69328	1.77341	0	2.53405	0	0.00192	0	0	0.00114
Healthy	0	18.21711	0.10839	1.17912	0	0	0.00591	0.00325	0	0	0	0.07952	0.01538	0	0.03201	0	0.13189	0.00591	0.03002	0
Healthy	0	22.35205	0.05429	0.087	0	0.00645	0.00736	0.00801	0	0	0	1.48905	0	0	0.01296	0	0	0.00736	0	0
Healthy	1.18536	3.62846	0.03932	0	0	0	0.37716	0	0.42563	0.09546	1.18536	0.16194	0.20458	0	0.18937	0	0	0.37716	0	0
Healthy	6.42452	0.59242	0	0	0	0	0	0	1.99536	0	6.42452	1.01117	0.39173	0	2.27303	0	0	0	0	0
Healthy	0	3.88226	18.7087	1.42511	0	0	0.00128	0.0258	0	0	0	0.50378	0.35418	0	0.64735	0	0.06236	0.00128	0.01513	0.96241
Healthy	0	0.72997	0	0.86403	0	0	0	0	0	0	0	0.24264	0	0	0	0.02277	0	0	0	0
Healthy	0	14.58101	0.0278	1.74706	0	0	0.00294	0.07483	0	0	0	0.10722	0	0	0.20467	0	0.0777	0.00294	0	0
Healthy	0	14.46977	0.08366	1.82906	0	0	0.32872	0.0955	0	0	0	0.18335	0.01414	0	0.14695	0	0.112	0.32872	0	0
Healthy	42.27842	0	0	0	0	0	0	0	0.469	0	42.27842	0	0.40215	0.55058	0.47109	0.7789	0	0	0	0
Healthy	0	2.57447	0.93792	0	0	0	0.01733	0.02693	0	0	0	3.32579	0	0	0.04106	0	0.16196	0.01733	0	0
Healthy	10.22659	6.96123	0	0	0.32866	0.01631	0	0	0	0	10.22659	0.48914	0.06458	2.61111	0.10071	0	0.97292	0	0	0.01261
Healthy	2.53701	0.69293	0	0.00625	0	0.00159	0	0	0.01647	0	2.53701	3.04573	0.70188	0	0.4285	0	0	0	0	0
Healthy	0	7.49263	0	0	0	0.00972	0	0.06882	0.02599	0	0	0.54555	0	0	0.02228	0	0.04778	0	0.00347	0.01894
Healthy	0	21.01195	0.40305	0.53143	0	0.21142	0.00292	0	0.12079	0	0	0.10849	0.08905	0	0.15246	0	0.2467	0.00292	0.01875	0
Healthy	0	6.6584	0.07667	0.33638	0	0	0.05759	0.02587	0	0	0	0.02278	0	0	0.02893	0	0.41731	0.05759	0.03288	0.01119
Healthy	0	2.16596	0	0	0	0	0	0	0	0	0	0.4404	0.11044	0	0.02554	0	0	0	0	0
Healthy	44.77652	9.20617	0	0.84213	0.49794	1.40025	0	1.51706	0	0	44.77652	0.51071	0	0.03393	0	0	0.10476	0	0	0
Healthy	0	1.72731	0	0.54183	0	0	0.00502	0.04407	0.0476	0	0	2.22292	2.08672	0	0.67082	0.00291	0.00227	0.00502	0	0
Healthy	0	0	0.83258	0	0	0	0	0	0	0	0	0.09223	0	0	0	0	0.0117	0	0	0
D014607	0.37388	0.01591	4.39374	2.04023	0	0.17687	0	0.1301	0.14477	0	0.37388	0.05535	0	0.00485	0.02105	0	0.1005	0	0.00126	0.13562
Healthy	0	6.5293	0.06156	0	0	0	0.0443	0.0171	0	0	0	0.01068	0	0	0.03174	0	0.4319	0.0443	0.03143	0.0023
Healthy	0	1.67391	1.45409	0	0	0	0	0	0	0.87144	0	1.99063	2.02546	0	4.79598	0	0	0	0	0
Healthy	0	7.87175	0.16735	0	0.19438	0	0.01774	0.00419	0	0	0	4.31877	0.01486	0	0	0	0.09508	0.01774	0	0
Healthy	0	15.70364	0	0.70327	0	0.04085	0.03256	0.12518	0.04037	0	0	0.02933	0.46783	3.05144	0.30056	0	0.0521	0.03256	0	0
Healthy	0	0	2.02224	0	0	0	0	0	0	0	0	0.04327	0	0	0	3.13259	1.5231	0	2.66293	3.21278
Healthy	1.85287	0.08709	0	0	0	0	0	0	0	0	1.85287	4.14962	1.43192	0	0.38671	0	0	0	0	0
Healthy	0.0984	2.58937	0.15482	1.30545	0.63225	0.01124	0.00225	0	0.83432	0	0.0984	2.01868	0.3238	0	0.4016	0.1722	0.06636	0.00225	0	0.00066
D014607	45.24468	0.56303	0.84484	0.16343	0.03239	0	0.3176	0	0	0.00321	45.24468	0.0954	0.07941	0.48606	0.01093	0.01271	0.36646	0.3176	0	0.02103
Healthy	0	0	0.00788	0.37918	0	0	0	0.07206	0	0	0	0.01859	0	0	0	0	0	0	0	0
Healthy	0	0.28979	0.05773	0	0	0	0.09601	0	0.16542	0.07134	0	0.43308	0.87643	0	0.186	0.45858	0.07164	0.09601	0.02694	0.01645
Healthy	0.53121	0	0	0	0	0	0	0	0	0	0.53121	3.59132	0.77708	0.9355	0.75495	0	0	0	0	0
Healthy	1.63491	2.86934	0.53587	0.60569	1.09579	0.0202	0	0.02369	0	0.34477	1.63491	0.61129	0.11822	0	0.09926	0.17564	0.10873	0	0.06033	0.06559
Healthy	17.1115	2.15653	0.62791	0	0	0	0.55197	0.07429	0	0.75623	17.1115	0.43635	0	0	0.03046	0	0.14366	0.55197	0	0.32726
Healthy	0	4.25002	0	0.5598	0	0.09093	0.00649	0.12538	0	0	0	0.3498	1.38609	2.27543	0.34256	0	0.00858	0.00649	0.01155	0.00433
