group	Bacteroides_stercoris	Phocaeicola_plebeius_B	Prevotella_copri_A	Phocaeicola_sp900554435	Bacteroides_eggerthii	Phocaeicola_coprocola	Bacteroides_sp900066265	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Flavonifractor_sp000508885	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Mediterraneibacter_torques	Alistipes_A_indistinctus	Clostridium_A_leptum	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0	0	0	0	0	0	0	0	0.02636	0	1.13631	0	0	0	0.42876	0	1.56588	0.00947	0.07849	0
Healthy	0	0	18.1055	0	0.52759	0	0	0	0	0	0.91493	0.09861	0.92764	0	0.08574	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.40816	0.48243	0	0.00506	0.45022	0	0.02251	0.0093	0
Healthy	0	0	9.43514	2.39418	0.12166	0	0	0	0	0	0.71208	0	0	0	0.55754	0	0	0	0	0
Healthy	0	11.1923	0	0	0	0	0	0.29246	0	0	1.19222	0	1.27209	0	0.01182	0.12226	0.0107	0.00964	0.02467	0
Healthy	25.3283	0	0	0	0	0	0.07523	0	0.0199	0.2948	1.26293	0	0	0	0.02543	0	0	0.12004	0.05902	0.2948
Healthy	1.31805	0.02122	0	0	4.764	0.03219	0	0	0.0013	0	0.30933	0.12934	0.86467	0.00297	0.0276	0.02955	0.02199	0	0	0
Healthy	0.30077	0	11.1162	0	0	0.29548	0	0	0	0	0.10865	0.00287	3.04967	0	1.42026	0.08567	0	0.01382	0.05891	0
Healthy	0	1.33698	0	0	0	0	0	0	0	0	0.10697	0	0	0	0.02148	0	0	0	0.12175	0
Healthy	0	0	21.9617	0	0	0	0	0	0	0	0	0	0	0	0.07175	0	0	0.00173	0	0
Healthy	0.326	0	6.70095	0.52606	0	0	0	0	0.01955	0.10562	1.6873	0	0	1.53603	1.68104	0.00949	0.0306	0.68732	0.04911	0.10562
Healthy	0.61237	0	2.06912	3.7903	0	0	0.58692	6.40599	0	0	0.00543	0	0.22406	0	0.47254	0	0.02454	0	0	0
D001528	4.59149	0.03375	19.307	0.00076	0	0.79977	0.39587	0	0.05764	0.03266	3.46243	13.5823	3.58099	0	0.00142	0	0	0.00038	0	0.03266
Healthy	0	0	0	0	0	0	0	0	0	1.79372	0	0	0	0	15.9755	0	0	0	0	1.79372
Healthy	0	5.98611	0	0	0	0	0	0	0	0	1.81156	0	0.9083	0	0.30117	0	0	0	0.0283	0
Healthy	4.71351	0.00599	0.04418	0.00472	0.03387	7.74698	0.0621	5.59498	0.00373	0	0.1104	3.8931	0	0.02554	0.21964	0.01269	0	0.00064	0.00015	0
Healthy	0.00168	0	32.1609	0	2.2985	9.26696	1.94612	0	0	0	0.04709	0	0	0	0.0413	0.04188	0	0	0.32161	0
Healthy	1.59053	7.23257	51.6685	1.51624	0.32702	0	0.88461	0	0.03054	0	1.54925	0	0.93324	0.21272	0.0288	0.11803	0	0.00058	0.15155	0
Healthy	17.6705	0	0	10.622	0	0	21.8649	0	0	0.02253	0.27609	0	0	0	0	0	0	0.03174	0.50884	0.02253
Healthy	0.13035	0.31997	9.36706	3.7759	0	0	0	0	0	0	0	0	0	0	1.77151	0	0	0	0	0
Healthy	15.9118	0	0	0	0	0	0	0	0.24772	0.0181	0.12846	0	0.3977	1.75159	0.14002	0	0.10615	0.15307	0.01507	0.0181
Healthy	14.1573	0	0	0	0	0	0.28543	0	0	0.00323	0	0	0	0	0.021	0	0.0289	0.00744	0	0.00323
Healthy	1.52306	0	0.00254	8.84801	0	0	1.56027	0	0.01535	0.00226	0.28987	0	1.15443	0.18363	0.03688	0.03022	0.07635	0.08237	0.18042	0.00226
Healthy	0.00046	0	0	6.17339	2.50581	0	0	0	0	0	0.35215	2.24124	2.09009	0	0.03178	0.03859	0.02497	0.06652	0	0
Healthy	1.43591	0	0	0	0	0	0	0.60872	0	0	0.748	0	0	0	0.11753	0	0	0	0.04446	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.04965	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0.00889	0	0.67988	1.83111	0	0	0.00952	0.04634	0.00615	0.03921	0	0
Healthy	0	0	0	0	6.51424	0	5.28496	0	0	0	0.05062	0	0	0.95987	0.3072	0	0	0	0.01528	0
Healthy	0.59946	4.35461	0	4.34157	0	14.1889	0	0	0.0616	0.00268	1.10155	0	1.03624	0	0.03166	0.21338	0.14094	0.01274	0.00829	0.00268
Healthy	0	1.26699	0	0	2.95016	0	0	0.0726	0.0663	0	2.3292	0	1.48318	0.44937	0.00251	1.12029	0	0.05382	0.19327	0
Healthy	0	0	0	0	0	0	0	0	0	0.00652	0	0	0	0	0.04221	0	0	0.00254	0	0.00652
Healthy	0.00183	0	0	3.8003	0	0	0	0.39728	0.10324	0.06212	2.72089	0	0	0.60782	0.02034	0	0.11266	0.1453	0.002	0.06212
Healthy	2.20567	0	26.4523	0	0	0	0	0.10753	0	0	0.56692	4.30761	0	0	0.029	0.17996	0	0	0	0
Healthy	0	0	0	0	0	13.7189	1.37771	0	0.04112	0	0.94628	0	1.4674	0	0.01323	0.25254	0	0	0.00901	0
Healthy	0	0	0	0	0	0	0	0	0.01514	0.04847	0	0	0	0	1.13657	0	0	0	0	0.04847
Healthy	23.2176	0	0	0	0	0	0	0	0.05915	0	1.58763	0	0.71018	0	0.26291	0.02569	0	0	0.24334	0
Healthy	0.03278	0	0	0	0	0	0	0	0	0.0386	2.7457	1.44167	2.31782	3.66252	0.15612	0.03009	0	0.12172	0.01697	0.0386
Healthy	0.0098	17.7284	0	1.87074	0	0	0	2.1586	0.00573	0.0178	1.29106	0	0.69215	0	0.01434	0.17786	0.01879	0.00531	0.06115	0.0178
Healthy	1.27045	0	0	7.92981	0	0	0	0.23733	0	0	0.47009	2.12136	0.98932	13.66	0.65814	0.05137	0.11644	0.02715	0	0
Healthy	0	0	9.96416	0	0	0	0	0	0	0	0	0	0	0	1.0576	0	0	0.30461	0	0
Healthy	0	4.33873	0	0	10.2668	0	0	0	0	0	0.2092	0	0.84408	0	0.30163	0.00799	0.00619	0.08103	0.08967	0
Healthy	0.23735	0	8.98375	1.35237	0	0	0	0	0.02023	0.0029	1.15163	0	0	0.4474	0.14899	0.0229	0.0461	0.87624	0	0.0029
Healthy	17.7601	0	0	0	0	0	0	0	0.06767	0	1.69165	0	1.23081	0	0.02225	0.04588	0	0.07362	0.11188	0
Healthy	22.6465	0	0	0	0	0	0	0	0.06141	0	1.64761	0	0.77326	0	0.04774	0.03195	0	0.01522	0.26229	0
Healthy	13.0409	0	0	0	0	0	0.5362	0	0	0	0.09029	0.04924	0	0.07713	0.54005	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.14612	0	0	0	0.01436	0	0	0.03935	0	0
Healthy	12.2382	0	0.01328	0	0	0	0	0.04715	0.0012	0.00503	0.03848	0	0.45607	0	0.22934	0.0182	0.01243	0.21041	0.02565	0.00503
Healthy	0	9.80824	0	0	0	0	0	0	0	0	1.07334	0	0	0	0.04087	0	0	0	0.05455	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15966	0	0	0	0	0
Healthy	0.00318	0	0	6.48184	10.1871	3.14863	0	0	0.03452	0.00098	1.2034	0	3.30425	3.90124	0.03239	0.09568	0.03382	0.02063	0	0.00098
Healthy	0	0	0	0	0	0	0	0	0.07883	0.03838	0.80032	0	1.03995	0	0.03607	0.06004	0	0.06169	0.29286	0.03838
Healthy	0	0	0	0	0	0	0	0.00783	0.12271	0	0	10.9103	0	0	0.18846	0	0.00014	0	0	0
Healthy	0	0	0	0	0	0	0	0	0.08855	0	1.34397	0	2.06509	0.69698	0.00782	0	0	0.2895	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.51823	0	0.55504	0	0.19626	0.1397	0.52165	0.0481	0.21457	0
Healthy	0	0	0	0	57.8833	0	0	0	0.00251	0.18101	0	0	0	0	0.02773	0	0.35951	0.00861	0.0857	0.18101
Healthy	1.06311	0	25.9088	1.34036	0	0	0.57098	0	1.51724	0.0137	2.00689	0	1.31168	0	0.2647	2.15701	0.13615	0.39177	0.04583	0.0137
Healthy	0	0	0	0.11814	0	0	0	0	0	0	0.1926	0	0	0.78176	0	0	0	0	0	0
Healthy	0	0	0	5.90502	0	0	0.08979	0	0.06513	0	1.20056	0.15651	0	3.68885	0.54828	0.00799	0	0.04008	0	0
Healthy	18.2388	0	0	0	0	0	0	0	0.037	0.00071	1.94877	0	1.39468	2.2582	0.06786	0	0.00424	0.12296	1.28454	0.00071
Healthy	0	0	0	0	0	0	0	0	0	0	1.6514	0	0	0	0	0.24095	0	0.01668	0.26069	0
Healthy	0.26376	0	7.17452	0.5959	0	0	0	0	0.0128	0.09636	1.6358	0	0	1.65739	1.83505	0.00624	0.05176	0.57286	0.00459	0.09636
Healthy	0.79895	0	0	0	10.2844	0	0.71147	0	0	0	0.019	0	1.1273	0	0.58192	0	0	0	0.01474	0
Healthy	0	0	0	0	0	0	0	0	0.05737	1.59455	0	0.1002	0	0	2.18411	0	0.20168	0.06747	0	1.59455
Healthy	0.02077	0	0	3.93028	9.31664	8.96198	0.09846	0.02427	0.01639	0	0.05927	0	1.03345	0	0.0348	0	0	0.0234	0	0
Healthy	0	0	0	0	5.76516	0	0.89573	0	0	0	0.13212	0	0	0	0.06129	0	0	0	0.04035	0
Healthy	0	0	0	0	0	0	0	0	0.09831	0.43714	0.05958	0	0	0	1.23277	0.04504	0.15275	0.15397	0.08025	0.43714
Healthy	0	0.03558	0	1.47976	0	0.37173	0	0	0	0	0	0	0	0	0.40197	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0.65635	0.00189	0	0.28267	1.15039	1.1161	4.91021	0.02446	0.01655	0	0.01676	0	0
Healthy	0	0	0	5.73941	0	0	0.10035	0	0.06104	0	1.14932	0.19017	0	3.6468	0.46466	0	0	0.04544	0	0
Healthy	0	0	0	0	0	0	0	0	0.10029	0.08478	0.76034	0	0.99432	0	0.06813	0.02679	0	0.06176	0.29889	0.08478
Healthy	0	0	0	0.19643	0	0	0.28617	1.17619	0	0	0.06462	0	0	0	0.20105	0	0	0	0	0
Healthy	6.41657	0	0.0022	6.38856	0	0	2.98671	1.64255	0.03635	0	0.11371	8.85718	0.59341	0	0.00706	0.26567	0	0.00299	0.13187	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.50845	2.86579	1.76986	0	0.04272	0	0.10797	0.06442	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	4.81957	0	0	0	0	0	0	0.04782	0	0.74523	0.31115	0.17836	0.01845	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	1.70662	1.64924	0	0	0	0	0.1613	0.6039	0.03695	0.12857	1.70662
Healthy	0	0	0	14.2983	0	0	1.58023	0	0.18939	0.01813	2.90099	5.92629	0.75776	0.77957	0.20381	0.05469	0	0.00734	0.0276	0.01813
Healthy	0	0	0.06139	22.344	0	0	0	0	0.03612	0.00454	0	0	0.78479	0.29232	0.45415	0	0	0	0.04209	0.00454
Healthy	0	0	0	0	0	0	0	0	0	0	0.64943	0.29073	2.25825	0	0.11165	0	0	0	0.00574	0
Healthy	0.82009	0	0.15669	0	0	0	4.14672	0	0	0	16.5611	1.38231	2.31492	0	0.07743	0	0.05467	0.03175	0	0
Healthy	0	0	0	0	0	0	0	0	0	0.00315	0	0.0035	0	0	0.01807	0	0	0.00206	0	0.00315
Healthy	0.00132	0	0	0	0	0	0	0.00456	0.06353	0.07731	0	0	0	0	0.01503	0	0.98499	0.05464	0.00678	0.07731
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.77874	0	0.00489	0.13794	0	0	0	0	0
Healthy	0	0	66.7552	0	0	0	0	0	0	0.04909	0	0	0	0	0	0	0	0	0	0.04909
Healthy	0.00351	1.31915	0	0	0	0	1.46242	0	0.12245	0	0.39962	0	0.58748	0	0.35965	0.08978	0.09277	0.01037	0.00396	0
Healthy	1.66756	5.68304	0	0	0.9767	0	0.19043	0.27508	0	0	0.15614	0	0	0	0.37445	0	0	0	0	0
Healthy	0.15933	0	0	0.56203	0	0	1.24548	0	0	0	3.82212	1.16431	1.88591	0	0.17201	0.05238	0	0.14019	0	0
Healthy	20.3259	0	0	8.441	0	0	4.28833	0	0.01952	0	0.74061	0	0	0	0.39585	0	0	0.04626	1.07698	0
Healthy	2.69875	0	0	0	0	0	4.4505	0	0	0	3.57185	2.82169	0	0	0.4696	0.04842	0	0.14537	0.35965	0
Healthy	0	0	0	23.8925	0	0	0	0	0	0	0.03365	0	0	0	0.1563	0.18968	0	0.0164	0.10417	0
Healthy	2.59553	0	0	0	0	0	4.68052	0	0	0.02194	3.33967	2.57858	0.81242	0	0.23565	0.06401	0	0.14807	0.433	0.02194
Healthy	0	0	0	0	0	0	0	0	0.04101	0.0101	0.2961	0	0.35517	0.2265	0.29763	0.02107	0.14936	0.08083	0.14252	0.0101
Healthy	2.68119	0	0	4.02156	0.36126	4.17995	0.01304	0	0	0	0.0723	0	0.24283	0.01192	0.08616	0	0	0	0	0
Healthy	12.624	0.00777	0.06453	17.1072	24.7709	0.03358	0	0	0.04377	0.13021	0.31732	0	0	0	0.02649	0.17847	0	0	0	0.13021
Healthy	8.65806	0	0	0	0	0	0	0	0	0	1.38524	0	0	0	0.19882	0.01862	0.05067	0	0	0
Healthy	2.40987	0	0	2.36658	0	0	0	0.14046	0	0	0.26058	0	0.3186	0	0.15212	0	0.04397	0.01003	0.04103	0
Healthy	4.83854	0	0	0	0	0	0	0.16545	0	0	0.51666	0.21396	0.52544	3.47921	0.04213	0	0.00777	0.00713	0	0
