group	Agathobacter	Collinsella	Enterocloster	Anaerobutyricum	Bariatricus	Holdemanella	Blautia_A	Dorea	Eubacterium_I	Coprococcus_A	Faecalibacterium	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Collinsella	Bariatricus	Blautia_A	Dorea
Healthy	3.61844	1.54424	0	0	0.03493	0	0.01392	0	0	0.01254	17.6948	3.61844	0	6.26508	0	0	1.54424	0.03493	0.01392	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	1.08551	0	0	0	0	0	0	0
Healthy	5.72996	0.03842	0	0.48971	0	0.30649	0.28034	0	0.04915	0.05097	7.32277	5.72996	1.62933	1.53978	0.31199	0	0.03842	0	0.28034	0
Healthy	0	0.7365	0.05359	0	0	0.75529	0.03091	0.00941	0	0.17018	0.42489	0	2.68617	0.00483	2.11832	0.05359	0.7365	0	0.03091	0.00941
Healthy	5.60707	0.49429	0	0	0.21116	0	0.05782	0.04852	0	0	4.03048	5.60707	0.65517	1.77242	0.18522	0	0.49429	0.21116	0.05782	0.04852
Healthy	0.0005	0	0.58096	0.72357	0.17399	0	0.22132	0.15365	0.083	0.13214	9.03523	0.0005	0	0.82085	0.99496	0.58096	0	0.17399	0.22132	0.15365
Healthy	0	0	2.50732	0	0	0	0	0	0	0	2.54791	0	0	0	1.07531	2.50732	0	0	0	0
Healthy	29.5193	1.0425	0	1.20764	2.31611	0	1.25493	0.44661	0.87899	0	10.7144	29.5193	0.0269	3.34808	0.18316	0	1.0425	2.31611	1.25493	0.44661
Healthy	7.21232	0.25647	0.66394	0.46954	0.30616	0	0.58059	0.12463	0.18735	0.26502	38.2226	7.21232	0.41558	2.55695	2.49479	0.66394	0.25647	0.30616	0.58059	0.12463
Healthy	0	0	0.38117	0	0.00774	0	0.06063	0	0	0	7.91341	0	0	0.59844	0.20534	0.38117	0	0.00774	0.06063	0
Healthy	10.5859	0.01273	0.12037	0.24154	0.13546	0.13944	0.1896	0.00767	0.02901	0.12987	3.97903	10.5859	7.70607	4.3108	0.44472	0.12037	0.01273	0.13546	0.1896	0.00767
Healthy	1.17684	1.22308	0	0.69629	0	0	0.28555	0.36259	0.09466	0	2.98065	1.17684	0	0.59711	0.13769	0	1.22308	0	0.28555	0.36259
Healthy	2.31236	0	0.08012	0.01504	0.09593	0	0.16649	0.02393	0.03571	0.00761	5.18037	2.31236	0.69049	2.73739	0.09294	0.08012	0	0.09593	0.16649	0.02393
Healthy	0	0	2.24803	0	0	0	0.05943	0	0	0	0.04351	0	0	0	0.02254	2.24803	0	0	0.05943	0
Healthy	10.7673	0.15854	0.26739	0.61552	0.41414	0	0.31594	0.17051	0.26662	0	4.53971	10.7673	0	5.50568	0.34319	0.26739	0.15854	0.41414	0.31594	0.17051
Healthy	1.16578	1.02178	2.77305	1.21709	1.56965	0.18761	0.87095	0.19347	0	0	20.6505	1.16578	2.21564	0	0	2.77305	1.02178	1.56965	0.87095	0.19347
Healthy	18.6668	0.29192	0.48328	0.2175	1.09262	0.98526	0.07195	0.14297	0	0.20564	6.70341	18.6668	4.99296	4.72403	0.38488	0.48328	0.29192	1.09262	0.07195	0.14297
Healthy	0.81997	0	0	0	0	0	0	0	0	0	1.62073	0.81997	0	0	0.15826	0	0	0	0	0
Healthy	0	0	4.4627	0	0	0	0	0	0	0	0.21362	0	0	0	0.08944	4.4627	0	0	0	0
Healthy	0.80535	0.37188	0.24019	0.06487	0.18429	0.19271	0.10387	0.0464	0	0.01709	2.35233	0.80535	4.77136	2.42681	0.48594	0.24019	0.37188	0.18429	0.10387	0.0464
Healthy	0	0	1.76572	0	0.00328	0	0	0	0	0	3.42408	0	0.86875	0.29822	1.87865	1.76572	0	0.00328	0	0
Healthy	0	1.08593	0.05183	0.03327	2.0478	0.01133	0.00672	0	0	0	0.58674	0	5.33176	1.45402	4.29913	0.05183	1.08593	2.0478	0.00672	0
Healthy	10.3496	0.78563	0.5509	0.06031	0.58929	0.08913	0.24075	0.44124	0.36417	0.13347	21.1607	10.3496	3.60727	0.89345	0.73659	0.5509	0.78563	0.58929	0.24075	0.44124
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22869	0	0	0	0	0
D009765	13.3317	4.03812	3.3106	2.48912	4.1119	0.17912	1.97465	0.83148	2.07983	1.33819	10.9907	13.3317	12.7222	4.96065	0.64599	3.3106	4.03812	4.1119	1.97465	0.83148
Healthy	0.27024	0	1.55214	0.89359	0.82204	0	0.49533	0	0.09945	0.24302	7.45658	0.27024	5.00119	0.47883	0.12846	1.55214	0	0.82204	0.49533	0
D009765	6.12761	3.28894	1.50294	0.36474	0.77915	0.35858	0.47495	0.67067	0.19512	0.34842	17.3579	6.12761	0	0.33243	0.58174	1.50294	3.28894	0.77915	0.47495	0.67067
Healthy	1.06642	1.76288	1.21705	2.1455	0	0	0.25937	0.31798	0	0	8.58237	1.06642	0	1.12956	0.54637	1.21705	1.76288	0	0.25937	0.31798
Healthy	1.66709	0	0.13399	0.09494	0.13483	0	0.03408	0.08427	0.04794	0.01274	0.42426	1.66709	2.21099	11.57617	0.57036	0.13399	0	0.13483	0.03408	0.08427
Healthy	7.64465	0.89999	0.12011	0.10134	0.13181	0	0.14399	0.06787	0.13408	0.12056	26.121	7.64465	3.68932	0.0559	0.14104	0.12011	0.89999	0.13181	0.14399	0.06787
Healthy	0	0	5.91315	0	0.00947	0	0.03879	0.06041	0	0	3.24652	0	0.76791	0	0.01859	5.91315	0	0.00947	0.03879	0.06041
Healthy	0	0	6.2094	0	0	0	0	0	0	0	3.22054	0	0.65685	0	0.0065	6.2094	0	0	0	0
Healthy	1.44884	0.04032	0.01695	0.01208	0.04898	0	0.08497	0.02618	0.02851	0.09428	9.97329	1.44884	0.88818	3.34081	0.14027	0.01695	0.04032	0.04898	0.08497	0.02618
Healthy	2.83793	0	0.887	0.00491	0.00059	0	0.01013	0.00102	0.0338	0	15.3799	2.83793	0.18508	0.36071	0.08427	0.887	0	0.00059	0.01013	0.00102
Healthy	1.41871	0.47648	0.02514	0.02214	0	0	0.01654	0	0	0	1.85571	1.41871	1.14436	1.35127	0.40573	0.02514	0.47648	0	0.01654	0
D009765	2.1443	9.23851	4.38737	6.13222	1.11382	0.13589	1.36405	0.30615	0.53095	0.75849	1.40808	2.1443	18.7087	9.62064	0.4062	4.38737	9.23851	1.11382	1.36405	0.30615
Healthy	4.41124	0.23259	0.1178	0.50495	0.49351	0	0.26913	0.11979	0.04567	0.05246	4.9223	4.41124	1.46709	0.37688	0.0469	0.1178	0.23259	0.49351	0.26913	0.11979
Healthy	1.7261	4.03141	0.17316	0.07043	0.12964	2.00441	0.41087	0.30426	0.31189	0.36277	29.9608	1.7261	5.11493	0.23141	0.05509	0.17316	4.03141	0.12964	0.41087	0.30426
Healthy	0.52253	0.05517	0.28505	0.1051	0.15398	0.01264	0.06157	0.03175	0	0	6.33361	0.52253	1.77324	1.04024	0.2077	0.28505	0.05517	0.15398	0.06157	0.03175
D009765	6.38483	6.04817	0.18008	1.54478	2.17008	0.83509	1.93137	0.81433	1.95145	0.41591	3.86922	6.38483	3.66491	4.98376	0.20039	0.18008	6.04817	2.17008	1.93137	0.81433
Healthy	16.1865	1.66854	1.60881	1.6768	1.70119	0	0.81892	0.32353	0	0.35362	9.26578	16.1865	0.2046	2.71667	1.06205	1.60881	1.66854	1.70119	0.81892	0.32353
Healthy	9.65139	0.406	1.13828	0.21882	0.46676	0	0.11198	0.01638	0	0	10.7155	9.65139	0.67651	0.30214	0.12706	1.13828	0.406	0.46676	0.11198	0.01638
D009765	0	5.62416	1.46126	1.45934	0.42433	2.92062	0.65	0	0.02098	0.5494	5.62004	0	0.58298	3.66245	0.07649	1.46126	5.62416	0.42433	0.65	0
D009765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.98243	0.49985	0.23235	0.02564	0.0365	0	0.09891	0.0423	0	0	4.99013	1.98243	0.30155	0.51524	0	0.23235	0.49985	0.0365	0.09891	0.0423
Healthy	1.28984	0.10993	0.70815	0.10887	0.09088	0	0.06987	0.04842	0.02611	0	8.22775	1.28984	0.73907	0.23651	0.06029	0.70815	0.10993	0.09088	0.06987	0.04842
D009765	51.1098	1.05657	0.05558	0.0437	0.12487	0	0.32633	0.10721	0.07422	0.10852	5.02359	51.1098	1.07564	2.81358	0.44513	0.05558	1.05657	0.12487	0.32633	0.10721
Healthy	5.12578	2.56278	0.45564	2.00066	0.40087	0	0.74526	0.45561	0.06306	0	8.78987	5.12578	4.24391	0.91603	0.17697	0.45564	2.56278	0.40087	0.74526	0.45561
Healthy	0	0	0.67129	0	0	0	0	0	0	0	1.35626	0	0	0	0	0.67129	0	0	0	0
Healthy	0	0	6.91824	0	0	0	0.16843	0	0	0	2.41673	0	0	0	3.42874	6.91824	0	0	0.16843	0
Healthy	7.92901	0.31322	8.52626	1.75304	1.69717	0.44758	1.01361	0.0923	0.24581	0.31468	3.05584	7.92901	2.52701	0.23068	0.72673	8.52626	0.31322	1.69717	1.01361	0.0923
Healthy	1.57861	0.63217	0	0.21378	0.05371	0	0.05603	0.04723	0.09075	0.06308	2.03666	1.57861	0	1.00829	0.62665	0	0.63217	0.05371	0.05603	0.04723
Healthy	0.59233	0.12196	0.02483	0	0.03131	0	0	0	0	0	4.05151	0.59233	0	0.44887	0.10635	0.02483	0.12196	0.03131	0	0
Healthy	0.69463	0.85814	0.11319	0.48988	0.25753	0.29884	0.24783	0.09805	0.09693	0	7.11453	0.69463	0	0.39613	0.65461	0.11319	0.85814	0.25753	0.24783	0.09805
D009765	5.23983	0	0.04185	0.37686	0.28562	0	0.20828	0.03704	0.02893	0.09898	8.20144	5.23983	1.33478	5.24049	0.25648	0.04185	0	0.28562	0.20828	0.03704
Healthy	9.81111	0.48741	2.14691	2.16175	0.47537	0	0.63829	0	0.38316	0.08859	1.37517	9.81111	0	0.07219	0.83871	2.14691	0.48741	0.47537	0.63829	0
Healthy	3.92928	0	0.37275	4.89464	1.38689	0	0.7162	0.24701	0	0.22037	18.2422	3.92928	0	14.53312	1.08358	0.37275	0	1.38689	0.7162	0.24701
D009765	0.9155	0	0.47842	0.31702	0.23436	0.14265	0.06818	0.06578	0	0	1.09289	0.9155	2.6741	0.88096	0.06129	0.47842	0	0.23436	0.06818	0.06578
Healthy	7.18614	0.01979	0.15107	0.04777	0.17359	0	0.31225	0.06409	0.06052	0.12947	2.61606	7.18614	1.55133	2.09179	0.89301	0.15107	0.01979	0.17359	0.31225	0.06409
Healthy	1.48003	0.50041	0.0291	0.01501	0	0	0	0.00348	0	0	1.82597	1.48003	1.19187	1.42562	0.37258	0.0291	0.50041	0	0	0.00348
D009765	0.87517	0	0	0	0	0	0	0	0	0	0	0.87517	2.17703	1.00563	3.27059	0	0	0	0	0
Healthy	0.6887	0	0	0	0.29735	0.49787	0.04854	0.89403	0.15211	0.36076	2.1204	0.6887	11.0754	1.82256	0	0	0	0.29735	0.04854	0.89403
Healthy	0.31176	0.29786	0.57552	0.83084	0	0	0.00646	0.17095	0	0	4.39199	0.31176	0.02113	0.85761	0.07618	0.57552	0.29786	0	0.00646	0.17095
Healthy	0.51739	0.05771	0.28523	0.10406	0.15206	0.01223	0.06431	0.02994	0	0	6.48381	0.51739	1.76257	1.0246	0.2163	0.28523	0.05771	0.15206	0.06431	0.02994
D009765	0.29257	25.5359	0.77969	0.25467	0.18211	0	0.49996	0.35806	0	0.10807	4.34587	0.29257	3.07675	1.31645	5.99845	0.77969	25.5359	0.18211	0.49996	0.35806
D009765	3.70307	0.9694	1.25081	0.39092	0.58307	1.40837	0.44031	0.37578	0.10567	0.16654	2.84771	3.70307	6.0159	0.79335	1.37917	1.25081	0.9694	0.58307	0.44031	0.37578
Healthy	0	0	0	0	0	0	0	0	0	0	7.38846	0	0	17.3409	11.0056	0	0	0	0	0
Healthy	10.7134	1.43255	0.3816	0.10117	0.62509	0	0.43667	0.37424	0.39719	0.59161	29.932	10.7134	5.60327	4.91971	1.51094	0.3816	1.43255	0.62509	0.43667	0.37424
D009765	2.2403	3.11801	1.97751	0.97479	1.87213	1.47684	1.59162	0.64098	0.42633	0.09487	27.5791	2.2403	0.05804	3.64929	0.51028	1.97751	3.11801	1.87213	1.59162	0.64098
Healthy	8.16964	0.20516	0.12401	0.90335	0	0.46948	0.27736	0	0.01942	0.10314	4.8257	8.16964	3.93231	5.08768	0.11507	0.12401	0.20516	0	0.27736	0
D009765	0	0	0.1903	0	5.64921	0	0.29463	0	0	0.06475	0.67895	0	0	6.78208	2.66911	0.1903	0	5.64921	0.29463	0
Healthy	0	1.12323	0.38654	1.32977	1.03037	0	2.89407	0.63823	0.27038	0.17445	19.1433	0	26.6047	0.34281	1.9737	0.38654	1.12323	1.03037	2.89407	0.63823
Healthy	1.11374	0.08199	0	0.04208	0	0	0.06924	0.04628	0.00807	0.00263	3.50928	1.11374	0.21341	5.85724	0.04954	0	0.08199	0	0.06924	0.04628
Healthy	0	0.14065	0.6992	0	0	0	0	0	0	0	2.43901	0	0.83582	0.09318	0.212	0.6992	0.14065	0	0	0
Healthy	1.71199	1.55855	1.2368	2.25275	0.54609	0	0.81281	0.0038	0	0	6.92447	1.71199	1.74758	0.46258	0.01785	1.2368	1.55855	0.54609	0.81281	0.0038
Healthy	0	1.20736	0	0	0	0	0	0	0	0	0.00714	0	0	0	0	0	1.20736	0	0	0
D009765	4.18585	2.17403	2.81724	1.7493	2.05022	1.19246	1.38498	1.10473	1.73282	0.71537	1.59928	4.18585	3.36831	3.492	0.47405	2.81724	2.17403	2.05022	1.38498	1.10473
Healthy	0.80901	0.03161	0.88813	0.13518	0.82989	0	0.20368	0.09885	0.07113	0.06642	3.39665	0.80901	2.09509	0.33571	1.48356	0.88813	0.03161	0.82989	0.20368	0.09885
Healthy	1.84266	0	0.03197	0	0	0	0	0	0	0	0.1016	1.84266	0	0	0.14077	0.03197	0	0	0	0
Healthy	0.00066	0.01979	0	0	0	0	0	0	0	0	0	0.00066	0	0	0	0	0.01979	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D009765	4.00406	5.36862	2.13374	1.74196	0.06566	0	0.8986	0.25512	0	0.01585	5.61896	4.00406	3.75527	0.63272	3.85181	2.13374	5.36862	0.06566	0.8986	0.25512
Healthy	19.2603	0.44994	0.64314	0.3014	0.092	0.26066	0.27573	0.19793	0.45304	0.10786	6.29333	19.2603	0.0707	4.8356	0.73753	0.64314	0.44994	0.092	0.27573	0.19793
Healthy	1.3823	0	0	0	0.00774	0	0.0197	0	0	0	4.46993	1.3823	1.73949	0.94721	0.21501	0	0	0.00774	0.0197	0
Healthy	2.98724	0.01525	0	0	0	0	0.11983	0.04662	0.00966	0.01513	3.98056	2.98724	0	7.40222	0.12649	0	0.01525	0	0.11983	0.04662
Healthy	14.826	0.49397	0.41019	1.28394	1.59627	0	1.03689	0.91212	0.05622	0.08059	5.85146	14.826	12.1429	9.3729	0.53867	0.41019	0.49397	1.59627	1.03689	0.91212
Healthy	0	1.25139	0.01852	0.15194	0	0.23638	0.41095	0.08323	0	0.01225	0.8535	0	4.61172	0.13529	0.05036	0.01852	1.25139	0	0.41095	0.08323
Healthy	16.6831	0.78678	5.79105	5.46255	1.51934	0	2.8083	1.70082	0.77383	0	1.10758	16.6831	8.41829	0.29823	0.00534	5.79105	0.78678	1.51934	2.8083	1.70082
Healthy	22.0189	0.17557	1.23254	0.37583	0.47299	2.60794	0.42358	0.46842	0.17902	0.40859	1.71623	22.0189	0.79561	1.89826	0.64331	1.23254	0.17557	0.47299	0.42358	0.46842
Healthy	1.98277	1.27721	0.45399	4.79554	1.20268	26.8213	6.68896	8.45021	0.2391	0.89721	9.84138	1.98277	8.21781	0.19397	0.24527	0.45399	1.27721	1.20268	6.68896	8.45021
Healthy	2.27207	0.1514	0.00956	0.01349	0.00413	0	0.08407	0	0	0	4.84495	2.27207	0.66365	0.7334	0.19775	0.00956	0.1514	0.00413	0.08407	0
Healthy	2.84566	0	0	0	0	0	0.11943	0.02724	0.01009	0	3.51784	2.84566	0	7.70774	0.13701	0	0	0	0.11943	0.02724
Healthy	0.6725	0.04727	0	0	0.04789	0	0.07525	0	0	0	4.76184	0.6725	0	3.0465	0.51987	0	0.04727	0.04789	0.07525	0
Healthy	0.00372	1.41792	0.05071	0.84883	0.22378	0	0.37883	0.13767	0.04421	0	17.4317	0.00372	3.01775	1.30302	0.14153	0.05071	1.41792	0.22378	0.37883	0.13767
D009765	0.08204	0	0.95422	2.19539	0.92491	3.67262	0.29052	0	0	0	0	0.08204	9.07842	4.76557	1.71057	0.95422	0	0.92491	0.29052	0
Healthy	0.00382	0	0.11522	0	0	0	0.03951	0	0	0	0.0234	0.00382	0	0	0.06539	0.11522	0	0	0.03951	0
Healthy	0	0	0.22281	0	0	0	0.00951	0	0	0	1.33901	0	0	0.75267	0.03446	0.22281	0	0	0.00951	0
Healthy	13.0972	0.20584	0.35256	0.22058	0.33615	0	0.24929	0.59327	0.11199	0	6.04399	13.0972	1.67594	1.59359	0.18573	0.35256	0.20584	0.33615	0.24929	0.59327
Healthy	1.76152	0	0.03157	0	0	0	0	0	0	0	0.10156	1.76152	0	0	0.09315	0.03157	0	0	0	0
D009765	2.10237	9.13212	4.40255	6.18527	1.08288	0.1599	1.22225	0.28222	0.58818	0.79094	1.43109	2.10237	18.5235	9.58434	0.24061	4.40255	9.13212	1.08288	1.22225	0.28222
Healthy	0	0	0	0	0	0	0	0	0	0	3.36801	0	0.33663	0	1.06106	0	0	0	0	0
Healthy	6.63173	0	0.16096	0.03849	0.26835	0	0.31291	0.12035	0.01574	0.15563	8.34784	6.63173	1.42801	1.0839	2.90194	0.16096	0	0.26835	0.31291	0.12035
Healthy	12.378	0.09729	0	0	0.62765	0.07627	0.15198	0	0	0.33937	5.69139	12.378	0.53575	5.61828	0.2635	0	0.09729	0.62765	0.15198	0
Healthy	2.20851	0	0.87965	0	0.1403	0.68327	0.14765	0	0	0	0	2.20851	10.178	0.47633	0.27937	0.87965	0	0.1403	0.14765	0
Healthy	2.58913	0	0.13903	0.03677	0	0	0.04841	0.02029	0	0.01864	25.0036	2.58913	0.61774	3.47536	0.2834	0.13903	0	0	0.04841	0.02029
Healthy	0.40475	0	0.39041	1.73624	1.87038	0	0.14317	0.00266	0	0.14251	4.945	0.40475	0	0.37567	0.07849	0.39041	0	1.87038	0.14317	0.00266
Healthy	58.377	0	0	1.42362	0	0	0	0	0	0	0	58.377	0	0	0	0	0	0	0	0
Healthy	0.03172	0.13627	1.17094	0	0	0	0	0	0	0	0.70648	0.03172	0	0	1.06502	1.17094	0.13627	0	0	0
Healthy	3.11051	0	1.65416	0.04224	1.11606	0.66958	0.10676	0	0.01082	0	1.73956	3.11051	0.12822	0	0	1.65416	0	1.11606	0.10676	0
Healthy	0.03627	0.80354	1.22869	2.60757	1.86328	0.28589	0.90091	0.74488	0.07046	0.3071	5.36463	0.03627	0.03331	2.75677	0.04607	1.22869	0.80354	1.86328	0.90091	0.74488
Healthy	0.90042	1.64591	0.85054	0.25147	0.41954	0	0.42212	0.22714	0.18971	0.0739	4.8788	0.90042	0	2.89791	0.16168	0.85054	1.64591	0.41954	0.42212	0.22714
Healthy	0.26023	0.01377	0.28464	0.41643	0.28054	0	0.10507	0.17105	0.0335	0.07053	1.39588	0.26023	4.06643	1.76264	2.20122	0.28464	0.01377	0.28054	0.10507	0.17105
Healthy	0	0	0.3997	0.45814	0.10242	0	0.10923	0.19267	0	0	0	0	0	0	1.60447	0.3997	0	0.10242	0.10923	0.19267
Healthy	0	0	0.16087	0	0	0	0	0	0	0	2.2851	0	1.55682	0	0.31951	0.16087	0	0	0	0
Healthy	0.10446	0	0.14113	0.67256	0.07471	0	0.1863	0.11231	0	0.0347	2.0372	0.10446	2.1243	0.32327	0.21454	0.14113	0	0.07471	0.1863	0.11231
Healthy	0	0.07106	0.44201	0.01017	0	0	0.03852	0	0	0	5.37303	0	0	0	0.08064	0.44201	0.07106	0	0.03852	0
Healthy	10.9061	0.39321	0.03587	0.05025	0	0	0.09738	0	0	0	12.5829	10.9061	4.8482	28.18773	0.01192	0.03587	0.39321	0	0.09738	0
Healthy	0	0.03071	0.31808	0	0	0	0	0	0	0	2.3388	0	1.22796	0	0.11988	0.31808	0.03071	0	0	0
Healthy	24.7947	0	0.54897	0	0	0	0.03741	0	0	0	15.615	24.7947	12.2217	0	4.70194	0.54897	0	0	0.03741	0
Healthy	1.57974	0	0.52057	0.04766	0.19372	0.12645	0.23723	0.02905	0	0.06892	0.8132	1.57974	1.54309	0.70399	0.12224	0.52057	0	0.19372	0.23723	0.02905
Healthy	16.6827	0.41511	1.93744	0.47956	0	0	0.46135	0.17141	0.0571	0	4.38932	16.6827	0.02117	1.32588	0.74918	1.93744	0.41511	0	0.46135	0.17141
Healthy	0	0.21482	0.76454	0	0	0	0	0	0	0	2.44719	0	0.81281	0.06928	0.20813	0.76454	0.21482	0	0	0
Healthy	0	0	6.01498	0	0	0	0.03335	0.03835	0	0	3.1183	0	0.7224	0	0.01277	6.01498	0	0	0.03335	0.03835
Healthy	0	0	0.74637	1.04188	0.68283	1.07267	0.52043	0.54558	0	0.06685	0.42542	0	3.1502	1.83505	0.09489	0.74637	0	0.68283	0.52043	0.54558
Healthy	19.5991	0.53955	3.02805	1.29776	0	0	0.03941	0	0	0	3.0777	19.5991	4.73085	0.25968	0.0046	3.02805	0.53955	0	0.03941	0
D009765	19.1691	0	0.70703	0.65351	0.4321	0	0.12309	0.48821	0	0	0	19.1691	1.79886	0.975	0.40826	0.70703	0	0.4321	0.12309	0.48821
Healthy	1.53822	0	0.09464	0.00871	0	0	0.21375	0.08728	0	0	1.86382	1.53822	0	0.95039	0.27214	0.09464	0	0	0.21375	0.08728
Healthy	1.89779	0	0.05146	0.30393	0.45237	2.1766	0.09639	0.32137	0	0.10353	0.14081	1.89779	0	2.99504	0.65261	0.05146	0	0.45237	0.09639	0.32137
Healthy	1.97761	0	0	0.39637	0.17783	0	0.46655	0.07381	0	0.02124	0.0676	1.97761	5.57114	2.12096	0.19616	0	0	0.17783	0.46655	0.07381
Healthy	13.1567	0	0.65636	0.59772	0.44957	0	0.47006	0.18434	0.04713	0.01217	1.16847	13.1567	0	16.00584	0.14506	0.65636	0	0.44957	0.47006	0.18434
Healthy	2.04906	0	0	1.03165	0.12995	0	0	0	0.04571	0	0.23781	2.04906	0	17.98602	0.35581	0	0	0.12995	0	0
D009765	1.57124	3.21352	0.27364	0.72076	0.4625	0.72986	0.7407	0.30688	0.21835	0.53054	12.3734	1.57124	0	0.39061	0.11244	0.27364	3.21352	0.4625	0.7407	0.30688
Healthy	0.53169	0	0.43605	0.38706	0.62141	2.16917	0.23314	0.40961	0	0.15263	0.6775	0.53169	0.05099	0.24941	0.49132	0.43605	0	0.62141	0.23314	0.40961
Healthy	3.46053	0.12327	1.01942	1.63333	0.63985	0	0.39103	0.17357	0	0	2.95363	3.46053	0	1.99678	4.36374	1.01942	0.12327	0.63985	0.39103	0.17357
Healthy	0	0.74275	3.65082	0.31822	0.46247	0	0.10817	0.02268	0	0	1.00649	0	0	1.0481	0.40223	3.65082	0.74275	0.46247	0.10817	0.02268
Healthy	0	0	1.77823	0	0	0	0	0	0	0	0.58912	0	0	0.02649	0.0223	1.77823	0	0	0	0
D009765	1.29221	0.4476	1.39598	0.72601	1.83737	0.91567	0.26696	0.63201	0.6643	0.22227	3.55225	1.29221	4.80346	3.21415	2.16725	1.39598	0.4476	1.83737	0.26696	0.63201
Healthy	0	0	1.89192	0	0	0	0	0	0	0	2.8001	0	0	0	2.43138	1.89192	0	0	0	0
Healthy	2.13656	0	0.69476	0.0811	0.06325	0	0.04387	0	0	0	3.10301	2.13656	0.97002	0.79396	0.09343	0.69476	0	0.06325	0.04387	0
Healthy	2.5135	0.02948	0.08683	0.00828	0.01759	0	0.04581	0	0	0	2.22941	2.5135	0	2.19471	0.03616	0.08683	0.02948	0.01759	0.04581	0
Healthy	7.53919	0.94806	1.98189	0.16193	0	0	2.23221	0.66261	0.02221	0.21343	7.6323	7.53919	11.1575	6.61265	0.02649	1.98189	0.94806	0	2.23221	0.66261
Healthy	0.08384	0.90038	0.05741	0.01677	0	0.11468	0.04487	0.01292	0	0	1.09804	0.08384	0.63457	0.0467	0.11971	0.05741	0.90038	0	0.04487	0.01292
Healthy	6.09006	1.07829	0.28942	0.22845	0.33906	0	0.15608	0.17672	0.25739	0.22257	12.4119	6.09006	0	9.079	0.33176	0.28942	1.07829	0.33906	0.15608	0.17672
Healthy	5.01751	0.23407	0.00982	0	0.22819	0	0	0.01946	0.10383	0	1.34106	5.01751	0	8.388	0.31034	0.00982	0.23407	0.22819	0	0.01946
Healthy	0.36535	0.16107	0.25825	0.44087	1.42362	0.73774	0.31818	0.04775	0.09706	0.37966	4.19292	0.36535	7.43115	1.13245	0.17236	0.25825	0.16107	1.42362	0.31818	0.04775
D009765	12.286	1.89979	1.46315	2.13533	1.67558	0.83598	0.72733	0.97271	0.61457	0.66592	4.54403	12.286	7.97909	1.45964	0.20409	1.46315	1.89979	1.67558	0.72733	0.97271
Healthy	33.6064	0	1.12655	0.04633	1.09942	0	0.12684	0.65424	0.00174	0	16.1297	33.6064	0	11.27027	0.28558	1.12655	0	1.09942	0.12684	0.65424
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	4.9225	0.18389	0.02174	0	0.19657	0	0.02201	0.03174	0.09825	0	1.22405	4.9225	0	8.17035	1.15049	0.02174	0.18389	0.19657	0.02201	0.03174
Healthy	6.02072	1.24327	0.05942	1.23848	0.12979	0	0.54982	0	0.06329	0.18539	13.6787	6.02072	3.98593	0.52247	1.13061	0.05942	1.24327	0.12979	0.54982	0
D009765	0	0	0.86478	0.17973	0	0	0	0	0	0	0.05858	0	7.38354	1.15057	0.6479	0.86478	0	0	0	0
Healthy	2.34689	1.37624	0.27605	0.41985	0	0	0.0996	0	0	0	1.49092	2.34689	5.00717	1.42735	0.01403	0.27605	1.37624	0	0.0996	0
Healthy	1.70222	0	0.94805	0	0.07073	0.6794	0.11302	0	0	0	0.39393	1.70222	8.10427	0.45574	0.60765	0.94805	0	0.07073	0.11302	0
D009765	5.56869	0.05242	0.62583	0.1392	0.42855	0.27584	0.19191	0.25778	0.07718	0.09535	3.02042	5.56869	1.13639	1.81039	0.43388	0.62583	0.05242	0.42855	0.19191	0.25778
Healthy	2.21132	0.09112	0	0	0.0714	0	0	0	0	0	3.95825	2.21132	0.19961	1.55646	0.30363	0	0.09112	0.0714	0	0
Healthy	32.8988	0	0	0	0	0	0	0	0	0	0.3946	32.8988	0	0.37519	0	0	0	0	0	0
D009765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.04311	1.34746	0.01603	0	0	1.139	0.13903	0	0.07899	0.71082	0.19713	0.04311	2.13319	0.05726	0.32042	0.01603	1.34746	0	0.13903	0
Healthy	3.17735	0.08697	0	0	0	0	0	0.06589	0	0	8.3565	3.17735	0.05136	2.96481	1.71799	0	0.08697	0	0	0.06589
Healthy	0	0	8.52158	0	0	0	0.06629	0.34938	0	0	0	0	0	0	1.19581	8.52158	0	0	0.06629	0.34938
Healthy	10.8797	1.44477	0.41182	0.1328	0.54992	0	0.36482	0.39391	0.42899	0.53096	30.8149	10.8797	5.08588	4.94137	1.53398	0.41182	1.44477	0.54992	0.36482	0.39391
Healthy	0.33868	0.27812	0.05673	0	0.07343	0	0	0.00191	0	0	3.41069	0.33868	0	1.34069	0.29691	0.05673	0.27812	0.07343	0	0.00191
