f	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Rikenellaceae	Bifidobacteriaceae	Marinifilaceae	Streptococcaceae	Selenomonadaceae	Coriobacteriaceae	Enterobacteriaceae	Lactobacillaceae	Pasteurellaceae	Coprobacteraceae	Desulfovibrionaceae	Veillonellaceae	Eggerthellaceae	Peptostreptococcaceae	Micrococcaceae	Dialisteraceae	Methanobacteriaceae	Acidaminococcaceae
Healthy	1.4934093905568	1.18128750658172	0.762234291084241	1.09551072269155	-0.14506878137718	0.279566570280012	-1.28291227507298	-5	-5	-5	-5	-5	-1.18902860017779	-1.83564714421556	-1.90692869362394	-0.576737737901385	-5	-2.39577394691553	-5	-0.593527949534324	-5
Healthy	1.30116134987843	0.975087453435228	0.580112621451532	-5	1.07310257186231	-5	1.1269644402306	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.60898703950159	0.37159239488545	0.883883918596591	1.31658086566086	-5	-0.043010837158594	-1.79425445905734	-5	-0.92161569125181	-5	-5	-1.14333151638846	-5	-1.14697138528701	-1.86296254521049	-0.606389703644708	-5	-5	-0.355541715083896	-5	-5
Healthy	-0.56125202309777	1.4491178545749	0.222784080594466	-5	0.9318081145476	-5	-0.462747745749293	-5	-5	0.375840952758352	-0.961538803821436	-5	-5	-5	-5	-0.0813721327862228	-5	-5	-5	-5	-5
Healthy	1.86971428135975	0.585977063678932	0.382818216177063	0.193614295428634	-0.639539128949822	-5	-0.917789283398757	-5	-5	0.177438375806556	-5	-5	-5	-1.01269132626882	-5	-5	-5	-5	-5	-5	-5
Healthy	1.44342916133512	0.612949069045181	-5	-5	1.10627625137725	-5	-0.368150537840182	-5	0.559244509416333	0.411570887173071	-0.861981660385737	-1.64704608828991	-5	-5	0.989411548229137	-5	-5	-1.58972903574782	-5	-5	-5
Healthy	0.930091305931401	1.54045411318771	1.1242997452926	-0.174957061303584	0.0496753420608595	-0.488892380040732	0.0509285617774432	-5	-0.857798309836487	-1.23425695857896	-0.436008977413847	-1.10253786198694	-5	-5	-5	-1.79805693659835	-0.359617955290432	-5	-5	0.218461978766149	0.199894984410582
Healthy	1.24487037494188	0.730895274398542	0.572649753445391	0.462311130315528	-0.768046430801019	0.910634008346503	-0.544591684757714	-5	-1.34553466647985	-5	-5	-5	-0.893367211079884	-0.210553262965207	-5	-1.9017024635053	-5	-5	-5	0.90543588720795	-5
Healthy	1.62736421774254	1.41598657678453	0.776149613960153	0.423257345715005	0.490921572614853	-5	-1.10773839308446	-5	-0.767664722914346	-5	-5	-0.880216413838302	-5	-5	-5	-5	-0.67623241670322	-5	0.193238724856175	-5	-5
Healthy	1.23899524129313	1.29766532782319	0.806758421702446	0.753411451864336	0.393975096445539	-5	-5	-5	-0.300812902691751	1.22703810241191	-5	-5	-5	-5	-5	-5	-0.509002705984747	-5	-5	-5	0.355229239344489
Healthy	1.39981973061662	1.31259663335331	1.40267260647622	0.719140619695214	-0.486076911675506	0.104521252618329	-1.06570359318059	-5	0.357871984039196	-1.30381841283148	-2.3585258894959	-5	-5	-5	-1.25328797748334	-0.543679524625626	0.252428233716468	-5	0.521164245234233	-5	-5
D037841	1.40384225756597	1.52679388528829	0.740188936948656	0.419453459953359	0.369779702865418	-0.490958855443183	-0.786615075083612	-5	-0.300891043660907	-2.02456819149074	-1.31345310093699	-0.775311582542712	-1.50473325561219	-1.02613355016462	-0.790672684121935	-2.29756946355447	-0.365653743293909	-2.24184537803261	-1.81872822844054	-5	-2.93930215964639
