group	Enterobacterales	Lactobacillales	Erysipelotrichales	Actinomycetales	Veillonellales	Coriobacteriales		Bacteroidales	Lachnospirales	Actinomycetales	Enterobacterales	Veillonellales	Verrucomicrobiales	Burkholderiales	Erysipelotrichales	Coriobacteriales	Peptostreptococcales
Healthy	0.09665	0.56085	0.02074	0.25829	0	0.08695		52.08938	21.81106	0.25829	0.09665	0	0.62975	2.12136	0.02074	0.08695	0
Healthy	0.1512	1.04933	0.06243	0.46911	0.04899	0.37727		40.44836	19.16726	0.46911	0.1512	0.04899	0.03917	0.14328	0.06243	0.37727	0.02658
Healthy	0.42971	0.01657	0.79186	5.86576	10.27783	0.9363		48.12186	9.33161	5.86576	0.42971	10.27783	1.1655	0.02565	0.79186	0.9363	0
Healthy	0.01115	0.08838	0.00364	5.61783	0	1.71689		55.96175	13.53386	5.61783	0.01115	0	0.07252	0	0.00364	1.71689	0.01345
Healthy	0.09586	0	0.163	0.65786	6.47807	0.14288		76.93222	2.91449	0.65786	0.09586	6.47807	0	0.29286	0.163	0.14288	0
Healthy	16.45876	1.2222	0	53.66251	3.20071	0.12		9.78837	0.18846	53.66251	16.45876	3.20071	0	10.9103	0	0.12	0
Healthy	0	0.18972	1.0157	0.99682	0	0		47.09899	13.06821	0.99682	0	0	4.64535	0	1.0157	0	0
Healthy	0.37736	0.23259	0.01149	0	3.3587	0.15444		89.10926	1.11149	0	0.37736	3.3587	0	0.0857	0.01149	0.15444	0
Healthy	0	0.14253	0.00061	0	0	0.01631		53.12384	8.53065	0	0	0	0.02478	1.28454	0.00061	0.01631	0
Healthy	6.37382	0.21411	0.05876	0	0	0		30.60738	4.60479	0	6.37382	0	20.014	0.03316	0.05876	0	0
Healthy	0	0	0	0	0	0.102		44.45977	3.30342	0	0	0	0	0.1002	0	0.102	0
Healthy	0	0	0	0.09522	0.59117	0.06941		39.3006	24.13931	0.09522	0	0.59117	1.13725	0	0	0.06941	0
Healthy	16.4109	0	0.14265	0	0	0		41.24657	12.86415	0	16.4109	0	0	0.04035	0.14265	0	0.35363
Healthy	1.67377	0.06243	0.04	0.22191	0	0		86.758	4.04901	0.22191	1.67377	0	0	0.08025	0.04	0	0
Healthy	0	0.11515	0	0	5.12865	0		12.46553	58.92111	0	0	5.12865	0.00932	0	0	0	0
Healthy	0.03895	0	0.14147	0.6206	6.53381	0.19064		76.44017	2.98722	0.6206	0.03895	6.53381	0	0.29889	0.14147	0.19064	0
Healthy	1.75061	15.71087	2.57172	22.56278	2.39552	2.82554		9.7859	15.91284	22.56278	1.75061	2.39552	0	0	2.57172	2.82554	0
Healthy	6.51836	0.46803	1.6957	5.0595	0.00473	1.73487		42.18549	15.08024	5.0595	6.51836	0.00473	0	8.98905	1.6957	1.73487	0.04743
Healthy	0	0	0.24099	0.38779	6.35013	0		68.34488	2.94694	0.38779	0	6.35013	0	0.12857	0.24099	0	0
Healthy	0.01729	0	0.09705	0.49252	0	0.31594		75.43383	3.31311	0.49252	0.01729	0	0	5.95389	0.09705	0.31594	0
Healthy	12.8542	0	0.2213	0	11.5958	0		33.84867	4.67955	0	12.8542	11.5958	0.54368	0.37574	0.2213	0	0
Healthy	0.00825	0.0109	0.0032	0	0.22524	0.21172		52.57168	4.47133	0	0.00825	0.22524	1.91855	1.42197	0.0032	0.21172	0
Healthy	2.29463	0.27467	0.04242	5.17804	0.01956	0.00368		56.34078	4.96469	5.17804	2.29463	0.01956	0	0.0035	0.04242	0.00368	0.09932
Healthy	0.21558	0.54071	0.08736	9.82654	4.07963	0.20396		20.22819	26.02253	9.82654	0.21558	4.07963	0	0.00678	0.08736	0.20396	0.0908
Healthy	0	2.28761	0.08713	0.73193	0	1.11002		34.97998	15.93214	0.73193	0	0	0.87446	0.0093	0.08713	1.11002	0
Healthy	0	0	0	2.58432	0	0.44391		54.76138	13.86684	2.58432	0	0	1.83608	1.16431	0	0.44391	0.12217
Healthy	2.77557	0.19801	0	0.50518	4.777	0		66.122	13.69074	0.50518	2.77557	4.777	0	1.07698	0	0	0
Healthy	0.12423	0	0	0	0	0		65.39898	5.4809	0	0.12423	0	7.69718	0.10417	0	0	0
Healthy	1.37665	0.06404	0	0.00669	0	0.31466		76.52103	5.82858	0.00669	1.37665	0	0	0	0	0.31466	0.0709
Healthy	0.04487	0	0	0.13549	0	0.23162		53.00535	7.62617	0.13549	0.04487	0	5.35516	0.39005	0	0.23162	0
D065626	7.76191	3.9696	0.16058	34.14107	10.62605	0.35893		11.07501	1.22487	34.14107	7.76191	10.62605	0.01034	0.81635	0.16058	0.35893	0
Healthy	0.6011	0.00291	0	0	2.69249	0		75.97442	2.05337	0	0.6011	2.69249	0	0.013	0	0	0
Healthy	2.12948	2.3757	0.08093	8.08516	0.15028	1.00781		43.89442	17.42598	8.08516	2.12948	0.15028	4.75004	0.00433	0.08093	1.00781	0.13647
Healthy	1.06216	0	0.35675	0.02207	9.30256	0.69144		54.50736	0.82468	0.02207	1.06216	9.30256	7.16262	0.2712	0.35675	0.69144	0
Healthy	0.01462	0.02683	0	2.3021	0.27195	0.41073		36.60204	13.15289	2.3021	0.01462	0.27195	0.03189	1.85847	0	0.41073	0
Healthy	0	0	3.05681	0	0	3.68311		2.1963	29.97117	0	0	0	0	0	3.05681	3.68311	0.26971
Healthy	0.42965	0.21585	0.02708	0	3.36743	0.14868		88.99303	1.15799	0	0.42965	3.36743	0	0.11156	0.02708	0.14868	0
Healthy	0.04188	0.04828	0.43867	1.87214	1.41269	0.23323		55.54238	16.08956	1.87214	0.04188	1.41269	0	0.03569	0.43867	0.23323	0.26029
Healthy	0.07776	0	0.01705	0	0	0.51129		70.48564	2.66517	0	0.07776	0	0	5.7003	0.01705	0.51129	0
Healthy	0.06544	0.00451	0.01215	0	0	0.7355		58.09122	3.20391	0	0.06544	0	0	7.09637	0.01215	0.7355	0
Healthy	0.07492	0.0073	0.0136	1.19003	5.37671	0.03641		40.21055	22.52399	1.19003	0.07492	5.37671	0	0	0.0136	0.03641	0
Healthy	0	0	0.05412	0	0	0.07736		64.56848	23.50672	0	0	0	0	2.9757	0.05412	0.07736	0
Healthy	0	0.5783	0	0.23312	4.62199	0.03571		69.88918	5.27636	0.23312	0	4.62199	0	6.33312	0	0.03571	0
Healthy	0.04178	0	0	2.71886	0	0.14686		41.95701	0.74218	2.71886	0.04178	0	17.199	0.0632	0	0.14686	0
Healthy	78.76377	0.10611	0.01017	5.45435	0	1.47704		1.9337	4.66382	5.45435	78.76377	0	3.52859	0.02799	0.01017	1.47704	0
Healthy	1.87079	0.1514	0.14607	0.74589	0.008	0.01042		63.27551	20.07617	0.74589	1.87079	0.008	0	0.17411	0.14607	0.01042	0.25312
Healthy	3.09305	0	0	0.01296	7.88732	0		50.98894	20.8232	0.01296	3.09305	7.88732	0	5.90439	0	0	0.16683
Healthy	0	0.78156	11.3576	2.57185	0	3.88243		18.80818	18.86342	2.57185	0	0	0	0	11.3576	3.88243	0
Healthy	0	0.60443	0.57473	4.99535	1.99584	0.21735		7.42578	8.09311	4.99535	0	1.99584	0	0	0.57473	0.21735	0.01342
Healthy	0	0	0	0	0	0.10638		68.09654	18.30054	0	0	0	0.06765	0	0	0.10638	0
Healthy	0.06709	0.00195	0	0	0	0		43.75014	9.47397	0	0.06709	0	3.04604	8.78787	0	0	0
Healthy	0.8398	0.03976	0.6621	0.3126	0	0.07817		17.56695	11.74589	0.3126	0.8398	0	1.83008	0.08859	0.6621	0.07817	0.39724
Healthy	1.00992	0.04975	0.29282	0.32681	0.03571	0.97538		67.09431	0.2867	0.32681	1.00992	0.03571	0.00437	0.0042	0.29282	0.97538	0
Healthy	0.1118	0.29215	0.56328	1.20433	0.61502	1.24073		31.28267	1.01616	1.20433	0.1118	0.61502	0.51673	0	0.56328	1.24073	0
Healthy	0	0.22287	0.59698	5.29141	4.75712	0.08385		20.36905	25.34291	5.29141	0	4.75712	25.358	0	0.59698	0.08385	0
Healthy	0	0.02321	0	1.37642	0.01308	0.38018		67.23166	9.43879	1.37642	0	0.01308	0.53875	0.01784	0	0.38018	0
Healthy	1.08785	0	1.26624	3.22177	0.49436	0.22602		42.56931	6.33331	3.22177	1.08785	0.49436	5.195	0.67731	1.26624	0.22602	0.0182
Healthy	86.41751	0.22892	0	0.02275	0	0		0.05164	0.00094	0.02275	86.41751	0	0	0	0	0	0
Healthy	0.11696	0.09358	0.0673	0	0	0.17798		61.38019	21.55607	0	0.11696	0	0	5.18226	0.0673	0.17798	0
Healthy	3.9748	3.59098	0.02798	90.75306	0.04244	0.00219		0.01931	0	90.75306	3.9748	0.04244	0.00841	0	0.02798	0.00219	0.02357
Healthy	0.09795	0	0	0.11834	0	0		92.92764	1.72277	0.11834	0.09795	0	1.66666	0.58962	0	0	0
Healthy	0	0	0	0	0	0.11605		43.38378	1.17854	0	0	0	0	0.11326	0	0.11605	0
Healthy	0	0.25024	0	0.43511	15.1182	0.571		56.61767	4.22058	0.43511	0	15.1182	0	0.26844	0	0.571	0
Healthy	0.08321	0	0.10518	1.32525	0	0.14804		52.15726	12.86174	1.32525	0.08321	0	1.05654	0.51581	0.10518	0.14804	0
Healthy	0	0.00441	0	0.01689	3.44835	0.01375		61.05334	26.41081	0.01689	0	3.44835	0.01073	0.11734	0	0.01375	0
Healthy	0.15123	0.00552	0	4.34504	2.88164	0.00226		70.56182	5.7435	4.34504	0.15123	2.88164	0.14766	0.23778	0	0.00226	0
Healthy	0	0.04713	0.00711	0.06193	0	0.13383		83.56988	1.35877	0.06193	0	0	0.83505	1.5313	0.00711	0.13383	0
Healthy	2.8125	0.04653	0.02471	0.0216	0	0.29421		37.34462	26.62906	0.0216	2.8125	0	0.00071	0	0.02471	0.29421	0.00354
Healthy	0	0	11.24847	0	0	0		20.76636	46.55662	0	0	0	0	0.04874	11.24847	0	0
Healthy	0.08119	2.82676	1.00134	0.33771	0.25302	0.26964		49.42088	25.0635	0.33771	0.08119	0.25302	0	0.46186	1.00134	0.26964	0
Healthy	0	0	1.13999	1.2613	0	0.17433		7.28498	56.88681	1.2613	0	0	0	0.04642	1.13999	0.17433	0
Healthy	0	0	0	21.2371	0	0		3.61561	12.1476	21.2371	0	0	0	0	0	0	0
Healthy	0	0.04301	0.03085	0.14666	0	0.24373		65.94451	2.9794	0.14666	0	0	10.5195	0.11483	0.03085	0.24373	0
Healthy	0	0	0.30044	0	0	0.63218		77.56292	4.23484	0	0	0	0	0	0.30044	0.63218	0
D065626	8.70073	6.45605	0.16686	3.09512	17.55219	0.14193		18.91206	20.0392	3.09512	8.70073	17.55219	0	0	0.16686	0.14193	0.00838
Healthy	3.85851	0.9221	0.86835	35.90039	1.49325	0.4326		22.77193	13.98492	35.90039	3.85851	1.49325	0	0.0586	0.86835	0.4326	1.16392
Healthy	0.00058	0.15545	2.20829	0.042	0	2.46417		10.42839	22.45504	0.042	0.00058	0	6.51919	0.09116	2.20829	2.46417	0
Healthy	1.02549	0.75708	0.12104	0.25052	0.05609	0.18648		44.35637	25.21853	0.25052	1.02549	0.05609	0.00699	1.77066	0.12104	0.18648	0.28618
Healthy	0.19515	0	0	0	0	0.33473		50.42891	29.12875	0	0.19515	0	0	0.1002	0	0.33473	0.05986
Healthy	0.81232	0.8025	1.80524	0	0	0		57.9843	20.95243	0	0.81232	0	0	0	1.80524	0	0
Healthy	0.0911	13.96801	0.05851	0.26781	0	3.76394		19.00735	38.42361	0.26781	0.0911	0	0	0.16065	0.05851	3.76394	0
Healthy	4.14218	1.56902	0.07394	0	6.5513	0.03904		0	35.15934	0	4.14218	6.5513	0	0.00158	0.07394	0.03904	0.01366
Healthy	0.92321	0.23032	0.06035	0.22672	1.21693	0.13451		22.0643	22.27209	0.22672	0.92321	1.21693	0	1.67502	0.06035	0.13451	0.17413
Healthy	0.34649	0.0582	0.49025	1.20908	2.97255	0.7137		45.26359	0.65685	1.20908	0.34649	2.97255	0.13239	0.01275	0.49025	0.7137	0
Healthy	2.71161	17.16755	4.10863	1.62673	2.40822	2.27129		18.16766	6.95679	1.62673	2.71161	2.40822	0	0	4.10863	2.27129	0
Healthy	0.07952	0.17892	0	0.43785	0.05662	0.11806		63.72663	10.2726	0.43785	0.07952	0.05662	0	0	0	0.11806	0
