group	Streptococcus	Ruminococcus_B	Clostridium_Q	Longicatena	Muricomes	Eisenbergiella	Schaedlerella	Erysipelatoclostridium	Gordonibacter	Eggerthella	Prevotella	Ruminococcus_H	Barnesiella	Mediterraneibacter	Anaerobutyricum	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
Healthy	0.01765	0	0	0	0	0	0	0	0	0	0	0.70541	5.23642	0.15612	0.00256	0.08949	0.01697	0	0	0.06048
Healthy	0.56085	0	0	0	0	0	0	0	0	0	0	0.02428	2.61653	1.58654	0.34	0.48211	0	0	0	0
Healthy	1.04933	0	0	0	0	0	0	0	0	0	0.09981	0.64251	1.20157	0.93048	0.51939	0.3583	0.08967	0	0	0
Healthy	0.01657	0.0148	0	0.00016	0.00297	0	0.00313	0	0	0	0.01328	3.91891	0	0.73978	0.43019	0.38507	0.02565	0	0.00297	0.08122
Healthy	0.08606	0.01194	0	0.00364	0	0.12234	0.00434	0	0.01241	0	0	4.92965	3.70146	0.03239	1.67721	0.25643	0	0	0	0.00887
Healthy	0	0	0.00142	0	0	0	0	0	0	0	0	0.9933	6.38478	0.19409	0.06374	0.03551	0.29286	0.00142	0	0.03768
Healthy	1.2222	0	0	0	0	0	0	0	0	0	0	0	0	0.18846	0	0	0	0	0	0
Healthy	0.18972	0	0	0	0	0	0	0	0	0	0	1.82773	3.61045	0.32606	0.56451	0.20371	0	0	0	0
Healthy	0.23259	0.02053	0.48828	0	0	0	0	0	0	0	0	0	0	0.02773	0.01863	0.01794	0.0857	0.48828	0	0.37654
Healthy	0.14253	0	0	0.00061	0	0	0	0	0	0	0	0.02157	0	0.35646	0.02058	0.12538	1.28454	0	0	0.01096
Healthy	0.21411	0	0	0	0	0	0	0	0	0	7.42671	0.98058	0.67267	1.83505	0	0	0.00459	0	0	0
Healthy	0	0	0.02064	0	0	0	0	0	0	0	0	0	3.37828	2.18411	0	0	0	0.02064	0	0
Healthy	0	0.07063	0	0	0	0.01303	0	0	0	0	0	0.15905	4.44353	1.8025	0.92226	0.64062	0	0	0	0
Healthy	0	5.39169	0	0	0	0	0	0	0	0	0	2.6742	4.1818	0.06129	0.31703	0.06819	0.04035	0	0	0
Healthy	0.06243	0	0.17587	0	0.09698	0.01172	0	0	0	0	0	0	2.56053	1.23277	0	0	0.08025	0.17587	0.09698	0
Healthy	0.11515	0	0	0	0	0	0	0	0	0	0	6.37254	0.46476	0.40197	0.44587	0.53306	0	0	0	0
Healthy	0	0.00483	0	0	0	0	0	0	0	0	0	0.9626	6.22598	0.23742	0.0557	0.01221	0.29889	0	0	0.05406
Healthy	15.69812	0	0	0	0	0	0	0	0	0	0	6.10013	0	0.20105	1.94333	4.10101	0	0	0	0
Healthy	0.33687	0.01648	0	0	0	0	0	0	0	0	0.0022	1.98987	0	0.05105	0.56239	0.32815	0.13187	0	0	0
Healthy	0	0.00686	0	0.24099	0	0.05304	0	0	0	0	0	0	0	0.08193	0	0.17257	0.12857	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	1.7863	0.20381	0	0	0.0276	0	0	0
