group	Enterobacteriaceae	Veillonellaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Micrococcaceae		Akkermansiaceae	Burkholderiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae
Healthy	0.00409	0.01956	0	0.00715	0.02165		0	0.0035	0	0	0	0.03527	0.00715	0.01956	2.29054	0.09932
Healthy	0.02165	0.01217	0	0.06233	0		0	0.00678	0	0	0	0.02503	0.06233	0.01217	0.19393	0.0908
Healthy	0	0	0.003	0	0		0.87446	0.0093	0	0.73212	2.25084	0.08713	0	0	0	0
Healthy	0	0	0	0	0		1.83608	1.16431	0.54243	0.38165	0	0	0	0	0	0.12217
Healthy	0	0.29998	0	0	0		0	1.07698	0	0	0	0	0	0.29998	2.77557	0
Healthy	0	0	0	0	0		7.69718	0.10417	0	0	0	0	0	0	0.12423	0
Healthy	1.37665	0	0	0	0		0	0	0	0.3144	0	0	0	0	0	0.0709
Healthy	0.04487	0	0	0	0		5.35516	0.39005	0	0.14095	0	0	0	0	0	0
Healthy	0.36631	0.20284	0	0	0		0	0.013	0	0	0	0	0	0.20284	0.23479	0
Healthy	2.12948	0.00824	0.90454	0	0.00327		4.75004	0.00433	0.00715	0.71644	0	0.08093	0	0.00824	0	0.13647
Healthy	1.06216	0	0	0	0		7.16262	0.2712	0	0.68097	0	0.35675	0	0	0	0
Healthy	0	0.00209	0	0	0		0.03189	1.85847	0.05897	0.35797	0.19254	0	0	0.00209	0.01462	0
Healthy	0	0	0	1.12381	0		0	0	2.07917	3.68311	0.2624	1.933	1.12381	0	0	0.26971
Healthy	0.42965	0.02362	0	0	0		0	0.11156	0	0.14868	0	0.02708	0	0.02362	0	0
Healthy	0	0	0	0	0		0	0.03569	0	0.23323	0	0.43867	0	0	0.04188	0.26029
Healthy	0	0	0	0	0		0	5.7003	0	0	0	0.01705	0	0	0.07776	0
Healthy	0	0	0	0	0		0	7.09637	0	0	0	0.01215	0	0	0.06544	0
Healthy	0.04705	0.028	0.0073	0	0		0	0	0	0	0	0.0136	0	0.028	0.02787	0
Healthy	0	0	0	0	0		0	2.9757	0	0.07736	0	0.05412	0	0	0	0
Healthy	0	0	0	0	0		0	6.33312	0	0.03571	0	0	0	0	0	0
Healthy	0.04178	0	0	0	0		17.199	0.0632	0	0	0	0	0	0	0	0
Healthy	78.76377	0	0	0.00448	0		3.52859	0.02799	0	1.46902	0	0.00569	0.00448	0	0	0
Healthy	1.82617	0.008	0.02608	0.14062	0		0	0.17411	0	0	0	0.00545	0.14062	0.008	0.04462	0.25312
Healthy	2.4214	2.80187	0	0	0		0	5.90439	0	0	0	0	0	2.80187	0.67165	0.16683
Healthy	0	0	0	0	0		0	0	0	3.88243	1.40591	11.3576	0	0	0	0
Healthy	0	0	0	0.00243	0		0	0	0	0.00219	0	0.5723	0.00243	0	0	0.01342
Healthy	0	0	0	0	0		0.06765	0	0	0.10638	0	0	0	0	0	0
Healthy	0	0	0	0	0		3.04604	8.78787	0.57278	0	1.52523	0	0	0	0.06709	0
Healthy	0.71302	0	0	0.55065	0		1.83008	0.08859	0.1514	0.07817	6.00307	0.11145	0.55065	0	0.12678	0.39724
Healthy	1.00992	0	0	0	0		0.00437	0.0042	0	0.96563	0.02808	0.29282	0	0	0	0
Healthy	0.1118	0	0	0	0		0.51673	0	0	1.24073	0.02259	0.56328	0	0	0	0
Healthy	0	0	0	0.01785	0		25.358	0	0	0	0	0.57913	0.01785	0	0	0
Healthy	0	0.01308	0	0	0		0.53875	0.01784	0.0264	0.38018	0	0	0	0.01308	0	0
Healthy	0.61563	0	0	0.98088	0		5.195	0.67731	0.50179	0.22602	0	0.28536	0.98088	0	0.01449	0.0182
Healthy	86.41751	0	0.22892	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	5.18226	0	0.02688	0	0.0673	0	0	0.11696	0
Healthy	3.966	0.04244	3.58269	0	0		0.00841	0	0	0	0	0.02798	0	0.04244	0.0088	0.02357
Healthy	0.09795	0	0	0	0		1.66666	0.58962	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	0.11326	0	0.11605	0	0	0	0	0	0
Healthy	0	0	0	0	0		0	0.26844	0	0.571	0	0	0	0	0	0
Healthy	0.08321	0	0	0	0		1.05654	0.51581	0	0.14202	0	0.10518	0	0	0	0
Healthy	0	0	0	0	0		0.01073	0.11734	0	0.01375	0	0	0	0	0	0
Healthy	0.15123	0	0	0	0		0.14766	0.23778	0.0539	0	0	0	0	0	0	0
Healthy	0	0	0	0	0		0.83505	1.5313	0	0.13383	0	0.00711	0	0	0	0
Healthy	2.8125	0	0	0	0		0.00071	0	0	0.24	0	0.02471	0	0	0	0.00354
Healthy	0	0	0	8.60814	0		0	0.04874	0	0	0	2.64033	8.60814	0	0	0
Healthy	0	0.25302	0.52882	0.84799	0		0	0.46186	0	0.23481	0	0.15335	0.84799	0.25302	0.08119	0
Healthy	0	0	0	0.07633	0		0	0.04642	3.78245	0.17433	8.81102	1.06366	0.07633	0	0	0
Healthy	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0		10.5195	0.11483	0	0.24373	0.86272	0.03085	0	0	0	0
Healthy	0	0	0	0.10067	0		0	0	0.09708	0.63218	0.06803	0.19977	0.10067	0	0	0
Healthy	0	1.2947	0	0	0		0	0.0586	0	0.3371	0	0.86835	0	1.2947	3.85851	1.16392
Healthy	0	0	0	1.22214	0		6.51919	0.09116	0	1.97032	0	0.98615	1.22214	0	0.00058	0
Healthy	0.88276	0.05609	0.00868	0.04188	0.00033		0.00699	1.77066	1.82276	0	1.22966	0.07916	0.04188	0.05609	0.14273	0.28618
Healthy	0	0	0	0	0		0	0.1002	0	0.31569	0	0	0	0	0.19515	0.05986
Healthy	0	0	0	0.22354	0		0	0	0	0	3.19845	1.5817	0.22354	0	0.81232	0
Healthy	0.0911	0	2.24067	0	0		0	0.16065	3.06148	3.24867	0	0.05851	0	0	0	0
Healthy	3.81252	6.23289	0	0	0		0	0.00158	0	0	0	0.07394	0	6.23289	0.32966	0.01366
Healthy	0.47522	1.20495	0	0.05781	0.0396		0	1.67502	0	0	0	0.00254	0.05781	1.20495	0.44799	0.17413
Healthy	0.34649	0	0	0	0		0.13239	0.01275	0	0.6914	0.06831	0.49025	0	0	0	0
