group	Phytobacter_ursingii	Streptococcus_sp001556435	Streptococcus_parasanguinis_D	Ruminococcus_B_gnavus	Clostridium_A_leptum	Streptococcus_thermophilus	Streptococcus_sp004166885	Rothia_sp001808955	Eggerthella_lenta	Longicatena_innocuum	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Streptococcus_sp001556435	Parabacteroides_johnsonii	Dorea_formicigenerans	Paraprevotella_clara	Anaerostipes_hadrus_A	Ruminococcus_C_callidus	Paraprevotella_xylaniphila	Enterocloster_sp000155435
Healthy	0.09665	0.01515	0	0	0.11644	0.5457	0	0	0	0	0.34	0.48211	0.01515	0	0.27323	0.55289	0.16433	0	0.00475	0
Healthy	0	0.68184	0.35242	0	0.00619	0.01507	0	0	0	0	0.51939	0.3583	0.68184	0	0.61097	0	0.04257	0	0	0
Healthy	0.00903	0.00917	0.0074	0.0148	0.01243	0	0	0	0	0.00016	0.43019	0.38507	0.00917	0	0.20709	0.94134	0.00474	0	0.00954	0
Healthy	0.00336	0.02218	0.01273	0.01194	0.03382	0.04614	0	0	0	0.00193	1.67721	0.25213	0.02218	0	0.46545	0.75652	0.02622	0	0.01796	0.02139
Healthy	0.07286	0	0	0	0	0	0	0	0	0	0.06374	0.03551	0	0	0	0	0	0	0	0
Healthy	16.2661	0.85477	0.15289	0	0.00014	0	0	0.33442	0	0	0	0	0.85477	0.134	0	0	0	0	0	0
Healthy	0	0.05273	0.02111	0	0	0.11588	0	0	0	0	0.56451	0.20371	0.05273	2.95126	0.06101	0	0.03231	0	0	0
Healthy	0.37736	0	0	0.02053	0.35951	0.23259	0	0	0	0	0.01863	0	0	0	0	0	0.01274	0	0	0.00232
Healthy	0	0	0	0	0.00424	0.14253	0	0	0	0.00061	0.02058	0.12538	0	0	0	0	0.02413	0	0	0
Healthy	6.343	0	0	0	0.05176	0.21411	0	0	0	0	0	0	0	0	0	0.3974	0	0	0.04736	0
Healthy	0	0	0	0	0.20168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.07063	0	0	0	0	0	0	0.92226	0.64062	0	0.52741	0.45839	0.05947	0	0.03758	0.00753	0
Healthy	16.4109	0	0	5.39169	0	0	0	0	0	0	0.31703	0.06819	0	0	0.06578	0	0	0	0	0
Healthy	0.45378	0	0	0	0.15275	0.06243	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.11515	0	0	0	0	0	0	0	0.44587	0.53306	0	0	0.26968	0	0.01693	0	0	0
Healthy	0.02833	0	0	0.00483	0	0	0	0	0	0	0.0557	0.01221	0	0	0	0	0	0	0	0
Healthy	1.75061	10.0181	2.26055	0	0	2.9827	0	0	0	0	1.94333	4.10101	10.0181	0	0.67153	0	0	0	0	0
Healthy	0.14333	0.23352	0.09038	0.01648	0	0	0	0.00149	0	0	0.56239	0.32815	0.23352	0	0.33065	0.44969	0.03581	0	0.0374	0
Healthy	0	0	0	0.00686	0.6039	0	0	0	0	0	0	0.17257	0	0	0.09228	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33756	0	0
Healthy	12.8542	0	0	0	0	0	0	0	0	0	0.0884	0.08257	0	0	0	0	0	0	0	0
Healthy	0.00825	0	0	0.00091	0.05467	0	0	0	0	0.0032	0.04157	0.24782	0	4.5713	0.03044	0	0.04922	0	0	0
Healthy	0.00409	0.19984	0.0431	0.00557	0	0	0.01138	0.02165	0.00368	0.02991	0.91156	0.00032	0.19984	0	0	0	2.12399	0	0	0.01522
Healthy	0.02165	0.07404	0.00544	0.14116	0.98499	0.45744	0	0	0.00018	0.01774	1.94611	0.04304	0.07404	0	0.55159	0	0.00638	0	0	0.00623
Healthy	0	0.27614	0.069	0.11141	0.09277	1.86349	0.00317	0	0.00095	0	1.40044	0.35495	0.27614	0	0.67246	0	0.11637	0	0	0.03097
Healthy	0	0	0	0	0	0	0	0	0	0	0.26674	1.27903	0	0	0.08256	0	0	0	0	0
Healthy	0	0	0	0	0	0.18528	0	0	0	0	0	0.10729	0	0	0.04752	0	0	0.25997	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20119	0	0	0	0	0	0
Healthy	1.37665	0.05818	0.00586	0.05311	0	0	0	0	0.00026	0	0.04396	0.07178	0.05818	0	0.2386	0	0.0017	0	0	0.00029
Healthy	0.04487	0	0	0	0.05067	0	0	0	0	0	0	0	0	1.29601	0.03418	0	0	0	0	0
D065626	7.75826	1.71031	1.89621	0	0	0.10557	0	0.00465	0	0	0.00644	0.03955	1.71031	0	0.17304	0	0.0043	0	0	0
Healthy	0.36631	0.00291	0	0	0	0	0	0	0	0	0	0.03836	0.00291	0.3138	0.06314	8.30382	0	0	0.49281	0
Healthy	2.12948	0.03485	0.03528	0.05193	0.02277	0	0	0.00327	0.00056	0.00163	3.49856	0.53078	0.03485	0	1.07415	0	0.02739	0	0	0.01868
Healthy	1.06216	0	0	0.01119	0.03647	0	0	0	0	0.00279	0.0105	0.02584	0	0	0.00456	0	0	0	0	0.01865
Healthy	0	0.02087	0.00596	0.05435	0	0	0	0	0	0	0.29161	0.2837	0.02087	0	0.14329	0.01433	0.02982	0.00464	0	0
Healthy	0	0	0	0.0266	0	0	0	0	0	0	2.37613	4.65973	0	0	3.79291	0	0.08128	0.40462	0	0
Healthy	0.42965	0	0	0.01424	0.37289	0.21585	0	0	0	0	0.00425	0	0	0	0	0	0.01443	0	0	0.01241
Healthy	0	0.04828	0	0	0	0	0	0	0	0	0.87265	0.33867	0.04828	0	0	0	0.0626	0	0	0
