group	Phytobacter_ursingii	Streptococcus_sp001556435	Streptococcus_parasanguinis_D	Ruminococcus_B_gnavus	Clostridium_A_leptum	Streptococcus_thermophilus	Streptococcus_sp004166885	Rothia_sp001808955	Eggerthella_lenta	Longicatena_innocuum	Anaerobutyricum_hallii_A	Blautia_A_wexlerae	Streptococcus_sp001556435	Parabacteroides_johnsonii	Dorea_formicigenerans	Paraprevotella_clara	Anaerostipes_hadrus_A	Ruminococcus_C_callidus	Paraprevotella_xylaniphila	Enterocloster_sp000155435
Healthy	15.2821	0.00847	0.01976	0.02406	0.41567	0.04089	0	0	0	0.0007	0.21882	0.11198	0.00847	0	0.01638	0	0.00495	0.00383	0	0.02409
Healthy	0.03885	0.01566	0	0	0.10829	0	0	0	0.01064	0.00986	0.02564	0.09891	0.01566	0	0.0423	0	0	0	0	0
Healthy	0.00224	0	0	0	0.04819	0	0	0	0	0.00222	0.10887	0.06987	0	0	0.04842	0	0	0	0	0.02679
Healthy	0	0.03248	0	0	0.13623	0	0	0	0	0	2.00066	0.74526	0.03248	0	0.45561	0	0.07337	1.06615	0	0
Healthy	4.70406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	3.13164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10463
Healthy	6.22818	0.00384	0	0	0.03673	0	0	0	0	0.00045	1.75304	1.01361	0.00384	0.06667	0.0923	0.09795	0.01868	0.00246	0.00291	0
Healthy	0	0.03676	0	0	0	0.04709	0	0	0	0	0.21378	0.05603	0.03676	0	0.04723	0	0.22222	0	0	0
Healthy	0.33311	0	0	0.04896	0.20814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	14.5864	0	0	0	0	0	0	0	0	0.28493	0.48988	0.24783	0	0	0.09805	0	0	0	0	0
Healthy	0.62844	4.1902	1.71201	0.11688	0.25233	0.00254	0	0.03882	0	0	2.16175	0.63829	4.1902	0	0	0	0.24196	0	1.10667	0.06054
Healthy	0.0125	0.20201	0.05806	0.00175	0.0147	0.1818	0	0.00432	0	0	4.89464	0.7162	0.20201	0	0.24701	0.55871	0.16287	0	0.13598	0
D065626	0	0	0	0	0	0.00687	0	0	0	0.0053	3.15868	2.00961	0	0	0	0	0	0	0	0
Healthy	0.89131	0.16784	0.01863	0	0	0	0.00146	0.00518	0	0	0.04777	0.31225	0.16784	0	0.06409	0.1203	0	0	0.00575	0
Healthy	0.01709	0.00428	0	0	0	0	0	0	0	0	0.01501	0	0.00428	0	0.00348	0.25739	0	0	0.03875	0
Healthy	0	0.37544	0	0	0	0	0	0	0	0	0	0.04854	0.37544	0	0.89403	0	0	0	0	0
Healthy	1.50545	0	0	0.82674	0	2.79345	0.01966	0.00128	0.00899	0.00486	0.83084	0.00646	0	0	0.13484	0	0.15668	0	0	0.00861
Healthy	20.0153	0	0	3.39034	0	0	0	0	0	0	0.10406	0.06431	0	0	0.02994	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.1481	0	0	0	0	0	0	0.02803	0.0043	0	0.10117	0.43667	0	0	0.37424	0	0	0.0357	0	0
Healthy	0	0.1305	0	0	0	0.34274	0	0	0	0	0.90335	0.27736	0.1305	0	0	0	0.2571	0	0	0
Healthy	0	0.34832	0	0	0	0	0	0	0	0	1.32977	2.89407	0.34832	0.09097	0.63823	0	0.16526	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.04208	0.06924	0	0	0.04628	0	0	0	0	0
Healthy	0.09828	0	0	0	0.09169	0	0	0	0	0	0	0	0	0	0	0.91002	0	0	0.21832	0
Healthy	14.8688	0.17612	0.10092	0.03202	0.59175	0	0	0.03119	0	0	2.25275	0.81281	0.17612	0	0.0038	0	0.00318	0	0	0.02976
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.13518	0.20368	0	0	0.09885	0	0.03372	0	0	0
Healthy	1.08666	0	0	0.32438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	36.0243	0.22828	0	0	0	0	0	0.11376	0	0	0	0	0.22828	0	0	0	0	0	0	0
Healthy	0.01087	0.65432	0.62453	0	0	0	0	0.05824	0.08012	5.80207	0	0	0.65432	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.3014	0.27573	0	0	0.19793	0	0.02041	0	0	0
Healthy	0	0.0695	0.05266	0	0	0.21013	0	0	0	0	0	0.0197	0.0695	0	0	0	0	0.00864	0	0
Healthy	0	0.05634	0.02977	0	0	0	0	0	0	0	0	0.11983	0.05634	0	0.04662	0	0	0	0	0
Healthy	0.31831	0.41508	0.06243	0.71785	0.06623	0	0.06203	0	0.07621	0.00472	1.28394	1.03689	0.41508	0	0.91212	0	0.05071	0	0	0
Healthy	0.08662	0.07309	0.20836	0	0.53078	0.03311	0.00604	0	0	0.00191	0.15194	0.41095	0.07309	0	0.08323	0	0.05272	0.01063	0	0
Healthy	0.01385	0.04616	0.08249	0.08884	0.0546	0.00278	0	0	0.02194	0.00575	5.46255	1.66244	0.04616	0	1.70082	0	0.23818	0	0	0.0088
Healthy	0.22738	0.01035	0.00669	0	0.01586	0	0	0	0	0.00117	0.37583	0.42358	0.01035	0.23947	0.46842	0.69069	0.00733	0.01532	0.03524	0
Healthy	0.05094	0	0	0.10143	0	0	0	0	0	0	4.79554	6.68896	0	0	8.45021	0	0.02551	0	0	0
Healthy	0.08454	0	0	0	0	0	0	0	0	0	0.01349	0.08407	0	0.07129	0	1.22587	0	0	0.27226	0
Healthy	0	0.03354	0.01512	0	0	0	0	0	0	0	0	0.11943	0.03354	0	0.02724	0	0	0	0	0
Healthy	0	0	0	0	0	0.45093	0	0	0	0	0	0.07525	0	0	0	0	0	0	0	0
Healthy	0.49409	0.22483	0.02856	0.00669	0	0	0.01399	0.00081	9e-05	0	0.84883	0.30639	0.22483	0	0.13767	0	0.99073	0	0	0
Healthy	7.10518	0	0	0.81659	0	0	0	0	0	0	0	0.03951	0	0	0	0	0	0	0	0
Healthy	7.87846	0.00326	0	0.11467	0	0.17553	0	0	0	0.00039	0	0.00951	0.00326	0.02263	0	0	0	0	0	0.02404
Healthy	0.0312	0	0	0.00913	0	0	0	0	0	0	0.22058	0.24929	0	0	0.59327	0	0	0	0	0
Healthy	1.42355	0	0	0.34972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D065626	12.3588	23.0918	10.5405	0.00118	0.12761	0.03682	0.04046	0.10233	0	0	0.86357	0.32112	23.0918	0	0	0	0.01199	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.01996	0	0	0	0	0	0	0.03849	0.31291	0	0	0.12035	0	0.62365	0.01507	0	0
Healthy	0	0.05767	0	0	0	0.83049	0	0	0	0	0	0.15198	0.05767	0	0	0.2866	0	0.07391	0	0
Healthy	2.02486	0	0	0	0	0	0	0	0	0	0	0.14765	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.02091	0	0	0	0	0	0	0.03677	0.04841	0	0	0.02029	0	0.00997	0.04354	0	0
Healthy	0.09578	0.04644	0.0189	0.00731	2.6996	0.06219	0	0	0.00836	0.03184	1.73624	0.14317	0.04644	0	0	0	0.08913	0	0	0.01041
Healthy	0	0	0	0	0	0	0	0	0	0	1.42362	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0.19042	0.00856	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.04224	0.10676	0	0	0	0.29344	0	0	0	0
Healthy	0.0023	0.00025	0.01322	0.00579	0.01608	0.03147	0.0036	0	0	0.001	2.60757	0.84186	0.00025	0.0328	0.74194	0.05505	0.23261	0.02066	0.00738	0.02978
Healthy	0.12705	0.05554	0.07172	0.00705	0.25555	0.02112	0.00247	0.02054	0	0.00707	0.25147	0.42212	0.05554	0.19514	0.22714	0.22923	0.09783	0.54386	0.00701	0.00798
Healthy	0.01534	0	0	0.01409	0	0	0	0	0	0	0.41643	0.10507	0	0	0.17105	0	0	0.03236	0	0
Healthy	0.11158	0.19669	0.03928	0.1963	0	0	0	0	0	0	0.45814	0.10923	0.19669	0	0.19267	0	0.01439	0	0	0.01685
Healthy	0	0	0	0	0.70031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	2.47423	0.37203	0	0	0	0	0	0	0	0.67256	0.1863	2.47423	0	0.11231	0.09197	0.14622	0	0	0
Healthy	0.06915	0.01818	0	0.08081	0.10175	0	0	0	0	0	0.01017	0.03852	0.01818	0	0	0	0	0	0	0
Healthy	4.52288	0.40927	0.05438	0.28563	0	0	0.00685	0.02022	0	0.00159	0.05025	0.09738	0.40927	0	0	0.0583	0.00756	0	0	0
Healthy	0.11908	0	0	0	0.72757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.13111	0	0.70298	0	0.2019	0	0	0	0	0	0.03741	0.13111	0	0	0	0.0191	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.04766	0.23723	0	0	0.02905	0	0	0	0	0
Healthy	0	0	0	0.14987	0.00818	0	0	0	0	0.00117	0.47956	0.46135	0	0.00347	0.16392	0	0.07362	0	0	0
Healthy	0.03415	0	0	0	0.18888	0	0	0	0	0	0	0	0	0	0	1.00307	0	0	0.22817	0
Healthy	0	0	0	0	0	0	0	0	0	0.01337	0	0	0	0	0	0	0	0	0	0.01846
Healthy	0	0	0	0	0	0	0	0	0	0	1.04188	0.52043	0	0	0.54558	0.7338	0.24102	0	0.0495	0
Healthy	0.73345	0.19169	0.02515	0.02596	0	0.08678	0.00299	0	0	0.00473	1.29776	0.03941	0.19169	0	0	0	0.00588	0.08078	0	0.1581
Healthy	0	0	0	1.71147	0.56256	0	0	0	0	0	0.00871	0.21375	0	0	0.08728	0	0	0	0	0
Healthy	0	0.61746	0.0372	0	0	0	0	0	0	0	0.30393	0.09639	0.61746	0	0.32137	0.19595	0.08577	0	0.02714	0
Healthy	0	0.02681	0	12.1577	0	0	0	0	0	0	0.39637	0.46655	0.02681	0	0.07381	9.81375	0	0	1.7005	0
Healthy	0	0.54959	0.19503	0	0	0	0	0	0	0	0.59772	0.47006	0.54959	1.13598	0.18434	0	0.01606	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.03165	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.38706	0.23314	0	0	0.40961	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.63333	0.39103	0	0	0.17357	0.50087	0.51449	0.00747	0	0
Healthy	0	0.01809	0.00392	0.0027	0.28175	0.02169	0.00263	0	0.00472	0.00572	0.31822	0.0787	0.01809	0	0	0	0.1187	0.02036	0	0.03212
Healthy	2.17703	0	0	0	0	0	0	0	0	0	0	0	0	20.5703	0	0	0	0	0	0
Healthy	0.20562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.156	0.11649	0	0	0	0	0	0	0	0	0.0811	0.04387	0.11649	0	0	0	0	0.05623	0	0
Healthy	0.19592	0	0	0	0.30773	0.27816	0	0	0	0	0.00828	0.04581	0	2.4134	0	0	0	0	0	0.00288
Healthy	1.9803	6.35278	1.41419	0.36403	0.01146	0.16859	0.08936	0.01732	0	0.00122	0.16193	2.2306	6.35278	0.201	0.66261	0.22387	0.37774	0	0.03794	0.0052
Healthy	0.8409	0	0.03237	0	0	0	0	0	0	0	0.01677	0.04487	0	0	0.01292	0	0	0.16104	0	0
Healthy	0	0	0	0.00056	0	0	0	0	0.00048	0	0.22845	0.15608	0	0	0.17672	0	0.03568	0	0	0
Healthy	0	0	0	0.04304	0	0	0	0	0	0	0	0	0	0	0.01946	0	0	0.01964	0	0
Healthy	0.0166	0	0	0.06195	0.01831	0.00517	0	0	0	0	0.44087	0.31818	0	0.01291	0.04775	1.3146	0.00573	0	0.11005	0.00077
Healthy	0.14608	0.02602	0.01343	0.17592	0	0	0	0	0	0	0.04633	0.12684	0.02602	0	0.65424	0	0.00695	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.07774	0	0	0	0	0	0	0	0.02201	0	0	0.03174	0	0	0.01077	0	0
Healthy	1.46894	0	0	0	0	0	0	0	0	0	1.23848	0.54982	0	0	0	0	0.23628	0.12138	0	0
Healthy	8.92773	0.00864	0.01121	0.0029	0.39029	0.03356	0	0	0	0.00097	0.41985	0.09524	0.00864	0	0	0	0	0	0	0.02057
Healthy	2.36936	0	0	0	0	0	0	0	0	0	0	0.11302	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32913	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.88981	0	0	0	0	0	0	0	0	0.05662	0	0.13903	0	0	0	0	0.00319	0	0	0
Healthy	0.01881	0	0	0	0.03917	0	0	0	0	0	0	0	0	1.42469	0.06589	0	0	0	0	0
Healthy	2.8324	0	0	0.01341	0.07449	0.05569	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14893
Healthy	0.15672	0.00238	0	0	0	0	0	0.01863	0	0	0.1328	0.36482	0.00238	0	0.39391	0	0	0.04545	0	0
Healthy	0	0.07188	0	0	0	0	0	0	0	0	0	0	0.07188	0	0.00191	0.38516	0	0	0.02339	0
Healthy	0	0.01983	0.0077	0	0.02464	0	0.01384	0	0	0	0.34197	0.203	0.01983	0.00064	0.40731	0	0.02506	0	0	0
Healthy	0.48329	0.05432	0	1.50839	0	0	0	0	0	0	0	0	0.05432	0	0	0	0	0	0	0.02536
Healthy	0	0.08208	0	0.28696	0.04906	0.27837	0	0	0.00688	0.00116	1.94997	0.79192	0.08208	0	0.27613	0	0.08919	0	0	0
Healthy	0.55057	0.03226	0.07794	0	0.12243	0	0	0	0	0.03087	0.07633	0.12935	0.03226	0	0.02758	0	0	0.09839	0	0
Healthy	20.3087	0.18623	0.10277	0.11689	0.02091	0.05544	0.0527	0	0	0	1.76033	0.42614	0.18623	0	0.45329	0	0.14749	0.04813	0	0
Healthy	13.8295	0.08305	0.01544	0.00777	0.01748	0	0.00252	0.00297	0	0.02848	0.70712	0.4394	0.08305	0	0.36195	0	0.01352	0.00583	0.13686	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.02376	0.01208	0	0	0.02128	0	0	0	0	0
Healthy	0.10908	0.01802	0	0.07228	0.11133	0	0	0	0	0	0.00875	0.04465	0.01802	0	0	0	0	0	0	0
Healthy	0	0.01987	0	0	0	0	0	0	0	0	0	0.0373	0.01987	3.0378	0.00978	4.36187	0	0.07166	0.23098	0
Healthy	1.9833	0	0	0	0	0	0	0	0	0	0	0.14994	0	0	0	0	0	0	0	0
Healthy	0.14376	0.72398	0.21678	0.02343	0.18068	0.06886	0	0	0	0	0.34331	0.36471	0.72398	0.30545	0.20406	0	0.14576	0.25331	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	4.30159	0	2.45694	0	0.04331	0.0979	0
Healthy	0.05114	0.04125	0.00951	0.00472	0.00665	0	0.01684	0.00407	0	0	0.40984	0.39031	0.04125	0	0.14706	0	0.47722	0	0	0
Healthy	0.98729	0	0	0.2934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.01349	0	0	0.02818	0.01784	0	0	0	0.00389	0.33856	0.23492	0.01349	0	0.12304	0.64763	0.04397	0.02542	0.18856	0.00097
Healthy	0	0.02287	0	0	0	0	0	0	0	0	0	0.0375	0.02287	2.87257	0.01071	3.50718	0	0.12034	0.21085	0
Healthy	0	0.16055	0	0	0	0	0	0	0	0	0.44028	2.69181	0.16055	0	1.13421	0	0	2.52683	0	0
Healthy	0.237	0.02489	0.00096	0.1596	0	0	0	0	0	0	0.29592	0.16356	0.02489	0	0	0.47588	0.00753	0	0.0099	0.00184
Healthy	0	0	0	0	0	0	0	0	0	0	0.89059	1.08347	0	0	1.1278	0	0	0	0	0
Healthy	0	0.00215	0	0.0105	0.06939	0	0	0	0	0	0.09302	0.06887	0.00215	0	0.01157	0	0	0	0	0.00804
Healthy	0.13507	0.01444	0	0	0	0	0	0	0	0	0	0.10534	0.01444	0.0776	0	1.05079	0.01116	0.00745	0.21372	0
Healthy	2.40992	0.37623	0.22128	0.01786	0	0.00161	0	0.08706	0	0	0	0	0.37623	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.10104	0.00752	1.03347	1.48135	0.0169	0.00809	0.00035	0.00137	0.0447	2.99236	0.22957	0.10104	0	0	0.08865	0.02306	0	0.02759	0.03684
D065626	3.22205	1.56711	1.35151	0.02968	0.02643	0	0.00411	0.00103	0	0.00256	0.16389	0.233	1.56711	0	0.31709	1.30527	0	0	0.4282	0.00325
Healthy	0	0.06383	0	0	0	0.56586	0	0	0	0	3.89335	1.37881	0.06383	0	1.32099	0	0.09439	0	0.05317	0
Healthy	0	0.11874	0	0	0.03949	0	0	0	0	0	0.05909	0.11127	0.11874	0	0.03974	0.25498	0	0	0.00665	0
Healthy	0	0	0	0	0	0.37922	0	0	0	0	0	0.04611	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.22033	1.14523	0	0	0.17836	0	0	0.00862	0	0
Healthy	0	0.01646	0.01429	0.01786	0.17804	0.03164	0.00088	0.00155	0.00073	0.00354	0.56233	0.53754	0.01646	1.49509	0.28475	0	0	0	0	0.04174
Healthy	0	0.04065	0.045	0	0	0	0	0	0	0	0.01665	0.11803	0.04065	0	0.03945	0	0	0	0	0
Healthy	1.78426	0	0	0	0.09724	0	0	0	0	0	0	0	0	0	0	0.13484	0	0	0	0
Healthy	1.90617	0.36187	0.03804	0.01764	0.12041	1.75786	0.0262	0	0.01847	0.0112	0.16818	1.79633	0.36187	0.00431	1.68644	0	0.16493	0.11574	0	0
Healthy	0.97562	0	0	0.29046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.01543	0	0	0	0.07053	0	0	0	0	0	0.02619	0.01543	0.03855	0.03642	0.11899	0	0	0	0
Healthy	0	0	0.00312	0	0	0	0	0	0	0	0.03403	0.08096	0	0	0.07273	0	0	0	0	0
Healthy	27.3174	0.09108	0.03616	0	0	0	0	0.00088	0	0.17319	0	0	0.09108	0	0	0	0	0	0	0
Healthy	4.93118	0	0	0	0	0	0	0	0	0	0.16901	0.19646	0	0	0.32851	0.84257	0.21764	0	0.11991	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.31253	0.16121	0	0	0	0	0.01741	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.50241	0.52041	0	0	0.68119	0.16177	0.12652	0.36602	0	0
Healthy	0.08148	0.00686	0	0	0	0	0	0	0	0	0.03372	0.00185	0.00686	0	0.01727	0.19247	0	0	0.04249	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.23312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.03568	0	0	0	0	0	0	0	0	0	0.35198	0.02972	0	0	0.04037	0	0	0	0	0
Healthy	0.20692	0	0	0	0.6598	0	0	0	0	0.01128	0	0	0	0	0	0	0	0	0	0.03357
Healthy	0.03995	0	0	0.55234	0.18631	0	0	0	0	0	0	0.00459	0	0	0.00615	0	0	0	0	0
Healthy	0	0.01104	0	0	0	0.08119	0	0	0	0	0	0.03419	0.01104	0.03858	0.05784	0.10619	0	0	0.00266	0
Healthy	0	0.87723	0.43135	0	0	0.04414	0.09514	0	0	0	0.32337	0.26432	0.87723	0.41007	0.17226	0.33176	0.0622	0.50359	0.04301	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.21239	0.18443	0	0	0.07686	0.35016	0.0599	0	0.01921	0
Healthy	0	0.02999	0.06663	0	0	0	0	0	0	0	0.02848	0.15261	0.02999	0	0.07714	0	0	0.02442	0	0
Healthy	0.10641	0.05767	0	0	0	0.29563	0	0	0	0	0.47034	0.25385	0.05767	0	0.23782	0.72651	0.1649	0.23344	0.03536	0
Healthy	0.13569	0.0192	0.00524	0.08354	0.09621	0	0	0	0	0	0.00168	0.03202	0.0192	0	0	0	0	0	0	0
Healthy	0.08551	0.09605	0.04849	0	0	0	0.21126	0	0	0.0159	1.81776	0.9475	0.09605	0	0.73547	0.19301	0.31312	1.09431	0.00909	0
Healthy	0	0	0	0.03625	0	0	0	0	0	0	0	0.00252	0	0	0.03097	0	0	0.01965	0	0
Healthy	0	0.18199	0.01559	0	0.06691	0	0	0	0	0	0.29154	0.12277	0.18199	0	0.25277	0	0	0.40722	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.27551	0.08908	0	0.18346	0	0	0	0	0	0	0.17036	0.08259	0.08908	0.00532	0	0	0.05982	0	0	0
Healthy	0.00829	0.03658	0.02039	0	0.00446	0.16227	0	0	0	0.00212	1.11391	0.40634	0.03658	0	0.29781	0	0.04129	0.05602	0	0
Healthy	0.47393	0	0	0	0	0	0.2094	0	0	0	0	0.74977	0	0	0	0	0	0	0	0
Healthy	0	0.006	0	0.00929	0.06631	0	0	0	0	0	0.07398	0.06589	0.006	0	0.00934	0	0	0	0	0
Healthy	0.03663	0.02242	0.0033	0	0.00993	0.0167	0.0003	0	0	0	0.29743	0.08177	0.02242	0.0366	0.23234	0.31326	0.21428	0	0.00642	0
Healthy	11.55	0	0	0.72953	0	0.22019	0	0	0	0	0	0	0	0	0.05432	0	0	0	0	0
Healthy	0.02568	1.00453	0.22681	0.01879	0.00464	0.01134	0	0	0	0.00651	0.9044	0.58319	1.00453	0	0.35799	0	0.08093	0.31414	0	0
Healthy	0.19079	0	0	0	0	0	0	0	0	0	0.38648	0.20218	0	0	0.10815	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0.01804	0.28125	0.39356	0	0	0.40075	0.16648	0.0647	0	0.02737	0
Healthy	0.05235	0.19415	0.09299	0.07714	0.0395	0	0.00116	0	0	0.00018	2.34448	0.50191	0.19415	0.00363	0.38286	0	0	0	0	0
Healthy	0	0.20004	0	0	0	0	0	0	0	0	0.75834	0.38034	0.20004	0.08053	0.13582	0.19022	0	0.05647	0.02348	0
Healthy	0	0.03339	0	0	0	0	0	0	0	0	0.31453	0.09934	0.03339	0	0	0	0.07709	0	0	0
Healthy	0.120903	0.00357278	0.00643101	0.0182926	0.040301	0.00342987	0	0.000428734	0.0265815	0.0135766	0.0220083	0.0635955	0.00357278	0.0443025	0.00585936	0.00485898	0	0.0314405	0.000571645	0
Healthy	0.50045	0.21074	0	0	0	0	0	0	0	0	0.07717	0.23566	0.21074	0	0.23481	0	0	0	0	0
Healthy	0.31242	0.12873	0.05695	0.00584	0.13401	0.41555	0.00153	0.00049	0.00314	0.00216	3.10326	0.32119	0.12873	0	0.07999	0.15531	0.13987	0	0.02884	0.00575
Healthy	0	0	0	0	0.02244	0	0	0	0	0	0.00404	0.00657	0	0	0.06123	0	0.0705	0	0	0.00084
Healthy	0.88478	0.74186	0.3839	0	0	2.98003	0	0	0	0	1.30867	1.56052	0.74186	0	0.67123	0.34664	0.09378	0	0.03567	0.00257
Healthy	0	0	0	0.00419	0	0	0.00124	0.0728	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.096	0.07162	0	0	0.03949	0.21366	0	0.19136	0.00835	0
Healthy	0	0	0	0	0.03254	0	0	0	0	0.00058	0.06356	0.025	0	0	0.20152	0	0	0.00058	0	0
Healthy	0.07495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.38461	0	0	0	0	0	0	0	0	0
Healthy	0.05708	2.34781	1.33356	0.02597	0	2.83896	0.05939	0	0.01302	0.01201	2.68794	2.45565	2.34781	0	0.32496	0	0.07471	0	0	0
D065626	3.97589	5.55227	1.66507	0.0069	0.0349	0.02772	0.16749	0.06006	0	0.00212	0	0.22438	5.55227	0	0	0.11335	0.01703	0.32229	0.01982	0.01172
Healthy	0	0.24185	0.00378	0	0.08544	0	0	0	0	0	0.91173	0.28495	0.24185	0	0.35289	0	0.0402	0.01803	0	0
Healthy	1.54445	0.14571	0.00504	0.00491	0	0	0	0	0	0.00048	0	0.00273	0.14571	0	0	0	1.10163	0	0	0.2241
Healthy	0.05107	0	0	0	0	0	0	0	0	0	0	0.04592	0	2.23382	0	0	0	0	0	0
Healthy	0.03628	0.01874	0	0.04456	0	0.00196	0.00542	0	0.02495	0.0074	0.50243	0.00621	0.01874	0.00022	0	0	0	0	0	0.00901
Healthy	0.69087	0	0	0	0	0	0	0	0	0	0	0.48498	0	0	0.14655	0	0	0	0	0.07054
Healthy	0.70877	0	0.03436	0	0.00913	0	0	0	0	0	0	0.05924	0	0	0.01161	0	0	0.14914	0	0
Healthy	8.81381	0.0039	0.00312	0	0	0	0	0.04318	0	0	0	0	0.0039	0	4.564	0	0	0	0	0
Healthy	0	0.07607	0	0	0	0	0	0.01098	0	0	0.0163	0.27154	0.07607	0	0.48937	0	0	0.11957	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1325	0	0	0	0
Healthy	0	0.02256	0	0.05705	0	0	0	0	0	0	0.25558	0.20452	0.02256	0.05876	0.24833	0	0.04083	0	0	0.01212
Healthy	0.02012	0.02778	0	0	0.08515	0.60913	0.02955	0	0	0	0.44736	0.49125	0.02778	0.00588	0.28001	0	0.00886	0.16023	0	0
Healthy	0	0.07772	0	0	0.02769	0	0	0	0	0	0.23719	0.20947	0.07772	0	0.0283	0.94028	0.17998	0.08791	0.10463	0
Healthy	2.63952	0.18021	0.00784	9.9321	0	0	0	0.02642	0	0	0	0	0.18021	0	0	0	0	0	0	0
Healthy	0.07583	0	0	0	0	0	0	0	0	0	0.05277	0.02403	0	0	0.00645	0	0	0	0	0
Healthy	0.018	0.59639	0.30837	0.01651	0.27278	0.00554	0.05695	0	0.00064	0.00547	0.70717	1.64084	0.59639	0	1.47408	0	0.23621	2.27829	0	0
Healthy	0	0	0	0.06875	0	0	0	0	0	0	0	0.04768	0	0	0	0	0.04139	0	0	0.02431
D065626	0	0.3811	0.13295	0.05417	0.11677	0	0	0	0	0	1.8083	0.26671	0.3811	0	0.21474	0	0.06076	0	0	0
Healthy	0	0.00169	0	0	0	0	0	0	0	0	0	0.01078	0.00169	4.07315	0	4.4712	0	0.09895	0.21606	0
Healthy	0.33685	0.03244	0	0	0	0	0	0	0	0	0	0.02708	0.03244	0.25074	0.04649	7.93357	0	0	0.25064	0
Healthy	16.2073	0.24933	0	0.59226	0.66655	0	0	0	0	0	8.84666	2.17126	0.24933	0	0.44284	0	0.99417	0	0	0
Healthy	1.24196	0	0	0.00578	0.03289	0	0	0	0	0	0.01584	0.03711	0	0	0.00456	0	0	0	0	0.01686
Healthy	0.14246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08423
Healthy	0	0	0	0	0	0	0	0	0	0	0.31549	0.1464	0	0	0.23597	0	0	0	0	0
Healthy	0.11577	1.52142	3.19298	0.0103	0.03746	0	0.26832	0.05528	0	0	0.18786	0.22712	1.52142	0	0.01328	0	0	0	0	0
