group	Gammaproteobacteria	Desulfovibrionia		Bacteroidia	Clostridia	Gammaproteobacteria	Verrucomicrobiae	Bacilli	Methanobacteria	Desulfovibrionia	
Healthy	0.91721	0.01514		24.69327	20.69677	0.91721	0	0.29529	0	0.01514	
Healthy	0.39039	0.07434		70.62031	10.29268	0.39039	0.09043	0	0.04311	0.07434	
Healthy	1.53674	0.15405		63.4987	14.20783	1.53674	0	0.01765	0.18758	0.15405	
Healthy	0.28059	0.01399		42.29907	22.05547	0.28059	0.98179	3.42795	0	0.01399	
Healthy	2.21801	0.09305		52.08938	25.91353	2.21801	0.62975	0.58159	0.07048	0.09305	
Healthy	0	0		28.91364	48.19235	0	0	0.76987	0	0	
Healthy	0.29448	0		40.44836	31.11105	0.29448	0.03917	1.11176	0	0	
Healthy	0	0.71462		29.45115	14.30626	0	23.484	0.31565	2.20838	0.71462	
Healthy	0.24576	0.36652		59.94951	9.71004	0.24576	0.90006	0.09111	0.91984	0.36652	
Healthy	0.35618	0.08906		69.31403	10.42742	0.35618	0.11704	0.01041	0.06314	0.08906	
Healthy	0.04924	0		51.86404	37.54418	0.04924	0	0	0	0	
Healthy	0.02213	0		87.79754	7.19351	0.02213	0	0.10386	0	0	
Healthy	0.45536	0.0012		48.12186	17.53068	0.45536	1.1655	0.80843	0	0.0012	
Healthy	1.87444	0		52.10296	24.0498	1.87444	0	0.32	0	0	
Healthy	0	0		3.58455	40.23628	0	0	3.31825	0	0	
Healthy	0.01115	0.05871		55.96175	23.37749	0.01115	0.07252	0.09202	0.52921	0.05871	
Healthy	0.38872	0.07883		76.93222	6.6307	0.38872	0	0.163	0	0.07883	
Healthy	27.78192	0.13184		9.78837	0.33418	27.78192	0	3.50436	0	0.13184	
Healthy	0	0.08855		47.09899	25.23882	0	4.64535	1.20542	2.8803	0.08855	
Healthy	0.23778	0		68.68363	7.58224	0.23778	0	0.27242	0	0	
Healthy	0.46306	0.00251		89.10926	2.56496	0.46306	0	0.24408	0	0.00251	
Healthy	0.07863	1.66613		68.74356	9.90427	0.07863	0	0.50213	0	1.66613	
Healthy	2.17787	0		28.65617	34.3302	2.17787	1.91177	11.84842	0	0	
Healthy	0.15651	0.06513		63.79876	15.58102	0.15651	0	0.07183	0	0.06513	
