s	Clostridium_A_leptum	Enterocloster_sp900540675	Clostridium_Q_symbiosum	Muricomes_sp000509105	Bifidobacterium_sp002742445	Enterocloster_clostridioformis_A	Anaerotruncus_colihominis	Enterocloster_citroniae	Enterocloster_sp000155435	Longicatena_innocuum	Bacteroides_uniformis	Alistipes_putredinis	Phocaeicola_vulgatus	Phocaeicola_dorei	Bacteroides_ovatus	Lachnospira_eligens_B	Barnesiella_intestinihominis	Bacteroides_cellulosilyticus	Alistipes_shahii	Alistipes_obesi	Odoribacter_splanchnicus	Parasutterella_excrementihominis
Healthy	-1.65757731917779	-1.3465945093355	-1.08799062441302	-1.80799040734633	-1.31984585826563	-5	-5	-2.65560772631489	-5	-5	0.319114391018478	0.378363374072967	0.120817331105136	-0.878440155812499	-1.03081714076774	-0.0508296359849904	0.573923549338574	-0.770420537334355	-0.50956391880679	-0.24272546917445	-0.0631445861152637	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.602371485883415	-5	-5	0.360157764747342	0.321695757854668	0.261203372322519	-5	0.0487175201989713	-0.970697406441002	-5	-5	-0.914495360573502
Healthy	-1.51413667040267	0.194378343404832	-5	-5	-5	-5	-5	-5	-5	-5	0.72381100774591	0.407106947948496	-0.0608153329025503	-0.516042035099026	-5	-0.281772426644859	-0.230984736872638	-5	0.227194880408394	0.494509401265625	-5	-1.30874164186689
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.999124013766143	-5	-5	0.930522164036852	-1.47495519296315	0.721659780881753	-5	0.545846247200658	0.258055120057764	-0.0281723540571374	-0.0417659044388201	-1.5480601306349
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.480825865259064	0.354484920689846	-1.42805836492554	0.368567644095845	-1.7854210464295	-0.359876481674179	-0.963411023244595	0.119249289007693	-1.3269790928711	-2.18575240426808	-5	-0.492656952400061
Healthy	-0.974039090143621	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.882918809883329	0.131002388743692	0.864689627191863	0.507859917898863	-0.946191940079342	-1.58103616929638	-5	-5	-0.891198275877974	-1.66756154008439	-0.400433488998382	-1.82159865846624
Healthy	-1.53895190832934	-1.22555603107503	-5	-5	-5	-5	-5	-5	-2.08512818245995	-5	0.659996969431711	-0.533399263703119	0.075685621526228	-2.64016451766011	-1.43344466911694	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.11713408027837	-5	-5	-5	-5	-5	-5	-5	-5	-2.84771165561694	-0.0687150678652719	0.481627486804783	0.0390332008472302	0.636770647347205	-1.67386904328921	-0.410374286513177	0.0273944621654235	0.739757414135247	-0.537781747353759	-0.538846765009157	0.0623713661435777	-0.743691250878066
Healthy	-5	-5	-5	-5	-0.377734155008477	-5	-5	-5	-5	-5	0.108341730858209	0.723658404930206	0.302341753436881	-0.22651342407236	0.0174256974069007	-5	0.170203022985664	-5	-0.126092596098388	-0.540803592201894	-5	-1.35193287055107
Healthy	-5	-5	-5	-5	-1.52636707312616	-5	-5	-5	-5	-5	0.916110061773521	0.599026733709951	-0.0455741604797212	-0.884755714672745	-1.11064226311107	0.265390996562983	0.743498005693372	-1.94005811193804	0.367208645996994	0.484588798211553	0.171196788699384	-0.713813083058962
Healthy	-0.948191705682908	-5	-5	-5	-5	-5	-1.47275688361191	-5	-5	-1.90974194706868	1.41419108083844	1.03897007898612	-5	0.234264124378789	-2.77211329538633	-0.0448319825238872	-5	-5	0.434712580645523	-5	-5	-2.69680394257951
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.546924970411396	0.333640699028418	0.688688503082372	0.205888839886172	0.0866196176903074	-0.0123694809465719	0.763261731784976	-0.776244546342759	-0.246470561019737	-0.780729914114604	-5	-5
Healthy	-5	-5	-5	-5	-0.88585625032812	-5	-5	-5	-5	-5	-1.28954413566458	-5	-0.623204126120284	-5	0.261217652218679	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.86486734862323	-5	-5	-5	-5	-1.21831641549265	-5	-5	-5	0.358247121963409	0.949733402662655	0.945021258021911	-2.01322826573375	-0.656473246902283	0.526283694479785	0.71903530230948	-5	0.438654665438737	0.234825937948012	0.365081579699462	-1.77006231409207
