c	Bacteroidia	Clostridia	Actinomycetia	Verrucomicrobiae	Bacilli	Methanobacteria	Coriobacteriia	Desulfovibrionia
Healthy	1.12037516310008	0.834881459911079	-1.78251605578609	1.63962801034967	-0.738784727731408	-5	0.157293537030964	-0.154722075245364
Healthy	1.85877539268605	1.14248551342664	-5	-5	-5	-5	-5	-5
Healthy	1.76248500077786	0.905775918547835	-5	-5	-5	-5	-5	-5
Healthy	0.753566207633706	0.506005509528048	0.256147450368233	-5	-5	-5	-5	-5
Healthy	1.67342301960269	1.42200957240051	-0.0907114758377493	-2.79860287567955	-0.157278457372331	-5	-5	-5
Healthy	1.84256505913163	0.869094954125148	-0.419576861588155	-5	-0.493494967595128	-5	-5	-5
Healthy	1.49356483387704	1.19020951815055	-0.301507982535077	0.815250243860085	-0.983091956027925	-5	-0.249483891283201	-1.35076252765039
Healthy	1.71315322488589	1.46509466393064	-0.0859743483036714	-5	-1.13288622016802	-5	0.113150877468074	-3.2839966563652
Healthy	1.76828215948572	1.45921979121162	-5	-5	-1.71579493229821	-5	-1.91470942176993	-0.744076541267099
Healthy	1.40912732608835	1.52809127080218	1.34327168575716	-5	-1.07083661679494	-5	0.146202479780109	-5
Healthy	1.751024304759	1.34464707672557	-0.142643376767697	-0.0835460514500749	-0.119826892692204	-0.593527949534324	-0.576737737901385	-1.83564714421556
Healthy	1.3636531513135	1.4756432996228	1.07310257186231	-5	1.1269644402306	-5	-5	-5
Healthy	1.83153801034881	1.01454111895657	-5	-0.218474395596606	-1.79425445905734	-5	-0.434990895787404	-1.14697138528701
Healthy	-0.56125202309777	1.81661503022113	0.935873389978904	-0.00261361560268669	0.122641769625536	-5	-0.0813721327862228	-5
Healthy	1.93835333049894	0.865013906964962	-0.639539128949822	-5	-0.755747626027527	-5	-5	-1.01269132626882
Healthy	1.80841638682843	0.621185632512497	1.10762472634163	-5	-0.160232938160214	-5	0.559244509416333	-5
Healthy	1.13997348798446	1.77431582986575	0.0604674143361238	-1.58037463911226	0.439799901220617	0.218461978766149	-0.810650075660802	-5
Healthy	1.54122030352031	0.965797447276839	-0.768046430801019	0.270571704722232	-0.325074592106928	0.90543588720795	-1.23912536194781	-0.210553262965207
Healthy	1.65610510465173	1.53574792951024	0.490921572614853	-5	-0.129479049987236	-5	-0.767664722914346	-5
Healthy	1.43020829188859	1.42429183666506	0.393975096445539	0.74214280216862	0.457819850233151	-5	-0.300812902691751	-5
Healthy	1.54534163593735	1.67799618346722	-0.48384819086776	-5	-0.914780798955058	-5	0.409194025170417	-5
Healthy	1.68276546649112	1.24294423094552	-5	0.766518433276982	-1.64474009447262	-5	-5	-0.620730750526353
Healthy	1.31879954964682	1.39068469769986	1.10904437714116	0.218672021321886	0.723240523942585	-0.0989123766000521	-0.4678318683063	-1.34208406317004
Healthy	1.10018575831703	1.74657558857697	0.436447310914848	-5	0.357746230812359	-5	-0.139763839938269	-5
Healthy	1.46493613135373	0.980759885403075	-5	1.30050874675137	-0.686533527341765	-0.265824467335679	-5	-0.142926951366022
Healthy	1.53452703352098	1.51828844302872	0.99456129217834	-1.06108018775523	-0.304833651694131	-5	-0.856080061614163	-5
Healthy	1.82816042852175	1.2530225910835	-5	-0.392009141452825	-5	-5	-5	-5
Healthy	1.66400962634643	1.49457893733627	-5	-1.06429125215734	-1.68423950933427	-5	-0.863279432843593	-0.606021397348228
Healthy	1.32580085766442	1.23249066332249	-0.460986665060487	1.68812791006636	-0.343039817257151	-5	-5	-5
Healthy	1.5976974889962	1.45331895172898	-0.215925022521303	-1.60101893334187	0.213326465927919	-0.194444773478747	-1.02447628703967	-1.10941133229451
Healthy	1.23406807784543	1.6692777272002	1.38646596861784	-5	-0.74816718137136	-5	-0.0468639369858433	-5
Healthy	1.54045311221858	1.41584323663477	0.530503213925169	0.21827810816134	-2.57348873863542	-0.743787541434838	-0.341330501793832	-1.12644690648638
Healthy	1.75494401147996	1.14208867249843	0.750233691942234	-5	-1.43004118190341	-1.09044397075882	-0.0893435844122668	-0.986109939671561
Healthy	1.73383868006618	1.34703771974518	-0.687653360969147	-5	-0.885355661097721	-5	0.163846875794205	-1.09642170633695
Healthy	1.39257878095216	1.31590278328254	1.40112833208387	-5	-0.529736553034922	-5	0.759851342542993	-1.81958736716168
Healthy	1.80276490252706	1.15252805770336	-0.299330889371745	-5	-1.75300930075845	-0.726790316599669	-0.683903790324869	-0.812310106474816
Healthy	1.71674927159693	1.41352674519155	-0.587875593826683	-0.200824927584771	-0.235375602149019	-1.15187248943213	-1.06068046892176	-1.03123695180275
Healthy	1.60690102497749	1.49291480841852	-0.328716051374985	-1.40693556834128	0.0460149508590078	-5	-0.423336216585005	-5
Healthy	1.68234249553608	1.24379901006385	0.768325030057909	0.066516004090991	-0.0923522065996969	-5	-0.0285803382281341	-2.91721462968355
Healthy	1.74789136461658	1.36879806566854	0.749569366032057	-1.13948232253825	-1.03607057797344	-0.276363751548955	0.234745000628051	-1.23121395309199
Healthy	1.8861083213193	0.821560034071882	-0.181859917724294	-5	-0.787785752580059	-5	-0.844998163768747	-1.10325338439259
Healthy	0.99071082098826	-0.476006549684386	1.7298044975577	-5	0.544609953795997	-5	-0.920782564253433	-0.879919865870547
Healthy	1.67301168634137	1.40206921838821	-0.00137890022102005	0.667019376016459	0.0811419957201863	0.459439232218998	-5	-1.05276239212933
Healthy	1.94992288585992	0.409082289950506	-5	-5	-0.612450012609767	-5	-0.81121208736253	-2.59859945921846
Healthy	1.72528954175842	1.55513678720214	-5	-1.60572347323218	-0.844208647642382	-5	-1.78727984558216	-1.43168091490489
Healthy	1.4858262973554	0.995212978021115	-5	1.30133411244408	-0.564028293600659	-0.262688062010375	-5	-0.183427303973897
Healthy	1.64796730935212	0.767879087701276	-5	-5	-5	-5	-0.991357252434715	-1.24123945609002
Healthy	1.59439929128072	1.40436788267485	-1.02122621566988	0.0558597642979701	-5	1.19431477032722	-1.15851539066461	-1.57528166266843
Healthy	1.61538794443253	1.2300635056576	-5	-5	-0.845697780315335	-0.48537256758866	-5	-5
Healthy	1.93830958188606	0.883333177521008	-0.65380355627079	-5	-0.989530430203608	-5	-5	-1.0073581301216
Healthy	1.09571109663366	1.83420763729357	-5	-2.0301183562535	-0.938698343793955	0.506717392419689	-5	-5
Healthy	1.88332170105324	0.835315711892788	-0.207181230830761	-5	-0.849304948857286	-5	-0.719763190390311	-0.998699066979582
Healthy	0.990601217280949	1.39121518967295	1.35339280128144	-5	1.2620379575553	0.0200254863257827	0.451102996833693	-5
Healthy	1.62516320091162	1.28459404298254	0.704108458618344	-5	0.335205073740825	-5	0.239269440429388	-1.43937612545007
D003424	1.9005510229906	0.9940270861538	-0.193596150636794	-1.77884667804529	-1.60519822283729	-5	-1.49962628564663	-5
Healthy	1.83470604885608	0.865290568604777	-0.411392195257313	-5	-0.617982957425132	-5	-5	-5
Healthy	1.87756621627172	0.73434690347996	-0.30756731148585	-5	-1.01295971302073	-5	-0.500381640299993	-0.69216179584344
Healthy	1.52954173713065	1.07126582915093	-5	-0.264648654831209	-0.654998961821958	-0.21511893041391	-5	-5
