group	Dialister	Ruminococcus_B	Dorea	Longicatena	Anaerostipes	Intestinibacter	Adlercreutzia	Anaerotruncus	Gordonibacter	Eggerthella	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Anaerobutyricum	Collinsella	Bariatricus	Blautia_A	Dorea
Healthy	0	0	0.2587	0	0.65154	0	0.06189	0	0	0	2.28172	0	3.01678	2.85395	0.02364	0.64033	1.3964	0.17051	0.17307	0.2587
Healthy	0	19.5045	0	0	0.00655	0	0	0	0	0.03312	0	0	0	1.13657	0	0	5.7193	0	0	0
Healthy	0.386	0	0	0	0	0	0.00917	0.06048	0	0	2.17349	0.70541	0.82116	0.15612	0.01364	0.00256	0.19788	0.08538	0.08949	0
Healthy	0	0	0.27323	0	0.28271	0	0.00649	0	0	0	5.97746	0.02428	11.94483	1.58654	0.39719	0.34	0.08046	0.20512	0.48211	0.27323
Healthy	0	0	0.61097	0	0.1905	0.02658	0.04105	0	0	0	3.50391	0.64251	8.37612	0.93048	0.87631	0.51939	0.33622	0.77811	0.3583	0.61097
Healthy	10.2571	0.0148	0.20709	0.00016	0.09643	0	0.02361	0.08122	0	0	2.92042	3.91891	3.3525	0.73978	0.26551	0.43019	0.91269	0.34916	0.38507	0.20709
Healthy	0	0.01194	0.46545	0.00364	0.09444	0.01345	0.26867	0.00887	0.01241	0	3.4047	4.92965	0.77764	0.03239	1.12558	1.67721	1.43581	1.37517	0.25643	0.46545
Healthy	6.24256	0	0	0	0	0	0	0.03768	0	0	1.43889	0.9933	1.14848	0.19409	0.01573	0.06374	0.14288	0.01663	0.03551	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18846	0	0	0.12	0	0	0
Healthy	0	0	0.06101	0	0.06974	0	0	0	0	0	2.38036	1.82773	7.38522	0.32606	0.96456	0.56451	0	0.7182	0.20371	0.06101
Healthy	3.32443	0.02053	0	0	0.01274	0	0	0.37654	0	0	0	0	0.38595	0.02773	0.09105	0.01863	0.15444	0.01295	0.01794	0
Healthy	0	0	0	0.00061	0.03177	0	0	0.01096	0	0	0.51508	0.02157	3.23114	0.35646	0.14689	0.02058	0.01631	0.34057	0.12538	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.98058	0.34484	1.83505	1.88463	0	0	0.00682	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.03579	0	0	2.18411	1.06288	0	0.102	0	0	0
