group	Prevotella	Phytobacter	Ruminococcus_B	Haemophilus_D	Faecalimonas	Muricomes	Clostridium_Q	Longicatena	Anaerotruncus	Eggerthella	Bacteroides	Parabacteroides	Dialister	Barnesiella	Ruminiclostridium_E	Methanobrevibacter_A	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella
Healthy	0	0.04844	0.0114	0	0	0.00435	0	0.0015	0	0	5.2569	0.78517	0	0	0	0	0	0.00947	0	0.07849
Healthy	18.11325	0	0	0.00484	0	0	0	0	0	0	6.66622	0.90208	0	0.01692	2.25387	0	0.92764	0	0	0
Healthy	0	1.09555	0.32613	0.01242	0	0.00748	0	0	0	0	12.62268	0	0	0	3.74826	0.05808	0.48243	0.02251	0.45022	0.0093
Healthy	9.43514	16.867	0	0	0	0	0	0.21262	0	0	4.15461	1.03617	0	2.88649	0.02218	0	0	0	0	0
Healthy	0.00036	0.04967	0	0	0	0	0	0.00655	0	0	2.94163	0.28318	3.32019	3.20139	12.3701	0	1.27209	0.00964	0.12226	0.02467
Healthy	0	0.02561	0	0	0	0	0.03504	0.00492	0.00699	0	37.32201	2.41768	0	0	5.69109	0	0	0.41484	0	0.05902
Healthy	0	21.7082	0.11064	0.34385	0.12966	0.01555	0.08165	0	0	0	10.28274	0.81843	0	3.74906	0.18797	0.78317	0.86467	0	0.02955	0
Healthy	11.1162	0.00817	0.00171	0.00722	0	0	0	0.01718	0	0	5.69648	1.5996	0	0.63245	0.74551	0.1082	3.04967	0.01382	0.08567	0.05891
Healthy	0	0	0	2.16962	0	0	0	0	0	0	8.82167	0.0213	3.12425	0	3.33595	0	0	0	0	0.12175
Healthy	31.79219	0.42213	0	0.64482	0	0	0	0	0	0	0.03596	0.0006	0	0	0.29128	0.09203	0	0.00173	0	0
Healthy	6.96922	6.48238	0	0	0	0	0	0	0	0	8.96166	1.81602	0	0.5875	0	0.54221	0	0.79294	0.00949	0.04911
Healthy	2.06912	0	0	0	0	0	0	0.00258	0	0	5.18629	0.82088	3.47983	1.03545	0.01523	0	0.22406	0	0	0
Healthy	0	0.61823	7.75625	0	0	0	12.5663	3.47651	0	0.04783	0.00116	0	0	0	0	0	0	1.79372	0	0
D001943	75.916	0.53235	0.58342	0.08667	0	0	0	0	0	0.03116	1.17871	0.37964	0.00421	0.2305	0	0	0.09904	0.00319	0.01027	0.05099
Healthy	0	0	0	0.09129	0	0	0	0	0	0	15.43309	0.18134	0.99085	0	0.48711	0	0.9083	0	0	0.0283
Healthy	0.04418	0.01636	0.00091	0.01104	0	0	0	0	0	0	7.04846	0.93182	0	0.7723	0	0.00083	0	0.00064	0.01269	0.00015
Healthy	32.1609	0.1043	0	0	0	0	0	0	0	0	12.72123	8.30208	0	0.10878	0.03379	0	0	0	0.04188	0.32161
