ID	Group
ERR209085	Healthy
ERR525883	Healthy
ERR720041	Healthy
ERR479577	Healthy
ERR525805	Healthy
ERR719796	Healthy
ERR525780	Healthy
ERR719480	Healthy
ERR720123	Healthy
ERR720137	Healthy
SRR1930255	Healthy
SRR5983273	Healthy
ERR478983	Healthy
ERR209316	Healthy
ERR321254	Healthy
ERR719375	Healthy
SRR2175769	Healthy
SRR5091541	Healthy
ERR209381	Healthy
ERR321300	Healthy
SRR6474220	Healthy
ERR209525	Healthy
ERR719926	Healthy
ERR209750	Healthy
ERR321441	Healthy
ERR719786	Healthy
ERR720214	Healthy
SRR5813353	Healthy
ERR479400	Healthy
ERR719668	Healthy
SRR961740	Healthy
ERR719403	Healthy
SRR5813271	Healthy
SRR5813311	Healthy
SRR5903340	Healthy
SRR5813434	Healthy
ERR719703	Healthy
ERR719949	Healthy
SRR5813187	Healthy
ERR479270	Healthy
ERR480755	Healthy
ERR1398242	Healthy
ERR480654	Healthy
ERR011255	Healthy
SRR5813274	Healthy
ERR209429	Healthy
ERR525828	Healthy
ERR2270940	Healthy
ERR011132	Healthy
ERR719567	Healthy
ERR525776	Healthy
ERR719485	Healthy
ERR479121	Healthy
ERR719857	Healthy
ERR720059	Healthy
ERR480544	Healthy
SRR6474216	Healthy
ERR719236	Healthy
ERR209492	Healthy
ERR209344	Healthy
ERR479042	Healthy
ERR1809129	Healthy
ERR719792	Healthy
ERR011301	Healthy
ERR719318	Healthy
ERR209472	Healthy
ERR719656	Healthy
ERR719234	Healthy
ERR720127	Healthy
ERR209363	Healthy
ERR718997	Healthy
ERR695614	Healthy
ERR525986	Healthy
ERR719212	Healthy
ERR209293	Healthy
ERR719555	Healthy
ERR719636	Healthy
SRR5813341	Healthy
ERR011102	Healthy
SRR1930250	Healthy
ERR719301	Healthy
ERR719326	Healthy
ERR720117	Healthy
ERR695598	Healthy
ERR720098	Healthy
ERR695617	Healthy
ERR719612	Healthy
ERR719123	Healthy
SRR5947864	Healthy
ERR209449	Healthy
ERR479601	Healthy
ERR719199	Healthy
ERR719575	Healthy
ERR481083	Healthy
ERR719829	Healthy
ERR209231	Healthy
ERR525729	Healthy
ERR719130	Healthy
ERR209459	Healthy
ERR480606	Healthy
ERR480903	Healthy
ERR719338	Healthy
ERR719729	Healthy
SRR961701	Healthy
SRR5903333	Healthy
ERR525870	Healthy
ERR525925	Healthy
ERR1809142	Healthy
ERR719169	Healthy
ERR719750	Healthy
SRR5651464	Healthy
SRR5813360	Healthy
ERR209267	Healthy
ERR011150	Healthy
ERR719443	Healthy
ERR209208	Healthy
ERR479092	Healthy
ERR011311	Healthy
ERR719040	Healthy
SRR5983481	Healthy
ERR321618	Healthy
ERR719992	Healthy
ERR526019	Healthy
ERR719441	Healthy
ERR525695	Healthy
ERR719549	Healthy
SRR5813459	Healthy
SRR5903332	Healthy
ERR479171	Healthy
ERR719661	Healthy
ERR481097	Healthy
SRR5813265	Healthy
SRR5651443	Healthy
SRR5813473	Healthy
ERR209346	Healthy
SRR6474252	Healthy
ERR209394	Healthy
ERR720238	Healthy
ERR526073	Healthy
ERR720017	Healthy
ERR719719	Healthy
ERR719257	Healthy
ERR719713	Healthy
ERR321587	Healthy
ERR719538	Healthy
ERR720050	Healthy
SRR5903347	Healthy
SRR5813462	Healthy
ERR525818	Healthy
ERR505097	Healthy
ERR478963	Healthy
ERR011162	Healthy
ERR480478	Healthy
SRR5091488	Healthy
ERR480479	Healthy
SRR5813221	Healthy
ERR525961	Healthy
ERR719712	Healthy
SRR5813330	Healthy
ERR209137	Healthy
ERR480626	Healthy
ERR209253	Healthy
ERR479597	Healthy
ERR525725	Healthy
ERR526047	Healthy
ERR719418	Healthy
ERR480511	Healthy
ERR720234	Healthy
ERR720210	Healthy
ERR525969	Healthy
ERR209502	Healthy
ERR719162	Healthy
SRR5651447	Healthy
SRR5813450	Healthy
SRR5813386	Healthy
ERR720170	Healthy
SRR5983429	Healthy
ERR209223	Healthy
ERR011345	Healthy
ERR719817	Healthy
ERR720144	Healthy
SRR6474236	Healthy
ERR719849	Healthy
ERR011325	Healthy
ERR719646	Healthy
ERR720024	Healthy
SRR5763451	Healthy
SRR961799	Healthy
ERR1809122	Healthy
ERR720034	Healthy
SRR961721	Healthy
ERR719071	Healthy
ERR719934	Healthy
ERR209246	Healthy
ERR525703	Healthy
SRR5983354	Healthy
ERR011308	Healthy
ERR480492	Healthy
ERR719080	Healthy
ERR011226	Healthy
ERR479130	Healthy
