group	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Coriobacteriaceae	Peptostreptococcaceae	Lactobacillaceae	Pasteurellaceae	Eggerthellaceae	Rikenellaceae	Ruminococcaceae	Bifidobacteriaceae	Dialisteraceae	Akkermansiaceae	Barnesiellaceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae
Healthy	13.36262	2.65474	0	0	0	0.01379	0	0	0	0	13.40952	2.65474	0	0	0	0.84186	0.27995	0	1.33372	1.69959
Healthy	0.69612	7.46	2.60971	0	0	0	0	0	0	0.14019	17.97362	7.46	2.60971	0	16.5921	5.8745	0.05661	0	0	0.12704
Healthy	1.75789	6.20456	0	0	0	0.01787	0	0	0.00667	0.01732	0.60733	6.20456	0	0	0	0	4.17376	0	0.8795	0
Healthy	1.19321	0.86617	0	0.21881	0.02812	0.1371	0	0	0	0	0	0.86617	0	3.32787	0	0	0.15078	0	0	0.19107
Healthy	23.43506	4.51084	6.88628	0.42134	1.51881	0.99882	0	0	0.02304	0.03715	4.75221	4.51084	6.88628	9.41435	0.10905	1.39238	1.0763	0	0.93383	0.07637
Healthy	22.17486	12.74651	1.71647	0	0.00894	0	0	0.00728	0.04415	0.04397	1.09727	12.74651	1.71647	5.16927	0	1.28147	0	0	0.54604	0.08171
Healthy	3.63734	2.54515	0.26697	0.11367	0.04149	0	0	0	0	0	1.30629	2.54515	0.26697	0	0	2.74606	0.10557	0	0	1.00093
Healthy	28.59877	11.85542	3.93681	0.2947	0	0	0	0	0	0	2.20749	11.85542	3.93681	0	2.06924	2.9801	0	1.08675	0	1.0322
Healthy	36.18644	0.21518	0.18208	0.0189	0.90476	0.23862	0	0	0	0.01878	0.62473	0.21518	0.18208	0.00541	0.056	1.68854	0.02318	0	0.80686	0.09159
Healthy	5.29557	2.01585	0.36857	0	0.268	0	0	0	0	0	11.8109	2.01585	0.36857	6.48153	0	0	0.1775	0	0.59148	0.04657
Healthy	2.49414	7.8147	0.256	0.97201	0	0	0.05397	0.72064	0	0.00869	2.68085	7.8147	0.256	0	0.06807	0	0.10903	0	1.1062	0.09517
Healthy	1.25511	13.57075	0.12553	0.03075	0.0344	0.01511	0	0	0	0	12.11739	13.57075	0.12553	3.45205	8.75589	0	0.29865	0	0.86528	0.1488
Healthy	3.47848	2.83953	0	0	0.29861	0.02645	0	0	0	0	2.65871	2.83953	0	1.30264	0	0	0	0	0	0.3307
Healthy	28.96229	17.26707	0	0.01196	0	0	0	0	0.48452	0	9.53379	17.26707	0	0	7.05557	0	0.61386	2.25756	0	0.73575
Healthy	13.54137	3.99848	28.84641	0.00805	0.28763	0.15137	0.14442	0	0.06028	0.01953	4.2958	3.99848	28.84641	0.74752	0	0	0.06137	0	0	0
Healthy	17.25954	4.70969	3.81114	0.98418	0.00944	0.94334	0.1405	0.07419	0.0801	0.01529	2.22267	4.70969	3.81114	0	0	0	4.16061	0	0.93246	0
Healthy	14.11581	2.93082	0.12007	0	1.03404	0.22512	0	0	0.01108	0.00535	4.1472	2.93082	0.12007	0	1.79223	2.21403	0.68399	0	0.13974	0.92712
Healthy	27.05577	2.31735	0	0	0	0	0	0	0	0	5.68245	2.31735	0	3.25777	6.14789	1.69355	0	0	0	0
Healthy	22.80186	26.3134	16.46008	1.0904	0	0	0.20503	0	0	0	0	26.3134	16.46008	0	0	0.30358	0	0	0	0
Healthy	5.90693	0.05943	0	0.31798	0.00028	0.10673	0.03962	0	0.1058	0.21658	3.08566	0.05943	0	0	0	0	0.66943	0	0.00716	0.79321
Healthy	10.72894	0.3106	0	0	1.1188	0	0.63571	0	0	0	0.99893	0.3106	0	0	0.36559	2.56402	0	3.01271	0	0
D003093	0.69339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.19691	2.76681	0	0	0.27761	0.0358	0	0	0	0	2.49792	2.76681	0	1.37444	0	0	0	0	0	0.29435
Healthy	7.07441	6.69056	5.63326	1.13887	1.97673	0.21899	0.03609	0.06055	0.01361	0.0267	6.41798	6.69056	5.63326	0	2.50516	0.57244	0.29426	0	0.89228	0.60143
Healthy	4.0418	0	20.1863	30.09628	0	0	0.33598	0.33265	0	0	0	0	20.1863	0	0	0	0	0	0	0
Healthy	3.4899	22.4034	17.34717	0	0	0.82508	0	0	0	0	10.88974	22.4034	17.34717	2.74127	0	0.94257	0	0	0	0
Healthy	20.34868	3.69267	0	0.06107	0.02544	0.01579	0	0	0.10041	0.10541	20.79001	3.69267	0	0	0	2.67336	5.11519	0	0.86515	0.21492
Healthy	13.5242	2.39643	5.16302	0.24984	0.10334	3.27877	0.31518	0	0.7502	0.00756	0.39264	2.39643	5.16302	4.97612	1.10551	0	0	0	0	0.03937
Healthy	24.25783	8.2571	0.50821	0.18232	0.03468	0.13775	0.02589	0.12748	0.01447	0	8.13197	8.2571	0.50821	5.77197	0	0.38526	2.74871	0.15552	0.43218	0.07041
D003093	25.25686	5.09017	4.81199	0.33828	0.18093	0.00791	0.00183	0	0.01411	0.09053	2.01227	5.09017	4.81199	1.8834	1.97992	1.16397	0.6685	0	0	0.07751
Healthy	6.08834	2.19381	0.07331	0.29319	0.11697	0.04301	0	0	0.12915	0	6.88282	2.19381	0.07331	8.16815	0	5.27022	0.20062	0	0.6803	0.06833
Healthy	27.55006	7.60001	1.51079	0.10176	0.10696	0.03607	0	0.07125	0.03387	0	0.01248	7.60001	1.51079	0	0	0	0.26726	0	0	0
Healthy	0	0	3.61533	0.18547	0.28593	0	0	0	0	0.02591	0	0	3.61533	0	0	0	0	0	0	0
Healthy	30.93704	7.39152	1.11891	1.57639	0.01306	0	0.16522	0	0.01006	0.17382	5.10589	7.39152	1.11891	0	3.33021	3.62351	1.07478	0.00862	1.03909	0.08831
Healthy	16.55109	0	0	0	0	0	0	0	0	0	0	0	0	8.53501	0	0	0	0	0	0
Healthy	0.57635	1.3236	0.00275	0.01707	0	0	0	0	0	0	0	1.3236	0.00275	0	0.54846	0	0	0	0	0.0431
Healthy	2.45895	0.55987	0	0	0	0	0	0	0	0	11.75493	0.55987	0	0	0	3.26846	0.34776	0	0	0.18163
Healthy	2.29701	0.05957	0.21569	0	0	0	0	0	0	0	0	0.05957	0.21569	10.7056	0	0	0	0	0	0.02339
Healthy	43.15563	2.03888	0.19572	5.65194	0.71584	0	0	0	1.03756	0	0.63972	2.03888	0.19572	0	0	3.57079	0.13267	0	0	0
Healthy	2.0341	0.03196	0.06352	0.19721	0	0.14533	0	0	0	0	6.28127	0.03196	0.06352	8.09638	0	18.1495	0.15783	0	1.46847	0
Healthy	9.19371	2.27185	2.06953	0	0	0.30832	0	0.0103	0	0	9.49054	2.27185	2.06953	0	2.1929	6.91258	0.21671	9.50394	0	0.35342
Healthy	0.38403	3.77372	0.02622	0.00193	0.17354	1.38014	0	0	0	0.17848	1.29088	3.77372	0.02622	2.57063	43.9338	0	0.24068	0	0	0.08751
Healthy	20.64043	6.31337	21.12264	2.1127	3.2326	8.28998	0	7.365	0	0	1.13591	6.31337	21.12264	0.04796	0	2.00865	0	3.57724	0	0.00614
Healthy	24.04584	11.07113	0	0.21093	0.02231	0.02629	0.18738	0	0.05272	0.07309	3.01217	11.07113	0	0	2.10778	1.09221	0.08205	0	0.55337	0
Healthy	13.2101	4.06346	0.52452	0.23444	0	0	0	0	2.91034	0	7.11006	4.06346	0.52452	4.69517	0	1.07231	1.20495	0	0	0.19158
Healthy	1.67644	6.43879	0	0	0	0.02701	0	0	0.02984	0.03051	0.75766	6.43879	0	0	0	0	4.329	0	0.8179	0
D003093	17.90159	10.92152	0.40881	0	0.00305	0.0388	0	0	0	0	0.80576	10.92152	0.40881	0.00544	0	0.04278	0.1424	0	0	0.76548
Healthy	40.39967	2.48237	0	0.34528	0	0	0	0	0	0.05698	2.50732	2.48237	0	15.9651	10.7516	0.79816	0	0	0	0
Healthy	0.47202	1.71475	0.00528	0	0	0	0	0	0.03588	0	8.12916	1.71475	0.00528	0.21017	0	0	0.00552	0	0	0.01841
Healthy	0.65051	1.44308	0	0	0	0	0	0	0	0	0	1.44308	0	0	0.5846	0	0	0	0	0.09406
Healthy	8.96629	5.41906	1.31049	0.00288	0	0.40143	0	0	0	0.02195	14.31981	5.41906	1.31049	0	0.53104	0	0.01735	0.02146	1.91197	0.08016
Healthy	4.66288	3.41053	0.00167	0	0.02861	0	0	0	0	0	8.53545	3.41053	0.00167	4.05717	0	2.80679	0.23636	0	1.00333	0.11263
Healthy	12.96484	12.24781	2.83298	0	0.05895	0.72678	0.15516	0	0	0.01264	6.96709	12.24781	2.83298	25.9687	0	0.92252	0.08527	0	0.34834	0
Healthy	0	0	0.00303	0.62219	0	0	0	0.08897	1.86419	0	0	0	0.00303	0	0	0	0	0	0	0
Healthy	0	0	0.21683	0	0	0	0	0	0	0	0	0	0.21683	0	0	0	0.30118	0	0	0
Healthy	11.56338	1.78645	0.67644	0	0.09676	0	0	0	0	0	3.16553	1.78645	0.67644	4.45934	29.7937	0	0.26164	0	0	1.83829
Healthy	10.77031	1.34276	8.7228	0	0	2.25198	0.00649	1.4605	0	0.23259	4.61532	1.34276	8.7228	0	6.07064	4.65866	0.11919	6.89201	0	0.27951
Healthy	4.74488	1.84188	0.40479	0	0.2803	0	0	0	0	0	12.02973	1.84188	0.40479	6.12746	0	0	0.24045	0	0	0.05053
Healthy	27.7372	6.74631	0.26967	9.2923	5.17261	1.33923	0	0.02885	0	0.71951	0.95685	6.74631	0.26967	0	0.98327	0.58234	0.02352	0.05766	1.17421	0.12334
Healthy	1.93201	3.85463	0.20472	0	0	0	0	0	0	0	2.59906	3.85463	0.20472	0	0	0	0	0	0	0
Healthy	26.41635	13.60415	1.24331	0.23307	0.00649	0.24301	0.01909	0.00116	1.57368	0	3.10749	13.60415	1.24331	0	0.01772	0	1.29475	0	0	0.01742
Healthy	19.14214	9.29308	0.07222	0.1242	0.00291	0	0.05917	0	0.07594	0	0.00157	9.29308	0.07222	0	1.45081	0	0.00722	0	0	0.5566
Healthy	28.95117	6.44974	0.32847	0.44134	0.02612	0	0	0	2.26157	0.00195	14.61982	6.44974	0.32847	0	0.74671	0	5.87215	0	0	0.064
Healthy	23.27727	4.97429	6.02104	0.03109	0.30242	0.02057	0.55938	0	1.63806	0	3.23073	4.97429	6.02104	2.05788	0	0	0.02424	0	0	0
Healthy	6.6805	6.54119	0.55606	0.0183	0	0.23223	0	0	0.01736	0.02037	13.71788	6.54119	0.55606	0.3535	0	5.41002	1.39296	0.21375	2.16538	0.15494
Healthy	1.69878	0.11961	0.0701	2.27287	0.00061	0.02367	0	0.30556	0	0.00217	2.55531	0.11961	0.0701	0	0	0	0	0	0	0.04055
Healthy	13.96067	0.48542	0	0	2.74118	0	0	0	0	0	0	0.48542	0	0	0.1712	1.82871	0	17.665	0	0
Healthy	44.45119	9.89402	0.08365	1.69472	2.11912	0.11936	0	0.06093	0.15182	0	2.38017	9.89402	0.08365	0	0	0.06231	0	0	0.68181	0.22751
D003093	15.67845	10.08192	4.25345	0.00891	0.22404	0.69548	0.04574	0	0	0.0603	3.32579	10.08192	4.25345	0	0	0.36079	0.33384	0.76285	0.58715	0.0161
Healthy	7.16031	2.12934	14.26406	0	0.00585	1.31884	0.08164	0	0.00122	0.0254	3.34875	2.12934	14.26406	0.02036	6.18736	0.02386	2.03547	0	0	0.09443
Healthy	1.54044	5.35091	0.71515	0.09687	0	0.06541	0	0	0.13338	0	18.60375	5.35091	0.71515	0	0	2.22675	0.25185	0	2.98324	1.87573
Healthy	33.51811	23.88145	0	0.02305	0	0	0.081	0	0.06391	0.02777	4.40872	23.88145	0	0	0	0	0.00397	0	0.96774	0
Healthy	1.48738	1.69646	0.25825	0	0.02327	0	0	0	0	0	15.17791	1.69646	0.25825	6.13742	0	0	0.1336	0	0.60246	0.00829
Healthy	0.04822	0	17.91367	1.40283	0	0.00056	0.00032	0	0	0	0	0	17.91367	0	0	0	0.15393	0	0	0
Healthy	13.11846	6.14942	0.33917	0.69858	0.29385	0.0752	0.2242	0.0074	0.04665	0.00033	11.85176	6.14942	0.33917	0	0	10.0835	0.42497	0	2.10311	0.05144
Healthy	21.60129	8.50938	21.53076	0	0.38366	0.03504	0.0456	0	0.86819	0	0.07484	8.50938	21.53076	0.61306	0	0	0.03817	0	0	0
Healthy	23.54448	26.2798	16.64539	1.01297	0	0	0.25889	0	0	0	0	26.2798	16.64539	0	0	0.25616	0	0	0	0
Healthy	10.31941	10.87567	0.03878	0.17742	0	0.66904	0	0	0	0	2.74265	10.87567	0.03878	0	0	3.49461	3.16701	0	0	0
Healthy	20.52769	3.64434	7.92426	2.7439	0.3619	8.43543	0	0	0	0	0.45089	3.64434	7.92426	13.5926	0	0	0	0	0	0
Healthy	17.58457	9.90853	0.15993	0.27861	0.74657	0.02349	0.02029	0	0.20335	0	1.86074	9.90853	0.15993	3.46727	2.45662	0.25548	0.11625	1.33638	0	0
Healthy	20.55581	17.46693	0.02782	0.37362	0.11645	0.01035	0.01837	0	0.07866	0.03814	4.38452	17.46693	0.02782	0	0.55249	5.1616	0.93434	0	2.15514	0.00158
Healthy	14.16387	8.00261	0	0.00399	0.05151	0.2526	0	0	0	0.0318	6.81784	8.00261	0	0	0.01061	4.53713	0.01494	0	2.13799	0.22617
Healthy	0.81264	3.71995	0.02676	0	0.33887	0.67773	0	0	0	0.02033	2.623	3.71995	0.02676	9.1095	7.07393	0	0.30854	0	0	0.39212
Healthy	23.68743	7.53769	1.9982	7.93361	0.61902	3.59342	0	0.60874	0	0.0289	2.58798	7.53769	1.9982	0	0	0.35828	0.05722	0.29786	0.0066	2.0594
Healthy	19.90362	7.64122	0.01022	0	0	0	0	0	0.01139	0	4.79465	7.64122	0.01022	0	1.17807	0.03974	6.39631	0.6609	1.42283	1.39068
Healthy	1.61093	1.63475	0.2713	0	0.03409	0	0	0	0	0.00671	14.8888	1.63475	0.2713	5.91116	0	0	0.14096	0	0.59738	0.01491
Healthy	5.1752	1.82983	0.41541	0	0.29545	0	0	0	0	0	11.89123	1.82983	0.41541	6.11356	0	0	0.11941	0	0.51777	1.93841
D003093	19.17361	14.54486	2.31261	0.29081	0.02478	0.84521	0.11027	0	0.02803	0.02842	5.67102	14.54486	2.31261	0	0	1.07229	0.07219	0	0	0.23334
Healthy	13.85288	1.74647	0	0	0	0	0	0	0	0	1.62947	1.74647	0	6.04242	0	3.14994	0.61452	0	0	0
D003093	33.33278	18.38864	0.15917	0.3275	0.03506	0.25324	0	0	0	0.08615	4.18546	18.38864	0.15917	0	0.37366	0.34095	0.13115	1.12983	0.39047	0.02361
Healthy	0	0	17.84914	0.00795	0.02548	0	0	0.08794	0.01538	0	0	0	17.84914	0	0	0	0	0	0	0
Healthy	8.28516	9.93102	5.69384	0.18551	0.02936	1.94935	0.06063	0.00511	0.00868	0.14862	16.83811	9.93102	5.69384	0	1.16882	5.60307	2.13392	0	2.37228	0.04395
Healthy	20.62588	4.88015	0.8986	0	0.18937	0.57769	0.03406	0	0	0.08142	6.34043	4.88015	0.8986	0	0	5.18587	1.42709	0	0	0.24123
Healthy	1.72788	4.29583	0.34325	0.01269	0.09325	0.21169	0	0	0	0	0	4.29583	0.34325	8.21917	0	0	0.03153	0	0	0.63366
Healthy	0.45797	19.16031	0.08636	0	0.00428	0.0005	0	0	0.04127	0	2.81952	19.16031	0.08636	1.76006	0.3822	0	0.36943	0	0	0.02335
Healthy	6.10625	16.90289	0.10382	0	0	0	0	0	0	0	12.45034	16.90289	0.10382	0	0	1.14736	0.04098	0.03448	1.61701	1.41506
Healthy	2.60477	0.05921	0.18445	0	0	0	0	0	0	0	0	0.05921	0.18445	10.3011	0	0	0	0	0	0.02297
Healthy	21.15606	3.71731	0	0.05492	0.01484	0.01515	0	0	0.09197	0.13102	20.16489	3.71731	0	0	0	2.68881	5.3442	0	0	0.17357
Healthy	4.06038	2.37679	0.20128	0.07424	0.01711	0	0	0	0	0	1.4978	2.37679	0.20128	0	0	2.6134	0.13223	0	0	0.91625
Healthy	12.34772	10.57922	0.45177	0.1097	0.11758	0.00299	0.01953	0	0.00111	0.04906	1.76495	10.57922	0.45177	0	0.18982	3.15534	2.20383	0.00211	0.86367	0.46134
Healthy	25.41698	2.07733	19.09358	2.05809	0	1.56759	0	0	0	0	0	2.07733	19.09358	0	14.1787	0	0	0.16863	0	0
Healthy	32.64568	13.20697	0	2.13829	1.40381	2.08154	0	0	0	0.21559	7.10169	13.20697	0	0	0.88722	0.59662	0.0246	1.39634	0	0
Healthy	15.68244	2.25204	0	0.04118	0.01402	0.07535	0.01496	0	0.05103	0	1.11863	2.25204	0	15.1591	2.78702	0.01725	0.41934	0	2.1314	0.00616
Healthy	41.85287	1.6468	0.16374	0.00371	0.01084	0.0526	0	0	0	0	9.9613	1.6468	0.16374	0	0.09708	3.68421	0.11315	0	1.62899	0.08334
Healthy	32.09044	4.24561	1.55549	0.12256	1.27661	0.42674	1.1828	0.01837	0.01086	0.04262	3.73828	4.24561	1.55549	0	3.40381	3.20238	0.00206	0	1.20655	0.11878
D003093	11.07849	3.75404	0.43038	1.08172	0.00411	1.10152	0	0	2.15716	0	0.0212	3.75404	0.43038	0	0	0	0	0	0	0.02475
Healthy	48.7524	6.29313	0	0.16711	1.77936	0	0	0	0	0	2.54259	6.29313	0	0	0.74691	1.5372	0	0.0917	0	0
Healthy	43.61226	5.66544	0.20811	0	1.16405	0.33557	0	0	0	0.01636	7.12823	5.66544	0.20811	0	1.39047	0	2.00692	0.4225	0	0.10793
Healthy	5.93259	1.88463	0.15633	0	0.0236	0.14943	0	0.03245	0	0.06555	10.06608	1.88463	0.15633	0	0	5.03873	0.62357	0	1.74079	0
Healthy	9.28142	5.56492	1.48633	0.00541	0	0.28869	0	0	0	0.01332	13.94375	5.56492	1.48633	0	0.62769	0	0.03262	0	1.84471	0.10619
Healthy	35.58038	0.45624	4.63678	3.03464	0	1.00147	0	0	0	0	0.61673	0.45624	4.63678	3.21651	0	0.15049	0	0	0	0
D003093	52.69995	6.50949	2.30379	2.11511	2.93817	5.61796	1.24532	0.24376	0.06714	0.28253	0.05484	6.50949	2.30379	0	0	0.64817	0	0	0	0.05102
Healthy	2.52501	0.07588	0.2633	0	0	0	0	0	0	0	0	0.07588	0.2633	10.8327	0	0	0	0	0	0.00916
Healthy	1.15002	0.87145	0	0.24503	0.02447	0.12811	0	0	0	0	0	0.87145	0	3.58408	0	0	0.09614	0	0	0.16588
Healthy	33.95497	0.01143	4.79784	1.11136	0.59055	0	5.9266	0.02662	1.60605	0.08686	0.00671	0.01143	4.79784	0.02864	0	0	0.42103	0	0	0.05126
Healthy	0.63738	3.32049	1.12073	0.09968	0.55308	0.74412	0	0	0	0.02169	21.27971	3.32049	1.12073	3.09071	0.15443	1.86899	0.04306	0	0.52245	2.64096
Healthy	11.51499	15.50636	25.95041	0	0	1.1403	0	0	0	0	2.68436	15.50636	25.95041	0	1.23786	0.7067	1.84863	0.45781	0	0
Healthy	22.82702	12.1741	13.96975	0.01117	0	1.15815	0.00231	0.17014	0	0.17368	5.93957	12.1741	13.96975	3.6506	0	1.1934	1.47353	0	0	1.16906
Healthy	2.44034	8.6583	0	0.04032	0	0	0	0	0.04569	0.58729	0.68751	8.6583	0	0	0	0	5.88561	0	0.91991	3.02847
Healthy	12.00207	0	0	0.08284	0	0	0	0	0	0	0	0	0	0	0	0	0.10274	0	0	0.47462
Healthy	23.03604	13.70086	15.12158	0.38788	0.82741	0.62139	0.4346	0.53853	0.15453	0	1.32347	13.70086	15.12158	3.52113	1.00434	0.21631	0	2.15523	0	0
Healthy	2.48131	0.56733	0	0	0	0	0	0	0	0	11.34921	0.56733	0	0	0	3.23532	0.37989	0	0	0.25138
Healthy	27.02578	18.01835	14.59216	0.17533	0	0	0	1.22869	0	0.57896	4.21711	18.01835	14.59216	2.36428	0	1.67696	0	0	0	0
Healthy	27.28254	10.1033	0.54909	0	0	0	0.77823	0	0.09449	0	2.48925	10.1033	0.54909	2.17607	0.22312	4.80051	0.07436	0.84261	0	0
Healthy	19.70649	3.70751	0	0	0.07539	0.07387	0	0	0	0.03243	32.39951	3.70751	0	0	0	2.64561	1.16749	0	0.87473	0.3729
Healthy	10.06013	0.22045	0	0	0	0	0	0	0	0	0.1297	0.22045	0	0	0	0	0	0	0	0.07862
Healthy	7.84032	1.32487	0	0	0.16394	0.24786	0	0	0.00616	0	0.59902	1.32487	0	0	0	0.34663	0.01735	0	1.49106	0.00465
Healthy	30.39926	16.28303	1.27175	0.03603	0.0096	1.12271	0.0007	0	0.24961	0.03049	4.62077	16.28303	1.27175	2.00147	0.89717	0	0.0221	0.14616	0.90782	0.02428
Healthy	8.4705	4.1026	0.01975	0	0	0	0	0	0.0451	0	10.44264	4.1026	0.01975	0	0.03022	2.53864	0.08897	0	1.56931	0
Healthy	17.08991	20.2023	3.55909	0	0	0	0	0	0	0	1.1095	20.2023	3.55909	5.36896	0	1.16431	0	0	0	0
Healthy	40.99906	2.36589	0.77591	0.43477	0.00516	0	0	0	0	0.08061	3.49587	2.36589	0.77591	7.32354	0.08994	0.79694	0.00845	0	0	0.01249
Healthy	36.68818	1.06455	4.19129	0.81432	0.00038	0	0.02016	0.25023	0	0.28128	0.20177	1.06455	4.19129	0	0.53602	0.18095	0	0	0	0
Healthy	20.99256	4.50668	35.31827	0	0.42747	0.13765	0.42088	0	0.85456	0.00536	0.5545	4.50668	35.31827	1.36354	0	0	0.0026	0	0	0
Healthy	12.29415	1.46549	0.00694	0	0.52152	0	0	0	0	0	0.96757	1.46549	0.00694	0	0	0	0	0	0	0.26868
Healthy	23.61941	18.7844	4.90922	0	0.59808	0	0.05872	0	0	0	0.679	18.7844	4.90922	0.41556	0	0	0.06878	0	0	0
Healthy	2.21262	0.86535	0	0	0	0	0	0	0	0	0.84002	0.86535	0	0	0	0	0	0	0	0
Healthy	0.57429	3.34865	1.11718	0.08386	0.55441	0.76007	0	0	0	0.00727	21.43944	3.34865	1.11718	3.08492	0.14175	1.98093	0.02185	0	0.52481	2.65101
Healthy	17.65966	16.38094	0.01724	0	0	0.99492	0	0	0	0.01158	5.5923	16.38094	0.01724	0	0	2.88926	5.21258	0	0	0
Healthy	5.33313	7.14021	20.61476	0.22417	1.93521	0.37033	0	0	0	0	4.53821	7.14021	20.61476	0	2.17357	2.51391	0	0.19313	0	0
Healthy	18.82662	4.28588	0.00853	0.01233	0.30386	0.11976	0	0.08878	0	0	4.42259	4.28588	0.00853	0	0.00195	0.98884	0	0	0.80964	0.02103
Healthy	5.10605	1.86825	0.40995	0	0.28005	0	0	0	0	0	11.74033	1.86825	0.40995	6.2613	0	0	0.15717	0	0.50874	0.05795
Healthy	12.23176	1.49187	0.07759	0.57378	0	0.00101	0.10377	0.07671	0.05764	0.07558	0	1.49187	0.07759	0.16172	0	0	0	0	0	0.20692
Healthy	9.23465	3.20291	1.11226	0.2874	0.06866	0.1036	0.07969	0	0.02853	0.01151	4.59773	3.20291	1.11226	0	2.21179	1.13788	0.53882	0	0.62359	0.05765
Healthy	35.46094	3.65793	0	0	0	0	0	0	0	0	2.74353	3.65793	0	3.90595	0	0	0.25355	0.2591	0	0
Healthy	22.1625	7.16871	0.52932	0.26246	6.09462	0.06671	0	0	0	0	5.63008	7.16871	0.52932	0	0.58929	2.40449	0.23757	0.55965	0	0.05517
Healthy	3.72731	2.76316	0.79425	0.08932	0.05215	0.57128	0	0	0	0	13.77421	2.76316	0.79425	0	0	1.95703	3.24403	0.01877	2.36667	2.61338
Healthy	17.81643	6.12355	2.30612	0.03414	0	1.20861	0	0	0.47582	0.02551	1.99266	6.12355	2.30612	0	0	0	0.19732	0	0	0.025
Healthy	0.63088	1.41377	0	0	0	0	0	0	0	0	0	1.41377	0	0	0.51403	0	0	0	0	0.04805
Healthy	10.51845	9.47927	0.2213	0	0	1.68149	0	0	0	0	1.85374	9.47927	0.2213	0	0	2.46657	4.74194	0	0	0
Healthy	13.35752	3.70077	0.40388	0.20951	0	0	0	0	2.7571	0	7.10713	3.70077	0.40388	4.54214	0	1.07087	1.10957	0	0	0.14258
Healthy	0.97368	1.30408	0.07476	0	0	0.4575	0	0	0	0	23.57475	1.30408	0.07476	0	10.9796	0.52437	1.04682	0	0	0.10334
Healthy	13.71249	0.99318	7.01303	0.15438	0	1.29787	0	0.27204	0	0.07147	6.76763	0.99318	7.01303	0	0.41073	4.15093	0.12538	35.1411	0	0.26528
Healthy	3.42316	2.22683	0.18279	0.06726	0.03171	0	0	0	0	0	1.34845	2.22683	0.18279	0	0	2.33717	0.11023	0	0	0.8752
D003093	6.05791	13.45631	16.87329	1.30907	0.04885	0.64895	3.73055	1.96685	0.02352	0	2.38887	13.45631	16.87329	3.57603	4.29843	2.41459	0.56104	4.20579	1.47925	0.09998
Healthy	5.991	4.41598	11.87695	0.27211	0.00479	1.40458	0	0	0	0.3909	15.76797	4.41598	11.87695	0	0	0	0.00381	0.20364	0.90139	0.1676
Healthy	45.26128	5.01973	0.35995	1.68773	0.00183	0	0.41982	0.05158	0.83245	0.63577	2.44939	5.01973	0.35995	0	0	1.36268	0.02597	0.77591	0	0.00775
Healthy	16.22241	15.35462	0.17093	0.00069	0.30169	0	0.00031	0	0	0.00074	1.98064	15.35462	0.17093	7.59543	0.04302	1.4862	0.03603	0	0.14387	0.10226
Healthy	31.60651	3.95604	0	0	0	0.20099	0	0	0.22578	0	6.4052	3.95604	0	0	0	0	0.03172	0	0	0.04656
Healthy	1.37921	0.37319	0	0	0	0	0	0	0	0	21.84875	0.37319	0	8.60092	0.58013	4.09509	1.42702	0	0	0
Healthy	19.00012	4.38885	23.97566	0.55472	0.52873	0.15105	0.38722	0	1.8414	0	1.91814	4.38885	23.97566	0.86563	0	0	0.03924	0	0	0
Healthy	2.28573	0.08765	0.21668	0	0	0	0	0	0	0	0	0.08765	0.21668	10.6053	0	0	0	0	0	0
Healthy	5.53462	0.30864	0	0	0	0	0.34577	0	0.80607	0	1.10933	0.30864	0	3.92706	0	8.63714	0	0	0	0
Healthy	5.55094	3.43977	4.35992	0.00177	0	0	0	0	0	0	15.92806	3.43977	4.35992	2.85673	0.13626	3.074	0.23241	0.05586	0.79043	0.02796
Healthy	5.87078	4.53686	12.10771	0.20327	0.00951	1.39849	0	0	0	0.48381	15.80305	4.53686	12.10771	0	0	0	0.00574	0.19256	0.97313	0.13633
D003093	2.25027	38.7051	0.5948	0	0	0.00089	0	0	0	0	2.70413	38.7051	0.5948	2.2376	0	0	4.3851	0	1.25161	0.26579
Healthy	31.25844	9.32541	1.25356	0	0.42068	0.14193	0.35653	0	0.846	0	0.35526	9.32541	1.25356	1.11129	0	0	0.0336	0	0	0
Healthy	22.10185	11.91692	4.86123	2.37151	0	0	0	0	0	0	4.59144	11.91692	4.86123	0.93998	2.84965	1.5607	0	3.32246	0	0
Healthy	69.83677	0.60719	0	0	0	0	0	0	0	0	0.727	0.60719	0	0	0	1.92045	0.22402	0.51583	0	0
Healthy	9.86494	2.71111	0.97922	0.21223	0.2238	0	0.24409	0	2.14854	0	1.95936	2.71111	0.97922	0.11455	0	0	0.01662	0	1.72219	0
Healthy	2.41508	7.60448	0	0.01202	0	0.10079	0	0	0.04879	0.20142	20.31839	7.60448	0	0.3382	0.56547	0.71652	0.02925	0	0.99966	0
D003093	18.45245	7.31194	0.00021	0.17509	0.02829	0.22882	0.22033	0	0.08101	0.04084	10.60069	7.31194	0.00021	1.26164	0	0.30532	0.14817	0.32764	0.80515	0.02526
Healthy	13.47566	2.51652	0	0	0	0	0	0	0	0	12.05245	2.51652	0	0	0	0.6852	0.31371	0	1.33202	1.27495
