group	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Streptococcaceae	Erysipelotrichaceae	Coriobacteriaceae	Peptostreptococcaceae	Lactobacillaceae	Pasteurellaceae	Eggerthellaceae	Rikenellaceae	Ruminococcaceae	Bifidobacteriaceae	Dialisteraceae	Akkermansiaceae	Barnesiellaceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae
Healthy	14.18773	2.6487	0.34594	0.18538	0.20336	0	0	0	0	0	0.29281	2.6487	0.34594	3.15007	48.7672	0	0	0	0	0.21477
Healthy	13.93238	10.85128	0.60784	0.15228	1.46121	0.09283	0.02211	0	0.10937	0.00168	4.17386	10.85128	0.60784	0	0.02505	1.0651	0.19046	0.63907	1.15443	0.10316
Healthy	26.51074	9.16534	24.34814	0.17857	0	0.65919	0	0	0	0.23851	7.48688	9.16534	24.34814	0	0	1.47979	0.04446	0	0	0
Healthy	17.91379	2.3527	3.39236	0.00266	0	0.37637	0	0	0	0.07931	10.55098	2.3527	3.39236	0	1.65301	5.53984	0.19327	0.18038	1.48318	0.05935
Healthy	3.84486	9.42381	5.62643	0.02484	0.0123	0.53587	0	0	0	0.27818	13.90556	9.42381	5.62643	0	0	0	0.002	0.08119	0	0.21886
Healthy	16.00939	6.22563	0.20527	0.1302	0	1.3964	0	0	0	0.06189	3.22808	6.22563	0.20527	0	0	5.79777	4.30761	0	0	0
Healthy	20.64762	0.00068	25.053	0.00104	0	5.7193	0	0.29223	0	0.03312	0	0.00068	25.053	0	0	0	0	0	0	0.04847
Healthy	6.7014	6.6407	0.50195	0.01765	0	0.19788	0	0	0.02082	0.00917	13.80833	6.6407	0.50195	0.386	0	5.23642	1.45864	0.18758	2.31782	0.16032
Healthy	21.81106	3.9338	0.25829	0.56085	0.02074	0.08046	0	0	0	0.00649	6.24841	3.9338	0.25829	0	0.62975	2.61653	2.12136	0.07048	0.98932	0.02795
Healthy	19.16726	11.17958	0.46911	1.04933	0.06243	0.33622	0.02658	0	0.05059	0.04105	2.55539	11.17958	0.46911	0	0.03917	1.20157	0.14328	0	0.84408	0.08893
D003093	5.15455	5.8898	0	0	0	0	0	0	0.50926	0	0	5.8898	0	0.09283	0	0	0	0	0	0.11011
Healthy	9.33161	4.02687	5.86576	0.01657	0.79186	0.91269	0	0	0	0.02361	1.77545	4.02687	5.86576	10.2571	1.1655	0	0.02565	0	0.45607	0.24086
Healthy	13.53386	4.47674	5.61783	0.08838	0.00364	1.43581	0.01345	0	0.00195	0.28108	6.22792	4.47674	5.61783	0	0.07252	3.70146	0	0.52921	3.30544	0.38997
Healthy	2.91449	2.12034	0.65786	0	0.163	0.14288	0	0	0.023	0	8.66821	2.12034	0.65786	6.24256	0	6.38478	0.29286	0	1.03995	0.60257
Healthy	0.18846	0.00368	53.32809	1.2222	0	0.12	0	0	0.19266	0	0	0.00368	53.32809	0	0	0	10.9103	0	0	0
Healthy	13.06821	10.01197	0.99682	0.18972	0.79534	0	0	0	0	0	8.31905	10.01197	0.99682	0	4.64535	3.61045	0	2.8803	2.06509	0.33091
Healthy	1.11149	0.90434	0	0.23259	0.01149	0.15444	0	0	0	0	0	0.90434	0	3.32443	0	0	0.0857	0	0	0.18962
D003093	17.58635	18.60182	2.79628	0.04915	0.02206	0.84283	0	0.00665	0	0.52777	2.39409	18.60182	2.79628	0	6.76964	0.12699	0.01222	0	0.81072	0.19593
Healthy	8.53065	27.22336	0	0.14253	0.00061	0.01631	0	0	0	0	11.63986	27.22336	0	0	0.02478	0	1.28454	0	1.39468	0.12367
Healthy	4.60479	3.58402	0	0.21411	0.05876	0	0	0	0	0	8.94078	3.58402	0	0	20.014	0.67267	0.03316	0.54614	0	0.66922
Healthy	3.30342	0.69262	0	0	0	0.102	0	0	0	0	16.12624	0.69262	0	0	0	3.37828	0.1002	0	0	1.66202
Healthy	24.13931	1.051	0.09522	0	0	0.06941	0	0	0	0	0.23838	1.051	0.09522	0.59117	1.13725	4.44353	0	15.6428	1.03345	0.0234
Healthy	12.86415	1.09293	0	0	0.14265	0	0.35363	0	0	0	3.02671	1.09293	0	0	0	4.1818	0.04035	0.32705	0	0
Healthy	4.04901	2.47447	0.22191	0.06243	0.04	0	0	0	0	0	1.50364	2.47447	0.22191	0	0	2.56053	0.08025	0	0	0.96798
